Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0173781,0.0219451,273,5
200.0,0.0344836,0.0275001,273,5
500.0,0.084084,0.0416762,273,5
1000.0,0.1686548,0.0579814,273,5
2000.0,0.3229666,0.0765835,273,5
5000.0,0.6515678,0.0951181,273,5
10000.0,1.0639167,0.1029208,273,5
20000.0,1.4581375,0.1024932,273,5
50000.0,1.8668408,0.0871404,273,5
100000.0,2.1216107,0.079045,273,5
1000000.0,3.124283,0.0995087,273,5
100.0,0.0057596,0.0127666,298,5
200.0,0.0119167,0.0182897,298,5
500.0,0.0299054,0.0253334,298,5
1000.0,0.0603562,0.0355084,298,5
2000.0,0.1135356,0.0497938,298,5
5000.0,0.2762093,0.0717943,298,5
10000.0,0.5009744,0.08635329999999998,298,5
20000.0,0.790203,0.1102912,298,5
50000.0,1.3351437,0.1036163,298,5
100000.0,1.6752145,0.0948754,298,5
1000000.0,2.5142765,0.0938559,298,5
100.0,0.0023487,0.0083218,323,5
200.0,0.0049157,0.0117764,323,5
500.0,0.012249,0.0184641,323,5
1000.0,0.0243106,0.025993,323,5
2000.0,0.0472012,0.0325137,323,5
5000.0,0.1146659,0.0469366,323,5
10000.0,0.2206353,0.0683106,323,5
20000.0,0.4053366,0.0865428,323,5
50000.0,0.8126813,0.106686,323,5
100000.0,1.1975378,0.109261,323,5
1000000.0,2.1401626,0.0801283,323,5
100.0,0.0468859,0.0325239,273,1
200.0,0.0910256,0.0419441,273,1
500.0,0.2259462,0.0656202,273,1
1000.0,0.3987909,0.08565349999999998,273,1
2000.0,0.7019483,0.1014311,273,1
5000.0,1.2103051,0.1125653,273,1
10000.0,1.5959962,0.0953929,273,1
20000.0,1.9128279,0.0943979,273,1
50000.0,2.2610958,0.0823741,273,1
100000.0,2.5448229,0.1009964,273,1
1000000.0,3.560176,0.1330962,273,1
100.0,0.0146432,0.0204355,298,1
200.0,0.0302292,0.0252691,298,1
500.0,0.069839,0.0378312,298,1
1000.0,0.1399336,0.052276,298,1
2000.0,0.2625317,0.0711031,298,1
5000.0,0.5819711,0.0953639,298,1
10000.0,0.9329369,0.1114415,298,1
20000.0,1.3255366,0.1139613,298,1
50000.0,1.7798691,0.0932549,298,1
100000.0,2.0440919,0.09067720000000001,298,1
1000000.0,3.0373452,0.0993494,298,1
100.0,0.0054358,0.0122011,323,1
200.0,0.0108233,0.0173605,323,1
500.0,0.026168,0.026769,323,1
1000.0,0.0565136,0.0346837,323,1
2000.0,0.1091818,0.0467155,323,1
5000.0,0.2507513,0.0699589,323,1
10000.0,0.4596544,0.0845492,323,1
20000.0,0.7590356,0.1024485,323,1
50000.0,1.2923147,0.1111388,323,1
100000.0,1.6445582,0.1013212,323,1
1000000.0,2.5258817,0.08511309999999998,323,1
100.0,0.0087217,0.0156431,273,6
200.0,0.0169322,0.021972,273,6
500.0,0.0425577,0.0342196,273,6
1000.0,0.0831076,0.0441212,273,6
2000.0,0.1628015,0.057492,273,6
5000.0,0.3852903,0.0845251,273,6
10000.0,0.661559,0.0968516,273,6
20000.0,1.0789552,0.1195236,273,6
50000.0,1.6322751,0.1105198,273,6
100000.0,1.9914434,0.0973283,273,6
1000000.0,2.8229134,0.074496,273,6
100.0,0.0031751,0.0093549,298,6
200.0,0.006427,0.0136347,298,6
500.0,0.0159609,0.0210345,298,6
1000.0,0.0322172,0.029837,298,6
2000.0,0.0629349,0.0371158,298,6
5000.0,0.1539832,0.0584039,298,6
10000.0,0.3008351,0.0755272,298,6
20000.0,0.5392976,0.0960286,298,6
50000.0,1.0083438,0.1156523,298,6
100000.0,1.4248789,0.1137054,298,6
1000000.0,2.4594627,0.0767997,298,6
100.0,0.0014001,0.0062911,323,6
200.0,0.0030473,0.0092109,323,6
500.0,0.007236399999999999,0.0144668,323,6
1000.0,0.0141149,0.0197864,323,6
2000.0,0.028102,0.0281319,323,6
5000.0,0.0700643,0.0383313,323,6
10000.0,0.136358,0.0544029,323,6
20000.0,0.2602388,0.0718033,323,6
50000.0,0.5635703,0.0915305,323,6
100000.0,0.9168328,0.1187132,323,6
1000000.0,2.0880755,0.0917979,323,6
100.0,0.0231235,0.0254127,273,2
200.0,0.0442896,0.0351326,273,2
