Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002127,0.0041663,273,5
200.0,0.0005072,0.0065254,273,5
500.0,0.0013417,0.010391,273,5
1000.0,0.0034525,0.0168502,273,5
2000.0,0.0058169,0.0218374,273,5
5000.0,0.0142846,0.0343923,273,5
10000.0,0.028962,0.0482134,273,5
20000.0,0.0569831,0.0684886,273,5
50000.0,0.1420446,0.1079135,273,5
100000.0,0.2774296,0.1489797,273,5
100.0,0.0002291,0.0043231,298,5
200.0,0.00045,0.0060507,298,5
500.0,0.0011536,0.0097152,298,5
1000.0,0.0020372,0.0129048,298,5
2000.0,0.004467,0.0190502,298,5
5000.0,0.0110857,0.0301646,298,5
10000.0,0.0206088,0.0406973,298,5
20000.0,0.0415657,0.058143,298,5
50000.0,0.1045658,0.0918777,298,5
100000.0,0.2094999,0.1308892,298,5
100.0,0.00018,0.0038332,323,5
200.0,0.00027,0.0046921,323,5
500.0,0.0008589999999999998,0.0084191,323,5
1000.0,0.0018326,0.0122169,323,5
2000.0,0.0032889,0.0163185,323,5
5000.0,0.0084268,0.0262047,323,5
10000.0,0.0163136,0.0365551,323,5
20000.0,0.033519,0.0526822,323,5
50000.0,0.0811099,0.0820719,323,5
100000.0,0.1645597,0.1170554,323,5
100.0,0.0002209,0.0042454,273,1
200.0,0.0005891,0.0069171,273,1
500.0,0.001219,0.010244,273,1
1000.0,0.0024217,0.0140099,273,1
2000.0,0.005007,0.0200158,273,1
5000.0,0.0126975,0.0319296,273,1
10000.0,0.0254685,0.045654,273,1
20000.0,0.0516489,0.0652542,273,1
50000.0,0.1293799,0.1037831,273,1
100000.0,0.2595943,0.1473977,273,1
100.0,0.0001964,0.0040032,298,1
200.0,0.0004091,0.0057706,298,1
500.0,0.0008999,0.0085333,298,1
1000.0,0.0018735,0.0125085,298,1
2000.0,0.004107,0.0182721,298,1
5000.0,0.0097849,0.028564,298,1
10000.0,0.0196843,0.0402063,298,1
20000.0,0.0395814,0.056702,298,1
50000.0,0.0966954,0.089533,298,1
100000.0,0.1899464,0.1242868,298,1
100.0,0.0001636,0.0036552,323,1
200.0,0.0002454,0.0044744,323,1
500.0,0.0008918,0.0085733,323,1
1000.0,0.0015217,0.011114,323,1
2000.0,0.0029207,0.0153115,323,1
5000.0,0.0076905,0.0251321,323,1
10000.0,0.0152582,0.0355411,323,1
20000.0,0.0304101,0.0500695,323,1
50000.0,0.0757757,0.07861569999999998,323,1
100000.0,0.151625,0.1112477,323,1
100.0,0.0003273,0.005164,273,6
200.0,0.0006709,0.0073781,273,6
500.0,0.0015143,0.0111479,273,6
1000.0,0.0026671,0.0148029,273,6
2000.0,0.0058251,0.0218506,273,6
5000.0,0.014931,0.0351126,273,6
10000.0,0.0301074,0.0491682,273,6
20000.0,0.0588239,0.0690265,273,6
50000.0,0.1482706,0.1099675,273,6
100000.0,0.2979911,0.1577005,273,6
100.0,0.0002291,0.0043231,298,6
200.0,0.0004009,0.0057129,298,6
500.0,0.0012681,0.0101725,298,6
1000.0,0.0024708,0.0142853,298,6
2000.0,0.0044343,0.0188814,298,6
5000.0,0.0108567,0.0297795,298,6
10000.0,0.0217133,0.0424929,298,6
20000.0,0.0436966,0.0595969,298,6
50000.0,0.1099001,0.0941618,298,6
100000.0,0.2208392,0.1352444,298,6
100.0,0.0001309,0.0032699,323,6
200.0,0.0003518,0.0053533,323,6
500.0,0.0008672,0.0083785,323,6
1000.0,0.0016199,0.0115725,323,6
2000.0,0.0036243,0.0175351,323,6
5000.0,0.0084595,0.0265747,323,6
10000.0,0.0167309,0.036796,323,6
20000.0,0.0338708,0.0529836,323,6
50000.0,0.0831062,0.081836,323,6
100000.0,0.167505,0.1163351,323,6
100.0,0.00027,0.0046921,273,2
200.0,0.0005891,0.0069171,273,2
500.0,0.0014481,0.0107878,273,2
1000.0,0.002708,0.0149976,273,2
2000.0,0.0051952,0.0204153,273,2
5000.0,0.0139656,0.0334898,273,2
10000.0,0.0277839,0.0484618,273,2
20000.0,0.0533179,0.0663743,273,2
