Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007582999999999998,0.0044815,273,5
200.0,0.0014481,0.0061396,273,5
500.0,0.0034018,0.0094459,273,5
1000.0,0.0068509,0.0134795,273,5
2000.0,0.0134359,0.0186381,273,5
5000.0,0.0335411,0.0263365,273,5
10000.0,0.0671797,0.0371732,273,5
20000.0,0.1302625,0.0493715,273,5
50000.0,0.283537,0.0639159,273,5
100000.0,0.4821576,0.0805747,273,5
100.0,0.000337,0.002983,298,5
200.0,0.0006977,0.0042616,298,5
500.0,0.0015771,0.0064661,298,5
1000.0,0.0031095,0.0090503,298,5
2000.0,0.0063981,0.0129028,298,5
5000.0,0.0150447,0.0196521,298,5
10000.0,0.0305343,0.0243109,298,5
20000.0,0.0631197,0.0360965,298,5
50000.0,0.1450269,0.0509917,298,5
100000.0,0.2602117,0.0670298,298,5
100.0,0.0001632,0.0020668,323,5
200.0,0.0003793,0.0031375,323,5
500.0,0.0007345999999999999,0.0043361,323,5
1000.0,0.0016114,0.0065058,323,5
2000.0,0.003199,0.0091032,323,5
5000.0,0.0080779,0.0146803,323,5
10000.0,0.0159135,0.0202429,323,5
20000.0,0.0323563,0.0261638,323,5
50000.0,0.07803799999999998,0.0385178,323,5
100000.0,0.1501769,0.052156,323,5
100.0,0.0012454,0.0057482,273,1
200.0,0.0022801,0.0077795,273,1
500.0,0.0057793,0.0124369,273,1
1000.0,0.0118246,0.0175523,273,1
2000.0,0.0248287,0.0220485,273,1
5000.0,0.0579486,0.0334228,273,1
10000.0,0.116113,0.0467902,273,1
20000.0,0.212393,0.0627334,273,1
50000.0,0.4546366,0.0777939,273,1
100000.0,0.690589,0.0867171,273,1
100.0,0.0005898,0.003914,298,1
200.0,0.0010795,0.0052606,298,1
500.0,0.0027488,0.0085196,298,1
1000.0,0.0053238,0.0117901,298,1
2000.0,0.010308,0.0165107,298,1
5000.0,0.0265717,0.02272,298,1
10000.0,0.0512056,0.0336282,298,1
20000.0,0.0999757,0.0437189,298,1
50000.0,0.234501,0.065481,298,1
100000.0,0.4096483,0.0809219,298,1
100.0,0.0002923,0.0028084,323,1
200.0,0.0005611,0.0038388,323,1
500.0,0.0014429,0.0061746,323,1
1000.0,0.0026882,0.0083791,323,1
2000.0,0.0052685,0.0117413,323,1
5000.0,0.0134675,0.0186785,323,1
10000.0,0.026943,0.0230606,323,1
20000.0,0.0523404,0.0331616,323,1
50000.0,0.1235459,0.0493009,323,1
100000.0,0.2321025,0.0630697,323,1
100.0,0.0005714,0.0038901,273,6
200.0,0.0011301,0.0055405,273,6
500.0,0.0028489,0.008704399999999998,273,6
1000.0,0.0056635,0.0121468,273,6
2000.0,0.0107056,0.0166954,273,6
5000.0,0.0271615,0.0225882,273,6
10000.0,0.0535226,0.0341576,273,6
20000.0,0.1021505,0.0458791,273,6
50000.0,0.2420101,0.0658756,273,6
100000.0,0.4241636,0.0750378,273,6
100.0,0.0002738,0.0026711,298,6
200.0,0.0005424,0.0037768,298,6
500.0,0.0013823,0.0060468,298,6
1000.0,0.0026461,0.008367599999999998,298,6
2000.0,0.0052791,0.0118483,298,6
5000.0,0.0128277,0.0182841,298,6
10000.0,0.0251578,0.0256482,298,6
20000.0,0.0493915,0.0317306,298,6
50000.0,0.1210314,0.0471986,298,6
100000.0,0.2249986,0.0642219,298,6
100.0,0.000129,0.0018385,323,6
200.0,0.0002975,0.002783,323,6
500.0,0.000782,0.0044851,323,6
1000.0,0.001198,0.0055872,323,6
2000.0,0.0026672,0.008286,323,6
5000.0,0.0072047,0.0137418,323,6
10000.0,0.013773,0.0190642,323,6
20000.0,0.0277302,0.0265702,323,6
50000.0,0.066998,0.0356979,323,6
100000.0,0.1268739,0.0492918,323,6
100.0,0.001019,0.0052131,273,2
200.0,0.0020116,0.0072759,273,2
500.0,0.0049236,0.0113807,273,2
1000.0,0.0099104,0.0160053,273,2
2000.0,0.0188572,0.0223639,273,2
5000.0,0.0472351,0.0314101,273,2
10000.0,0.0919505,0.0411171,273,2
20000.0,0.1775002,0.0566975,273,2
50000.0,0.3864642,0.079154,273,2
