Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0850259,0.0469071,273,5
200.0,0.1641713,0.064772,273,5
500.0,0.3893214,0.0959006,273,5
1000.0,0.6491631,0.1198316,273,5
2000.0,1.0767499,0.1316566,273,5
5000.0,1.7842808,0.1421566,273,5
10000.0,2.3286926,0.1439437,273,5
20000.0,2.8234009,0.1265485,273,5
50000.0,3.4160258,0.1222003,273,5
100000.0,3.6846877,0.099296,273,5
1000000.0,4.5616623,0.115304,273,5
100.0,0.0258018,0.0310101,298,5
200.0,0.050615,0.0370025,298,5
500.0,0.1292898,0.05776,298,5
1000.0,0.2400482,0.07818859999999998,298,5
2000.0,0.439472,0.0995723,298,5
5000.0,0.8850551,0.1226288,298,5
10000.0,1.3882828,0.1479313,298,5
20000.0,1.936117,0.1446191,298,5
50000.0,2.6283308,0.1318147,298,5
100000.0,3.0864355,0.1260742,298,5
1000000.0,4.1250506,0.108903,298,5
100.0,0.0090235,0.011506,323,5
200.0,0.0179609,0.0139237,323,5
500.0,0.0453466,0.0222155,323,5
1000.0,0.08940869999999998,0.0301909,323,5
2000.0,0.1728505,0.0408628,323,5
5000.0,0.3809458,0.0606946,323,5
10000.0,0.7063542,0.0757275,323,5
20000.0,1.1596076,0.0918429,323,5
50000.0,1.8715993,0.0936876,323,5
100000.0,2.4141007,0.08385879999999998,323,5
1000000.0,3.7078012,0.0637819,323,5
100.0,0.1544654,0.063524,273,1
200.0,0.2846113,0.08606279999999998,273,1
500.0,0.6378385,0.1184021,273,1
1000.0,1.0806371,0.1441777,273,1
2000.0,1.6594163,0.1568982,273,1
5000.0,2.485485,0.1507415,273,1
10000.0,2.9898589,0.1294475,273,1
20000.0,3.434273,0.1191674,273,1
50000.0,3.8500802,0.08832039999999998,273,1
100000.0,4.1656081,0.0870509,273,1
1000000.0,4.9772532,0.0878812,273,1
100.0,0.0435052,0.0394804,298,1
200.0,0.0894299,0.0509558,298,1
500.0,0.2129259,0.07138,298,1
1000.0,0.4027239,0.0987571,298,1
2000.0,0.7042289,0.1106073,298,1
5000.0,1.3552882,0.1415437,298,1
10000.0,1.9757606,0.1528331,298,1
20000.0,2.5592355,0.1386896,298,1
50000.0,3.2080357,0.129073,298,1
100000.0,3.581637,0.1157898,298,1
1000000.0,4.5041741,0.0875253,298,1
100.0,0.0162041,0.0153822,323,1
200.0,0.0313678,0.0186953,323,1
500.0,0.079392,0.0295686,323,1
1000.0,0.154176,0.0406872,323,1
2000.0,0.2834148,0.051163,323,1
5000.0,0.6392868,0.0774591,323,1
10000.0,1.0912699,0.091536,323,1
20000.0,1.6613052,0.09694,323,1
50000.0,2.4406646,0.0885069,323,1
100000.0,2.9370326,0.0763458,323,1
1000000.0,4.1072494,0.0583471,323,1
100.0,0.0750816,0.0462512,273,6
200.0,0.1486384,0.0619647,273,6
500.0,0.3381775,0.0925619,273,6
1000.0,0.6054465,0.1103128,273,6
2000.0,1.0292526,0.1280159,273,6
5000.0,1.7856221,0.1524354,273,6
10000.0,2.3419621,0.1427883,273,6
20000.0,2.9224486,0.1331665,273,6
50000.0,3.5062958,0.1126155,273,6
100000.0,3.8524896,0.1063087,273,6
1000000.0,4.6674133,0.1254237,273,6
100.0,0.0231425,0.0292594,298,6
200.0,0.0465512,0.0348471,298,6
500.0,0.1128194,0.054173,298,6
1000.0,0.2244808,0.07413469999999998,298,6
2000.0,0.40371,0.09504000000000001,298,6
5000.0,0.8486441,0.1264912,298,6
10000.0,1.3433716,0.1467875,298,6
20000.0,1.9448388,0.1516808,298,6
50000.0,2.6890374,0.13551,298,6
100000.0,3.1829453,0.1306084,298,6
1000000.0,4.1872749,0.0895877,298,6
100.0,0.0083574,0.0173579,323,6
200.0,0.0170322,0.024577,323,6
500.0,0.0426766,0.0390196,323,6
