Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1483046,0.08404259999999998,273,5
200.0,0.2856625,0.111415,273,5
500.0,0.6125839,0.1491247,273,5
1000.0,1.0234293,0.1731251,273,5
2000.0,1.5161898,0.1820715,273,5
5000.0,2.2093324,0.1788308,273,5
10000.0,2.7131359,0.1622437,273,5
20000.0,3.0992722,0.1369837,273,5
50000.0,3.4518147,0.1144373,273,5
100000.0,3.5754608,0.104024,273,5
1000000.0,4.3084245,0.1496988,273,5
100.0,0.0439824,0.0527202,298,5
200.0,0.0868193,0.0638609,298,5
500.0,0.2076689,0.0971236,298,5
1000.0,0.3876065,0.1262828,298,5
2000.0,0.6913049,0.1616204,298,5
5000.0,1.2738021,0.1801099,298,5
10000.0,1.8121461,0.1905455,298,5
20000.0,2.3347158,0.1710555,298,5
50000.0,2.8878665,0.1493222,298,5
100000.0,3.2224605,0.1291247,298,5
1000000.0,3.8892761,0.1174335,298,5
100.0,0.0151508,0.0308866,323,5
200.0,0.0307087,0.0438966,323,5
500.0,0.0705296,0.0661542,323,5
1000.0,0.1459269,0.0846668,323,5
2000.0,0.2716106,0.1076042,323,5
5000.0,0.6057434,0.1520245,323,5
10000.0,1.014188,0.1780493,323,5
20000.0,1.4882787,0.1820477,323,5
50000.0,2.2071873,0.1812002,323,5
100000.0,2.6670528,0.1672396,323,5
1000000.0,3.5769413,0.1039247,323,5
100.0,0.1589237,0.0885365,273,1
200.0,0.3044525,0.1176303,273,1
500.0,0.6685226,0.1583782,273,1
1000.0,1.1090214,0.193077,273,1
2000.0,1.6206143,0.1872093,273,1
5000.0,2.4540345,0.1887196,273,1
10000.0,2.8882365,0.1628851,273,1
20000.0,3.2449064,0.1325744,273,1
50000.0,3.6248639,0.1157688,273,1
100000.0,3.8477737,0.1059312,273,1
1000000.0,4.5703412,0.1805695,273,1
100.0,0.0456686,0.0532689,298,1
200.0,0.0914083,0.0649369,298,1
500.0,0.2221481,0.099275,298,1
1000.0,0.4269923,0.1318595,298,1
2000.0,0.7427173999999999,0.1687081,298,1
5000.0,1.3564376,0.1944396,298,1
10000.0,1.9499302,0.2003538,298,1
20000.0,2.5249451,0.1918017,298,1
50000.0,3.0911012,0.1375418,298,1
100000.0,3.3954518,0.1275046,298,1
1000000.0,4.2383111,0.1668828,298,1
100.0,0.0163725,0.0320629,323,1
200.0,0.0336399,0.0452416,323,1
500.0,0.0812388,0.0709356,323,1
1000.0,0.1537409,0.0846784,323,1
2000.0,0.3037912,0.1147663,323,1
5000.0,0.6393871,0.1549736,323,1
10000.0,1.0890947,0.184375,323,1
20000.0,1.6264608,0.2073953,323,1
50000.0,2.4003516,0.1877446,323,1
100000.0,2.8941066,0.1651348,323,1
1000000.0,3.7917462,0.1198793,323,1
100.0,0.1135315,0.07331419999999998,273,6
200.0,0.2157756,0.0966609,273,6
500.0,0.4926742,0.1437015,273,6
1000.0,0.8582056,0.1769451,273,6
2000.0,1.3614857,0.1826046,273,6
5000.0,2.1104021,0.1850229,273,6
10000.0,2.6363645,0.1806841,273,6
20000.0,3.0424621,0.1486442,273,6
50000.0,3.4445424,0.1187908,273,6
100000.0,3.7311138,0.1039299,273,6
1000000.0,4.5106934,0.1527377,273,6
100.0,0.0354939,0.0467969,298,6
200.0,0.0682961,0.0652879,298,6
500.0,0.1647938,0.0915135,298,6
1000.0,0.3178475,0.1185561,298,6
2000.0,0.56437,0.1532029,298,6
5000.0,1.1092644,0.182693,298,6
10000.0,1.646667,0.199307,298,6
20000.0,2.2520204,0.1975707,298,6
50000.0,2.8864008,0.1579956,298,6
100000.0,3.2402768,0.1402446,298,6
1000000.0,4.0376636,0.115414,298,6
100.0,0.0127455,0.028112,323,6
200.0,0.0249628,0.0396769,323,6
500.0,0.06141,0.0616589,323,6
1000.0,0.1211614,0.0752082,323,6
2000.0,0.2335925,0.1030498,323,6
5000.0,0.5247019,0.1478719,323,6
10000.0,0.8912723,0.1733427,323,6
20000.0,1.3711248,0.1951741,323,6
50000.0,2.1042758,0.2004414,323,6
100000.0,2.6291395,0.1747623,323,6
1000000.0,3.7107398,0.1217042,323,6
100.0,0.1398883,0.08290079999999998,273,2
200.0,0.2589053,0.1053925,273,2
500.0,0.5800398,0.1479569,273,2
1000.0,0.9863351,0.1776373,273,2
2000.0,1.5324205,0.2001752,273,2
5000.0,2.3447066,0.1966271,273,2
10000.0,2.9642281,0.1742678,273,2
20000.0,3.3220985,0.1555688,273,2
50000.0,3.6745164,0.1232065,273,2
100000.0,3.9711877,0.1115433,273,2
1000000.0,4.9544518,0.1582809,273,2
100.0,0.0423088,0.0508023,298,2
200.0,0.0823396,0.070982,298,2
500.0,0.1994795,0.0959608,298,2
1000.0,0.373553,0.1258484,298,2
2000.0,0.6740775,0.1600097,298,2
5000.0,1.2565603,0.189951,298,2
10000.0,1.8810327,0.1934629,298,2
20000.0,2.4946361,0.1868271,298,2
50000.0,3.1130911,0.1586906,298,2
100000.0,3.4682415,0.1372103,298,2
1000000.0,4.3410276,0.1346928,298,2
100.0,0.0151571,0.0307718,323,2
200.0,0.0300342,0.0436709,323,2
500.0,0.07458289999999998,0.0675782,323,2
1000.0,0.1434517,0.0823309,323,2
2000.0,0.2777149,0.1117213,323,2
5000.0,0.6081919,0.1551629,323,2
10000.0,1.0226466,0.1776703,323,2
20000.0,1.535479,0.2007919,323,2
50000.0,2.3287601,0.1942629,323,2
100000.0,2.8701278,0.1730442,323,2
1000000.0,3.8629126,0.1314799,323,2
100.0,0.0766955,0.0682065,273,8
200.0,0.1469769,0.0863338,273,8
500.0,0.3341436,0.1210578,273,8
1000.0,0.5985089,0.1485473,273,8
2000.0,0.992377,0.172313,273,8
5000.0,1.6505867,0.1933112,273,8
10000.0,2.1560153,0.1886556,273,8
20000.0,2.6916179,0.1804,273,8
50000.0,3.2647825,0.138534,273,8
100000.0,3.4797334,0.1341644,273,8
1000000.0,4.3620502,0.0979004,273,8
100.0,0.0231429,0.0379356,298,8
200.0,0.046114,0.0534246,298,8
500.0,0.113761,0.0710535,298,8
1000.0,0.2102623,0.0993149,298,8
2000.0,0.4040655,0.1291034,298,8
5000.0,0.8262024,0.1675313,298,8
10000.0,1.2620116,0.1832153,298,8
20000.0,1.7687427,0.1967996,298,8
50000.0,2.4991968,0.1867956,298,8
100000.0,2.9700049,0.1696546,298,8
1000000.0,3.9059701,0.1119389,298,8
100.0,0.008673,0.0237682,323,8
200.0,0.0174415,0.0329272,323,8
500.0,0.042487,0.0515645,323,8
1000.0,0.0857948,0.0726961,323,8
2000.0,0.1629167,0.0981781,323,8
5000.0,0.3728973,0.1409302,323,8
10000.0,0.6684972,0.1777228,323,8
20000.0,1.0656427,0.2015854,323,8
50000.0,1.7367487,0.2317636,323,8
100000.0,2.2790385,0.2249109,323,8
1000000.0,3.5234896,0.1564555,323,8
100.0,0.0746656,0.0683245,273,4
200.0,0.143248,0.0812447,273,4
500.0,0.3360589,0.1261256,273,4
1000.0,0.6221647,0.1604623,273,4
2000.0,1.0380973,0.1862282,273,4
5000.0,1.7978116,0.1997387,273,4
10000.0,2.4429475,0.1962234,273,4
20000.0,2.9740364,0.1703638,273,4
50000.0,3.5051115,0.1438256,273,4
100000.0,3.7930439,0.1349874,273,4
1000000.0,4.7261336,0.148964,273,4
100.0,0.023092,0.0379986,298,4
200.0,0.0478003,0.0548158,298,4
500.0,0.1184444,0.0848666,298,4
1000.0,0.2249004,0.104277,298,4
2000.0,0.4204673,0.1343949,298,4
5000.0,0.8876165999999999,0.1839037,298,4
10000.0,1.3937579,0.1991802,298,4
20000.0,1.9795112,0.2015776,298,4
50000.0,2.7237493,0.1739499,298,4
100000.0,3.1980498,0.1546858,298,4
1000000.0,4.1644695,0.1647671,298,4
100.0,0.008862,0.0237308,323,4
200.0,0.0179887,0.034088,323,4
500.0,0.0444373,0.0526838,323,4
1000.0,0.08666659999999998,0.0733164,323,4
2000.0,0.1701389,0.1031973,323,4
5000.0,0.3965219,0.1464045,323,4
10000.0,0.7025924,0.1890347,323,4
20000.0,1.1613657,0.2143094,323,4
50000.0,1.9193455,0.2400133,323,4
100000.0,2.4839088,0.2203457,323,4
1000000.0,3.7096254,0.1647293,323,4
100.0,1.0998561,0.060379,273,7
200.0,1.185786,0.08313859999999998,273,7
500.0,1.3229826,0.0957579,273,7
1000.0,1.4869545,0.111623,273,7
2000.0,1.7464286,0.1187654,273,7
5000.0,2.1366672,0.1421073,273,7
10000.0,2.574518,0.1798595,273,7
20000.0,3.0829984,0.1790754,273,7
50000.0,3.5192879,0.1657295,273,7
100000.0,3.9784245,0.1494604,273,7
1000000.0,4.6743439,0.1575858,273,7
100.0,1.0328033,0.0417488,298,7
200.0,1.0616084,0.0489803,298,7
500.0,1.1273274,0.07279879999999998,298,7
1000.0,1.2152666,0.08241869999999998,298,7
2000.0,1.3350778,0.1005156,298,7
