Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.354431,0.0690267,273,5
200.0,0.5880745,0.07584,273,5
500.0,0.9101328,0.0822672,273,5
1000.0,1.1538762,0.0642366,273,5
2000.0,1.3045241,0.0524864,273,5
5000.0,1.4731672,0.054454,273,5
10000.0,1.5321114,0.0442491,273,5
20000.0,1.6119395,0.0378786,273,5
50000.0,1.6576169,0.0186775,273,5
100000.0,1.659167,0.0275328,273,5
1000000.0,1.6837162,0.0093155,273,5
100.0,0.0957209,0.0388503,298,5
200.0,0.1841306,0.0517439,298,5
500.0,0.3861829,0.0628879,298,5
1000.0,0.6156596,0.0770967,298,5
2000.0,0.8586169999999999,0.0735587,298,5
5000.0,1.1409137,0.0678615,298,5
10000.0,1.2886814,0.0634271,298,5
20000.0,1.4087106,0.0485551,298,5
50000.0,1.5364899,0.0401128,298,5
100000.0,1.593763,0.0290789,298,5
1000000.0,1.6768494,0.0122444,298,5
100.0,0.029782,0.0187739,323,5
200.0,0.0586352,0.0274841,323,5
500.0,0.1379843,0.0405912,323,5
1000.0,0.2576592,0.0499811,323,5
2000.0,0.4206483,0.0599104,323,5
5000.0,0.7289406,0.0652065,323,5
10000.0,0.9683897,0.0601724,323,5
20000.0,1.1688478,0.0523449,323,5
50000.0,1.3491992,0.0435096,323,5
100000.0,1.4551979,0.0349148,323,5
1000000.0,1.6457261,0.0203142,323,5
100.0,0.3220746,0.0656867,273,1
200.0,0.5231811,0.0793474,273,1
500.0,0.87309,0.08464929999999998,273,1
1000.0,1.087821,0.0749562,273,1
2000.0,1.2963076,0.0579372,273,1
5000.0,1.46522,0.0502163,273,1
10000.0,1.5385089,0.0413237,273,1
20000.0,1.584594,0.0421302,273,1
50000.0,1.6457461,0.0209648,273,1
100000.0,1.6721144,0.0163253,273,1
1000000.0,1.6843482,0.009136,273,1
100.0,0.086812,0.037537,298,1
200.0,0.1651134,0.048849,298,1
500.0,0.3739561,0.069401,298,1
1000.0,0.571114,0.0820891,298,1
2000.0,0.8445124,0.0786265,298,1
5000.0,1.136742,0.0664047,298,1
10000.0,1.3091825,0.0610511,298,1
20000.0,1.4222816,0.0501665,298,1
50000.0,1.5555552,0.0393976,298,1
100000.0,1.616709,0.0332487,298,1
1000000.0,1.6717254,0.0123002,298,1
100.0,0.0270171,0.0186287,323,1
200.0,0.0523623,0.0248874,323,1
500.0,0.1251029,0.040652,323,1
1000.0,0.2389222,0.0501014,323,1
2000.0,0.3990337,0.0631272,323,1
5000.0,0.6952857,0.0632909,323,1
10000.0,0.9459629,0.0640132,323,1
20000.0,1.1522339,0.0587412,323,1
50000.0,1.3445519,0.0537067,323,1
100000.0,1.4586316,0.0420836,323,1
1000000.0,1.6432058,0.0229271,323,1
100.0,0.0984384,0.0406478,273,6
200.0,0.1840477,0.0504611,273,6
500.0,0.3959792,0.0665632,273,6
1000.0,0.6230383,0.0796121,273,6
2000.0,0.9192022,0.08175649999999998,273,6
5000.0,1.1848964,0.0732686,273,6
10000.0,1.3540196,0.0529874,273,6
20000.0,1.4195479,0.0476433,273,6
50000.0,1.5481333,0.039016,273,6
