Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009886,0.0048349,273,5
200.0,0.0020815,0.0069299,273,5
500.0,0.004971,0.010838,273,5
1000.0,0.0102344,0.0155109,273,5
2000.0,0.0198834,0.0214066,273,5
5000.0,0.0498724,0.0308589,273,5
10000.0,0.093643,0.0395668,273,5
20000.0,0.1803895,0.0529234,273,5
50000.0,0.3562767,0.0676406,273,5
100000.0,0.5512892,0.0719208,273,5
100.0,0.0004496,0.0032301,298,5
200.0,0.000916,0.0045876,298,5
500.0,0.0022595,0.0072693,298,5
1000.0,0.004629,0.0103928,298,5
2000.0,0.008876399999999998,0.0143456,298,5
5000.0,0.0223232,0.0225268,298,5
10000.0,0.043556,0.0280775,298,5
20000.0,0.08641269999999998,0.0388717,298,5
50000.0,0.1881009,0.0530197,298,5
100000.0,0.3326209,0.0631869,298,5
100.0,0.0002371,0.0020417,323,5
200.0,0.0004706,0.0028685,323,5
500.0,0.0011871,0.0045803,323,5
1000.0,0.0023303,0.0064877,323,5
2000.0,0.0046395,0.0090637,323,5
5000.0,0.0113284,0.0143176,323,5
10000.0,0.0229325,0.0174017,323,5
20000.0,0.045331,0.024853,323,5
50000.0,0.1065039,0.0359554,323,5
100000.0,0.1952435,0.0477509,323,5
100.0,0.0008172,0.0044105,273,1
200.0,0.0017701,0.0063558,273,1
500.0,0.0042614,0.009991,273,1
1000.0,0.0087171,0.0142017,273,1
2000.0,0.0173734,0.0200385,273,1
5000.0,0.0429465,0.0279466,273,1
10000.0,0.083181,0.0371599,273,1
20000.0,0.1546794,0.049719,273,1
50000.0,0.3241033,0.0647676,273,1
100000.0,0.5050754,0.0656436,273,1
100.0,0.0004428,0.0032234,298,1
200.0,0.000878,0.0045217,298,1
500.0,0.0020136,0.0068265,298,1
1000.0,0.0041209,0.0099069,298,1
2000.0,0.008099,0.0136498,298,1
5000.0,0.0204664,0.0216231,298,1
10000.0,0.039446,0.0269736,298,1
20000.0,0.0756632,0.035716,298,1
50000.0,0.1728744,0.050663,298,1
100000.0,0.3079768,0.0611252,298,1
100.0,0.000223,0.001982,323,1
200.0,0.0004267,0.0027492,323,1
500.0,0.0009729,0.0041679,323,1
1000.0,0.0021442,0.0061836,323,1
2000.0,0.0042778,0.008675399999999998,323,1
5000.0,0.0104679,0.0133919,323,1
10000.0,0.0199841,0.0160511,323,1
20000.0,0.0414239,0.0238369,323,1
50000.0,0.09569,0.0345963,323,1
100000.0,0.1759796,0.0467877,323,1
100.0,0.0007095,0.0040946,273,6
200.0,0.0014517,0.0057903,273,6
500.0,0.0039172,0.0095486,273,6
1000.0,0.0079304,0.0134338,273,6
2000.0,0.0152942,0.019041,273,6
