Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.3612951,0.1043214,273,5
200.0,0.6823892,0.1281777,273,5
500.0,1.3073399,0.1653273,273,5
1000.0,1.901897,0.1764993,273,5
2000.0,2.3917874,0.1510203,273,5
5000.0,3.152882,0.1554865,273,5
10000.0,3.5966127,0.1516944,273,5
20000.0,4.2142196,0.1218187,273,5
50000.0,4.8791363,0.1321062,273,5
100000.0,5.2187414,0.0992081,273,5
1000000.0,5.6155508,0.0650952,273,5
100.0,0.09417420000000001,0.0535966,298,5
200.0,0.1826816,0.0760195,298,5
500.0,0.4403074,0.1077364,298,5
1000.0,0.7592096,0.1305097,298,5
2000.0,1.274851,0.1602067,298,5
5000.0,2.0386805,0.1579147,298,5
10000.0,2.6141252,0.1534541,298,5
20000.0,3.1027859,0.1719772,298,5
50000.0,3.8533151,0.1379574,298,5
100000.0,4.4389764,0.1368273,298,5
1000000.0,5.4062554,0.0680259,298,5
100.0,0.0295347,0.0217938,323,5
200.0,0.0588589,0.0300882,323,5
500.0,0.1385019,0.0458518,323,5
1000.0,0.2672193,0.0674286,323,5
2000.0,0.4828072,0.0768453,323,5
5000.0,1.0418581,0.102342,323,5
10000.0,1.6354901,0.109712,323,5
20000.0,2.1983278,0.1140507,323,5
50000.0,2.8913996,0.1080635,323,5
100000.0,3.4463282,0.0986738,323,5
1000000.0,5.0488321,0.0741575,323,5
100.0,0.5011955,0.1157851,273,1
200.0,0.8928193,0.1380167,273,1
500.0,1.659644,0.1712913,273,1
1000.0,2.3659155,0.1716565,273,1
2000.0,3.0958016,0.1542201,273,1
5000.0,3.9427402,0.1625607,273,1
10000.0,4.5403407,0.1356029,273,1
20000.0,4.9887768,0.1113458,273,1
50000.0,5.3019091,0.1012712,273,1
100000.0,5.4826885,0.08401839999999998,273,1
1000000.0,5.8808242,0.08424869999999998,273,1
100.0,0.1384778,0.0654162,298,1
200.0,0.2484102,0.08791609999999998,298,1
500.0,0.6058773,0.1202246,298,1
1000.0,1.0151586,0.141994,298,1
2000.0,1.6242833,0.1743219,298,1
