Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.008117499999999998,0.0133072,273,5
200.0,0.0165094,0.0187458,273,5
500.0,0.0376744,0.0284368,273,5
1000.0,0.0633521,0.0360584,273,5
2000.0,0.1234029,0.0457684,273,5
5000.0,0.2653468,0.0684952,273,5
10000.0,0.3859596,0.0613828,273,5
20000.0,0.5380287,0.0689688,273,5
50000.0,0.6662878,0.0564086,273,5
100000.0,0.8347297,0.056318,273,5
1000000.0,1.230583,0.053826,273,5
100.0,0.0019703,0.0076531,298,5
200.0,0.0048191,0.0103608,298,5
500.0,0.0100294,0.0146863,298,5
1000.0,0.0222275,0.0210109,298,5
2000.0,0.0415011,0.0290239,298,5
5000.0,0.091721,0.0403453,298,5
10000.0,0.1683513,0.0535203,298,5
20000.0,0.2890542,0.0674382,298,5
50000.0,0.4509415,0.0626822,298,5
100000.0,0.5994189,0.0694355,298,5
1000000.0,1.0472994,0.0679047,298,5
100.0,0.0007395,0.0037711,323,5
200.0,0.0015081,0.0054449,323,5
500.0,0.0039191,0.0078283,323,5
1000.0,0.0074588,0.010514,323,5
2000.0,0.0149059,0.0150708,323,5
5000.0,0.0347915,0.0228489,323,5
10000.0,0.0619199,0.0278801,323,5
20000.0,0.1304988,0.0385163,323,5
50000.0,0.2767872,0.0460848,323,5
100000.0,0.3888089,0.04837,323,5
1000000.0,0.8422910999999998,0.045021,323,5
100.0,0.0416266,0.02949,273,1
200.0,0.08146979999999998,0.0380804,273,1
500.0,0.1703696,0.0526237,273,1
1000.0,0.2710008,0.0615224,273,1
2000.0,0.4216313,0.0646506,273,1
5000.0,0.6019135,0.0668999,273,1
10000.0,0.7600649,0.0610634,273,1
20000.0,0.8982907,0.0638983,273,1
50000.0,1.0846452,0.0639063,273,1
100000.0,1.2084101,0.0505431,273,1
1000000.0,1.431313,0.0444214,273,1
100.0,0.0109605,0.0153094,298,1
200.0,0.019545,0.0195292,298,1
500.0,0.05353,0.0335795,298,1
1000.0,0.0970101,0.0441081,298,1
2000.0,0.1731529,0.0553464,298,1
5000.0,0.3365432,0.07338079999999998,298,1
10000.0,0.4820675,0.0673864,298,1
20000.0,0.6068157,0.0560645,298,1
50000.0,0.8102848,0.0627922,298,1
100000.0,0.9549345,0.0723841,298,1
1000000.0,1.3500024,0.0383514,298,1
100.0,0.0032906,0.0067928,323,1
200.0,0.0067544,0.0101874,323,1
500.0,0.0158516,0.0144135,323,1
1000.0,0.0326685,0.0216755,323,1
2000.0,0.0650237,0.0315294,323,1
5000.0,0.1436047,0.0396307,323,1
10000.0,0.2328892,0.0496699,323,1
20000.0,0.3762248,0.0584977,323,1
50000.0,0.5746465,0.0520978,323,1
100000.0,0.7202441,0.0587666,323,1
1000000.0,1.1813367,0.0508166,323,1
100.0,0.0029802,0.0091969,273,6
200.0,0.0071075,0.0127486,273,6
500.0,0.0159869,0.0181619,273,6
1000.0,0.033404,0.0263821,273,6
2000.0,0.0637432,0.0367492,273,6
5000.0,0.1321342,0.05077,273,6
10000.0,0.2424174,0.0566547,273,6
20000.0,0.4116988,0.0709163,273,6
50000.0,0.6498075,0.0850019,273,6
100000.0,0.8295654,0.08483409999999998,273,6
1000000.0,1.2973463,0.0462162,273,6
100.0,0.0009749,0.0052932,298,6
200.0,0.0019206,0.0074801,298,6
500.0,0.0052686,0.0124018,298,6
1000.0,0.0101337,0.0151581,298,6
2000.0,0.0220115,0.0219959,298,6
5000.0,0.0506198,0.0330067,298,6
10000.0,0.08970409999999998,0.0422387,298,6
20000.0,0.178724,0.0539562,298,6
50000.0,0.3372955,0.0684858,298,6
100000.0,0.510734,0.08824139999999998,298,6
1000000.0,1.1492558,0.0547381,298,6
100.0,0.0004324,0.0035264,323,6
200.0,0.000829,0.0048837,323,6
500.0,0.0019119,0.007442299999999998,323,6
1000.0,0.0040806,0.0109393,323,6
2000.0,0.0078168,0.0132508,323,6
5000.0,0.0186343,0.0202548,323,6
10000.0,0.0393586,0.0278987,323,6
20000.0,0.07536049999999998,0.0384787,323,6
50000.0,0.1667401,0.0557224,323,6
100000.0,0.2853819,0.0651905,323,6
1000000.0,0.8951456,0.0760146,323,6
100.0,0.017639,0.0200096,273,2
200.0,0.0354035,0.0269398,273,2
500.0,0.081318,0.0397619,273,2
1000.0,0.1664336,0.0536113,273,2
2000.0,0.2761001,0.0644656,273,2
5000.0,0.5050878,0.0778458,273,2
10000.0,0.658229,0.07879719999999998,273,2
20000.0,0.8842851,0.0833121,273,2
50000.0,1.1243891,0.0655976,273,2
100000.0,1.2252668,0.0442573,273,2
1000000.0,1.3919302,0.0237478,273,2
100.0,0.0051428,0.0122511,298,2
