Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004922,0.0039469,273,5
200.0,0.0010695,0.0058487,273,5
500.0,0.002066,0.0081074,273,5
1000.0,0.0043954,0.011837,273,5
2000.0,0.0088734,0.0168715,273,5
5000.0,0.0216407,0.0264973,273,5
10000.0,0.043878,0.0367317,273,5
20000.0,0.0840873,0.0441655,273,5
50000.0,0.2038838,0.0680735,273,5
100000.0,0.3858438,0.0905094,273,5
100.0,0.0002158,0.0026081,298,5
200.0,0.0004541,0.0037688,298,5
500.0,0.0012123,0.0062141,298,5
1000.0,0.0021834,0.0083041,298,5
2000.0,0.004662,0.0120813,298,5
5000.0,0.0113646,0.0191277,298,5
10000.0,0.0225896,0.0266494,298,5
20000.0,0.0449539,0.0374567,298,5
50000.0,0.1066198,0.0517225,298,5
100000.0,0.2122716,0.0715231,298,5
100.0,0.0001079,0.0018474,323,5
200.0,0.000219,0.0026271,323,5
500.0,0.0006379,0.0044989,323,5
1000.0,0.0013742,0.0065981,323,5
2000.0,0.0025294,0.0089283,323,5
5000.0,0.0061822,0.0140089,323,5
10000.0,0.0127039,0.0199775,323,5
20000.0,0.0250872,0.028179,323,5
50000.0,0.0631828,0.0382821,323,5
100000.0,0.1234349,0.0564144,323,5
100.0,0.0002158,0.0026081,273,1
200.0,0.0004189,0.0036497,273,1
500.0,0.0010568,0.0057643,273,1
1000.0,0.0021549,0.008244599999999998,273,1
2000.0,0.0042177,0.0115841,273,1
5000.0,0.0107807,0.0185459,273,1
10000.0,0.0220374,0.0262279,273,1
20000.0,0.0419009,0.036419,273,1
50000.0,0.1029733,0.0515351,273,1
100000.0,0.1897899,0.0646577,273,1
100.0,0.0001238,0.001978,298,1
200.0,0.0002571,0.0028446,298,1
500.0,0.0006189,0.0044566,298,1
1000.0,0.0011584,0.0060188,298,1
2000.0,0.0021771,0.008366099999999998,298,1
5000.0,0.0057125,0.0133894,298,1
10000.0,0.0115862,0.0190537,298,1
20000.0,0.0224024,0.0265067,298,1
50000.0,0.0570167,0.0421601,298,1
100000.0,0.1115928,0.0541483,298,1
100.0,7.3e-05,0.0015202,323,1
200.0,0.000146,0.0021475,323,1
500.0,0.0003078,0.0031426,323,1
1000.0,0.0006887,0.0046673,323,1
2000.0,0.0014662,0.006885,323,1
5000.0,0.0035608,0.0106687,323,1
10000.0,0.0069755,0.014929,323,1
20000.0,0.0141732,0.02125,323,1
50000.0,0.0349951,0.0329435,323,1
100000.0,0.0664676,0.0397318,323,1
100.0,0.0004983,0.0039452,273,6
200.0,0.0008315,0.005089,273,6
500.0,0.0020438,0.008006799999999998,273,6
1000.0,0.0042114,0.0115342,273,6
2000.0,0.008651199999999998,0.0166512,273,6
5000.0,0.021006,0.0257274,273,6
10000.0,0.0418977,0.0363105,273,6
20000.0,0.0807138,0.0442937,273,6
50000.0,0.1975398,0.0661137,273,6
100000.0,0.3620331,0.0880283,273,6
100.0,0.0002444,0.0028101,298,6
200.0,0.0004316,0.0036758,298,6
500.0,0.0011584,0.0060355,298,6
1000.0,0.0022786,0.0083992,298,6
2000.0,0.004443,0.0119337,298,6
5000.0,0.0108791,0.0188472,298,6
10000.0,0.0216629,0.0262864,298,6
20000.0,0.0429069,0.0366531,298,6
50000.0,0.1058867,0.0504981,298,6
100000.0,0.2072923,0.0663464,298,6
100.0,0.0001396,0.0021005,323,6
200.0,0.0001968,0.0024911,323,6
500.0,0.0006033,0.004403,323,6
1000.0,0.0012028,0.0061916,323,6
2000.0,0.0024849,0.0087472,323,6
5000.0,0.0063345,0.0142055,323,6
10000.0,0.0121548,0.0196381,323,6
20000.0,0.0240621,0.0274608,323,6
50000.0,0.0615422,0.0433599,323,6
100000.0,0.1214722,0.0546472,323,6
100.0,0.0002698,0.0029134,273,2
200.0,0.0003937,0.0035414,273,2
500.0,0.0009933,0.0056165,273,2
1000.0,0.0019994,0.0079296,273,2
2000.0,0.0038623,0.011016,273,2
5000.0,0.0099873,0.0177171,273,2
10000.0,0.0196636,0.0247722,273,2
20000.0,0.040038,0.0356484,273,2
50000.0,0.0958359,0.0488455,273,2
100000.0,0.1843283,0.0656707,273,2
100.0,9.2e-05,0.0017066,298,2
200.0,0.0002063,0.0025503,298,2
500.0,0.0005242,0.0041189,298,2
1000.0,0.0011679,0.0060586,298,2
2000.0,0.0022152,0.0083802,298,2
5000.0,0.005649,0.013341,298,2
10000.0,0.0108886,0.0186077,298,2
20000.0,0.0219073,0.0259223,298,2
50000.0,0.0545571,0.0412785,298,2
100000.0,0.1064992,0.0518947,298,2
100.0,6.66e-05,0.0014528,323,2
200.0,0.0001079,0.0018474,323,2
500.0,0.0003301,0.0032196,323,2
1000.0,0.0006506,0.0045416,323,2
2000.0,0.0014376,0.0067058,323,2
5000.0,0.0033418,0.010166,323,2
10000.0,0.006709,0.0145885,323,2
20000.0,0.0135544,0.0203972,323,2
50000.0,0.0332592,0.0321755,323,2
100000.0,0.0669119,0.0447582,323,2
100.0,0.0003427,0.0032802,273,8
200.0,0.0007204,0.0047482,273,8
500.0,0.0018946,0.0077695,273,8
1000.0,0.0039892,0.0113142,273,8
2000.0,0.0080355,0.0160412,273,8
5000.0,0.0195969,0.0248148,273,8
10000.0,0.0395492,0.0353023,273,8
20000.0,0.0784923,0.0439233,273,8
50000.0,0.1841029,0.0630039,273,8
100000.0,0.3544096,0.0859998,273,8
100.0,0.0002126,0.002589,298,8
200.0,0.0004856,0.0039211,298,8
500.0,0.0010378,0.0057503,298,8
1000.0,0.0020121,0.0080023,298,8
2000.0,0.0040527,0.0113005,298,8
5000.0,0.0100539,0.0177675,298,8
10000.0,0.0209012,0.0257793,298,8
20000.0,0.0410662,0.0351819,298,8
50000.0,0.1013262,0.0514447,298,8
100000.0,0.191145,0.0682986,298,8
100.0,0.0001206,0.0019526,323,8
200.0,0.0002318,0.0027023,323,8
500.0,0.0005395,0.004127,323,8
1000.0,0.0012218,0.0061553,323,8
2000.0,0.0024322,0.0087931,323,8
5000.0,0.0059124,0.0136572,323,8
10000.0,0.0118053,0.0193115,323,8
20000.0,0.0235376,0.0272609,323,8
50000.0,0.0567818,0.0421235,323,8
100000.0,0.1130622,0.0586562,323,8
100.0,0.000219,0.0026271,273,4
200.0,0.0003808,0.0034846,273,4
500.0,0.0009711,0.0055391,273,4
1000.0,0.0018565,0.0076613,273,4
2000.0,0.0036845,0.0107162,273,4
5000.0,0.009384300000000002,0.0174016,273,4
10000.0,0.0192319,0.0246921,273,4
20000.0,0.03781,0.0338438,273,4
50000.0,0.09279250000000001,0.0474752,273,4
100000.0,0.1828995,0.0640408,273,4
100.0,9.52e-05,0.0017356,298,4
200.0,0.0001777,0.0023682,298,4
500.0,0.0005712,0.0042668,298,4
1000.0,0.0009711,0.0055391,298,4
2000.0,0.0022628,0.0084334,298,4
5000.0,0.0051856,0.0128089,298,4
10000.0,0.0107585,0.0185126,298,4
20000.0,0.02108,0.025795,298,4
50000.0,0.0525714,0.0408643,298,4
100000.0,0.101834,0.0501497,298,4
100.0,4.44e-05,0.0011866,323,4
200.0,0.0001301,0.0020279,323,4
500.0,0.0002507,0.0028096,323,4
1000.0,0.0005586,0.004173,323,4
2000.0,0.0012885,0.0063592,323,4
5000.0,0.0031387,0.0100116,323,4
10000.0,0.0067473,0.0145994,323,4
20000.0,0.0130149,0.020304,323,4
50000.0,0.0324277,0.0319497,323,4
100000.0,0.0638938,0.044813,323,4
100.0,0.0003554,0.0033398,273,7
200.0,0.0008251,0.0051098,273,7
500.0,0.0019898,0.008026699999999998,273,7
1000.0,0.0041425,0.0114297,273,7
2000.0,0.008647999999999998,0.0163999,273,7
5000.0,0.0209203,0.0258848,273,7
10000.0,0.0414978,0.0358065,273,7
20000.0,0.08102479999999998,0.0437291,273,7
50000.0,0.1968194,0.0668191,273,7
100000.0,0.3662498,0.08962729999999998,273,7
100.0,0.0001872,0.0024305,298,7
200.0,0.0003967,0.0035544,298,7
500.0,0.0011335,0.0059747,298,7
1000.0,0.0021644,0.008272599999999998,298,7
2000.0,0.0044081,0.0117726,298,7
5000.0,0.0111425,0.0190211,298,7
10000.0,0.0218152,0.02626,298,7
20000.0,0.0429355,0.0368513,298,7
50000.0,0.1042206,0.0515739,298,7
100000.0,0.197635,0.066849,298,7
100.0,0.0001238,0.001978,323,7
200.0,0.0002253,0.0026646,323,7
500.0,0.0005712,0.0042193,323,7
1000.0,0.0013876,0.006673,323,7
2000.0,0.0024691,0.008826199999999998,323,7
5000.0,0.0059822,0.0136194,323,7
10000.0,0.012212,0.0196334,323,7
20000.0,0.0251856,0.0283357,323,7
50000.0,0.0609519,0.0433505,323,7
100000.0,0.120263,0.0533785,323,7
100.0,0.0001745,0.0023471,273,3
200.0,0.0004094,0.0035812,273,3
500.0,0.001006,0.0056142,273,3
1000.0,0.0019359,0.0078817,273,3
2000.0,0.0039099,0.0112033,273,3
5000.0,0.0098127,0.0175266,273,3
10000.0,0.0204989,0.0254306,273,3
20000.0,0.0394096,0.0353785,273,3
50000.0,0.0963977,0.0476539,273,3
100000.0,0.1882698,0.0683732,273,3
100.0,9.52e-05,0.0017356,298,3
200.0,0.0002571,0.0028446,298,3
500.0,0.0005236,0.0041168,298,3
1000.0,0.001133,0.0059732,298,3
2000.0,0.0023294,0.0085045,298,3
5000.0,0.0056426,0.0135236,298,3
10000.0,0.0109838,0.0185571,298,3
20000.0,0.0216217,0.0260066,298,3
50000.0,0.0548935,0.0416918,298,3
100000.0,0.1059978,0.0518791,298,3
100.0,9.52e-05,0.0017356,323,3
200.0,0.0001492,0.0021706,323,3
500.0,0.000311,0.0031263,323,3
1000.0,0.0006855,0.0047001,323,3
2000.0,0.0013012,0.0064353,323,3
5000.0,0.0033069,0.0102021,323,3
10000.0,0.0066487,0.0143694,323,3
20000.0,0.0137099,0.0206009,323,3
50000.0,0.0327482,0.0316991,323,3
100000.0,0.0657408,0.0444346,323,3
