Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0222309,0.0277646,273,5
200.0,0.0464693,0.0420506,273,5
500.0,0.1225878,0.0632872,273,5
1000.0,0.2276816,0.0908439,273,5
2000.0,0.4434197,0.1000869,273,5
5000.0,0.8396938,0.1182175,273,5
10000.0,1.2265883,0.1577438,273,5
20000.0,1.6956544,0.0994842,273,5
50000.0,1.9516068,0.1193243,273,5
100000.0,2.0995704,0.0810653,273,5
1000000.0,2.2837277,0.0314696,273,5
100.0,0.005979,0.0146786,298,5
200.0,0.0121456,0.021386,298,5
500.0,0.0280703,0.0321366,298,5
1000.0,0.0559624,0.0409707,298,5
2000.0,0.106278,0.0558862,298,5
5000.0,0.2565558,0.0838919,298,5
10000.0,0.4605093,0.1044406,298,5
20000.0,0.7212098999999998,0.1417849,298,5
50000.0,1.1954857,0.1175925,298,5
100000.0,1.6146041,0.1462843,298,5
1000000.0,2.2190723,0.0588479,298,5
100.0,0.0014859,0.005996,323,5
200.0,0.0032189,0.008833799999999998,323,5
500.0,0.0081805,0.0141717,323,5
1000.0,0.0186557,0.0218672,323,5
2000.0,0.0290507,0.0261455,323,5
5000.0,0.0766705,0.041454,323,5
10000.0,0.1499648,0.0618662,323,5
20000.0,0.3002923,0.07829619999999998,323,5
50000.0,0.5942664,0.1074301,323,5
100000.0,0.9675881,0.0924793,323,5
1000000.0,2.0010333,0.0705469,323,5
100.0,0.1445589,0.0691042,273,1
200.0,0.3023463,0.0995214,273,1
500.0,0.6063469,0.1400829,273,1
1000.0,0.8817064999999998,0.1182539,273,1
2000.0,1.3539987,0.146621,273,1
5000.0,1.8054889,0.1014907,273,1
10000.0,2.0186069,0.08984939999999998,273,1
20000.0,2.1354604,0.0741456,273,1
50000.0,2.2630769,0.043616,273,1
100000.0,2.2776199,0.0412477,273,1
1000000.0,2.4531111,0.0443577,273,1
100.0,0.0300295,0.0327947,298,1
200.0,0.0587497,0.0458037,298,1
500.0,0.1422576,0.0684382,298,1
1000.0,0.2540237,0.0918428,298,1
2000.0,0.495919,0.1127846,298,1
5000.0,0.8869525999999999,0.1565255,298,1
10000.0,1.3863153,0.1608422,298,1
20000.0,1.7244254,0.1094733,298,1
50000.0,2.0229367,0.0945916,298,1
100000.0,2.1609716,0.0613894,298,1
1000000.0,2.319035,0.0368317,298,1
100.0,0.0100227,0.0152405,323,1
