Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.016384,0.0261271,273,5
200.0,0.0326794,0.0371551,273,5
500.0,0.08143939999999998,0.0523491,273,5
1000.0,0.1578417,0.0696683,273,5
2000.0,0.3100564,0.09632810000000001,273,5
5000.0,0.7421561,0.1458594,273,5
10000.0,1.3743072,0.2007692,273,5
20000.0,2.459001,0.2553869,273,5
50000.0,5.0226084,0.3089089,273,5
100000.0,7.2849176,0.3036846,273,5
1000000.0,11.5304161,0.2026933,273,5
100.0,0.0065291,0.0166538,298,5
200.0,0.013189,0.0237392,298,5
500.0,0.0327174,0.0369802,298,5
1000.0,0.0651186,0.0526662,298,5
2000.0,0.127704,0.064728,298,5
5000.0,0.311793,0.0988911,298,5
10000.0,0.6062364,0.1319208,298,5
20000.0,1.117836,0.1692956,298,5
50000.0,2.501364,0.2490404,298,5
100000.0,4.1989455,0.3061714,298,5
1000000.0,9.84752,0.2237992,298,5
100.0,0.0030349,0.0113115,323,5
200.0,0.0059336,0.0158704,323,5
500.0,0.0153091,0.0250889,323,5
1000.0,0.030104,0.0354397,323,5
2000.0,0.0596984,0.0502352,323,5
5000.0,0.1468868,0.0694524,323,5
10000.0,0.294604,0.0939603,323,5
20000.0,0.5776249,0.1325481,323,5
50000.0,1.2983262,0.1930983,323,5
100000.0,2.3542458,0.244882,323,5
1000000.0,8.111544399999998,0.2447581,323,5
100.0,0.0264032,0.0333769,273,1
200.0,0.0496282,0.046107,273,1
500.0,0.12649,0.0609853,273,1
1000.0,0.2536384,0.0873433,273,1
2000.0,0.4889356,0.1174841,273,1
5000.0,1.1197855,0.1761332,273,1
10000.0,2.0512037,0.2333802,273,1
20000.0,3.6077799,0.2919028,273,1
50000.0,6.7372854,0.3063916,273,1
100000.0,8.901585499999998,0.2659764,273,1
1000000.0,12.631334,0.1875443,273,1
100.0,0.0097452,0.0206214,298,1
200.0,0.0195832,0.0287845,298,1
500.0,0.0499106,0.0453156,298,1
1000.0,0.0975662,0.056622,298,1
2000.0,0.1937668,0.0777563,298,1
5000.0,0.4755292,0.1200797,298,1
10000.0,0.8940171999999998,0.1574233,298,1
20000.0,1.6543689,0.222439,298,1
50000.0,3.522464,0.2905201,298,1
100000.0,5.6426158,0.3133815,298,1
1000000.0,10.9679476,0.212739,298,1
100.0,0.0046829,0.0140531,323,1
200.0,0.009016,0.0194235,323,1
500.0,0.0219437,0.0302892,323,1
1000.0,0.0446797,0.0434827,323,1
2000.0,0.08696529999999998,0.0591914,323,1
5000.0,0.2187453,0.08269089999999998,323,1
10000.0,0.4314512,0.114143,323,1
20000.0,0.8044734,0.153201,323,1
50000.0,1.8342749,0.2215893,323,1
100000.0,3.2259005,0.2801583,323,1
1000000.0,9.2201726,0.2360457,323,1
100.0,0.0110266,0.0215903,273,6
200.0,0.0210458,0.0295115,273,6
500.0,0.0540583,0.0483888,273,6
1000.0,0.105166,0.057609,273,6
2000.0,0.2118242,0.080221,273,6
5000.0,0.5160975,0.1272823,273,6
10000.0,0.9577266,0.1607116,273,6
20000.0,1.7739855,0.2228138,273,6
50000.0,3.9531753,0.3053931,273,6
100000.0,6.2636165,0.3226148,273,6
1000000.0,11.06227,0.176845,273,6
100.0,0.0046239,0.0139458,298,6
200.0,0.0096146,0.0203667,298,6
500.0,0.0233852,0.0310487,298,6
1000.0,0.0466608,0.0446111,298,6
2000.0,0.0918464,0.0613457,298,6
5000.0,0.2286676,0.08863659999999998,298,6
10000.0,0.4401251,0.1222183,298,6
20000.0,0.8441534,0.151486,298,6
50000.0,1.935677,0.2445148,298,6
100000.0,3.4472406,0.2887881,298,6
1000000.0,9.384866,0.2248459,298,6
100.0,0.0022972,0.0098609,323,6
200.0,0.0047841,0.0141577,323,6
500.0,0.0111742,0.0214274,323,6
1000.0,0.0232714,0.0314436,323,6
2000.0,0.0465703,0.0440824,323,6
5000.0,0.1136214,0.0692035,323,6
10000.0,0.2190024,0.08573659999999998,323,6
20000.0,0.4432424,0.1179089,323,6
50000.0,1.0182244,0.1775869,323,6
100000.0,1.9052922,0.234563,323,6
1000000.0,7.6430558,0.2571378,323,6
100.0,0.0170626,0.026882,273,2
200.0,0.0341294,0.0377169,273,2
500.0,0.0840738,0.0594634,273,2
1000.0,0.1694416,0.07495549999999998,273,2
2000.0,0.3335259,0.1027933,273,2
5000.0,0.7658481999999999,0.1499631,273,2
10000.0,1.4641641,0.2055438,273,2
20000.0,2.7256258,0.2630253,273,2
50000.0,5.6330841,0.3567139,273,2
100000.0,8.0447409,0.2908311,273,2
1000000.0,12.0180265,0.1822819,273,2
100.0,0.0071445,0.0174185,298,2
200.0,0.0137959,0.0241687,298,2
500.0,0.0352169,0.0383465,298,2
1000.0,0.0689003,0.0535757,298,2
2000.0,0.1402312,0.0656955,298,2
5000.0,0.3480384,0.1032912,298,2
10000.0,0.6608447,0.1401641,298,2
20000.0,1.2341449,0.19451,298,2
50000.0,2.7459382,0.2642506,298,2
100000.0,4.7300963,0.3090101,298,2
1000000.0,10.3982377,0.2115334,298,2
100.0,0.0034395,0.0119623,323,2
200.0,0.0067568,0.0170074,323,2
500.0,0.0172354,0.0267284,323,2
1000.0,0.0339229,0.0382225,323,2
2000.0,0.0683979,0.0536581,323,2
5000.0,0.1662255,0.0732334,323,2
10000.0,0.3316966,0.1016295,323,2
20000.0,0.6392148,0.1349746,323,2
50000.0,1.4369445,0.2092726,323,2
100000.0,2.6573985,0.2686681,323,2
1000000.0,8.7687137,0.2457505,323,2
100.0,0.0097157,0.0199747,273,8
200.0,0.0195073,0.0285761,273,8
500.0,0.0496156,0.046161,273,8
1000.0,0.1004325,0.0646411,273,8
2000.0,0.1929828,0.08227329999999998,273,8
5000.0,0.4804169,0.1222716,273,8
10000.0,0.9180041,0.1632676,273,8
20000.0,1.7059998,0.2272292,273,8
50000.0,3.8544341,0.3124577,273,8
100000.0,6.2303774,0.3250388,273,8
1000000.0,11.062068,0.1946576,273,8
100.0,0.0042446,0.0134063,298,8
200.0,0.0085608,0.0190683,298,8
500.0,0.0221881,0.0305615,298,8
1000.0,0.0437145,0.0428638,298,8
2000.0,0.0883816,0.0600678,298,8
5000.0,0.2168389,0.08577419999999998,298,8
10000.0,0.4213764,0.1177925,298,8
20000.0,0.8016816,0.1541475,298,8
50000.0,1.8920075,0.2289456,298,8
100000.0,3.4210572,0.3046954,298,8
1000000.0,9.4582465,0.2476865,298,8
100.0,0.0023309,0.0099069,323,8
200.0,0.0045228,0.0139025,323,8
500.0,0.0107695,0.0213109,323,8
1000.0,0.02268,0.0310115,323,8
2000.0,0.0436681,0.0425431,323,8
5000.0,0.1080828,0.067479,323,8
10000.0,0.219053,0.0953103,323,8
20000.0,0.425385,0.1327228,323,8
50000.0,0.9963508,0.196753,323,8
100000.0,1.8419944,0.2525982,323,8
1000000.0,7.6798297,0.3299032,323,8
100.0,0.0168097,0.0265435,273,4
200.0,0.0326036,0.0366589,273,4
500.0,0.0772454,0.0568422,273,4
1000.0,0.1587943,0.07277069999999998,273,4
2000.0,0.3153168,0.10259,273,4
5000.0,0.7329036,0.1426733,273,4
10000.0,1.4029549,0.2088433,273,4
20000.0,2.6782674,0.2717979,273,4
50000.0,5.6136611,0.3592207,273,4
100000.0,8.0957744,0.2934763,273,4
1000000.0,12.0002617,0.1622196,273,4
100.0,0.006761,0.0169377,298,4
200.0,0.0131552,0.023653,298,4
500.0,0.0325909,0.0370869,298,4
1000.0,0.067576,0.0526048,298,4
2000.0,0.1356283,0.0644652,298,4
5000.0,0.3319722,0.1024428,298,4
10000.0,0.641146,0.1440701,298,4
20000.0,1.1845678,0.1843779,298,4
50000.0,2.7325057,0.27836,298,4
100000.0,4.7534427,0.3326907,298,4
1000000.0,10.5186453,0.2016517,298,4
100.0,0.0030475,0.0113002,323,4
200.0,0.0063732,0.0164517,323,4
500.0,0.0161521,0.0263352,323,4
1000.0,0.0325235,0.0372273,323,4
2000.0,0.0645355,0.0525091,323,4
5000.0,0.1621674,0.0832778,323,4
10000.0,0.3136603,0.112781,323,4
20000.0,0.6164246,0.1592167,323,4
50000.0,1.4347266,0.2303415,323,4
100000.0,2.6360619,0.3083252,323,4
1000000.0,8.8068147,0.2935598,323,4
100.0,0.0275244,0.0336729,273,7
200.0,0.0554956,0.0430714,273,7
500.0,0.1401806,0.0664026,273,7
1000.0,0.2611532,0.0863733,273,7
2000.0,0.5137316,0.1169152,273,7
