Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2874887,0.08125989999999998,273,5
200.0,0.5502372,0.118442,273,5
500.0,1.1819043,0.1584139,273,5
1000.0,2.0031057,0.1853489,273,5
2000.0,2.9841433,0.1989612,273,5
5000.0,4.2860915,0.2000421,273,5
10000.0,5.2624012,0.1823098,273,5
20000.0,6.0422968,0.1662805,273,5
50000.0,6.7699201,0.1317313,273,5
100000.0,7.3088941,0.1170534,273,5
1000000.0,8.3357457,0.1022112,273,5
100.0,0.077836,0.0440172,298,5
200.0,0.1560844,0.0632839,298,5
500.0,0.3676298,0.0979328,298,5
1000.0,0.708752,0.1179035,298,5
2000.0,1.2665185,0.1683165,298,5
5000.0,2.3908794,0.2070368,298,5
10000.0,3.3776704,0.2056135,298,5
20000.0,4.451335,0.1955688,298,5
50000.0,5.5889652,0.1742017,298,5
100000.0,6.3013292,0.1510299,298,5
1000000.0,7.7863466,0.1088223,298,5
100.0,0.025365,0.0272633,323,5
200.0,0.0560957,0.0401551,323,5
500.0,0.1222263,0.055064,323,5
1000.0,0.2478203,0.07665279999999998,323,5
2000.0,0.4747014,0.1066035,323,5
5000.0,1.0913634,0.15339,323,5
10000.0,1.772218,0.175254,323,5
20000.0,2.7736428,0.2019945,323,5
50000.0,4.1662417,0.2095602,323,5
100000.0,5.1030968,0.1824559,323,5
1000000.0,7.1921857,0.1262039,323,5
100.0,1.365792,0.163455,273,1
200.0,2.0400391,0.1448638,273,1
500.0,2.872204,0.1652299,273,1
1000.0,3.5774173,0.1762595,273,1
2000.0,4.3519311,0.1794276,273,1
5000.0,5.4445794,0.174676,273,1
10000.0,6.286577,0.1620994,273,1
20000.0,7.1377897,0.1663125,273,1
50000.0,8.363836199999998,0.1385407,273,1
100000.0,8.922056299999998,0.1415343,273,1
1000000.0,10.0154539,0.059517,273,1
100.0,0.4583304,0.1025622,298,1
200.0,0.7409029999999999,0.1331906,298,1
500.0,1.4709028,0.151856,298,1
1000.0,2.1544888,0.1574306,298,1
2000.0,2.8121793,0.1685482,298,1
5000.0,3.8570878,0.1813499,298,1
10000.0,4.6603205,0.1857708,298,1
20000.0,5.503667,0.1786652,298,1
50000.0,6.5635008,0.1797646,298,1
100000.0,7.4186652,0.1778765,298,1
1000000.0,9.3959596,0.1323406,298,1
100.0,0.12648,0.0540725,323,1
200.0,0.2436483,0.07552349999999998,323,1
500.0,0.5839184,0.1138456,323,1
1000.0,0.9341733,0.1377671,323,1
2000.0,1.5297642,0.170778,323,1
5000.0,2.4846946,0.1831213,323,1
10000.0,3.2957876,0.1838472,323,1
20000.0,4.1000367,0.180509,323,1
50000.0,5.22589,0.1846196,323,1
100000.0,6.0454756,0.1904849,323,1
1000000.0,8.4042205,0.1394664,323,1
100.0,0.1687561,0.0685355,273,6
200.0,0.3375892,0.0935546,273,6
500.0,0.775638,0.137787,273,6
1000.0,1.3702988,0.1830839,273,6
2000.0,2.3421547,0.2000626,273,6
5000.0,3.79381,0.2112604,273,6
10000.0,4.7167263,0.1847654,273,6
20000.0,5.4552641,0.1767619,273,6
50000.0,6.3247219,0.1412412,273,6
100000.0,6.8668985,0.1287628,273,6
1000000.0,8.2031463,0.0990962,273,6
100.0,0.0475058,0.0359189,298,6
200.0,0.0958048,0.0516967,298,6
500.0,0.2431645,0.08236359999999998,298,6
1000.0,0.4683246,0.1142954,298,6
2000.0,0.8655463,0.1413513,298,6
5000.0,1.8043428,0.1870522,298,6
10000.0,2.8224177,0.2035849,298,6
20000.0,3.8774891,0.2046225,298,6
50000.0,5.086657,0.1782225,298,6
100000.0,5.765615,0.1571524,298,6
1000000.0,7.4876388,0.1205146,298,6
100.0,0.017259,0.0263238,323,6
200.0,0.035553,0.0315431,323,6
500.0,0.08498229999999998,0.0494427,323,6
1000.0,0.1730928,0.0692055,323,6
2000.0,0.321393,0.095462,323,6
5000.0,0.7927541,0.1340089,323,6
10000.0,1.3681869,0.177833,323,6
20000.0,2.2564057,0.2050372,323,6
50000.0,3.6352552,0.1917893,323,6
100000.0,4.5780269,0.1882789,323,6
1000000.0,6.809689,0.1403522,323,6
100.0,1.4303945,0.1738041,273,2
200.0,2.1357885,0.1428425,273,2
500.0,3.0976354,0.1654016,273,2
1000.0,3.8313489,0.1771346,273,2
2000.0,4.6081444,0.1556402,273,2
5000.0,5.647871,0.1873719,273,2
10000.0,6.5671523,0.1906294,273,2
20000.0,7.30258,0.1925495,273,2
50000.0,8.6339391,0.1594493,273,2
100000.0,9.0868232,0.1469287,273,2
1000000.0,9.9922437,0.0669692,273,2
100.0,0.4493887,0.1012804,298,2
200.0,0.8265217999999999,0.1213831,298,2
500.0,1.4998095,0.1670572,298,2
1000.0,2.2138597,0.1653629,298,2
2000.0,2.9888591,0.1688638,298,2
5000.0,4.038885,0.17579,298,2
10000.0,4.7858662,0.183308,298,2
20000.0,5.5849514,0.1882026,298,2
50000.0,6.7740055,0.1926426,298,2
100000.0,7.696511499999999,0.153084,298,2
1000000.0,9.4691929,0.1285775,298,2
100.0,0.1254013,0.0621761,323,2
200.0,0.2421455,0.0853472,323,2
500.0,0.5380702,0.1160716,323,2
1000.0,0.9942277,0.1437145,323,2
2000.0,1.5826551,0.1929206,323,2
5000.0,2.5944435,0.1691378,323,2
10000.0,3.4179665,0.1829009,323,2
20000.0,4.2446491,0.1758721,323,2
