Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000543,0.0058647,273,5
200.0,0.0014118,0.009478,273,5
500.0,0.0032261,0.0145045,273,5
1000.0,0.0062734,0.020258,273,5
2000.0,0.0123679,0.0283488,273,5
5000.0,0.0323891,0.0454856,273,5
10000.0,0.0634172,0.0635681,273,5
20000.0,0.1287003,0.09029980000000001,273,5
50000.0,0.3158286,0.1236121,273,5
100000.0,0.6163315,0.1714578,273,5
100.0,0.0004152,0.0051337,298,5
200.0,0.000856,0.0073454,298,5
500.0,0.0024787,0.0126636,298,5
1000.0,0.0042994,0.0166798,298,5
2000.0,0.0085924,0.0234906,298,5
5000.0,0.0211455,0.0369776,298,5
10000.0,0.0419333,0.051629,298,5
20000.0,0.08264649999999998,0.0723,298,5
50000.0,0.2077534,0.1150614,298,5
100000.0,0.4098911,0.1458927,298,5
100.0,0.0003194,0.0036745,323,5
200.0,0.0006431,0.0052632,323,5
500.0,0.0014182,0.007759099999999999,323,5
1000.0,0.0028109,0.0110604,323,5
2000.0,0.0060391,0.0162115,323,5
5000.0,0.014821,0.0252571,323,5
10000.0,0.0287903,0.0349653,323,5
20000.0,0.0591436,0.05045,323,5
50000.0,0.1468847,0.0781028,323,5
100000.0,0.2925323,0.0995832,323,5
100.0,0.0006899,0.0066031,273,1
200.0,0.001431,0.0094966,273,1
500.0,0.0035711,0.0149514,273,1
1000.0,0.0067972,0.0208656,273,1
2000.0,0.0140033,0.0296183,273,1
5000.0,0.0343248,0.0466574,273,1
10000.0,0.068937,0.0664589,273,1
20000.0,0.1338812,0.09226160000000001,273,1
50000.0,0.3411266,0.1306815,273,1
100000.0,0.6600195,0.179866,273,1
100.0,0.000428,0.0052893,298,1
200.0,0.0008113,0.0071535,298,1
500.0,0.0024084,0.0123014,298,1
1000.0,0.0045549,0.0169523,298,1
2000.0,0.0091993,0.0242307,298,1
5000.0,0.0224679,0.0386276,298,1
10000.0,0.0449486,0.0535766,298,1
20000.0,0.0880766,0.0751357,298,1
50000.0,0.2226185,0.1191973,298,1
100000.0,0.4355149,0.1480502,298,1
100.0,0.0003066,0.0036008,323,1
200.0,0.0006644,0.0052777,323,1
500.0,0.0015851,0.008196,323,1
1000.0,0.0030281,0.0112233,323,1
2000.0,0.0063532,0.016491,323,1
5000.0,0.0155408,0.0259811,323,1
10000.0,0.0311455,0.0363059,323,1
20000.0,0.061717,0.0512986,323,1
50000.0,0.153155,0.07979039999999998,323,1
100000.0,0.3053176,0.1003843,323,1
100.0,0.0005494,0.0059676,273,6
200.0,0.0011691,0.0086574,273,6
500.0,0.0032645,0.0143829,273,6
1000.0,0.0065545,0.0204302,273,6
2000.0,0.0128215,0.0285568,273,6
5000.0,0.0320538,0.0450968,273,6
10000.0,0.0632002,0.0632606,273,6
20000.0,0.1273587,0.08990059999999998,273,6
50000.0,0.3140654,0.123378,273,6
100000.0,0.6139551,0.1736624,273,6
100.0,0.000428,0.0052116,298,6
200.0,0.0008369,0.007319799999999999,298,6
