Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1218329,0.0608118,273,5
200.0,0.2337202,0.0830679,273,5
500.0,0.5023159,0.1137323,273,5
1000.0,0.8472324,0.1230064,273,5
2000.0,1.2191119,0.1290553,273,5
5000.0,1.6403899,0.1125592,273,5
10000.0,1.8833815,0.08471149999999998,273,5
20000.0,2.0355389,0.0705594,273,5
50000.0,2.1334443,0.0563272,273,5
100000.0,2.2223163,0.0663475,273,5
1000000.0,2.6876904,0.0973988,273,5
100.0,0.0312343,0.0321364,298,5
200.0,0.06552,0.0440799,298,5
500.0,0.1529788,0.0631024,298,5
1000.0,0.2848679,0.08811539999999998,298,5
2000.0,0.5041981,0.1068664,298,5
5000.0,0.9433138,0.1183134,298,5
10000.0,1.3622866,0.1253569,298,5
20000.0,1.6321545,0.1113961,298,5
50000.0,1.9320814,0.0885764,298,5
100000.0,2.0453126,0.0737373,298,5
1000000.0,2.3693344,0.0733551,298,5
100.0,0.0103333,0.0172574,323,5
200.0,0.0205959,0.0213056,323,5
500.0,0.0503399,0.0333865,323,5
1000.0,0.1024369,0.04439,323,5
2000.0,0.1910882,0.05906,323,5
5000.0,0.4193558,0.0833663,323,5
10000.0,0.7312491,0.0947002,323,5
20000.0,1.1024837,0.0985912,323,5
50000.0,1.5626876,0.0978145,323,5
100000.0,1.8289735,0.0846412,323,5
1000000.0,2.236831,0.0601117,323,5
100.0,0.1200375,0.0606952,273,1
200.0,0.2270603,0.0795444,273,1
500.0,0.5273025,0.1144016,273,1
1000.0,0.8475414999999998,0.1112235,273,1
2000.0,1.2449997,0.1320066,273,1
5000.0,1.6712983,0.1107757,273,1
10000.0,1.9031981,0.0788847,273,1
20000.0,2.023531,0.06797,273,1
50000.0,2.1486355,0.0549803,273,1
100000.0,2.2288657,0.0656569,273,1
1000000.0,2.702695,0.1028063,273,1
100.0,0.0333349,0.0327042,298,1
200.0,0.0655819,0.0456694,298,1
500.0,0.1587673,0.0684003,298,1
1000.0,0.2882155,0.0892709,298,1
2000.0,0.5252745,0.1163057,298,1
5000.0,0.9974412,0.1367132,298,1
10000.0,1.3422881,0.1313855,298,1
20000.0,1.6940524,0.1032374,298,1
50000.0,1.9550357,0.08225839999999998,298,1
100000.0,2.0661387,0.0650637,298,1
1000000.0,2.4040408,0.09176790000000001,298,1
100.0,0.0099235,0.017107,323,1
200.0,0.0207315,0.0217847,323,1
500.0,0.0524036,0.0334322,323,1
1000.0,0.09764610000000001,0.0428639,323,1
2000.0,0.2000064,0.0611832,323,1
5000.0,0.4375508,0.0843855,323,1
10000.0,0.7222193,0.1030916,323,1
20000.0,1.1157801,0.1082367,323,1
50000.0,1.5936255,0.0903144,323,1
100000.0,1.8472489,0.0817224,323,1
1000000.0,2.2330963,0.053155,323,1
100.0,0.0600055,0.0424459,273,6
200.0,0.1201038,0.0595837,273,6
500.0,0.2788117,0.08990579999999998,273,6
1000.0,0.4775495,0.1149145,273,6
2000.0,0.8024591,0.1236294,273,6
5000.0,1.2603405,0.1321694,273,6
10000.0,1.6023815,0.1132171,273,6
20000.0,1.8722653,0.0907335,273,6
50000.0,2.1372264,0.08635429999999998,273,6
100000.0,2.3630101,0.08357839999999998,273,6
1000000.0,2.9566174,0.0750712,273,6
100.0,0.0167869,0.0270988,298,6
200.0,0.0345997,0.033494,298,6
500.0,0.08232449999999998,0.0507995,298,6
1000.0,0.1608283,0.0672975,298,6
2000.0,0.2991916,0.0890909,298,6
5000.0,0.627176,0.1139914,298,6
10000.0,0.9643556,0.1346776,298,6
20000.0,1.3028131,0.1261158,298,6
50000.0,1.7381892,0.1101146,298,6
100000.0,1.9869274,0.1022424,298,6
1000000.0,2.5960392,0.1130328,298,6
100.0,0.0057622,0.0158291,323,6
200.0,0.0118826,0.0228464,323,6
500.0,0.0291117,0.0303236,323,6
1000.0,0.0577722,0.0441432,323,6
2000.0,0.1141117,0.0578256,323,6
5000.0,0.2645388,0.08423219999999998,323,6
10000.0,0.4650291,0.1024349,323,6
20000.0,0.7580736,0.1197332,323,6
50000.0,1.2303797,0.1369737,323,6
100000.0,1.5620113,0.1158886,323,6
1000000.0,2.2705954,0.0781288,323,6
100.0,0.3410999,0.0929227,273,2
200.0,0.6228249,0.1596563,273,2
500.0,1.0948386,0.1122124,273,2
1000.0,1.4365865,0.1249531,273,2
2000.0,1.7010272,0.131861,273,2
5000.0,1.9420457,0.07496659999999998,273,2
10000.0,2.0401595,0.059712,273,2
20000.0,2.1046352,0.0436384,273,2
50000.0,2.1619148,0.0481565,273,2
100000.0,2.3330494,0.0557344,273,2
1000000.0,2.7069675,0.104122,273,2
100.0,0.0836822,0.0493934,298,2
200.0,0.1753634,0.0768181,298,2
500.0,0.3799098,0.0964722,298,2
1000.0,0.6347108,0.1011751,298,2
2000.0,0.9791688,0.1091974,298,2
5000.0,1.4448676,0.1224345,298,2
10000.0,1.7117911,0.0940734,298,2
20000.0,1.9439093,0.07341599999999998,298,2
50000.0,2.0745116,0.0618298,298,2
100000.0,2.1290775,0.0529608,298,2
1000000.0,2.3964542,0.0707702,298,2
100.0,0.0239244,0.0274987,323,2
200.0,0.0497901,0.0412219,323,2
500.0,0.1149342,0.0572757,323,2
1000.0,0.2125244,0.0734022,323,2
2000.0,0.4239299,0.1028647,323,2
5000.0,0.7601002999999998,0.1134526,323,2
10000.0,1.1739796,0.1150694,323,2
20000.0,1.5113826,0.1237861,323,2
50000.0,1.8240885,0.0858228,323,2
100000.0,1.9657088,0.0674909,323,2
1000000.0,2.2577849,0.058807,323,2
100.0,0.0456103,0.031721,273,8
200.0,0.0912368,0.0447214,273,8
500.0,0.2163492,0.0660071,273,8
1000.0,0.4046002,0.0905583,273,8
2000.0,0.6852131,0.1086438,273,8
5000.0,1.17963,0.1113743,273,8
10000.0,1.5429517,0.1063491,273,8
20000.0,1.8281223,0.0821931,273,8
50000.0,2.0705168,0.0618684,273,8
100000.0,2.183122,0.051884,273,8
1000000.0,2.7026229,0.0545442,273,8
100.0,0.0138976,0.0199035,298,8
200.0,0.0281992,0.0284801,298,8
500.0,0.0707323,0.0397066,298,8
1000.0,0.1374287,0.0542936,298,8
2000.0,0.2623557,0.0723193,298,8
5000.0,0.5429562,0.0903864,298,8
10000.0,0.8918988,0.1077159,298,8
20000.0,1.2552985,0.1113143,298,8
50000.0,1.7066119,0.08854239999999998,298,8
100000.0,1.9326579,0.07262459999999998,298,8
1000000.0,2.425635,0.0715501,298,8
100.0,0.005401,0.0124186,323,8
200.0,0.0101741,0.0175064,323,8
500.0,0.0261473,0.0278708,323,8
1000.0,0.0500185,0.0376044,323,8
2000.0,0.1015613,0.0540774,323,8
5000.0,0.2315202,0.0771391,323,8
10000.0,0.4180085,0.1002987,323,8
20000.0,0.703964,0.1178042,323,8
50000.0,1.2090248,0.122674,323,8
100000.0,1.5573832,0.1135942,323,8
1000000.0,2.1715154,0.0719314,323,8
100.0,0.0192161,0.0237241,273,4
200.0,0.0378485,0.0336021,273,4
500.0,0.0934627,0.0449882,273,4
1000.0,0.1799324,0.0626785,273,4
2000.0,0.3419517,0.0832496,273,4
5000.0,0.6762798,0.1061294,273,4
10000.0,1.0580323,0.1163206,273,4
20000.0,1.4433708,0.1058002,273,4
50000.0,1.8401418,0.08024599999999998,273,4
100000.0,2.0113127,0.0700671,273,4
1000000.0,2.6134282,0.0725901,273,4
100.0,0.006312,0.0135763,298,4
200.0,0.0126535,0.0192239,298,4
500.0,0.0323443,0.0307808,298,4
1000.0,0.0616844,0.0369255,298,4
2000.0,0.1259308,0.0531662,298,4
5000.0,0.2883299,0.0744004,298,4
10000.0,0.4987546,0.0897392,298,4
20000.0,0.8158212,0.11197,298,4
50000.0,1.3379769,0.1073831,298,4
100000.0,1.6517411,0.0921794,298,4
1000000.0,2.2715069,0.0600034,298,4
100.0,0.0025796,0.0087379,323,4
200.0,0.0049436,0.0121835,323,4
500.0,0.0131193,0.0198115,323,4
1000.0,0.0255016,0.0272633,323,4
2000.0,0.0508293,0.0381646,323,4
5000.0,0.1222869,0.057472,323,4
10000.0,0.2347712,0.0784852,323,4
20000.0,0.4247008,0.1025847,323,4
50000.0,0.8108381999999998,0.1229373,323,4
100000.0,1.2108193,0.1256134,323,4
1000000.0,2.0592274,0.0848831,323,4
100.0,0.6044568,0.1017595,273,7
200.0,0.9796428,0.1103403,273,7
500.0,1.4817017,0.1100681,273,7
1000.0,1.7872355,0.08579599999999998,273,7
2000.0,1.9859664,0.07870059999999998,273,7
5000.0,2.1899813,0.0590591,273,7
10000.0,2.3713038,0.0729756,273,7
20000.0,2.588246,0.09783770000000001,273,7
50000.0,2.94234,0.0938977,273,7
100000.0,3.1842922,0.0670261,273,7
1000000.0,3.8158726,0.0675502,273,7
100.0,0.1678093,0.0589887,298,7
200.0,0.3214047,0.07831169999999998,298,7
500.0,0.6606373,0.1030095,298,7
1000.0,1.0371516,0.1132892,298,7
2000.0,1.4322418,0.1128769,298,7
5000.0,1.8313772,0.0855347,298,7
10000.0,2.0095223,0.0707334,298,7
20000.0,2.1634653,0.0591848,298,7
50000.0,2.3888052,0.07596909999999998,298,7
100000.0,2.6472579,0.1028767,298,7
1000000.0,3.5582461,0.0617686,298,7
100.0,0.0508263,0.0345426,323,7
200.0,0.0986566,0.0449887,323,7
500.0,0.2257881,0.0719582,323,7
1000.0,0.4222002,0.0924885,323,7
2000.0,0.6857175,0.1035627,323,7
5000.0,1.2142124,0.1128765,323,7
10000.0,1.5751653,0.0952269,323,7
20000.0,1.8480259,0.08533449999999998,323,7
50000.0,2.0972961,0.0630253,323,7
100000.0,2.233709,0.0609392,323,7
1000000.0,3.0492995,0.0887695,323,7
100.0,0.2828732,0.0704543,273,3
200.0,0.4812853,0.0884719,273,3
500.0,0.9129974,0.1132185,273,3
1000.0,1.3577497,0.1112208,273,3
2000.0,1.6879919,0.09444010000000001,273,3
5000.0,2.0247246,0.0791901,273,3
10000.0,2.2014831,0.0709693,273,3
20000.0,2.4165553,0.0971771,273,3
50000.0,2.7314153,0.095669,273,3
100000.0,3.0394128,0.102997,273,3
1000000.0,3.7886452,0.0667371,273,3
100.0,0.0712544,0.0389328,298,3
200.0,0.137355,0.0525989,298,3
500.0,0.3227753,0.07536769999999998,298,3
