Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.018064,0.0193057,273,5
200.0,0.033017,0.0265467,273,5
500.0,0.0794816,0.0387016,273,5
1000.0,0.1683461,0.0541133,273,5
2000.0,0.3245763,0.0794567,273,5
5000.0,0.7536733,0.1115738,273,5
10000.0,1.3429139,0.1549188,273,5
20000.0,2.4342855,0.220959,273,5
50000.0,5.1511268,0.3137788,273,5
100000.0,8.1305455,0.3237912,273,5
1000000.0,13.8761276,0.2027765,273,5
100.0,0.0059826,0.0138879,298,5
200.0,0.0126764,0.0169191,298,5
500.0,0.0311459,0.0253707,298,5
1000.0,0.0609092,0.0367023,298,5
2000.0,0.1174577,0.0490655,298,5
5000.0,0.2936249,0.0769764,298,5
10000.0,0.5546603,0.1053362,298,5
20000.0,1.0686017,0.1457594,298,5
50000.0,2.4222889,0.2123316,298,5
100000.0,4.4089242,0.283643,298,5
1000000.0,11.8921917,0.212527,298,5
100.0,0.0027055,0.0094927,323,5
200.0,0.005391,0.0134389,323,5
500.0,0.0125933,0.0204434,323,5
1000.0,0.0257483,0.0242624,323,5
2000.0,0.0547438,0.034838,323,5
5000.0,0.1297802,0.0538115,323,5
10000.0,0.2635308,0.0730201,323,5
20000.0,0.5127059,0.100427,323,5
50000.0,1.1856842,0.1672016,323,5
100000.0,2.2956068,0.2145667,323,5
1000000.0,9.7213779,0.263108,323,5
100.0,0.0195663,0.0202411,273,1
200.0,0.0410337,0.0293616,273,1
500.0,0.0997426,0.0427605,273,1
1000.0,0.1882049,0.0605307,273,1
2000.0,0.3778179,0.0884983,273,1
5000.0,0.879414,0.1281987,273,1
10000.0,1.6421802,0.1713352,273,1
20000.0,2.9150744,0.2266711,273,1
50000.0,6.2717612,0.3285881,273,1
100000.0,9.5917462,0.3000706,273,1
1000000.0,14.5702433,0.177527,273,1
100.0,0.007627799999999999,0.015996,298,1
200.0,0.0146839,0.0183588,298,1
500.0,0.0348119,0.0275451,298,1
1000.0,0.07416879999999998,0.0397395,298,1
2000.0,0.1448878,0.0521371,298,1
5000.0,0.3456327,0.08447409999999998,298,1
10000.0,0.6631906,0.1124298,298,1
20000.0,1.2202815,0.1574173,298,1
50000.0,2.9176908,0.2494356,298,1
100000.0,5.1644957,0.3221662,298,1
1000000.0,12.7727433,0.2084548,298,1
