Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0010023,0.007982599999999998,273,5
200.0,0.0020991,0.0114762,273,5
500.0,0.005547,0.0186729,273,5
1000.0,0.0108201,0.0261323,273,5
2000.0,0.0219391,0.0370733,273,5
5000.0,0.0539451,0.0578708,273,5
10000.0,0.1067384,0.080361,273,5
20000.0,0.2042815,0.0952668,273,5
50000.0,0.4597813,0.1383853,273,5
100000.0,0.8028819,0.1693227,273,5
100.0,0.0005043,0.0055803,298,5
200.0,0.0010272,0.0081239,298,5
500.0,0.0028078,0.013391,298,5
1000.0,0.0056031,0.018873,298,5
2000.0,0.0109758,0.0260599,298,5
5000.0,0.0283142,0.041612,298,5
10000.0,0.0533225,0.0567014,298,5
20000.0,0.1111145,0.0818065,298,5
50000.0,0.2604362,0.1085411,298,5
100000.0,0.4671587,0.1415717,298,5
100.0,0.0003362,0.0037202,323,5
200.0,0.0006641,0.0052407,323,5
500.0,0.0015232,0.0079134,323,5
1000.0,0.0032373,0.0115704,323,5
2000.0,0.0066199,0.0165424,323,5
5000.0,0.015975,0.025731,323,5
10000.0,0.0315183,0.0358456,323,5
20000.0,0.06372,0.0506721,323,5
50000.0,0.1534908,0.068599,323,5
100000.0,0.2913801,0.0915528,323,5
100.0,0.001463,0.0096342,273,1
200.0,0.0027829,0.0131627,273,1
500.0,0.007346199999999998,0.0213382,273,1
1000.0,0.0149988,0.0304424,273,1
2000.0,0.0300324,0.0429925,273,1
5000.0,0.07272059999999998,0.0663703,273,1
10000.0,0.1439677,0.07852919999999998,273,1
20000.0,0.2792132,0.1140501,273,1
50000.0,0.6260865,0.1587248,273,1
100000.0,1.0821138,0.1888292,273,1
100.0,0.0007782,0.0069726,298,1
200.0,0.0015066,0.0096877,298,1
500.0,0.0038163,0.0156686,298,1
1000.0,0.00734,0.0214581,298,1
2000.0,0.0148232,0.0303469,298,1
5000.0,0.0368931,0.0482245,298,1
10000.0,0.07377989999999998,0.066949,298,1
20000.0,0.1448392,0.0926071,298,1
50000.0,0.3468795,0.121067,298,1
100000.0,0.6277487,0.1595928,298,1
100.0,0.0004192,0.00415,323,1
200.0,0.0008009999999999998,0.0058295,323,1
500.0,0.0020669,0.009236,323,1
1000.0,0.0042666,0.0132575,323,1
2000.0,0.008765699999999998,0.0192892,323,1
5000.0,0.0216859,0.0300524,323,1
