Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002931,0.0044087,273,5
200.0,0.0005595,0.0060792,273,5
500.0,0.0015187,0.0099871,273,5
1000.0,0.0028509,0.0137752,273,5
2000.0,0.0061614,0.0202415,273,5
5000.0,0.0149339,0.0317872,273,5
10000.0,0.0295696,0.0448299,273,5
20000.0,0.0602286,0.0625077,273,5
50000.0,0.1489675,0.1000737,273,5
100000.0,0.2946754,0.1389196,273,5
100.0,0.0002331,0.0039338,298,5
200.0,0.000393,0.0051013,298,5
500.0,0.0009725,0.0080449,298,5
1000.0,0.0021659,0.0120745,298,5
2000.0,0.0040499,0.0163572,298,5
5000.0,0.0104045,0.0263258,298,5
10000.0,0.0202294,0.0367784,298,5
20000.0,0.0411383,0.053245,298,5
50000.0,0.1026325,0.0813659,298,5
100000.0,0.2069502,0.1159561,298,5
100.0,0.0001199,0.0028235,323,5
200.0,0.0002864,0.0043585,323,5
500.0,0.0007194,0.006949,323,5
1000.0,0.0014854,0.0100585,323,5
2000.0,0.0029974,0.0140632,323,5
5000.0,0.007766699999999999,0.0225496,323,5
10000.0,0.0152004,0.0322577,323,5
20000.0,0.0301911,0.0449121,323,5
50000.0,0.07628649999999998,0.0720586,323,5
100000.0,0.1511444,0.0988317,323,5
100.0,0.000373,0.0049707,273,1
200.0,0.0007061,0.0068862,273,1
500.0,0.0016786,0.0105246,273,1
1000.0,0.0037035,0.015918,273,1
2000.0,0.0069674,0.0214251,273,1
5000.0,0.0179181,0.0340714,273,1
10000.0,0.0364822,0.0490985,273,1
20000.0,0.0735107,0.0687492,273,1
50000.0,0.1751906,0.106064,273,1
100000.0,0.3648355,0.1355045,273,1
100.0,0.0002465,0.0040442,298,1
200.0,0.0004863,0.0056703,298,1
500.0,0.0014055,0.009665300000000002,298,1
1000.0,0.0022859,0.0122352,298,1
2000.0,0.0049291,0.0182569,298,1
5000.0,0.0126226,0.0288806,298,1
10000.0,0.0253784,0.0406724,298,1
20000.0,0.0497376,0.0575217,298,1
50000.0,0.1237145,0.0906613,298,1
100000.0,0.2485614,0.1274802,298,1
100.0,0.0001599,0.0032593,323,1
200.0,0.0003997,0.0051441,323,1
500.0,0.0009858,0.0081528,323,1
1000.0,0.0018451,0.010972,323,1
2000.0,0.0036036,0.0153886,323,1
5000.0,0.008959,0.024293,323,1
10000.0,0.0184576,0.0350013,323,1
20000.0,0.0361425,0.0493176,323,1
50000.0,0.090788,0.07727839999999998,323,1
100000.0,0.1782546,0.1095401,323,1
100.0,0.0002997,0.0044583,273,6
200.0,0.0006328,0.0064614,273,6
500.0,0.0014055,0.0096193,273,6
1000.0,0.0028775,0.0137697,273,6
2000.0,0.0058217,0.0197553,273,6
5000.0,0.0139218,0.030433,273,6
10000.0,0.0291551,0.0439281,273,6
20000.0,0.0588326,0.0628933,273,6
50000.0,0.1432629,0.09737,273,6
100000.0,0.2872017,0.1378863,273,6
100.0,0.0001532,0.0031908,298,6
200.0,0.000353,0.0049273,298,6
500.0,0.0012389,0.0090487,298,6
1000.0,0.0018984,0.0111236,298,6
2000.0,0.0040965,0.0164942,298,6
