Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0062642,0.0134776,273,5
200.0,0.0123804,0.0187979,273,5
500.0,0.0313368,0.0301233,273,5
1000.0,0.0613268,0.0359032,273,5
2000.0,0.1156866,0.0498924,273,5
5000.0,0.2721668,0.0701134,273,5
10000.0,0.4741944,0.0866712,273,5
20000.0,0.7384971999999999,0.09427170000000001,273,5
50000.0,1.0978767,0.08749139999999998,273,5
100000.0,1.3308006,0.0800704,273,5
1000000.0,2.2716401,0.08720909999999998,273,5
100.0,0.0026544,0.0088777,298,5
200.0,0.0050822,0.0120434,298,5
500.0,0.0125023,0.0188963,298,5
1000.0,0.0247898,0.0263745,298,5
2000.0,0.0485718,0.0375483,298,5
5000.0,0.1165491,0.0484276,298,5
10000.0,0.2211738,0.0646462,298,5
20000.0,0.388374,0.0819897,298,5
50000.0,0.6917293,0.0880986,298,5
100000.0,0.9628281,0.0941483,298,5
1000000.0,1.71116,0.073758,298,5
100.0,0.0012865,0.0061837,323,5
200.0,0.0022013,0.0080196,323,5
500.0,0.0058054,0.0130117,323,5
1000.0,0.0114539,0.0180068,323,5
2000.0,0.0229311,0.0254859,323,5
5000.0,0.0556056,0.0331286,323,5
10000.0,0.107706,0.0488051,323,5
20000.0,0.2016318,0.0624277,323,5
50000.0,0.4115283,0.07835599999999998,323,5
100000.0,0.6344893,0.08311019999999998,323,5
1000000.0,1.4102656,0.0760384,323,5
100.0,0.0132284,0.0195512,273,1
200.0,0.0266804,0.0277629,273,1
500.0,0.0663132,0.0387829,273,1
1000.0,0.128337,0.0495761,273,1
2000.0,0.2466663,0.0677894,273,1
5000.0,0.5270519,0.08323859999999998,273,1
10000.0,0.8102458999999999,0.1003617,273,1
20000.0,1.1441773,0.0976388,273,1
50000.0,1.5924799,0.0845838,273,1
100000.0,1.892436,0.0956421,273,1
1000000.0,2.5985126,0.07544879999999998,273,1
100.0,0.0051171,0.0121403,298,1
200.0,0.0099467,0.0168539,298,1
500.0,0.0243803,0.0265112,298,1
1000.0,0.0486299,0.031804,298,1
2000.0,0.0974137,0.0444476,298,1
5000.0,0.2160218,0.0640713,298,1
10000.0,0.3932318,0.0837966,298,1
20000.0,0.6455015,0.0867933,298,1
50000.0,1.0301927,0.1022508,298,1
100000.0,1.3103967,0.0909174,298,1
1000000.0,2.273525,0.0868989,298,1
100.0,0.0021955,0.007925899999999998,323,1
200.0,0.0045188,0.0113963,323,1
500.0,0.0108208,0.0177407,323,1
1000.0,0.0213077,0.0249652,323,1
2000.0,0.0427239,0.0349846,323,1
5000.0,0.1028125,0.0488707,323,1
10000.0,0.1911856,0.0585034,323,1
20000.0,0.3470444,0.07848289999999998,323,1
50000.0,0.640648,0.0921631,323,1
100000.0,0.9157636,0.0936462,323,1
1000000.0,1.7792838,0.08657829999999998,323,1
100.0,0.0050648,0.0121345,273,6
200.0,0.0104927,0.0175349,273,6
500.0,0.0260153,0.0268715,273,6
