Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0495745,0.0265685,273,5
200.0,0.1002301,0.034938,273,5
500.0,0.2271653,0.0504201,273,5
1000.0,0.3888396,0.0606937,273,5
2000.0,0.6329617,0.0727063,273,5
5000.0,1.0031093,0.0716361,273,5
10000.0,1.2719308,0.0699767,273,5
20000.0,1.4951855,0.0638227,273,5
50000.0,1.7428654,0.0583263,273,5
100000.0,1.8716704,0.0458308,273,5
100.0,0.0148806,0.0164437,298,5
200.0,0.0301099,0.0212277,298,5
500.0,0.07352259999999998,0.0315458,298,5
1000.0,0.1337023,0.0408489,298,5
2000.0,0.2568268,0.053257,298,5
5000.0,0.5012511,0.0678199,298,5
10000.0,0.7858632,0.0748463,298,5
20000.0,1.0667056,0.0715759,298,5
50000.0,1.4118257,0.0655706,298,5
100000.0,1.6207575,0.0575086,298,5
100.0,0.0055062,0.008682199999999998,323,5
200.0,0.0109632,0.0121632,323,5
500.0,0.0262163,0.0169861,323,5
1000.0,0.0536163,0.0228118,323,5
2000.0,0.1021245,0.0312048,323,5
5000.0,0.2297807,0.0443529,323,5
10000.0,0.4004513,0.0579181,323,5
20000.0,0.6470042,0.0621201,323,5
50000.0,1.020986,0.0598732,323,5
100000.0,1.2860458,0.0617993,323,5
100.0,0.0177131,0.0153086,273,1
200.0,0.037326,0.0224925,273,1
500.0,0.08683939999999998,0.0337057,273,1
1000.0,0.1627001,0.0448294,273,1
2000.0,0.3005138,0.0587642,273,1
5000.0,0.580187,0.0671732,273,1
10000.0,0.8638601,0.07296279999999998,273,1
20000.0,1.1355814,0.0692052,273,1
50000.0,1.4771016,0.0624875,273,1
100000.0,1.6464227,0.0604947,273,1
100.0,0.0060961,0.0104462,298,1
200.0,0.011827,0.0146036,298,1
500.0,0.029363,0.0209656,298,1
1000.0,0.0579553,0.0275341,298,1
2000.0,0.110881,0.0374428,298,1
5000.0,0.2530105,0.0537628,298,1
10000.0,0.4196764,0.0637151,298,1
20000.0,0.673726,0.0753594,298,1
50000.0,1.0455398,0.07533869999999998,298,1
100000.0,1.3053013,0.0708023,298,1
100.0,0.0021641,0.0054382,323,1
200.0,0.0045516,0.0079429,323,1
500.0,0.0116124,0.012527,323,1
1000.0,0.0223592,0.0155121,323,1
2000.0,0.0447321,0.0208869,323,1
5000.0,0.1063868,0.032285,323,1
10000.0,0.1975405,0.0409676,323,1
20000.0,0.3482261,0.052727,323,1
50000.0,0.6501212,0.0658664,323,1
100000.0,0.9452631,0.06516,323,1
100.0,0.1777309,0.0455567,273,6
200.0,0.3029001,0.0538547,273,6
500.0,0.6002316,0.0725274,273,6
1000.0,0.8827469999999998,0.0691394,273,6
2000.0,1.1922386,0.0713249,273,6
5000.0,1.5321369,0.0649502,273,6
10000.0,1.7248884,0.056239,273,6
20000.0,1.8652375,0.0554348,273,6
50000.0,2.0177472,0.0449375,273,6
