Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001636,0.0028876,273,5
200.0,0.0002916,0.00385,273,5
500.0,0.0008486999999999999,0.0065723,273,5
1000.0,0.0016463,0.0091121,273,5
2000.0,0.0033949,0.013253,273,5
5000.0,0.008441199999999998,0.0206952,273,5
10000.0,0.0163302,0.0285669,273,5
20000.0,0.0319293,0.0401768,273,5
50000.0,0.0794118,0.0630091,273,5
100000.0,0.1607036,0.0900542,273,5
100.0,8.179999999999998e-05,0.0020435,298,5
200.0,0.0002403,0.0034969,298,5
500.0,0.0006442,0.0057028,298,5
1000.0,0.001089,0.0074874,298,5
2000.0,0.0021014,0.0103287,298,5
5000.0,0.0055065,0.0168257,298,5
10000.0,0.0113197,0.023991,298,5
20000.0,0.0219499,0.0332249,298,5
50000.0,0.0544767,0.0526892,298,5
100000.0,0.1094289,0.0741339,298,5
100.0,9.88e-05,0.0018329,323,5
200.0,0.0001193,0.002013,323,5
500.0,0.0003852,0.0036349,323,5
1000.0,0.0007465,0.0049886,323,5
2000.0,0.0018065,0.007861099999999998,323,5
5000.0,0.0040568,0.0117911,323,5
10000.0,0.0082111,0.0166449,323,5
20000.0,0.0157337,0.0232362,323,5
50000.0,0.0397195,0.0370884,323,5
100000.0,0.07849829999999998,0.0519438,323,5
100.0,0.0003017,0.0039156,273,1
200.0,0.0005266,0.0051621,273,1
500.0,0.0014937,0.00885,273,1
1000.0,0.0031086,0.0125761,273,1
2000.0,0.0060382,0.0175147,273,1
5000.0,0.0162995,0.0285019,273,1
10000.0,0.0308199,0.0399332,273,1
20000.0,0.0639814,0.0565049,273,1
50000.0,0.157259,0.0777623,273,1
100000.0,0.305903,0.1047217,273,1
100.0,0.0001943,0.0031457,298,1
200.0,0.0003835,0.0044112,298,1
500.0,0.000951,0.0069455,298,1
1000.0,0.0019786,0.0099669,298,1
2000.0,0.003809,0.0137523,298,1
5000.0,0.0097398,0.0223452,298,1
10000.0,0.0196995,0.0314278,298,1
20000.0,0.0394042,0.0448039,298,1
50000.0,0.0967697,0.0700244,298,1
100000.0,0.1902242,0.0854482,298,1
100.0,0.0001159,0.0019841,323,1
200.0,0.0003443,0.0034082,323,1
500.0,0.0005829,0.0044712,323,1
1000.0,0.0011896,0.0064024,323,1
2000.0,0.0026212,0.009482,323,1
5000.0,0.006166,0.0143876,323,1
10000.0,0.0128638,0.0208609,323,1
20000.0,0.0255153,0.0293586,323,1
50000.0,0.0647756,0.0468208,323,1
100000.0,0.1288967,0.056766,323,1
100.0,0.0001789,0.0030195,273,6
200.0,0.0003835,0.0044112,273,6
500.0,0.0007669,0.0062983,273,6
1000.0,0.0018713,0.0098692,273,6
2000.0,0.003354,0.012924,273,6
5000.0,0.008737699999999998,0.0209744,273,6
10000.0,0.0170307,0.0293415,273,6
20000.0,0.0341074,0.0415641,273,6
