Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1073026,0.0312691,273,5
200.0,0.2039738,0.0422469,273,5
500.0,0.4226244,0.0579287,273,5
1000.0,0.6720637,0.0668774,273,5
2000.0,0.977307,0.0721122,273,5
5000.0,1.4041432,0.0719873,273,5
10000.0,1.725263,0.0613581,273,5
20000.0,2.0107751,0.0651088,273,5
50000.0,2.3346012,0.0507109,273,5
100000.0,2.4687552,0.0413126,273,5
1000000.0,2.7912087,0.0332953,273,5
100.0,0.0304676,0.0178086,298,5
200.0,0.0622923,0.025289,298,5
500.0,0.1455153,0.0368181,298,5
1000.0,0.2699306,0.0468041,298,5
2000.0,0.4467644,0.0584444,298,5
5000.0,0.8257255999999998,0.0684608,298,5
10000.0,1.1271666,0.0698835,298,5
20000.0,1.4582321,0.070985,298,5
50000.0,1.8506324,0.0655254,298,5
100000.0,2.1169537,0.0570119,298,5
1000000.0,2.6308174,0.0341772,298,5
100.0,0.0109496,0.012526,323,5
200.0,0.0222281,0.0156371,323,5
500.0,0.0540024,0.0236126,323,5
1000.0,0.1052894,0.0327009,323,5
2000.0,0.1983632,0.0444126,323,5
5000.0,0.3999917,0.0557415,323,5
10000.0,0.6548956,0.0679905,323,5
20000.0,0.9520618,0.0680669,323,5
50000.0,1.3782674,0.068227,323,5
100000.0,1.6970486,0.0627732,323,5
1000000.0,2.4348218,0.0546392,323,5
100.0,0.0797665,0.0287017,273,1
200.0,0.1476977,0.0376199,273,1
500.0,0.3336155,0.0553352,273,1
1000.0,0.5703811,0.0657718,273,1
2000.0,0.8940158999999999,0.0671555,273,1
5000.0,1.4119837,0.07580739999999998,273,1
10000.0,1.7505631,0.0606369,273,1
20000.0,2.0370278,0.0599761,273,1
50000.0,2.3362838,0.0476512,273,1
100000.0,2.5225717,0.0467032,273,1
1000000.0,2.9129688,0.0532202,273,1
100.0,0.0238391,0.0161392,298,1
200.0,0.0486783,0.0225681,298,1
500.0,0.1158821,0.0341046,298,1
1000.0,0.2203374,0.0463085,298,1
2000.0,0.383643,0.0603311,298,1
5000.0,0.7289139,0.0707737,298,1
10000.0,1.1015647,0.0739404,298,1
20000.0,1.4676734,0.0767913,298,1
50000.0,1.8944377,0.0622751,298,1
100000.0,2.157705,0.0535723,298,1
1000000.0,2.683814,0.0374995,298,1
100.0,0.0088199,0.011477,323,1
200.0,0.0178673,0.0163663,323,1
500.0,0.0428059,0.0221208,323,1
1000.0,0.0839641,0.0286554,323,1
2000.0,0.1595043,0.0394601,323,1
5000.0,0.3503552,0.0554157,323,1
10000.0,0.5920906,0.069632,323,1
