Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0093091,0.0157856,273,5
200.0,0.0196767,0.0231102,273,5
500.0,0.0470831,0.0321622,273,5
1000.0,0.0894051,0.0415451,273,5
2000.0,0.1604975,0.0523527,273,5
5000.0,0.3059895,0.0618507,273,5
10000.0,0.4264849,0.0602645,273,5
20000.0,0.5417009,0.0526887,273,5
50000.0,0.6301239,0.0442542,273,5
100000.0,0.6910221,0.0370736,273,5
1000000.0,0.8088499,0.0271143,273,5
100.0,0.0035007,0.0098528,298,5
200.0,0.0071226,0.0141387,298,5
500.0,0.0173243,0.0219077,298,5
1000.0,0.0341333,0.0306188,298,5
2000.0,0.0669811,0.0372656,298,5
5000.0,0.1459961,0.049599,298,5
10000.0,0.2411596,0.0568988,298,5
20000.0,0.3706517,0.0610408,298,5
50000.0,0.5050909,0.0514379,298,5
100000.0,0.5824555,0.0479674,298,5
1000000.0,0.7631358,0.0302119,298,5
100.0,0.0014591,0.0045189,323,5
200.0,0.0028706,0.0062962,323,5
500.0,0.0073501,0.010074,323,5
1000.0,0.0144495,0.0141524,323,5
2000.0,0.0280308,0.017177,323,5
5000.0,0.0675468,0.0259617,323,5
10000.0,0.1241602,0.0336438,323,5
20000.0,0.2138753,0.040103,323,5
50000.0,0.3520263,0.0432453,323,5
100000.0,0.4724422,0.0387868,323,5
1000000.0,0.7082532,0.0275016,323,5
100.0,0.0042737,0.0110512,273,1
200.0,0.0085137,0.0152311,273,1
500.0,0.021421,0.0243202,273,1
1000.0,0.0427412,0.0295972,273,1
2000.0,0.0773796,0.0391353,273,1
5000.0,0.1787569,0.0530693,273,1
10000.0,0.2846688,0.0620544,273,1
20000.0,0.4123163,0.0601663,273,1
50000.0,0.5651984,0.0552707,273,1
100000.0,0.6393601,0.0456638,273,1
1000000.0,0.7926183,0.0272792,273,1
100.0,0.0017251,0.0069058,298,1
200.0,0.0035651,0.0100076,298,1
500.0,0.0081664,0.0150547,298,1
1000.0,0.0159184,0.0206088,298,1
2000.0,0.0320748,0.0291849,298,1
5000.0,0.07538839999999998,0.0376476,298,1
10000.0,0.1389359,0.0491834,298,1
20000.0,0.2329564,0.0583706,298,1
50000.0,0.3974783,0.0576332,298,1
100000.0,0.4986486,0.0512137,298,1
1000000.0,0.722078,0.0340407,298,1
100.0,0.0007632,0.0032639,323,1
200.0,0.0015039,0.0045818,323,1
500.0,0.0037808,0.007298899999999999,323,1
1000.0,0.0075069,0.0101508,323,1
2000.0,0.0147884,0.0144056,323,1
5000.0,0.0358458,0.0196178,323,1
10000.0,0.0681447,0.0259576,323,1
20000.0,0.1244514,0.033239,323,1
50000.0,0.2459456,0.0400974,323,1
100000.0,0.3577817,0.0404344,323,1
1000000.0,0.6562296,0.0288982,323,1
100.0,0.0124065,0.0186978,273,6
200.0,0.0250202,0.0262064,273,6
500.0,0.0578708,0.0353103,273,6
1000.0,0.1120813,0.0452771,273,6
2000.0,0.2031025,0.0573232,273,6
5000.0,0.35717,0.0636936,273,6
10000.0,0.4746058,0.0573306,273,6
20000.0,0.575947,0.0499995,273,6
50000.0,0.6892893,0.0409128,273,6
100000.0,0.7453759,0.0409114,273,6
1000000.0,0.8360024,0.0273956,273,6
100.0,0.0043829,0.0111815,298,6
200.0,0.0089618,0.0159214,298,6
500.0,0.0213067,0.0241496,298,6
1000.0,0.0415183,0.0290266,298,6
2000.0,0.07877979999999998,0.0376785,298,6
5000.0,0.1774157,0.0551448,298,6
10000.0,0.2822351,0.0587631,298,6
20000.0,0.4104207,0.0626237,298,6
50000.0,0.5447102,0.0520568,298,6
100000.0,0.6259055,0.0470107,298,6
1000000.0,0.8083263,0.0268177,298,6
100.0,0.0017924,0.0070685,323,6
200.0,0.0036211,0.0100423,323,6
500.0,0.0091802,0.0160574,323,6
1000.0,0.0175287,0.0218004,323,6
2000.0,0.0347326,0.0306032,323,6
5000.0,0.0828715,0.0405049,323,6
10000.0,0.1479257,0.050933,323,6
20000.0,0.2484325,0.0604079,323,6
50000.0,0.4049454,0.0613854,323,6
100000.0,0.5093622,0.0538793,323,6
1000000.0,0.7328143999999999,0.0392898,323,6
100.0,0.005195,0.0120356,273,2
200.0,0.010166,0.0167058,273,2
500.0,0.0262329,0.0265521,273,2
1000.0,0.0513903,0.0328309,273,2
2000.0,0.093704,0.0425665,273,2
5000.0,0.2076199,0.0583999,273,2
10000.0,0.3293456,0.0617312,273,2
20000.0,0.4597292,0.0587546,273,2
50000.0,0.582461,0.0542797,273,2
100000.0,0.6672369,0.0489657,273,2
1000000.0,0.8288339999999998,0.0307205,273,2
100.0,0.0019744,0.0074796,298,2
200.0,0.0041868,0.0106697,298,2
500.0,0.0101184,0.0169605,298,2
1000.0,0.0199092,0.0236829,298,2
2000.0,0.0387066,0.0274391,298,2
5000.0,0.0893688,0.0417401,298,2
10000.0,0.1637993,0.0543207,298,2
20000.0,0.2652441,0.0615436,298,2
50000.0,0.4197367,0.0579387,298,2
100000.0,0.5424473,0.0520492,298,2
1000000.0,0.7590407999999998,0.0363619,298,2
100.0,0.0008681999999999999,0.0049181,323,2
200.0,0.0018148,0.0070517,323,2
500.0,0.0043941,0.011149,323,2
1000.0,0.0087938,0.0158078,323,2
2000.0,0.0170666,0.0218414,323,2
5000.0,0.0430138,0.0297857,323,2
10000.0,0.08091669999999998,0.038831,323,2
20000.0,0.1456713,0.0502475,323,2
50000.0,0.2754279,0.0599652,323,2
100000.0,0.3999792,0.0580516,323,2
1000000.0,0.6883418,0.0435764,323,2
100.0,0.0085263,0.010855,273,8
200.0,0.0168832,0.0153852,273,8
500.0,0.0407062,0.0215914,273,8
1000.0,0.07568239999999998,0.0269864,273,8
2000.0,0.1465605,0.035799,273,8
5000.0,0.279594,0.0425782,273,8
10000.0,0.4050533,0.0423358,273,8
20000.0,0.5201569,0.0368601,273,8
50000.0,0.6245298,0.0307344,273,8
100000.0,0.6836986,0.0273999,273,8
1000000.0,0.8023825,0.0219969,273,8
100.0,0.0030708,0.0065381,298,8
200.0,0.0060954,0.0090923,298,8
500.0,0.015186,0.0144151,298,8
1000.0,0.0301939,0.0180055,298,8
2000.0,0.0571329,0.0244208,298,8
5000.0,0.128463,0.0342361,298,8
10000.0,0.2210763,0.0399182,298,8
20000.0,0.3360886,0.0449522,298,8
50000.0,0.4817123,0.0406533,298,8
100000.0,0.5843865,0.0358921,298,8
1000000.0,0.760711,0.0234767,298,8
100.0,0.0013569,0.0043411,323,8
200.0,0.0027249,0.0061792,323,8
500.0,0.0067956,0.0097335,323,8
1000.0,0.0132943,0.0134605,323,8
2000.0,0.0262222,0.0190202,323,8
5000.0,0.0619598,0.0280512,323,8
10000.0,0.1131441,0.0367869,323,8
20000.0,0.1943087,0.0442102,323,8
50000.0,0.3393459,0.046504,323,8
100000.0,0.4521914,0.0465883,323,8
1000000.0,0.699096,0.0346386,323,8
100.0,0.0035259,0.007007,273,4
200.0,0.0068572,0.0098885,273,4
500.0,0.0170974,0.0152506,273,4
1000.0,0.0340688,0.0191374,273,4
2000.0,0.0666632,0.025706,273,4
5000.0,0.147914,0.0354581,273,4
10000.0,0.2554957,0.0426477,273,4
20000.0,0.368426,0.0456655,273,4
50000.0,0.5192157,0.0384908,273,4
100000.0,0.613593,0.031478,273,4
1000000.0,0.7625250999999998,0.0239551,273,4
100.0,0.0014255,0.0044904,298,4
200.0,0.0028622,0.0063249,298,4
500.0,0.0067948,0.0096232,298,4
1000.0,0.0136499,0.0138193,298,4
2000.0,0.0274452,0.0168955,298,4
5000.0,0.0648834,0.0255866,298,4
10000.0,0.1176628,0.0324977,298,4
20000.0,0.2089836,0.0406252,298,4
50000.0,0.3590549,0.0459512,298,4
100000.0,0.4723531,0.0385641,298,4
1000000.0,0.7075052,0.0266191,298,4
100.0,0.0006889,0.0031242,323,4
200.0,0.0013387,0.0043219,323,4
500.0,0.003169,0.0066321,323,4
1000.0,0.0064623,0.0095867,323,4
2000.0,0.0126221,0.0130555,323,4
5000.0,0.0310162,0.0203556,323,4
10000.0,0.0589224,0.0283012,323,4
20000.0,0.1097289,0.0370638,323,4
50000.0,0.2187926,0.0435751,323,4
100000.0,0.3333735,0.0497753,323,4
1000000.0,0.6416065,0.0369704,323,4
100.0,0.0181,0.0131915,273,7
200.0,0.0338182,0.017267,273,7
500.0,0.08567279999999998,0.027639,273,7
1000.0,0.1667977,0.0374524,273,7
2000.0,0.2588644,0.0432555,273,7
5000.0,0.4518954,0.0450044,273,7
10000.0,0.5794836,0.040466,273,7
20000.0,0.6840034,0.0365314,273,7
50000.0,0.768047,0.0293329,273,7
100000.0,0.8149918,0.0257808,273,7
1000000.0,0.8825457,0.0103323,273,7
100.0,0.0057075,0.008923,298,7
200.0,0.0112653,0.010845,298,7
500.0,0.029109,0.0168895,298,7
1000.0,0.055654,0.0219991,298,7
2000.0,0.1064046,0.0300703,298,7
5000.0,0.2122349,0.0387936,298,7
10000.0,0.3404759,0.0473122,298,7
20000.0,0.4726564,0.0456621,298,7
50000.0,0.6285004,0.034907,298,7
100000.0,0.706171,0.0298179,298,7
1000000.0,0.8600128999999999,0.0169463,298,7
100.0,0.0022026,0.0055086,323,7
200.0,0.0042835,0.0076968,323,7
500.0,0.0108774,0.0103468,323,7
1000.0,0.0224829,0.015109,323,7
2000.0,0.0414105,0.020736,323,7
5000.0,0.1002147,0.0296266,323,7
10000.0,0.1723826,0.0353742,323,7
20000.0,0.2860725,0.0413987,323,7
50000.0,0.4612488,0.0376154,323,7
100000.0,0.5623362,0.0420433,323,7
1000000.0,0.7916712,0.0269433,323,7
100.0,0.0088526,0.0088015,273,3
200.0,0.0174265,0.0125935,273,3
500.0,0.0418194,0.0195375,273,3
1000.0,0.08039019999999998,0.02674,273,3
2000.0,0.1661551,0.0383169,273,3
5000.0,0.3147166,0.0422076,273,3
10000.0,0.4555148,0.0511633,273,3
20000.0,0.5914341,0.0408789,273,3
50000.0,0.7144115,0.0322488,273,3
100000.0,0.7950658,0.0274648,273,3
1000000.0,0.8796954999999999,0.0117416,273,3
100.0,0.0030638,0.0065038,298,3
200.0,0.0058532,0.0076283,298,3
500.0,0.0142661,0.0114861,298,3
1000.0,0.0283851,0.0165899,298,3
2000.0,0.0566414,0.0221153,298,3
5000.0,0.1342352,0.0340277,298,3
10000.0,0.229204,0.0385596,298,3
20000.0,0.3469083,0.0388853,298,3
50000.0,0.5279246,0.0392366,298,3
100000.0,0.645025,0.0368506,298,3
1000000.0,0.8432304,0.0205152,298,3
100.0,0.0012533,0.0041795,323,3
200.0,0.0023203,0.0057504,323,3
500.0,0.0059708,0.0092523,323,3
1000.0,0.0109992,0.0104594,323,3
2000.0,0.0231046,0.01513,323,3
5000.0,0.0569018,0.0230434,323,3
10000.0,0.1108939,0.0310066,323,3
20000.0,0.1955367,0.0384463,323,3
50000.0,0.3368213,0.0422342,323,3
100000.0,0.4797077,0.0403415,323,3
1000000.0,0.7636616,0.0245516,323,3
