Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0011574,0.0056269,273,5
200.0,0.0020996,0.007534899999999998,273,5
500.0,0.0053158,0.0122303,273,5
1000.0,0.0101115,0.0164985,273,5
2000.0,0.0207975,0.0237231,273,5
5000.0,0.0501222,0.0324336,273,5
10000.0,0.0977868,0.0420117,273,5
20000.0,0.1952056,0.0653408,273,5
50000.0,0.4165309,0.08276319999999998,273,5
100000.0,0.705442,0.1000189,273,5
100.0,0.0003704,0.0031542,298,5
200.0,0.0008614,0.0048127,298,5
500.0,0.0020479,0.007395299999999999,298,5
1000.0,0.0041993,0.0107499,298,5
2000.0,0.0087743,0.0154432,298,5
5000.0,0.0213613,0.0240869,298,5
10000.0,0.0420362,0.0300498,298,5
20000.0,0.08296679999999998,0.0411039,298,5
50000.0,0.1999437,0.0635666,298,5
100000.0,0.3574133,0.0770832,298,5
100.0,0.0002478,0.0026145,323,5
200.0,0.0004711,0.0035923,323,5
500.0,0.0009804,0.0051601,323,5
1000.0,0.0019635,0.0073124,323,5
2000.0,0.0040631,0.010538,323,5
5000.0,0.0098636,0.0164348,323,5
10000.0,0.0194604,0.0226235,323,5
20000.0,0.039844,0.0296621,323,5
50000.0,0.0963843,0.0437097,323,5
100000.0,0.1805549,0.0592922,323,5
100.0,0.0001334,0.0019402,273,1
200.0,0.0002396,0.0025724,273,1
500.0,0.0006835,0.004329,273,1
1000.0,0.0011329,0.0055188,273,1
2000.0,0.002421,0.0080783,273,1
5000.0,0.0056235,0.0123017,273,1
10000.0,0.0117322,0.017697,273,1
20000.0,0.02403,0.0252452,273,1
50000.0,0.0616718,0.0355555,273,1
100000.0,0.1130943,0.049016,273,1
100.0,5.99e-05,0.0012759,298,1
200.0,0.0001171,0.0017819,298,1
500.0,0.0003105,0.002891,298,1
1000.0,0.0005719,0.0039237,298,1
2000.0,0.0011955,0.0056976,298,1
5000.0,0.0030038,0.0089634,298,1
10000.0,0.0061055,0.0129214,298,1
20000.0,0.0117672,0.017932,298,1
50000.0,0.0290408,0.0244486,298,1
100000.0,0.0583213,0.0328281,298,1
100.0,2.72e-05,0.0008607,323,1
200.0,3.81e-05,0.0010182,323,1
