Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004893,0.0036974,273,5
200.0,0.0010814,0.0054181,273,5
500.0,0.0027104,0.0087199,273,5
1000.0,0.0050594,0.0118227,273,5
2000.0,0.0106692,0.017367,273,5
5000.0,0.0260309,0.0266196,273,5
10000.0,0.0505857,0.0368269,273,5
20000.0,0.1009574,0.0463418,273,5
50000.0,0.2369817,0.0676078,273,5
100000.0,0.4382891,0.08987549999999998,273,5
100.0,0.0002724,0.0027665,298,5
200.0,0.0005699,0.0039392,298,5
500.0,0.0014678,0.0064606,298,5
1000.0,0.0029995,0.0091634,298,5
2000.0,0.0059547,0.0129122,298,5
5000.0,0.014208,0.01992,298,5
10000.0,0.0280714,0.0275238,298,5
20000.0,0.0558647,0.0390267,298,5
50000.0,0.1375936,0.0539934,298,5
100000.0,0.2578712,0.0698367,298,5
100.0,0.0001835,0.0018534,323,5
200.0,0.0003651,0.0025887,323,5
500.0,0.0009359,0.0041667,323,5
1000.0,0.0017402,0.0056481,323,5
2000.0,0.0035583,0.0081235,323,5
5000.0,0.0086288,0.0126676,323,5
10000.0,0.0173854,0.0179973,323,5
20000.0,0.0341982,0.0249163,323,5
50000.0,0.0842827,0.0357205,323,5
100000.0,0.1633373,0.0471501,323,5
100.0,0.0009479,0.0051362,273,1
200.0,0.0018625,0.0071693,273,1
500.0,0.0049899,0.0117376,273,1
1000.0,0.0099075,0.0165953,273,1
2000.0,0.0202515,0.0238227,273,1
5000.0,0.0479281,0.0360249,273,1
10000.0,0.0979523,0.0453391,273,1
20000.0,0.1858609,0.0608549,273,1
50000.0,0.416756,0.08891989999999998,273,1
100000.0,0.7407454999999998,0.1120841,273,1
100.0,0.0005337,0.0039344,298,1
200.0,0.0009818,0.0052208,298,1
500.0,0.0026687,0.008621399999999998,298,1
1000.0,0.0053874,0.0122581,298,1
2000.0,0.0102272,0.0169949,298,1
5000.0,0.026106,0.0266608,298,1
10000.0,0.0499852,0.0374757,298,1
20000.0,0.1000094,0.0459639,298,1
50000.0,0.2346286,0.0692331,298,1
100000.0,0.4285622,0.08601989999999998,298,1
100.0,0.0002947,0.002333,323,1
200.0,0.0005989,0.0032982,323,1
500.0,0.0015141,0.0052361,323,1
1000.0,0.0030838,0.0076122,323,1
2000.0,0.0060287,0.0104784,323,1
5000.0,0.0150744,0.0168186,323,1
10000.0,0.0295335,0.0235212,323,1
20000.0,0.058754,0.0282223,323,1
50000.0,0.1403753,0.0437472,323,1
100000.0,0.2700033,0.0584788,323,1
100.0,0.0005615,0.0039502,273,6
200.0,0.0010286,0.0053205,273,6
500.0,0.0025936,0.0084591,273,6
1000.0,0.0052123,0.0122171,273,6
2000.0,0.0104802,0.0170158,273,6
5000.0,0.0253582,0.0265664,273,6
10000.0,0.0517783,0.0377608,273,6
20000.0,0.1002291,0.0452202,273,6
50000.0,0.2374446,0.0714017,273,6
100000.0,0.4323457,0.0879231,273,6
100.0,0.0002669,0.0027671,298,6
200.0,0.0005532,0.0038823,298,6
500.0,0.0015214,0.0064917,298,6
1000.0,0.0028994,0.008965799999999998,298,6
2000.0,0.0057433,0.0127001,298,6
5000.0,0.0142914,0.0201461,298,6
10000.0,0.0289387,0.0281074,298,6
20000.0,0.0576578,0.0394276,298,6
50000.0,0.1374546,0.0558449,298,6
100000.0,0.2600646,0.0708744,298,6
100.0,0.0001529,0.0020559,323,6
200.0,0.0003892,0.0032897,323,6
500.0,0.0008589999999999998,0.0048585,323,6
1000.0,0.0017625,0.0068984,323,6
2000.0,0.0034721,0.0097534,323,6
5000.0,0.0088929,0.0159248,323,6
10000.0,0.0170129,0.0217055,323,6
20000.0,0.0347348,0.0310161,323,6
50000.0,0.08418349999999998,0.0416599,323,6
100000.0,0.1632419,0.06098,323,6
100.0,0.0009591,0.0051791,273,2
200.0,0.0020071,0.0074896,273,2
500.0,0.0051623,0.0118795,273,2
1000.0,0.010002,0.0167058,273,2
2000.0,0.0197845,0.0235813,273,2
5000.0,0.0490869,0.036419,273,2
10000.0,0.09559500000000001,0.0439492,273,2
20000.0,0.1892996,0.0625596,273,2
50000.0,0.4261177,0.0879784,273,2
100000.0,0.7405473999999999,0.1072235,273,2
100.0,0.0004642,0.0035839,298,2
200.0,0.0009452,0.0051141,298,2
500.0,0.0026965,0.008675399999999998,298,2
1000.0,0.0050622,0.0118183,298,2
2000.0,0.0104746,0.0172806,298,2
5000.0,0.025689,0.0268967,298,2
10000.0,0.0506524,0.0370514,298,2
20000.0,0.1005404,0.0456456,298,2
50000.0,0.2338613,0.067514,298,2
100000.0,0.4419141,0.0904237,298,2
100.0,0.0002808,0.0027796,323,2
200.0,0.0006338,0.0041865,323,2
500.0,0.0013872,0.0061917,323,2
1000.0,0.0030301,0.0091997,323,2
2000.0,0.0061185,0.0129692,323,2
5000.0,0.0152442,0.0205225,323,2
10000.0,0.0295419,0.0282644,323,2
20000.0,0.0583527,0.0399036,323,2
50000.0,0.1419414,0.0547333,323,2
100000.0,0.2722209,0.0738506,323,2
100.0,0.00053,0.0031222,273,8
200.0,0.0011398,0.0046041,273,8
500.0,0.0027465,0.0071064,273,8
1000.0,0.0051687,0.0098365,273,8
2000.0,0.0105006,0.0139545,273,8
5000.0,0.0262088,0.0216192,273,8
10000.0,0.0521471,0.0264246,273,8
20000.0,0.1009671,0.0384788,273,8
50000.0,0.2395909,0.0545991,273,8
100000.0,0.430671,0.070044,273,8
100.0,0.0003113,0.0023962,298,8
200.0,0.0005838,0.0032896,298,8
500.0,0.001503,0.005285,298,8
1000.0,0.0028577,0.0072211,298,8
2000.0,0.0058841,0.0104688,298,8
5000.0,0.0144758,0.0165323,298,8
10000.0,0.0286398,0.0229369,298,8
20000.0,0.0571435,0.0276797,298,8
50000.0,0.1372081,0.0429725,298,8
100000.0,0.2578976,0.0558738,298,8
100.0,0.0001649,0.0017796,323,8
200.0,0.0003669,0.0026214,323,8
500.0,0.0008524999999999999,0.0039957,323,8
1000.0,0.001831,0.0058382,323,8
2000.0,0.003523,0.008090099999999998,323,8
5000.0,0.0089457,0.0127929,323,8
10000.0,0.0172922,0.0179613,323,8
20000.0,0.0352101,0.0251817,323,8
50000.0,0.0840973,0.0381735,323,8
100000.0,0.1649199,0.0531871,323,8
100.0,0.0010489,0.0044011,273,4
200.0,0.0019821,0.0060087,273,4
500.0,0.0050205,0.009671,273,4
1000.0,0.0099131,0.0134968,273,4
2000.0,0.0198392,0.0191158,273,4
5000.0,0.0490002,0.0256887,273,4
10000.0,0.0987622,0.0365909,273,4
20000.0,0.1904894,0.0507436,273,4
50000.0,0.419472,0.0690564,273,4
100000.0,0.7450354999999999,0.0880036,273,4
100.0,0.0005078,0.0030592,298,4
200.0,0.0010527,0.0044236,298,4
500.0,0.002665,0.0069718,298,4
1000.0,0.0052818,0.0100277,298,4
2000.0,0.0103764,0.0137293,298,4
5000.0,0.0256213,0.0217614,298,4
10000.0,0.0510685,0.0261255,298,4
20000.0,0.1015495,0.0389658,298,4
50000.0,0.2408055,0.0559189,298,4
100000.0,0.4264561,0.0681071,298,4
100.0,0.0003151,0.00241,323,4
200.0,0.0005949,0.0032981,323,4
500.0,0.0014233,0.005166,323,4
1000.0,0.0030431,0.0075789,323,4
2000.0,0.0061195,0.0106133,323,4
5000.0,0.0153135,0.0166621,323,4
10000.0,0.029782,0.0232274,323,4
20000.0,0.0593248,0.0327407,323,4
50000.0,0.1420488,0.0504627,323,4
100000.0,0.2688964,0.0669367,323,4
100.0,0.0004652,0.0029577,273,7
200.0,0.0010452,0.0044253,273,7
500.0,0.0023703,0.0066393,273,7
1000.0,0.0050483,0.0097185,273,7
2000.0,0.0106544,0.0141552,273,7
5000.0,0.0256788,0.0217402,273,7
10000.0,0.050898,0.0257443,273,7
20000.0,0.1000298,0.038377,273,7
50000.0,0.2343607,0.0544244,273,7
100000.0,0.4218355,0.0696495,273,7
100.0,0.0003058,0.0023753,298,7
200.0,0.000556,0.0032046,298,7
500.0,0.0014882,0.0052238,298,7
1000.0,0.0028503,0.0072478,298,7
2000.0,0.0055209,0.0100514,298,7
5000.0,0.0141311,0.0159971,298,7
10000.0,0.0279046,0.0227141,298,7
20000.0,0.0551976,0.0273313,298,7
50000.0,0.1351917,0.0422653,298,7
100000.0,0.2521122,0.0560464,298,7
100.0,0.0002002,0.0019155,323,7
200.0,0.0003447,0.0025447,323,7
500.0,0.0008765999999999998,0.0040205,323,7
1000.0,0.0017625,0.0057018,323,7
2000.0,0.0034119,0.0079238,323,7
5000.0,0.008547199999999998,0.0124444,323,7
10000.0,0.016848,0.0175036,323,7
20000.0,0.0348432,0.025276,323,7
50000.0,0.0814787,0.0339412,323,7
100000.0,0.1611115,0.0485774,323,7
100.0,0.0010119,0.0043312,273,3
200.0,0.001907,0.0060199,273,3
500.0,0.0049575,0.0096751,273,3
1000.0,0.0096536,0.0132966,273,3
2000.0,0.0188905,0.0188126,273,3
5000.0,0.0473786,0.0258439,273,3
10000.0,0.0927113,0.0364518,273,3
20000.0,0.1822479,0.0481735,273,3
50000.0,0.4065218,0.0684692,273,3
100000.0,0.7230489,0.0895286,273,3
100.0,0.0004411,0.0028731,298,3
200.0,0.00101,0.0042958,298,3
500.0,0.0024871,0.0067686,298,3
1000.0,0.005065,0.0095691,298,3
2000.0,0.010306,0.0139482,298,3
5000.0,0.0254712,0.0217395,298,3
10000.0,0.0498157,0.0299166,298,3
20000.0,0.0989976,0.0382665,298,3
50000.0,0.2309226,0.0545834,298,3
100000.0,0.4162019,0.0673837,298,3
100.0,0.0002835,0.0022748,323,3
200.0,0.0006116,0.0033926,323,3
500.0,0.0013584,0.0050525,323,3
1000.0,0.0029096,0.0073374,323,3
2000.0,0.0058285,0.0102146,323,3
5000.0,0.0143869,0.016191,323,3
10000.0,0.0292834,0.0231946,323,3
20000.0,0.0564689,0.0274658,323,3
50000.0,0.1396149,0.0435407,323,3
100000.0,0.2625863,0.0545025,323,3
