Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0079848,0.0233899,273,5
200.0,0.0163921,0.0334816,273,5
500.0,0.0414979,0.0531805,273,5
1000.0,0.08153789999999998,0.0632937,273,5
2000.0,0.1637161,0.0941004,273,5
5000.0,0.4066945,0.1425834,273,5
10000.0,0.8117168999999999,0.2013274,273,5
20000.0,1.6610188,0.2924299,273,5
50000.0,4.0573412,0.4230175,273,5
100000.0,6.6469305,0.3946946,273,5
1000000.0,11.2482919,0.2411912,273,5
100.0,0.0034832,0.0153122,298,5
200.0,0.0072422,0.0221606,298,5
500.0,0.0179727,0.0348869,298,5
1000.0,0.0341467,0.0484057,298,5
2000.0,0.069111,0.0690634,298,5
5000.0,0.1777917,0.097022,298,5
10000.0,0.3545615,0.133499,298,5
20000.0,0.7118106,0.1946509,298,5
50000.0,1.7030902,0.294026,298,5
100000.0,3.3958756,0.3908046,298,5
1000000.0,9.8172546,0.264204,298,5
100.0,0.0017407,0.0076845,323,5
200.0,0.003335,0.0106158,323,5
500.0,0.0084822,0.0168544,323,5
1000.0,0.0172675,0.0242927,323,5
2000.0,0.0346781,0.0343849,323,5
5000.0,0.0859867,0.047981,323,5
10000.0,0.1706858,0.0680695,323,5
20000.0,0.3436199,0.0952903,323,5
50000.0,0.8432223,0.1486981,323,5
100000.0,1.7206664,0.1999451,323,5
1000000.0,8.0731338,0.2281139,323,5
100.0,0.0182043,0.0299852,273,1
200.0,0.0365449,0.0404909,273,1
500.0,0.08749239999999998,0.0639435,273,1
1000.0,0.1784253,0.0927436,273,1
2000.0,0.3496198,0.1283299,273,1
5000.0,0.979385,0.2095087,273,1
10000.0,1.9063868,0.3155045,273,1
20000.0,3.6661947,0.3290614,273,1
50000.0,6.4209528,0.356265,273,1
100000.0,8.190959299999998,0.3418214,273,1
1000000.0,12.0480317,0.2023153,273,1
100.0,0.0065132,0.0209615,298,1
200.0,0.0119704,0.0285032,298,1
500.0,0.0330226,0.0404508,298,1
