Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0075284,0.0229922,273,5
200.0,0.0150158,0.0322179,273,5
500.0,0.036086,0.0494145,273,5
1000.0,0.07325329999999998,0.0715962,273,5
2000.0,0.147726,0.088144,273,5
5000.0,0.3728637,0.1362832,273,5
10000.0,0.7705762,0.1944595,273,5
20000.0,1.4914772,0.2628606,273,5
50000.0,3.8382586,0.4318517,273,5
100000.0,6.5587573,0.4222823,273,5
1000000.0,11.29224,0.2016438,273,5
100.0,0.0031272,0.0146746,298,5
200.0,0.0063429,0.0208473,298,5
500.0,0.0159969,0.0330882,298,5
1000.0,0.0314215,0.0464531,298,5
2000.0,0.0630883,0.0656923,298,5
5000.0,0.1608342,0.0913968,298,5
10000.0,0.3297418,0.1321329,298,5
20000.0,0.6518247,0.1829769,298,5
50000.0,1.6281027,0.2844497,298,5
100000.0,3.2307012,0.3814458,298,5
1000000.0,9.8218905,0.2935636,298,5
100.0,0.0016487,0.0074053,323,5
200.0,0.0031033,0.0104219,323,5
500.0,0.0078315,0.0163457,323,5
1000.0,0.0161468,0.0236088,323,5
2000.0,0.0325763,0.0332581,323,5
5000.0,0.0819194,0.0446645,323,5
10000.0,0.1641589,0.0632788,323,5
20000.0,0.3253628,0.0884162,323,5
50000.0,0.8132494,0.1383075,323,5
100000.0,1.6079335,0.1999693,323,5
1000000.0,7.9860334,0.2452279,323,5
100.0,0.0190423,0.0314602,273,1
200.0,0.038909,0.0441052,273,1
500.0,0.0931575,0.065514,273,1
1000.0,0.1903413,0.094466,273,1
2000.0,0.3997067,0.1384132,273,1
5000.0,1.0274396,0.2248445,273,1
10000.0,1.9655061,0.3041241,273,1
20000.0,4.0500292,0.3955244,273,1
50000.0,6.6466411,0.305547,273,1
100000.0,8.30414,0.3401951,273,1
1000000.0,12.0181179,0.2204592,273,1
100.0,0.0063838,0.0210344,298,1
200.0,0.013006,0.0301052,298,1
500.0,0.0342489,0.0413713,298,1
1000.0,0.0686954,0.0559826,298,1
2000.0,0.1403135,0.08293839999999998,298,1
5000.0,0.338115,0.1229021,298,1
10000.0,0.7065222,0.169751,298,1
20000.0,1.4471976,0.2382879,298,1
50000.0,3.4212082,0.3514862,298,1
100000.0,5.511893,0.361299,298,1
1000000.0,10.6926993,0.2482132,298,1
100.0,0.003243,0.0104739,323,1
200.0,0.0056207,0.013811,323,1
500.0,0.0149034,0.0224853,323,1
1000.0,0.0293946,0.0278657,323,1
2000.0,0.0599236,0.0361007,323,1
5000.0,0.1430591,0.0570781,323,1
10000.0,0.3062334,0.0811482,323,1
20000.0,0.6005343,0.1142716,323,1
50000.0,1.4324548,0.176751,323,1
100000.0,2.793954,0.2323168,323,1
1000000.0,9.0614641,0.2194003,323,1
100.0,0.0099878,0.0257553,273,6
200.0,0.0200574,0.0371248,273,6
500.0,0.0507159,0.0597631,273,6
1000.0,0.0992652,0.0725911,273,6
2000.0,0.2019574,0.1000943,273,6
5000.0,0.5064378,0.1586516,273,6
