Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0083244,0.0185907,273,5
200.0,0.0167152,0.0263408,273,5
500.0,0.0413853,0.0419352,273,5
1000.0,0.08615019999999998,0.0521111,273,5
2000.0,0.1704071,0.07301159999999998,273,5
5000.0,0.4222106,0.1115688,273,5
10000.0,0.8345730999999998,0.1540915,273,5
20000.0,1.714971,0.235406,273,5
50000.0,5.0045451,0.4201658,273,5
100000.0,8.6739432,0.3624344,273,5
1000000.0,13.6721667,0.1824051,273,5
100.0,0.0038114,0.0125912,298,5
200.0,0.0071743,0.0172957,298,5
500.0,0.0186084,0.0277494,298,5
1000.0,0.0365983,0.0385484,298,5
2000.0,0.0750898,0.0472608,298,5
5000.0,0.1855239,0.0734403,298,5
10000.0,0.3715377,0.1048918,298,5
20000.0,0.7412788,0.1537719,298,5
50000.0,1.8868954,0.2507871,298,5
100000.0,3.9667666,0.3585164,298,5
1000000.0,11.9214326,0.2106001,298,5
100.0,0.0018476,0.0087405,323,5
200.0,0.0037948,0.0126099,323,5
500.0,0.0096696,0.0201463,323,5
1000.0,0.0193433,0.028513,323,5
2000.0,0.0383254,0.0400599,323,5
5000.0,0.0947527,0.0543026,323,5
10000.0,0.1883637,0.07905679999999998,323,5
20000.0,0.3811284,0.1089147,323,5
50000.0,0.9408414,0.1655991,323,5
100000.0,1.8923221,0.2453819,323,5
1000000.0,9.8143496,0.2683653,323,5
100.0,0.0172384,0.0215155,273,1
200.0,0.0356973,0.0299341,273,1
500.0,0.0858028,0.045102,273,1
1000.0,0.1694315,0.0649825,273,1
2000.0,0.3356951,0.08989949999999998,273,1
5000.0,0.7380346,0.1265671,273,1
10000.0,1.3569984,0.1678338,273,1
20000.0,2.5312654,0.2378886,273,1
50000.0,6.1718655,0.3973355,273,1
100000.0,9.697728,0.326203,273,1
1000000.0,14.3274974,0.1623922,273,1
100.0,0.0069571,0.0168501,298,1
200.0,0.0126381,0.0191047,298,1
500.0,0.0316078,0.0304578,298,1
1000.0,0.064594,0.040102,298,1
2000.0,0.1291173,0.055144,298,1
5000.0,0.2960577,0.08432729999999998,298,1
10000.0,0.6130292,0.1214564,298,1
20000.0,1.139687,0.1603237,298,1
50000.0,2.4895179,0.2544051,298,1
100000.0,4.967053,0.3713227,298,1
1000000.0,12.5715267,0.1957699,298,1
100.0,0.0031097,0.0112705,323,1
200.0,0.0060575,0.0157448,323,1
500.0,0.0143985,0.0246441,323,1
1000.0,0.0302501,0.0294733,323,1
2000.0,0.0584866,0.0397543,323,1
5000.0,0.140867,0.0574178,323,1
10000.0,0.2829587,0.0872842,323,1
20000.0,0.549683,0.1155352,323,1
50000.0,1.2456114,0.1904487,323,1
100000.0,2.4365718,0.2599417,323,1
1000000.0,10.6065213,0.2508609,323,1
100.0,0.0131945,0.0233981,273,6
200.0,0.0273024,0.0284956,273,6
500.0,0.0698536,0.0432715,273,6
1000.0,0.1293457,0.0575402,273,6
2000.0,0.2568521,0.083273,273,6
5000.0,0.6426246,0.1274268,273,6
10000.0,1.2143573,0.1800947,273,6
20000.0,2.439381,0.2678178,273,6
50000.0,6.0357484,0.3704935,273,6
100000.0,9.2106057,0.3195971,273,6
1000000.0,13.7652199,0.1629144,273,6
100.0,0.0053226,0.0150365,298,6
200.0,0.0113635,0.0217322,298,6
500.0,0.0270449,0.0331386,298,6
1000.0,0.0546255,0.0410775,298,6
