Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.008573499999999998,0.0188466,273,5
200.0,0.0171553,0.026729,273,5
500.0,0.0431706,0.0422306,273,5
1000.0,0.08508319999999998,0.0531776,273,5
2000.0,0.1756675,0.07327549999999998,273,5
5000.0,0.4354378,0.1136094,273,5
10000.0,0.8454834,0.1561271,273,5
20000.0,1.7849689,0.2538989,273,5
50000.0,5.294504,0.4056484,273,5
100000.0,8.909629799999998,0.3303867,273,5
1000000.0,13.7263541,0.1917407,273,5
100.0,0.0039899,0.0128549,298,5
200.0,0.0078968,0.0179455,298,5
500.0,0.0197087,0.028889,298,5
1000.0,0.037383,0.0395727,298,5
2000.0,0.0768086,0.0564021,298,5
5000.0,0.1906554,0.07714029999999998,298,5
10000.0,0.3868787,0.1041421,298,5
20000.0,0.7752867,0.1516248,298,5
50000.0,1.9931674,0.2530418,298,5
100000.0,4.1905622,0.358564,298,5
1000000.0,11.9491583,0.2273165,298,5
100.0,0.0019223,0.0089583,323,5
200.0,0.0037491,0.0125345,323,5
500.0,0.0092959,0.0196837,323,5
1000.0,0.0193765,0.0280022,323,5
2000.0,0.0395295,0.0406328,323,5
5000.0,0.09952730000000001,0.0545692,323,5
10000.0,0.195495,0.0782622,323,5
20000.0,0.3873312,0.1131378,323,5
50000.0,0.9428423,0.1738069,323,5
100000.0,1.9543209,0.2658436,323,5
1000000.0,9.8927026,0.2711363,323,5
100.0,0.0193558,0.0234147,273,1
200.0,0.0366398,0.031165,273,1
500.0,0.0950932,0.049953,273,1
1000.0,0.1740151,0.0665622,273,1
2000.0,0.3754197,0.0949747,273,1
5000.0,0.8373745999999999,0.132828,273,1
10000.0,1.5058614,0.1859049,273,1
20000.0,2.7827,0.2639398,273,1
50000.0,6.5690046,0.3946547,273,1
100000.0,10.0403151,0.3062829,273,1
1000000.0,14.2433707,0.1992621,273,1
100.0,0.0067301,0.0168148,298,1
200.0,0.0145521,0.0200967,298,1
500.0,0.037412,0.0312434,298,1
1000.0,0.0776016,0.0434206,298,1
2000.0,0.1446327,0.0604698,298,1
5000.0,0.349089,0.0912402,298,1
10000.0,0.6512782,0.1249988,298,1
20000.0,1.2079621,0.1694548,298,1
50000.0,2.74794,0.2711013,298,1
100000.0,5.2711373,0.3881128,298,1
1000000.0,12.6172067,0.1976112,298,1
100.0,0.0031595,0.011454,323,1
200.0,0.006481,0.016247,323,1
500.0,0.0166945,0.0218618,323,1
1000.0,0.0328865,0.0308278,323,1
2000.0,0.060247,0.0391919,323,1
5000.0,0.1564896,0.0643888,323,1
10000.0,0.306923,0.08889379999999998,323,1
20000.0,0.5942642,0.1145709,323,1
50000.0,1.362444,0.1818309,323,1
100000.0,2.5780511,0.256833,323,1
1000000.0,10.6570772,0.2434897,323,1
100.0,0.0154323,0.0253614,273,6
200.0,0.0301588,0.0298972,273,6
500.0,0.07665909999999998,0.0450834,273,6
1000.0,0.1524547,0.0646433,273,6
2000.0,0.2998608,0.0916369,273,6
5000.0,0.7275458,0.1289478,273,6
10000.0,1.3826483,0.1965728,273,6
20000.0,2.7248304,0.2775482,273,6
50000.0,6.660876,0.3833133,273,6
100000.0,9.5708732,0.2955495,273,6
1000000.0,13.771629,0.1968136,273,6
100.0,0.0059039,0.0156441,298,6
200.0,0.0118659,0.0219269,298,6
500.0,0.0295028,0.0351374,298,6
1000.0,0.0609985,0.0425323,298,6
2000.0,0.120083,0.0591639,298,6
5000.0,0.302738,0.0911867,298,6
10000.0,0.5801042,0.125185,298,6
20000.0,1.1189092,0.182585,298,6
50000.0,2.7904912,0.2808765,298,6
100000.0,5.2836518,0.3771534,298,6
1000000.0,12.047529,0.1960649,298,6
100.0,0.0027485,0.0106353,323,6
