Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000573,0.0048435,273,5
200.0,0.001067,0.0066739,273,5
500.0,0.0025658,0.0102694,273,5
1000.0,0.0051067,0.0144583,273,5
2000.0,0.0100516,0.0205373,273,5
5000.0,0.0253552,0.0323348,273,5
10000.0,0.0517441,0.0467708,273,5
20000.0,0.1022011,0.0646714,273,5
50000.0,0.2488765,0.0901075,273,5
100000.0,0.4877989,0.1248989,273,5
100.0,0.0003363,0.0037215,298,5
200.0,0.0005854,0.0049302,298,5
500.0,0.0016483,0.008170099999999998,298,5
1000.0,0.0032799,0.0115477,298,5
2000.0,0.0065059,0.0162051,298,5
5000.0,0.0161174,0.0259248,298,5
10000.0,0.0316908,0.0357942,298,5
20000.0,0.0644777,0.0520518,298,5
50000.0,0.1613147,0.0814885,298,5
100000.0,0.3151766,0.102436,298,5
100.0,0.0002491,0.0032063,323,5
200.0,0.0004235,0.0041717,323,5
500.0,0.0010629,0.0066875,323,5
1000.0,0.0021517,0.009589,323,5
2000.0,0.0045421,0.0138095,323,5
5000.0,0.010612,0.0211404,323,5
10000.0,0.0220088,0.0300051,323,5
20000.0,0.0435816,0.042014,323,5
50000.0,0.1086655,0.0676993,323,5
100000.0,0.2187149,0.080948,323,5
100.0,0.0006311,0.0050797,273,1
200.0,0.0009425,0.006267,273,1
500.0,0.0025866,0.0103894,273,1
1000.0,0.0053226,0.0148867,273,1
2000.0,0.0103307,0.0207733,273,1
5000.0,0.0267294,0.0327684,273,1
10000.0,0.0523503,0.0463636,273,1
20000.0,0.1026608,0.0645634,273,1
50000.0,0.2576037,0.0916961,273,1
100000.0,0.5018798,0.1318578,273,1
100.0,0.000274,0.0033618,298,1
200.0,0.0006643,0.0052095,298,1
500.0,0.0017189,0.0084565,298,1
1000.0,0.0033464,0.0116624,298,1
2000.0,0.0064727,0.0161439,298,1
5000.0,0.0164827,0.0262712,298,1
10000.0,0.0326042,0.0371397,298,1
20000.0,0.0658187,0.0515983,298,1
50000.0,0.1619333,0.0801501,298,1
100000.0,0.3240658,0.1023499,298,1
100.0,0.000191,0.0028094,323,1
200.0,0.0004359,0.004232,323,1
500.0,0.0011216,0.006858,323,1
1000.0,0.002462,0.0101004,323,1
2000.0,0.0041269,0.0130184,323,1
5000.0,0.0108446,0.0212504,323,1
10000.0,0.022424,0.0308073,323,1
20000.0,0.045479,0.0433124,323,1
50000.0,0.1115676,0.0680614,323,1
100000.0,0.2192366,0.0835843,323,1
100.0,0.0005522,0.0048281,273,6
200.0,0.0009798,0.006384,273,6
500.0,0.0028108,0.010724,273,6
1000.0,0.0054001,0.0149786,273,6
2000.0,0.0106287,0.0210912,273,6
5000.0,0.0265891,0.0334651,273,6
10000.0,0.0539487,0.0468762,273,6
20000.0,0.1048666,0.0654031,273,6
50000.0,0.2623325,0.09263950000000001,273,6
100000.0,0.5146132,0.1287103,273,6
100.0,0.0003197,0.0036292,298,6
200.0,0.0006809,0.0053703,298,6
500.0,0.0016358,0.0082252,298,6
1000.0,0.0033796,0.0119016,298,6
2000.0,0.0066554,0.0166489,298,6
5000.0,0.0168522,0.0264593,298,6
10000.0,0.0329571,0.0366604,298,6
20000.0,0.0675625,0.0525987,298,6
