Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0244816,0.0354834,273,5
200.0,0.0505578,0.0507214,273,5
500.0,0.1269077,0.08022899999999998,273,5
1000.0,0.2530255,0.1034395,273,5
2000.0,0.5075665,0.1399555,273,5
5000.0,1.2191416,0.2178651,273,5
10000.0,2.4357018,0.2915843,273,5
20000.0,4.4090387,0.3483823,273,5
50000.0,7.2011734,0.2967394,273,5
100000.0,8.640484499999998,0.2398002,273,5
1000000.0,11.4611615,0.2058969,273,5
100.0,0.0097335,0.0221031,298,5
200.0,0.0201907,0.0319726,298,5
500.0,0.0504716,0.0505799,298,5
1000.0,0.1002246,0.0716718,298,5
2000.0,0.2000059,0.091366,298,5
5000.0,0.4993291,0.1392336,298,5
10000.0,0.9896955,0.1912885,298,5
20000.0,1.8924108,0.260086,298,5
50000.0,4.1388716,0.3375158,298,5
100000.0,6.0976156,0.312169,298,5
1000000.0,10.1180291,0.1965375,298,5
100.0,0.0045508,0.0153159,323,5
200.0,0.0092647,0.0217853,323,5
500.0,0.0233757,0.0342726,323,5
1000.0,0.0462775,0.0487217,323,5
2000.0,0.0940023,0.0687659,323,5
5000.0,0.2313671,0.0962544,323,5
10000.0,0.4595594,0.1318331,323,5
20000.0,0.9110058,0.1824916,323,5
50000.0,2.0983493,0.2746359,323,5
100000.0,3.7266783,0.3288746,323,5
1000000.0,8.8603456,0.2210863,323,5
100.0,0.0342253,0.0419477,273,1
200.0,0.0669013,0.0584242,273,1
500.0,0.1721864,0.0823677,273,1
1000.0,0.3397658,0.1169514,273,1
2000.0,0.6821307,0.1628587,273,1
5000.0,1.6924445,0.2599258,273,1
10000.0,3.3473158,0.3398473,273,1
20000.0,5.66457,0.3620776,273,1
50000.0,8.2289033,0.2723282,273,1
100000.0,9.5029959,0.2561802,273,1
1000000.0,12.1739288,0.1894285,273,1
100.0,0.0130205,0.0257046,298,1
200.0,0.0274954,0.0372789,298,1
500.0,0.0653114,0.0568779,298,1
1000.0,0.1328803,0.08156349999999998,298,1
2000.0,0.2662141,0.1073027,298,1
5000.0,0.6615323,0.1586629,298,1
10000.0,1.292567,0.2202429,298,1
20000.0,2.5491068,0.3027486,298,1
50000.0,5.2606918,0.3534876,298,1
100000.0,7.2037505,0.2901205,298,1
1000000.0,10.8473501,0.1896918,298,1
100.0,0.0058809,0.0171824,323,1
200.0,0.0121714,0.0247592,323,1
500.0,0.0305612,0.0387925,323,1
1000.0,0.0617645,0.0556117,323,1
2000.0,0.1227085,0.07966719999999998,323,1
5000.0,0.3028535,0.1120281,323,1
10000.0,0.6013884,0.1537446,323,1
20000.0,1.1689526,0.2085633,323,1
50000.0,2.7649591,0.3034421,323,1
100000.0,4.6478242,0.3255896,323,1
1000000.0,9.542794,0.2196815,323,1
100.0,0.0219794,0.0336989,273,6
200.0,0.0442834,0.0479257,273,6
500.0,0.1099061,0.0747743,273,6
1000.0,0.219641,0.0947172,273,6
2000.0,0.4340637,0.1331943,273,6
5000.0,1.0891029,0.2107828,273,6
10000.0,2.1776331,0.3018855,273,6
20000.0,4.0987133,0.3481031,273,6
50000.0,6.9609645,0.3122934,273,6
100000.0,8.532583799999998,0.2448975,273,6
1000000.0,11.6466014,0.2079596,273,6
100.0,0.0091831,0.0215804,298,6
200.0,0.018086,0.0304721,298,6
500.0,0.0464202,0.0487458,298,6
1000.0,0.0901089,0.0670685,298,6
2000.0,0.1785489,0.08301649999999998,298,6
5000.0,0.4568534,0.135872,298,6
10000.0,0.8962517,0.1838541,298,6
20000.0,1.7420586,0.2580544,298,6
50000.0,3.8966207,0.3289421,298,6
100000.0,5.9926889,0.333623,298,6
1000000.0,10.3079946,0.2205039,298,6
100.0,0.004189,0.0146678,323,6
200.0,0.0087194,0.0210379,323,6
500.0,0.0213271,0.033064,323,6
1000.0,0.0433473,0.0469636,323,6
2000.0,0.0850791,0.0658217,323,6
5000.0,0.2141882,0.0906199,323,6
10000.0,0.4248739,0.1280659,323,6
20000.0,0.8370075,0.1717741,323,6
50000.0,1.9808926,0.2761541,323,6
100000.0,3.5559004,0.3174002,323,6
1000000.0,8.889744699999998,0.2251553,323,6
100.0,0.0301382,0.0392513,273,2
200.0,0.058289,0.0552101,273,2
500.0,0.1497075,0.0879516,273,2
1000.0,0.3001104,0.1128051,273,2
2000.0,0.6093248,0.1583057,273,2
5000.0,1.483194,0.2415985,273,2
10000.0,3.0766844,0.3244857,273,2
20000.0,5.4331922,0.3634355,273,2
50000.0,8.133788499999998,0.2685171,273,2
100000.0,9.4975377,0.2547359,273,2
1000000.0,12.3615284,0.2129956,273,2
100.0,0.0117821,0.0246593,298,2
200.0,0.0239261,0.0345584,298,2
500.0,0.0607911,0.0555283,298,2
1000.0,0.1202063,0.077826,298,2
2000.0,0.2450093,0.1008375,298,2
5000.0,0.6006546,0.1553453,298,2
10000.0,1.1753769,0.2108246,298,2
20000.0,2.3576299,0.2890866,298,2
50000.0,5.0013702,0.3689515,298,2
100000.0,7.0853726,0.3118631,298,2
1000000.0,10.9405496,0.1899928,298,2
