Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007244,0.0047741,273,5
200.0,0.0014742,0.0068163,273,5
500.0,0.0036,0.010702,273,5
1000.0,0.007427699999999998,0.015259,273,5
2000.0,0.0144125,0.0213109,273,5
5000.0,0.0359111,0.0334504,273,5
10000.0,0.0716483,0.0424332,273,5
20000.0,0.141865,0.0543697,273,5
50000.0,0.3222891,0.08402049999999998,273,5
100000.0,0.5715015,0.1003072,273,5
100.0,0.0003733,0.003416,298,5
200.0,0.0006453,0.0045386,298,5
500.0,0.0017272,0.0073388,298,5
1000.0,0.0036379,0.0106328,298,5
2000.0,0.0073423,0.0151656,298,5
5000.0,0.0185942,0.0240176,298,5
10000.0,0.0360851,0.0338634,298,5
20000.0,0.071158,0.0414794,298,5
50000.0,0.1694575,0.0605812,298,5
100000.0,0.3224377,0.0814078,298,5
100.0,0.0002025,0.0025226,323,5
200.0,0.0003543,0.003359,323,5
500.0,0.0009111,0.0053658,323,5
1000.0,0.0018759,0.0077606,323,5
2000.0,0.0038752,0.0109718,323,5
5000.0,0.0102115,0.017749,323,5
10000.0,0.0192652,0.024879,323,5
20000.0,0.0392391,0.0353767,323,5
50000.0,0.0959945,0.0492622,323,5
100000.0,0.1872018,0.06501,323,5
100.0,0.0021321,0.0082769,273,1
200.0,0.004337,0.0116877,273,1
500.0,0.010433,0.0181513,273,1
1000.0,0.0208912,0.0256349,273,1
2000.0,0.0415072,0.0360809,273,1
5000.0,0.1019982,0.0472992,273,1
10000.0,0.1959993,0.0661954,273,1
20000.0,0.3782932,0.0907983,273,1
50000.0,0.7475327,0.1136189,273,1
100000.0,1.2281107,0.1375988,273,1
100.0,0.0009522,0.0055512,298,1
200.0,0.0018822,0.0078233,298,1
500.0,0.0050773,0.012675,298,1
1000.0,0.0092973,0.0170978,298,1
2000.0,0.0193032,0.0243739,298,1
5000.0,0.0485553,0.0383881,298,1
10000.0,0.0929318,0.0485538,298,1
20000.0,0.1814633,0.0648331,298,1
50000.0,0.4122164,0.0923291,298,1
100000.0,0.7101199,0.1146232,298,1
100.0,0.0004967,0.0039579,323,1
200.0,0.0009174,0.0054572,323,1
500.0,0.0025054,0.0089546,323,1
1000.0,0.0047863,0.0123255,323,1
2000.0,0.0099205,0.0177731,323,1
5000.0,0.0244754,0.0275106,323,1
10000.0,0.0488676,0.0384744,323,1
20000.0,0.0958921,0.047784,323,1
50000.0,0.2296644,0.07291749999999998,323,1
100000.0,0.4252689,0.094753,323,1
100.0,0.0007343,0.004826,273,6
200.0,0.001414,0.0066584,273,6
500.0,0.0035082,0.0105205,273,6
1000.0,0.0067855,0.0144997,273,6
2000.0,0.0135553,0.0206057,273,6
5000.0,0.0334279,0.0316924,273,6
10000.0,0.0679566,0.0403511,273,6
20000.0,0.1301911,0.0542612,273,6
50000.0,0.3105602,0.0826603,273,6
100000.0,0.5431806,0.095733,273,6
100.0,0.0003322,0.0032245,298,6
200.0,0.0007466,0.0048021,298,6
500.0,0.0015849,0.007087,298,6
1000.0,0.003388,0.0104263,298,6
2000.0,0.0068267,0.0146145,298,6
5000.0,0.0168958,0.022922,298,6
10000.0,0.0337126,0.0324306,298,6
20000.0,0.0669823,0.0395012,298,6
50000.0,0.1600352,0.0597791,298,6
100000.0,0.3032738,0.0843658,298,6
100.0,0.0001961,0.0024831,323,6
200.0,0.0003796,0.0034445,323,6
500.0,0.0009395,0.0054991,323,6
