Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0140105,0.0203937,273,5
200.0,0.0267356,0.0280339,273,5
500.0,0.0664839,0.037959,273,5
1000.0,0.1373201,0.0541126,273,5
2000.0,0.2760137,0.07795739999999998,273,5
5000.0,0.6970974,0.1290141,273,5
10000.0,1.39893,0.1663704,273,5
20000.0,2.4836736,0.1820424,273,5
50000.0,3.7562181,0.1492085,273,5
100000.0,4.5843198,0.1377885,273,5
1000000.0,6.229226,0.0883614,273,5
100.0,0.0051681,0.0121461,298,5
200.0,0.0108879,0.0179178,298,5
500.0,0.0272844,0.028682,298,5
1000.0,0.0538058,0.039562,298,5
2000.0,0.1106046,0.0480144,298,5
5000.0,0.2651115,0.0741381,298,5
10000.0,0.5491764,0.103244,298,5
20000.0,1.0530311,0.148384,298,5
50000.0,2.233544,0.1569281,298,5
100000.0,3.1387125,0.154724,298,5
1000000.0,5.3406202,0.1142518,298,5
100.0,0.002475,0.006997,323,5
200.0,0.0050517,0.0099404,323,5
500.0,0.0127388,0.0156956,323,5
1000.0,0.0251215,0.0221521,323,5
2000.0,0.0500489,0.0268927,323,5
5000.0,0.127877,0.0436832,323,5
10000.0,0.2515481,0.0589213,323,5
20000.0,0.4849328,0.0828246,323,5
50000.0,1.1541211,0.124381,323,5
100000.0,1.9774331,0.1311039,323,5
1000000.0,4.5075245,0.1036804,323,5
100.0,0.0270437,0.0236155,273,1
200.0,0.0528138,0.0323536,273,1
500.0,0.1390868,0.0563432,273,1
1000.0,0.2691837,0.0704249,273,1
2000.0,0.5424478,0.0997195,273,1
5000.0,1.2927911,0.150521,273,1
10000.0,2.1448393,0.1577619,273,1
20000.0,3.0359314,0.1520394,273,1
50000.0,3.9749635,0.1304639,273,1
100000.0,4.6373374,0.1250735,273,1
1000000.0,6.2660596,0.0925972,273,1
100.0,0.0090126,0.0161862,298,1
200.0,0.0180076,0.0199864,298,1
500.0,0.0491219,0.0308456,298,1
1000.0,0.0921777,0.0428817,298,1
2000.0,0.1832571,0.060905,298,1
5000.0,0.4597733,0.0932066,298,1
10000.0,0.8841953999999999,0.1303933,298,1
20000.0,1.6342235,0.1509181,298,1
50000.0,2.7410223,0.1541964,298,1
100000.0,3.4706224,0.1332201,298,1
1000000.0,5.4883391,0.1216484,298,1
100.0,0.0039795,0.008850399999999998,323,1
200.0,0.007675399999999998,0.0122184,323,1
500.0,0.0187018,0.0162368,323,1
1000.0,0.0389403,0.0229171,323,1
2000.0,0.0791464,0.033282,323,1
5000.0,0.1944842,0.0527604,323,1
10000.0,0.3784688,0.0707687,323,1
20000.0,0.7330265999999999,0.0984046,323,1
50000.0,1.6080669,0.1221287,323,1
100000.0,2.4483238,0.1238119,323,1
1000000.0,4.6184135,0.1120007,323,1
100.0,0.0539026,0.0312625,273,6
200.0,0.1068345,0.0441907,273,6
500.0,0.2586611,0.0715419,273,6
1000.0,0.5507188,0.0978689,273,6
2000.0,1.1103316,0.1498425,273,6
5000.0,2.3504871,0.1808231,273,6
10000.0,3.4935276,0.1649625,273,6
20000.0,4.3144494,0.1413327,273,6
50000.0,5.1844809,0.1298636,273,6
100000.0,5.6765784,0.1343954,273,6
1000000.0,6.7504691,0.084703,273,6
100.0,0.0158594,0.0213929,298,6
200.0,0.0331422,0.027183,298,6
500.0,0.08816,0.0403917,298,6
1000.0,0.1629956,0.0579106,298,6
2000.0,0.3296658,0.0835601,298,6
5000.0,0.8042585,0.1310107,298,6
10000.0,1.5715294,0.1550432,298,6
20000.0,2.5966242,0.1757808,298,6
50000.0,3.8606702,0.159398,298,6
100000.0,4.5991379,0.1339234,298,6
1000000.0,6.1536541,0.1178385,298,6
100.0,0.0065592,0.0136505,323,6
200.0,0.0126136,0.0193398,323,6
500.0,0.0327988,0.0270168,323,6
1000.0,0.0671941,0.0382133,323,6
2000.0,0.1327536,0.0526797,323,6
5000.0,0.3335931,0.0846196,323,6
10000.0,0.6377033,0.1078181,323,6
20000.0,1.2116217,0.1393488,323,6
50000.0,2.3950575,0.1636584,323,6
100000.0,3.3073772,0.1498629,323,6
1000000.0,5.4461861,0.1217439,323,6
100.0,0.238608,0.0707381,273,2
200.0,0.4418596,0.0907774,273,2
500.0,1.026894,0.1481283,273,2
1000.0,1.7872449,0.1707473,273,2
2000.0,2.5118052,0.1419995,273,2
5000.0,3.36005,0.1342514,273,2
10000.0,3.9416938,0.1227988,273,2
20000.0,4.4883772,0.1265628,273,2
50000.0,5.2305164,0.1196923,273,2
100000.0,5.6875247,0.1008838,273,2
1000000.0,6.7567228,0.0856751,273,2
100.0,0.0596254,0.0350673,298,2
200.0,0.1130849,0.0477381,298,2
500.0,0.2994271,0.077306,298,2
1000.0,0.5801952,0.1005604,298,2
2000.0,1.0352332,0.1249671,298,2
5000.0,2.04006,0.1515219,298,2
10000.0,2.6732307,0.1288349,298,2
20000.0,3.3462503,0.126308,298,2
50000.0,4.1650984,0.1311877,298,2
100000.0,4.7394446,0.1151269,298,2
1000000.0,6.1794399,0.0900779,298,2
100.0,0.0190436,0.0196268,323,2
200.0,0.0397894,0.0281768,323,2
500.0,0.1013165,0.0452546,323,2
1000.0,0.1900077,0.0609643,323,2
2000.0,0.3725186,0.0893413,323,2
5000.0,0.8559812999999998,0.1421267,323,2
10000.0,1.5279045,0.1514629,323,2
20000.0,2.2732905,0.141409,323,2
50000.0,3.1047762,0.1241426,323,2
100000.0,3.7882683,0.1215955,323,2
1000000.0,5.5319054,0.1104862,323,2
100.0,0.0077341,0.012356,273,8
200.0,0.0152177,0.0172775,273,8
500.0,0.0386488,0.0276054,273,8
1000.0,0.0778393,0.0350523,273,8
2000.0,0.1618916,0.0504592,273,8
5000.0,0.4158656,0.08069089999999998,273,8
10000.0,0.8730828,0.116688,273,8
20000.0,1.7143654,0.1496795,273,8
50000.0,3.1722259,0.130117,273,8
100000.0,4.07523,0.1163761,273,8
1000000.0,5.8865501,0.0717831,273,8
100.0,0.0033671,0.008111399999999998,298,8
200.0,0.0069804,0.0117903,298,8
500.0,0.017587,0.0182939,298,8
1000.0,0.0351173,0.0262641,298,8
2000.0,0.0690743,0.0367159,298,8
5000.0,0.1767505,0.0519401,298,8
10000.0,0.355027,0.0744504,298,8
20000.0,0.7039633,0.1011874,298,8
50000.0,1.6868096,0.1434833,298,8
100000.0,2.6548584,0.1400645,298,8
1000000.0,5.020439,0.1232036,298,8
100.0,0.0017843,0.0059241,323,8
200.0,0.0034865,0.0082509,323,8
500.0,0.008804299999999998,0.0129794,323,8
1000.0,0.0178942,0.01871,323,8
2000.0,0.0351955,0.0259313,323,8
5000.0,0.08941019999999998,0.0417204,323,8
10000.0,0.1768385,0.0582125,323,8
20000.0,0.3473884,0.0823412,323,8
50000.0,0.8363243,0.1239236,323,8
100000.0,1.5392051,0.1517059,323,8
1000000.0,4.1427516,0.1317774,323,8
100.0,0.0051984,0.010047,273,4
200.0,0.0106825,0.0147022,273,4
500.0,0.0268804,0.0229245,273,4
1000.0,0.054921,0.0329035,273,4
2000.0,0.110022,0.0428446,273,4
5000.0,0.2885107,0.0670565,273,4
10000.0,0.5841752,0.0962304,273,4
20000.0,1.2175787,0.1364886,273,4
50000.0,2.714145,0.1471521,273,4
100000.0,3.7556015,0.1329234,273,4
1000000.0,5.7905848,0.1030146,273,4
100.0,0.0024985,0.0070595,298,4
200.0,0.0051397,0.0100048,298,4
500.0,0.0125784,0.0158872,298,4
1000.0,0.0251821,0.0223887,298,4
2000.0,0.0502019,0.0313813,298,4
5000.0,0.1235101,0.0445639,298,4
10000.0,0.2570808,0.0631666,298,4
20000.0,0.5063798,0.0893651,298,4
50000.0,1.2680062,0.1359629,298,4
100000.0,2.2474657,0.1467154,298,4
1000000.0,4.9239034,0.11078,298,4
100.0,0.0013285,0.0051128,323,4
200.0,0.0026511,0.0073033,323,4
500.0,0.0063234,0.0111425,323,4
