Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,7.899999999999998e-05,0.0020383,273,5
200.0,8.949999999999998e-05,0.0021697,273,5
500.0,0.0002054,0.0032827,273,5
1000.0,0.0005583,0.0054449,273,5
2000.0,0.0011692,0.007971499999999998,273,5
5000.0,0.0027335,0.0119648,273,5
10000.0,0.0051826,0.0165482,273,5
20000.0,0.0103968,0.0233313,273,5
50000.0,0.0265081,0.0338041,273,5
100000.0,0.0543962,0.0454206,273,5
100.0,1.58e-05,0.0009121000000000001,298,5
200.0,2.63e-05,0.0011774,298,5
500.0,0.000158,0.0028805,298,5
1000.0,0.000316,0.0040674,298,5
2000.0,0.0005372,0.0053442,298,5
5000.0,0.0013589,0.008481799999999998,298,5
10000.0,0.0029758,0.0125201,298,5
20000.0,0.0054249,0.0166878,298,5
50000.0,0.0138097,0.0224971,298,5
100000.0,0.0278354,0.0340004,298,5
100.0,1.58e-05,0.0009121000000000001,323,5
200.0,3.16e-05,0.0012897,323,5
500.0,9.48e-05,0.0022325,323,5
1000.0,0.0001843,0.0031105,323,5
2000.0,0.0002897,0.0038953,323,5
5000.0,0.0008216,0.0066113,323,5
10000.0,0.0014695,0.008769199999999998,323,5
20000.0,0.0030653,0.0125095,323,5
50000.0,0.008115,0.0208258,323,5
100000.0,0.015769,0.0288502,323,5
100.0,8.949999999999998e-05,0.0021697,273,1
200.0,0.0002423,0.0035639,273,1
500.0,0.0005741,0.0054687,273,1
1000.0,0.0010481,0.0074678,273,1
2000.0,0.0021963,0.0106855,273,1
5000.0,0.0061096,0.0177942,273,1
10000.0,0.0114818,0.0243575,273,1
20000.0,0.0228477,0.0312134,273,1
50000.0,0.0584096,0.0478624,273,1
100000.0,0.1125582,0.0623929,273,1
100.0,4.21e-05,0.0014891,298,1
200.0,0.0001001,0.0022936,298,1
500.0,0.0002791,0.0038242,298,1
1000.0,0.0005267,0.0052405,298,1
2000.0,0.0011956,0.0079152,298,1
5000.0,0.0027967,0.0119965,298,1
10000.0,0.0053775,0.0167612,298,1
20000.0,0.0117504,0.0248899,298,1
50000.0,0.0270032,0.0325051,298,1
100000.0,0.0523,0.0452887,298,1
100.0,1.58e-05,0.0009121000000000001,323,1
200.0,6.32e-05,0.0018234,323,1
500.0,0.0001791,0.0030659,323,1
1000.0,0.0002897,0.0038953,323,1
2000.0,0.0005899,0.0056418,323,1
5000.0,0.0014747,0.0088471,323,1
10000.0,0.00296,0.0124683,323,1
20000.0,0.0060306,0.0181221,323,1
50000.0,0.0152177,0.0282441,323,1
100000.0,0.0313853,0.0350851,323,1
100.0,3.16e-05,0.0012897,273,6
200.0,3.16e-05,0.0012897,273,6
500.0,0.0001106,0.002411,273,6
1000.0,0.0002213,0.003407,273,6
2000.0,0.0004582,0.0048912,273,6
5000.0,0.001264,0.0081294,273,6
10000.0,0.0023701,0.0111944,273,6
20000.0,0.004677,0.0157755,273,6
50000.0,0.0114923,0.0245568,273,6
100000.0,0.0233902,0.0353969,273,6
100.0,1.58e-05,0.0009121000000000001,298,6
200.0,4.74e-05,0.0015793,298,6
500.0,9.48e-05,0.0022325,298,6
1000.0,0.0001369,0.0026821,298,6
2000.0,0.0003687,0.0043911,298,6
5000.0,0.0005428,0.0054224,298,6
10000.0,0.0014642,0.0088488,298,6
20000.0,0.0026914,0.011811,298,6
50000.0,0.0067627,0.0189251,298,6
100000.0,0.0131935,0.0263106,298,6
100.0,1.05e-05,0.0007448,323,6
200.0,1.58e-05,0.0009121000000000001,323,6
500.0,1.05e-05,0.0007448,323,6
1000.0,0.0001264,0.0025771,323,6
2000.0,0.0001633,0.0029279,323,6
5000.0,0.0004266,0.004837,323,6
10000.0,0.0010007,0.0071906,323,6
20000.0,0.0017231,0.0094872,323,6
50000.0,0.0043873,0.0152795,323,6
100000.0,0.0091275,0.0220497,323,6
100.0,3.16e-05,0.0012897,273,2
200.0,0.0001369,0.0026821,273,2
500.0,0.0002423,0.0035639,273,2
1000.0,0.0004372,0.0047784,273,2
2000.0,0.0009796,0.0071159,273,2
5000.0,0.0027756,0.0120705,273,2
10000.0,0.0050457,0.0165569,273,2
20000.0,0.0099438,0.022712,273,2
50000.0,0.0245015,0.0352601,273,2
100000.0,0.050662,0.0445634,273,2
100.0,3.69e-05,0.001393,298,2
200.0,4.21e-05,0.0014891,298,2
500.0,0.0001317,0.0026301,298,2
1000.0,0.0003055,0.0039995,298,2
2000.0,0.0005004,0.0051091,298,2
5000.0,0.001401,0.008572599999999998,298,2
10000.0,0.0027335,0.0119879,298,2
20000.0,0.0055197,0.0170354,298,2
50000.0,0.0135675,0.0264522,298,2
100000.0,0.0285517,0.0387044,298,2
100.0,5.3e-06,0.0005267,323,2
200.0,2.11e-05,0.0010532,323,2
500.0,7.37e-05,0.0019693,323,2
1000.0,0.0001685,0.0029746,323,2
2000.0,0.0003318,0.0041673,323,2
5000.0,0.0007532,0.0062973,323,2
10000.0,0.0017978,0.0098211,323,2
20000.0,0.0035867,0.0137002,323,2
50000.0,0.0084902,0.0209761,323,2
100000.0,0.0168487,0.0296803,323,2
100.0,3.16e-05,0.0012897,273,8
200.0,2.11e-05,0.0010532,273,8
500.0,0.0001053,0.0023531,273,8
1000.0,0.0002844,0.0038599,273,8
2000.0,0.0004793,0.0050014,273,8
5000.0,0.0012166,0.0079818,273,8
10000.0,0.002565,0.0116025,273,8
20000.0,0.0050931,0.0162634,273,8
50000.0,0.0121936,0.0254092,273,8
100000.0,0.024714,0.0358519,273,8
100.0,2.11e-05,0.0010532,298,8
200.0,1.05e-05,0.0007448,298,8
