Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0270169,0.0411562,273,5
200.0,0.0524315,0.0568144,273,5
500.0,0.1337595,0.08138099999999998,273,5
1000.0,0.2624965,0.1074804,273,5
2000.0,0.5480378,0.1535979,273,5
5000.0,1.3715623,0.2435899,273,5
10000.0,2.7593096,0.3690747,273,5
20000.0,5.53062,0.4807872,273,5
50000.0,11.0406104,0.4601656,273,5
100000.0,13.9856047,0.3685251,273,5
1000000.0,17.6186649,0.2122601,273,5
100.0,0.0108585,0.0257471,298,5
200.0,0.0208296,0.0356663,298,5
500.0,0.0547918,0.0578302,298,5
1000.0,0.1089303,0.0711879,298,5
2000.0,0.2150998,0.0970985,298,5
5000.0,0.539056,0.1595798,298,5
10000.0,1.0410283,0.2133728,298,5
20000.0,2.1084704,0.3085297,298,5
50000.0,5.1807295,0.4329647,298,5
100000.0,8.6580499,0.4517761,298,5
1000000.0,15.9416444,0.2148432,298,5
100.0,0.005004,0.017453,323,5
200.0,0.0101375,0.0250508,323,5
500.0,0.023535,0.0379114,323,5
1000.0,0.0500219,0.0558063,323,5
2000.0,0.098078,0.07835069999999998,323,5
5000.0,0.2475152,0.1030413,323,5
10000.0,0.4945697,0.1480144,323,5
20000.0,0.9919587,0.2132015,323,5
50000.0,2.4001818,0.3368501,323,5
100000.0,4.5995873,0.4160895,323,5
1000000.0,13.8041953,0.3038605,323,5
100.0,0.0329145,0.0453376,273,1
200.0,0.0672279,0.056191,273,1
500.0,0.1643137,0.084495,273,1
1000.0,0.3294286,0.120752,273,1
2000.0,0.669346,0.1750227,273,1
5000.0,1.6261512,0.2735057,273,1
10000.0,3.3896281,0.3878906,273,1
20000.0,6.3180878,0.4695315,273,1
50000.0,11.5576684,0.4447621,273,1
100000.0,14.3612536,0.3674066,273,1
1000000.0,17.7785555,0.2344467,273,1
100.0,0.0127751,0.0279382,298,1
200.0,0.0261603,0.0400475,298,1
500.0,0.0660447,0.0641669,298,1
1000.0,0.1318183,0.0800067,298,1
2000.0,0.2636328,0.1110548,298,1
5000.0,0.6584936,0.1710411,298,1
10000.0,1.2687147,0.2237663,298,1
20000.0,2.5034306,0.3284893,298,1
50000.0,5.8372374,0.4483572,298,1
100000.0,9.361899,0.4604903,298,1
1000000.0,16.1736342,0.2444264,298,1
100.0,0.006064,0.0194213,323,1
200.0,0.0122143,0.0278559,323,1
500.0,0.0304679,0.0433652,323,1
1000.0,0.0595,0.0600186,323,1
2000.0,0.1174779,0.072705,323,1
5000.0,0.3030896,0.1174915,323,1
10000.0,0.5850258,0.1630561,323,1
20000.0,1.1663756,0.215884,323,1
50000.0,2.8138376,0.3328067,323,1
100000.0,5.1657024,0.4348826,323,1
1000000.0,14.0633938,0.3021678,323,1
100.0,0.0112899,0.0262065,273,6
200.0,0.0217787,0.0367959,273,6
500.0,0.0544492,0.0582323,273,6
1000.0,0.107932,0.0809721,273,6
2000.0,0.22337,0.1024065,273,6
5000.0,0.5522971,0.1586372,273,6
10000.0,1.1142916,0.2267375,273,6
20000.0,2.2271952,0.3420597,273,6
50000.0,5.6130431,0.5104126,273,6
100000.0,9.8489011,0.5157358,273,6
1000000.0,16.1719022,0.2418236,273,6
100.0,0.0050657,0.0176732,298,6
200.0,0.010649,0.0254793,298,6
500.0,0.0251496,0.0393614,298,6
1000.0,0.0511682,0.055672,298,6
2000.0,0.1009744,0.0796008,298,6
5000.0,0.2525069,0.109341,298,6
10000.0,0.5073812,0.1553886,298,6
20000.0,1.0046968,0.2121274,298,6
50000.0,2.4608214,0.3500416,298,6
100000.0,4.7979147,0.4436448,298,6
1000000.0,14.1720184,0.3027162,298,6
100.0,0.002539,0.0124939,323,6
200.0,0.0054046,0.0183857,323,6
500.0,0.0132373,0.0284724,323,6
1000.0,0.0266841,0.0407064,323,6
2000.0,0.0527643,0.0570007,323,6
5000.0,0.1324099,0.0896044,323,6
10000.0,0.2625396,0.1122187,323,6
20000.0,0.5398695,0.1592829,323,6
50000.0,1.2771991,0.2397741,323,6
100000.0,2.5047808,0.3289742,323,6
1000000.0,11.6061129,0.3584242,323,6
100.0,0.0137056,0.028888,273,2
200.0,0.0282248,0.0418167,273,2
500.0,0.0692061,0.0661748,273,2
1000.0,0.1402117,0.09334410000000001,273,2
2000.0,0.2767568,0.1159762,273,2
5000.0,0.7319382,0.1876721,273,2
10000.0,1.3764791,0.2543415,273,2
20000.0,2.7398641,0.3508734,273,2
50000.0,6.5757488,0.5143951,273,2
100000.0,10.6508103,0.4746917,273,2
1000000.0,16.6513593,0.2205124,273,2
100.0,0.0063105,0.0199038,298,2
200.0,0.0127445,0.0279471,298,2
500.0,0.0324646,0.0445877,298,2
1000.0,0.0654038,0.0630861,298,2
2000.0,0.1238747,0.086895,298,2
5000.0,0.3167829,0.1260761,298,2
10000.0,0.6215884,0.1711436,298,2
20000.0,1.2003228,0.2252279,298,2
50000.0,2.9266514,0.3677233,298,2
100000.0,5.510424,0.4583449,298,2
1000000.0,14.531595,0.2796822,298,2
100.0,0.0033894,0.014423,323,2
200.0,0.0063845,0.019842,323,2
500.0,0.016146,0.031117,323,2
1000.0,0.0318607,0.0443156,323,2
2000.0,0.0647937,0.0630143,323,2
5000.0,0.161294,0.0993202,323,2
10000.0,0.3180832,0.1218401,323,2
20000.0,0.63646,0.1723757,323,2
50000.0,1.491562,0.2539123,323,2
100000.0,2.8967854,0.3618003,323,2
1000000.0,12.1070327,0.3647291,323,2
100.0,0.0107846,0.0256749,273,8
200.0,0.0208789,0.0360086,273,8
500.0,0.0520631,0.0560034,273,8
1000.0,0.1031251,0.0791106,273,8
2000.0,0.2033847,0.095504,273,8
5000.0,0.5217781,0.1607777,273,8
10000.0,1.0249491,0.2063369,273,8
20000.0,2.0100233,0.2924268,273,8
50000.0,4.9324671,0.489287,273,8
100000.0,8.8551579,0.5381739,273,8
1000000.0,15.8896255,0.2398869,273,8
100.0,0.0049178,0.0174992,298,8
200.0,0.0096876,0.0242221,298,8
500.0,0.0244039,0.0387306,298,8
1000.0,0.0472179,0.0538775,298,8
2000.0,0.095502,0.07614079999999998,298,8
5000.0,0.2418024,0.105482,298,8
10000.0,0.4791554,0.152658,298,8
20000.0,0.9505899,0.211315,298,8
50000.0,2.2526694,0.3308411,298,8
100000.0,4.3864111,0.4553862,298,8
1000000.0,13.6994653,0.3150553,298,8
100.0,0.0024601,0.0125281,323,8
200.0,0.0048326,0.0173079,323,8
500.0,0.0129353,0.0280681,323,8
1000.0,0.0250448,0.0393365,323,8
2000.0,0.0497692,0.0550505,323,8
5000.0,0.1260069,0.0873115,323,8
10000.0,0.2506787,0.1241081,323,8
20000.0,0.5067454,0.1804437,323,8
50000.0,1.2067997,0.2642329,323,8
100000.0,2.3250612,0.3744657,323,8
1000000.0,11.1225281,0.4792189,323,8
100.0,0.0127751,0.0282894,273,4
200.0,0.0264314,0.0405678,273,4
500.0,0.0665254,0.0649149,273,4
1000.0,0.1345237,0.0909867,273,4
2000.0,0.2637167,0.1121061,273,4
5000.0,0.6612791,0.1762366,273,4
10000.0,1.2745837,0.2444114,273,4
20000.0,2.4855705,0.3364229,273,4
50000.0,5.7352349,0.4712964,273,4
100000.0,9.7471047,0.4959555,273,4
1000000.0,16.3580316,0.244875,273,4
100.0,0.0061256,0.0194995,298,4
200.0,0.0123314,0.0278247,298,4
500.0,0.029938,0.042891,298,4
1000.0,0.0602087,0.0611892,298,4
2000.0,0.1184947,0.08526789999999998,298,4
5000.0,0.2952076,0.1182527,298,4
10000.0,0.5922825,0.1667231,298,4
20000.0,1.1652239,0.2211306,298,4
50000.0,2.7111363,0.3446703,298,4
100000.0,5.0233899,0.4424069,298,4
1000000.0,14.1257669,0.2902419,298,4
100.0,0.003032,0.0136665,323,4
200.0,0.0061564,0.0193431,323,4
500.0,0.0153141,0.0306244,323,4
1000.0,0.0304926,0.0436273,323,4
2000.0,0.0612995,0.0612699,323,4
5000.0,0.1522104,0.095719,323,4
10000.0,0.3033423,0.1377156,323,4
20000.0,0.608028,0.1901498,323,4
50000.0,1.4329153,0.2856826,323,4
100000.0,2.738031,0.3997811,323,4
1000000.0,11.6779709,0.4441318,323,4
100.0,0.011709,0.0268693,273,7
200.0,0.0226045,0.0373872,273,7
500.0,0.0559935,0.0593036,273,7
1000.0,0.1140453,0.0843733,273,7
2000.0,0.2280043,0.1051295,273,7
5000.0,0.5772149,0.1714514,273,7
10000.0,1.1447538,0.2231452,273,7
20000.0,2.3854889,0.3491247,273,7
50000.0,6.1833295,0.5188756,273,7
100000.0,10.7039511,0.4639753,273,7
1000000.0,16.5921581,0.2305135,273,7
100.0,0.0052136,0.0180137,298,7
200.0,0.0100316,0.0247347,298,7
500.0,0.0253715,0.0393927,298,7
1000.0,0.0513407,0.0564962,298,7
2000.0,0.1038215,0.0804943,298,7
5000.0,0.2623318,0.1115242,298,7
10000.0,0.5176471,0.1621245,298,7
20000.0,1.0238388,0.2213609,298,7
50000.0,2.5698371,0.3358867,298,7
100000.0,5.2091027,0.4764062,298,7
1000000.0,14.486085,0.2890825,298,7
100.0,0.0026746,0.0129145,323,7
200.0,0.0051828,0.0177144,323,7
500.0,0.0135158,0.0289359,323,7
1000.0,0.0262104,0.0400575,323,7
2000.0,0.0545329,0.0584199,323,7
5000.0,0.1371797,0.0917283,323,7
10000.0,0.2735645,0.1154095,323,7
20000.0,0.550463,0.1646959,323,7
50000.0,1.2978868,0.2365137,323,7
