Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003451,0.0037495,273,5
200.0,0.0007313,0.0054631,273,5
500.0,0.0018323,0.0085991,273,5
1000.0,0.0035126,0.0120332,273,5
2000.0,0.0073662,0.0173986,273,5
5000.0,0.0177684,0.026866,273,5
10000.0,0.0347028,0.0376034,273,5
20000.0,0.0698287,0.0477176,273,5
50000.0,0.168814,0.0686629,273,5
100000.0,0.3141665,0.0927386,273,5
100.0,0.0001603,0.0025613,298,5
200.0,0.000304,0.003521,298,5
500.0,0.0007682999999999999,0.0057149,298,5
1000.0,0.0015735,0.008075,298,5
2000.0,0.0031675,0.0113523,298,5
5000.0,0.0084714,0.0185786,298,5
10000.0,0.0164209,0.0258575,298,5
20000.0,0.0321556,0.0355333,298,5
50000.0,0.0837189,0.0522347,298,5
100000.0,0.1583419,0.0682075,298,5
100.0,6.47e-05,0.0014105,323,5
200.0,0.0001696,0.0022794,323,5
500.0,0.0004314,0.0036463,323,5
1000.0,0.0008874,0.0052081,323,5
2000.0,0.0017594,0.0073975,323,5
5000.0,0.0044863,0.0118937,323,5
10000.0,0.0088462,0.0165778,323,5
20000.0,0.0178002,0.0232538,323,5
50000.0,0.0444127,0.0324183,323,5
100000.0,0.0869589,0.0440072,323,5
100.0,0.0005097,0.0046212,273,1
200.0,0.0009408000000000002,0.006308,273,1
500.0,0.0025184,0.0100919,273,1
1000.0,0.0046424,0.0138121,273,1
2000.0,0.0097408,0.0200122,273,1
5000.0,0.0238363,0.0308907,273,1
10000.0,0.0476275,0.0376727,273,1
20000.0,0.0942402,0.0551625,273,1
50000.0,0.2227723,0.07797529999999998,273,1
100000.0,0.4080688,0.1026719,273,1
100.0,0.0001767,0.0026882,298,1
200.0,0.0004766,0.0044372,298,1
500.0,0.0010558,0.0065526,298,1
1000.0,0.0021979,0.0093898,298,1
2000.0,0.0048355,0.0140553,298,1
5000.0,0.0115731,0.021799,298,1
10000.0,0.022571,0.0302277,298,1
20000.0,0.0447969,0.0427268,298,1
50000.0,0.1075511,0.0563382,298,1
100000.0,0.2154194,0.07838199999999998,298,1
100.0,0.0001417,0.002085,323,1
200.0,0.000228,0.0026407,323,1
500.0,0.0006809,0.0045921,323,1
1000.0,0.0012356,0.0061541,323,1
2000.0,0.0024588,0.0087276,323,1
5000.0,0.00611,0.0138071,323,1
10000.0,0.0121554,0.0191747,323,1
20000.0,0.0238887,0.0270588,323,1
50000.0,0.0608418,0.03839,323,1
100000.0,0.1169262,0.051784,323,1
100.0,0.0003615,0.0038369,273,6
200.0,0.0007604,0.0056281,273,6
500.0,0.0020829,0.0092167,273,6
