Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007054,0.0061218,273,5
200.0,0.0013471,0.008642699999999998,273,5
500.0,0.0034527,0.0135074,273,5
1000.0,0.0067516,0.0189821,273,5
2000.0,0.0134873,0.0267314,273,5
5000.0,0.0329412,0.0412849,273,5
10000.0,0.0664234,0.057537,273,5
20000.0,0.1255436,0.068197,273,5
50000.0,0.2965556,0.0959131,273,5
100000.0,0.530698,0.1298034,273,5
100.0,0.0004031,0.004606,298,5
200.0,0.0008061999999999999,0.0065321,298,5
500.0,0.0019624,0.0102061,298,5
1000.0,0.0039672,0.0143499,298,5
2000.0,0.007907799999999998,0.0206687,298,5
5000.0,0.0202177,0.0321688,298,5
10000.0,0.0388495,0.0449139,298,5
20000.0,0.07648449999999998,0.0621018,298,5
50000.0,0.1857352,0.0821678,298,5
100000.0,0.3409583,0.1091083,298,5
100.0,0.0002652,0.0037409,323,5
200.0,0.0005622,0.0054315,323,5
500.0,0.0013843,0.008522099999999998,323,5
1000.0,0.0025935,0.0117532,323,5
2000.0,0.0049696,0.0161671,323,5
5000.0,0.0128455,0.026109,323,5
10000.0,0.0255797,0.0370153,323,5
20000.0,0.0511266,0.0511791,323,5
50000.0,0.1223349,0.0787379,323,5
100000.0,0.2392153,0.0947991,323,5
100.0,0.0006683,0.0059631,273,1
200.0,0.0014373,0.0087737,273,1
500.0,0.0032634,0.0131363,273,1
1000.0,0.0065766,0.0185874,273,1
2000.0,0.0135774,0.0267436,273,1
5000.0,0.0330691,0.0415226,273,1
10000.0,0.0658506,0.0573738,273,1
20000.0,0.1265248,0.0686661,273,1
50000.0,0.2995047,0.1008304,273,1
100000.0,0.5554502,0.1340774,273,1
100.0,0.0003819,0.0044841,298,1
200.0,0.0008804,0.0068998,298,1
500.0,0.0020048,0.0102803,298,1
1000.0,0.0040891,0.0146554,298,1
2000.0,0.0079874,0.0206857,298,1
5000.0,0.0198305,0.0324133,298,1
10000.0,0.0393375,0.0447834,298,1
20000.0,0.0804941,0.0653342,298,1
50000.0,0.1894001,0.0844269,298,1
100000.0,0.3608684,0.1129576,298,1
100.0,0.0003076,0.0040274,323,1
200.0,0.0005675,0.0054567,323,1
500.0,0.0014214,0.008792299999999998,323,1
1000.0,0.0026625,0.0117737,323,1
2000.0,0.0051446,0.0166363,323,1
5000.0,0.0129304,0.0260563,323,1
10000.0,0.0263301,0.0368178,323,1
20000.0,0.0509632,0.0514805,323,1
50000.0,0.1267529,0.0797439,323,1
100000.0,0.246611,0.097953,323,1
100.0,0.0007584,0.0062968,273,6
200.0,0.0014055,0.008551599999999998,273,6
500.0,0.0038346,0.0142582,273,6
1000.0,0.0071016,0.0191647,273,6
2000.0,0.0155239,0.0282755,273,6
5000.0,0.0370781,0.0434695,273,6
10000.0,0.073201,0.0510229,273,6
20000.0,0.1373921,0.0698269,273,6
50000.0,0.3056772,0.0985891,273,6
100000.0,0.5454527,0.1318905,273,6
100.0,0.000419,0.0046954,298,6
200.0,0.0009388,0.0069934,298,6
500.0,0.0022965,0.0110522,298,6
1000.0,0.0044021,0.01529,298,6
2000.0,0.0085071,0.0210999,298,6
5000.0,0.0218671,0.0336736,298,6
10000.0,0.0439358,0.0473532,298,6
20000.0,0.0798842,0.0636434,298,6
50000.0,0.1955577,0.0861773,298,6
100000.0,0.3655038,0.1117788,298,6
100.0,0.0003235,0.0041297,323,6
200.0,0.0005304,0.0053827,323,6
500.0,0.0012941,0.0082172,323,6
1000.0,0.0028177,0.0121065,323,6
2000.0,0.00524,0.0166403,323,6
5000.0,0.0132433,0.0264201,323,6
10000.0,0.026651,0.0374575,323,6
20000.0,0.0529414,0.0524555,323,6
50000.0,0.1314042,0.0671686,323,6
100000.0,0.2473376,0.096949,323,6
100.0,0.0007531,0.006275,273,2
200.0,0.0014585,0.008738,273,2
500.0,0.003824,0.0142611,273,2
1000.0,0.0073032,0.0195114,273,2
2000.0,0.0145321,0.0279401,273,2
5000.0,0.0366432,0.0430599,273,2
10000.0,0.0730689,0.0614597,273,2
20000.0,0.1392643,0.0734819,273,2
50000.0,0.3187146,0.1035717,273,2
100000.0,0.5772059,0.1411754,273,2
100.0,0.0005145,0.005252,298,2
200.0,0.0009122,0.0069768,298,2
500.0,0.0021904,0.0108167,298,2
1000.0,0.0043968,0.0153191,298,2
2000.0,0.00847,0.0211481,298,2
5000.0,0.0217189,0.0337313,298,2
10000.0,0.0418458,0.0470564,298,2
20000.0,0.0839839,0.0660225,298,2
50000.0,0.1952978,0.0872585,298,2
100000.0,0.3776811,0.1152516,298,2
100.0,0.0002917,0.0039225,323,2
200.0,0.0005516,0.0053805,323,2
500.0,0.0014479,0.0087719,323,2
1000.0,0.002811,0.012209,323,2
2000.0,0.0054522,0.0168748,323,2
5000.0,0.0142033,0.0272035,323,2
10000.0,0.0273966,0.0379745,323,2
20000.0,0.0547235,0.0538315,323,2
50000.0,0.1310614,0.08303059999999998,323,2
100000.0,0.2577434,0.1013985,323,2
100.0,0.0008009,0.0065112,273,8
200.0,0.0013047,0.0082497,273,8
500.0,0.0036808,0.0139905,273,8
1000.0,0.0064175,0.0182927,273,8
2000.0,0.013291,0.0265608,273,8
5000.0,0.0330738,0.0412368,273,8
10000.0,0.0653892,0.0579889,273,8
20000.0,0.1240092,0.0678514,273,8
50000.0,0.2817721,0.0948398,273,8
100000.0,0.5060713,0.1299691,273,8
100.0,0.0003182,0.0040959,298,8
200.0,0.0007584,0.0063855,298,8
500.0,0.0018669,0.009916800000000002,298,8
1000.0,0.0037357,0.0140399,298,8
2000.0,0.0074888,0.0198207,298,8
5000.0,0.0190296,0.0314336,298,8
10000.0,0.0388336,0.0446293,298,8
20000.0,0.0740872,0.0620548,298,8
50000.0,0.1794287,0.0817315,298,8
100000.0,0.3359711,0.1065081,298,8
100.0,0.0002228,0.00343,323,8
200.0,0.0005569,0.0054578,323,8
