Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2649204,0.0962115,273,5
200.0,0.4988553,0.1267965,273,5
500.0,1.1134939,0.1743881,273,5
1000.0,1.8448154,0.211429,273,5
2000.0,2.7366149,0.1885693,273,5
5000.0,3.9622908,0.1798921,273,5
10000.0,4.6417184,0.1488341,273,5
20000.0,5.2129669,0.1402937,273,5
50000.0,5.7169371,0.1332457,273,5
100000.0,6.0812841,0.096757,273,5
1000000.0,6.7747489,0.1394017,273,5
100.0,0.0650488,0.0443251,298,5
200.0,0.1350281,0.0655174,298,5
500.0,0.3179172,0.1061753,298,5
1000.0,0.5974414,0.1305641,298,5
2000.0,1.075195,0.1758031,298,5
5000.0,2.0953473,0.1958454,298,5
10000.0,3.0199793,0.1984457,298,5
20000.0,3.849706,0.1848821,298,5
50000.0,4.7009728,0.1409483,298,5
100000.0,5.2425661,0.1748786,298,5
1000000.0,6.2675376,0.0943724,298,5
100.0,0.0195742,0.022384,323,5
200.0,0.0408261,0.032542,323,5
500.0,0.0975493,0.0465976,323,5
1000.0,0.1959477,0.0646401,323,5
2000.0,0.381011,0.0907002,323,5
5000.0,0.8511187999999998,0.1314435,323,5
10000.0,1.5300687,0.1561277,323,5
20000.0,2.3343415,0.1689299,323,5
50000.0,3.411455,0.1537552,323,5
100000.0,4.1702799,0.1591645,323,5
1000000.0,5.7818625,0.1301812,323,5
100.0,0.2019086,0.0800444,273,1
200.0,0.3829698,0.1060139,273,1
500.0,0.8957973999999999,0.1614164,273,1
1000.0,1.4777337,0.1971772,273,1
2000.0,2.4361381,0.2090077,273,1
5000.0,3.613609,0.1851005,273,1
10000.0,4.4762891,0.1838871,273,1
20000.0,5.0333922,0.1398002,273,1
50000.0,5.6131593,0.1265774,273,1
100000.0,5.9199708,0.1010297,273,1
1000000.0,6.5191704,0.1086805,273,1
100.0,0.0542154,0.0421148,298,1
200.0,0.102862,0.0577909,298,1
500.0,0.2555481,0.0911293,298,1
1000.0,0.49893,0.1188446,298,1
2000.0,0.9190181,0.1567127,298,1
5000.0,1.8256365,0.1992252,298,1
10000.0,2.6943819,0.1974542,298,1
20000.0,3.6239663,0.1951943,298,1
50000.0,4.4833634,0.1831903,298,1
100000.0,5.1075405,0.1440382,298,1
1000000.0,6.2453491,0.0998194,298,1
100.0,0.0173179,0.0204478,323,1
200.0,0.0327698,0.0294215,323,1
500.0,0.0825631,0.0437632,323,1
1000.0,0.162928,0.0600946,323,1
2000.0,0.3130747,0.08946379999999998,323,1
5000.0,0.7152052,0.123918,323,1
10000.0,1.3010511,0.1555727,323,1
20000.0,2.1140794,0.1754568,323,1
50000.0,3.2165614,0.1531556,323,1
100000.0,3.9285054,0.156751,323,1
1000000.0,5.6498997,0.1114176,323,1
100.0,1.1554406,0.198803,273,6
200.0,2.2890704,0.2274413,273,6
500.0,4.0033301,0.2228897,273,6
1000.0,4.8674909,0.1788029,273,6
2000.0,5.4996494,0.1431686,273,6
5000.0,5.9752304,0.1242351,273,6
10000.0,6.2446496,0.0902276,273,6
20000.0,6.2800603,0.07210289999999998,273,6
50000.0,6.4732758,0.0626429,273,6
100000.0,6.5984066,0.0446215,273,6
1000000.0,6.7158034,0.0566222,273,6
100.0,0.2532186,0.09577260000000001,298,6
200.0,0.4959473,0.1159782,298,6
500.0,1.1809718,0.1910551,298,6
1000.0,2.2067741,0.2330307,298,6
2000.0,3.4248238,0.2351427,298,6
5000.0,4.7761075,0.1777246,298,6
10000.0,5.3386105,0.1360332,298,6
20000.0,5.6930616,0.113869,298,6
50000.0,6.1597555,0.1037895,298,6
100000.0,6.3417568,0.07215739999999998,298,6
1000000.0,6.6484516,0.0638568,298,6
100.0,0.0682399,0.0449273,323,6
200.0,0.1375754,0.0674691,323,6
500.0,0.3442842,0.1115082,323,6
1000.0,0.6581907,0.1452915,323,6
2000.0,1.2955988,0.1965408,323,6
5000.0,2.6555477,0.2496295,323,6
10000.0,3.7843536,0.2199601,323,6
20000.0,4.624595,0.1795359,323,6
50000.0,5.3953773,0.160808,323,6
100000.0,5.8352025,0.1302864,323,6
1000000.0,6.3850833,0.0548353,323,6
100.0,1.1083159,0.1925489,273,2
200.0,2.1427342,0.2639393,273,2
500.0,4.0008382,0.2482326,273,2
1000.0,4.8979393,0.1971266,273,2
2000.0,5.4224988,0.1577499,273,2
5000.0,5.9637421,0.1035609,273,2
10000.0,6.1570377,0.0915001,273,2
20000.0,6.352701,0.0563452,273,2
50000.0,6.4631137,0.0560127,273,2
100000.0,6.5662314,0.0268578,273,2
1000000.0,6.6815884,0.0620479,273,2
100.0,0.2431977,0.0861747,298,2
200.0,0.4917504,0.1172206,298,2
500.0,1.1187162,0.1822805,298,2
1000.0,2.1697093,0.2582307,298,2
2000.0,3.4121485,0.2156173,298,2
5000.0,4.760962,0.1737108,298,2
10000.0,5.2820953,0.1412218,298,2
20000.0,5.7757547,0.1226041,298,2
50000.0,6.0842252,0.08953469999999998,298,2
100000.0,6.3105185,0.1101925,298,2
1000000.0,6.5055267,0.047104,298,2
100.0,0.065688,0.0479959,323,2
200.0,0.1276553,0.0644489,323,2
500.0,0.3212734,0.1005296,323,2
1000.0,0.6066722,0.1539396,323,2
2000.0,1.2250313,0.2007743,323,2
5000.0,2.4770371,0.2290358,323,2
10000.0,3.7686954,0.2027156,323,2
20000.0,4.6490239,0.1952361,323,2
50000.0,5.429906,0.1448545,323,2
100000.0,5.7724181,0.1094072,323,2
1000000.0,6.4304748,0.0542765,323,2
100.0,0.0201083,0.0262407,273,8
200.0,0.040631,0.0370164,273,8
500.0,0.1003637,0.0495762,273,8
1000.0,0.1974953,0.072007,273,8
2000.0,0.3810884,0.0995188,273,8
5000.0,0.8350341,0.1240468,273,8
10000.0,1.4329522,0.1535202,273,8
20000.0,2.2172798,0.1661165,273,8
50000.0,3.3242743,0.1551591,273,8
100000.0,3.999806,0.1390007,273,8
1000000.0,5.2879374,0.09425190000000001,273,8
100.0,0.0068546,0.0151936,298,8
200.0,0.0142398,0.0223032,298,8
500.0,0.0336771,0.0334827,298,8
1000.0,0.0675528,0.0420086,298,8
2000.0,0.1348729,0.0585268,298,8
5000.0,0.3140466,0.08683009999999998,298,8
10000.0,0.6068769,0.1123192,298,8
20000.0,1.0227321,0.1451633,298,8
50000.0,1.9601801,0.16826,298,8
100000.0,2.7423178,0.1604118,298,8
1000000.0,4.750537,0.1180627,298,8
100.0,0.0026193,0.0093796,323,8
200.0,0.0052043,0.0132825,323,8
500.0,0.0133565,0.0216794,323,8
1000.0,0.0259111,0.02993,323,8
2000.0,0.0527343,0.0422842,323,8
5000.0,0.1295624,0.065376,323,8
10000.0,0.2610046,0.0957816,323,8
20000.0,0.4716608,0.123623,323,8
50000.0,0.9915256,0.167077,323,8
100000.0,1.663669,0.182729,323,8
1000000.0,3.999599,0.1771957,323,8
100.0,0.0266171,0.0296644,273,4
200.0,0.0534362,0.0378219,273,4
500.0,0.128662,0.0563945,273,4
1000.0,0.2579984,0.07960219999999998,273,4
2000.0,0.4892477,0.1007384,273,4
5000.0,1.0421495,0.1434245,273,4
10000.0,1.7052215,0.1688659,273,4
20000.0,2.5458616,0.1734369,273,4
50000.0,3.6210138,0.1504015,273,4
100000.0,4.248004,0.1356145,273,4
1000000.0,5.4247661,0.0827716,273,4
100.0,0.008443199999999998,0.0169399,298,4
200.0,0.0171227,0.024191,298,4
500.0,0.0425894,0.0381575,298,4
1000.0,0.0861992,0.0482144,298,4
2000.0,0.1654788,0.0663145,298,4
5000.0,0.4006933,0.0998084,298,4
10000.0,0.7269588,0.1237367,298,4
20000.0,1.2428557,0.1534555,298,4
50000.0,2.2302531,0.1803219,298,4
100000.0,3.0382994,0.1693696,298,4
1000000.0,4.8233968,0.1184535,298,4
100.0,0.003304,0.0105635,323,4
200.0,0.0070018,0.0156482,323,4
500.0,0.01702,0.0239522,323,4
1000.0,0.0332799,0.033919,323,4
2000.0,0.0670529,0.0473369,323,4
5000.0,0.1671976,0.075148,323,4
10000.0,0.3106793,0.0995059,323,4
20000.0,0.5650334,0.1253068,323,4
50000.0,1.2071639,0.1735572,323,4
100000.0,1.8973447,0.20051,323,4
1000000.0,4.1645838,0.1621075,323,4
100.0,0.5154342,0.112794,273,7
200.0,0.9933013,0.1712486,273,7
500.0,2.3059274,0.2119659,273,7
1000.0,3.6956642,0.1932745,273,7
2000.0,4.652418,0.1733879,273,7
5000.0,5.406436,0.1321923,273,7
10000.0,5.8331623,0.1083199,273,7
20000.0,6.1101111,0.089343,273,7
50000.0,6.3328373,0.0641461,273,7
100000.0,6.4275064,0.0697993,273,7
1000000.0,6.6088352,0.0331946,273,7
100.0,0.1176782,0.0545624,298,7
200.0,0.2377086,0.0797041,298,7
500.0,0.5718349,0.1222375,298,7
1000.0,1.0905204,0.1864868,298,7
2000.0,2.0990999,0.2030093,298,7
5000.0,3.6616866,0.2009773,298,7
10000.0,4.6294015,0.1742312,298,7
20000.0,5.2221746,0.126956,298,7
50000.0,5.7057364,0.1042217,298,7
100000.0,6.0581501,0.08225639999999998,298,7
1000000.0,6.5350791,0.0455447,298,7
100.0,0.0354678,0.0318725,323,7
200.0,0.0673714,0.0414646,323,7
500.0,0.1715767,0.0657435,323,7
1000.0,0.3476831,0.0949867,323,7
2000.0,0.6617482,0.1301504,323,7
5000.0,1.5724651,0.1691285,323,7
10000.0,2.6048873,0.2135458,323,7
20000.0,3.7484066,0.1818309,323,7
50000.0,4.8388644,0.1521803,323,7
100000.0,5.3633699,0.1289035,323,7
1000000.0,6.24217,0.0863826,323,7
100.0,0.4931874,0.1152744,273,3
200.0,0.9684536,0.1662034,273,3
500.0,2.3944805,0.2117681,273,3
1000.0,3.705224,0.1737004,273,3
2000.0,4.6924905,0.1469404,273,3
5000.0,5.4503269,0.1243769,273,3
10000.0,5.8265857,0.1100692,273,3
20000.0,6.0950949,0.0799871,273,3
50000.0,6.3133985,0.0465782,273,3
100000.0,6.4678811,0.0358018,273,3
1000000.0,6.5870806,0.0464613,273,3
100.0,0.1199723,0.0551488,298,3
200.0,0.2279437,0.07919289999999998,298,3
500.0,0.5606701,0.1250122,298,3
1000.0,1.1251362,0.1611922,298,3
2000.0,2.1021767,0.2114759,298,3
5000.0,3.6836153,0.1934945,298,3
10000.0,4.6719434,0.1534746,298,3
20000.0,5.281053,0.1401963,298,3
50000.0,5.8414168,0.1008673,298,3
100000.0,5.9733583,0.0770106,298,3
1000000.0,6.4324337,0.0882617,298,3
100.0,0.0367085,0.0307456,323,3
200.0,0.0685595,0.0402395,323,3
500.0,0.172673,0.0696221,323,3
1000.0,0.341325,0.0868267,323,3
2000.0,0.6294603,0.1195322,323,3
5000.0,1.522325,0.1826824,323,3
10000.0,2.6787298,0.211051,323,3
20000.0,3.8160174,0.1810511,323,3
50000.0,4.8904543,0.1445062,323,3
100000.0,5.359879,0.1226702,323,3
1000000.0,6.2680912,0.0537288,323,3
