Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009367,0.0073905,273,5
200.0,0.0021047,0.0110124,273,5
500.0,0.0048164,0.0164925,273,5
1000.0,0.0096213,0.0234233,273,5
2000.0,0.0197571,0.0340374,273,5
5000.0,0.0487481,0.0531719,273,5
10000.0,0.0944221,0.0735358,273,5
20000.0,0.1865565,0.0895567,273,5
50000.0,0.4412712,0.1267655,273,5
100000.0,0.7953542999999998,0.16735,273,5
100.0,0.0005262,0.0055511,298,5
200.0,0.0010581,0.007749899999999999,298,5
500.0,0.0028332,0.012877,298,5
1000.0,0.0054177,0.0175492,298,5
2000.0,0.0104886,0.0245918,298,5
5000.0,0.0257473,0.0382666,298,5
10000.0,0.0515061,0.0542732,298,5
20000.0,0.1039952,0.0762401,298,5
50000.0,0.2448227,0.1011729,298,5
100000.0,0.47324,0.1343282,298,5
100.0,0.0002661,0.0039135,323,5
200.0,0.000636,0.0061406,323,5
500.0,0.0015901,0.0096308,323,5
1000.0,0.0031396,0.0136278,323,5
2000.0,0.0060711,0.0186442,323,5
5000.0,0.0160162,0.030479,323,5
10000.0,0.0315261,0.0426949,323,5
20000.0,0.0617807,0.0599661,323,5
50000.0,0.1518702,0.0925803,323,5
100000.0,0.2995074,0.1150395,323,5
100.0,0.0012605,0.0085223,273,1
200.0,0.0021104,0.0111771,273,1
500.0,0.0058861,0.0187391,273,1
1000.0,0.0118705,0.0262908,273,1
2000.0,0.0230933,0.0364257,273,1
5000.0,0.0579126,0.0571128,273,1
10000.0,0.1143212,0.0671197,273,1
20000.0,0.2177957,0.0948726,273,1
50000.0,0.5132283,0.1410576,273,1
100000.0,0.9130541,0.1700608,273,1
100.0,0.000503,0.0054315,298,1
200.0,0.0012894,0.0086155,298,1
500.0,0.0033032,0.0138608,298,1
1000.0,0.0060364,0.0186734,298,1
2000.0,0.012466,0.0269913,298,1
5000.0,0.0304885,0.0416085,298,1
10000.0,0.0614165,0.0591104,298,1
20000.0,0.1202079,0.0831838,298,1
50000.0,0.2861862,0.1123446,298,1
100000.0,0.5443239,0.1461782,298,1
100.0,0.0003816,0.0046818,323,1
200.0,0.0006649,0.0062188,323,1
500.0,0.0019206,0.0104898,323,1
1000.0,0.0039318,0.0152733,323,1
2000.0,0.0074588,0.0206507,323,1
5000.0,0.01878,0.0327542,323,1
10000.0,0.0378722,0.0462985,323,1
20000.0,0.0718993,0.0642976,323,1
50000.0,0.1800203,0.0857362,323,1
100000.0,0.3444457,0.1201666,323,1
100.0,0.0012952,0.0085952,273,6
200.0,0.0029373,0.0130088,273,6
500.0,0.0064932,0.0192541,273,6
1000.0,0.0124949,0.026635,273,6
2000.0,0.0260306,0.0387576,273,6
5000.0,0.0658455,0.0523785,273,6
10000.0,0.124955,0.0667985,273,6
20000.0,0.244417,0.0920059,273,6
50000.0,0.5520472,0.1350534,273,6
100000.0,0.9667551,0.1635001,273,6
100.0,0.000636,0.0060308,298,6
200.0,0.0013891,0.0090406,298,6
500.0,0.0034403,0.0140158,298,6
1000.0,0.0068517,0.0197486,298,6
2000.0,0.0133275,0.0274733,298,6
5000.0,0.032281,0.0429117,298,6
10000.0,0.0669846,0.0516844,298,6
20000.0,0.1283085,0.073104,298,6
50000.0,0.3076837,0.1031769,298,6
100000.0,0.5573855,0.142886,298,6
100.0,0.0004279,0.0049554,323,6
200.0,0.0007573999999999999,0.0065743,323,6
500.0,0.0020179,0.0109526,323,6
1000.0,0.0039491,0.0150149,323,6
2000.0,0.0072159,0.0203462,323,6
5000.0,0.0192194,0.0332307,323,6
10000.0,0.037294,0.0463779,323,6
20000.0,0.0728995,0.0645201,323,6
50000.0,0.1825264,0.0833989,323,6
100000.0,0.3433089,0.1154572,323,6
100.0,0.0015446,0.0094302,273,2
200.0,0.0031917,0.0134054,273,2
500.0,0.0079792,0.0216154,273,2
1000.0,0.0153223,0.0295604,273,2
2000.0,0.0303209,0.0415422,273,2
5000.0,0.07407909999999998,0.0547653,273,2
10000.0,0.146331,0.0734847,273,2
20000.0,0.275986,0.1027609,273,2
50000.0,0.6363045,0.1431957,273,2
100000.0,1.0794585,0.1749279,273,2
100.0,0.0007458999999999999,0.0065756,298,2
200.0,0.0016363,0.0096923,298,2
500.0,0.0036716,0.0145205,298,2
1000.0,0.0077016,0.0209639,298,2
2000.0,0.0151373,0.0296781,298,2
5000.0,0.0372303,0.0457872,298,2
10000.0,0.07519499999999998,0.0646913,298,2
20000.0,0.1517141,0.08043219999999998,298,2
50000.0,0.3553506,0.1145982,298,2
100000.0,0.6399815,0.148507,298,2
100.0,0.0003469,0.0044653,323,2
200.0,0.0008903999999999999,0.0071198,323,2
500.0,0.0021856,0.011385,323,2
1000.0,0.0044637,0.0160486,323,2
2000.0,0.0085342,0.0224245,323,2
5000.0,0.0211968,0.0348557,323,2
10000.0,0.0432841,0.0493947,323,2
20000.0,0.0876379,0.0701878,323,2
50000.0,0.2065044,0.0935478,323,2
100000.0,0.3977871,0.1258671,323,2
100.0,0.000769,0.0066236,273,8
200.0,0.0013992,0.0089601,273,8
500.0,0.0034866,0.0141705,273,8
1000.0,0.006418,0.0190788,273,8
2000.0,0.0135068,0.0277314,273,8
5000.0,0.0321178,0.0431788,273,8
10000.0,0.0664642,0.0614078,273,8
20000.0,0.129754,0.08592289999999998,273,8
50000.0,0.3125581,0.1137823,273,8
100000.0,0.5879029,0.1506268,273,8
100.0,0.000399,0.0047863,298,8
200.0,0.000717,0.0063985,298,8
500.0,0.0019379,0.010566,298,8
1000.0,0.0041746,0.0154702,298,8
2000.0,0.0077248,0.0210191,298,8
5000.0,0.019653,0.0335739,298,8
10000.0,0.0395547,0.0478514,298,8
20000.0,0.07704519999999998,0.0652661,298,8
50000.0,0.1836474,0.1001402,298,8
100000.0,0.3566226,0.1232428,298,8
100.0,0.0001966,0.0033657,323,8
200.0,0.0004686,0.005184,323,8
500.0,0.0011159,0.0080798,323,8
1000.0,0.0023995,0.0117045,323,8
2000.0,0.0048569,0.0170097,323,8
5000.0,0.0125817,0.0267883,323,8
10000.0,0.0246892,0.0372422,323,8
20000.0,0.0498062,0.0534199,323,8
50000.0,0.1209654,0.0822919,323,8
100000.0,0.2379238,0.1145582,323,8
100.0,0.0007864,0.0066969,273,4
200.0,0.0016768,0.0098054,273,4
500.0,0.0041688,0.0154393,273,4
1000.0,0.0082047,0.0219689,273,4
2000.0,0.0170627,0.0312237,273,4
5000.0,0.0412431,0.0481577,273,4
10000.0,0.0819137,0.0681017,273,4
20000.0,0.1607167,0.0961175,273,4
50000.0,0.3798027,0.1281042,273,4
100000.0,0.6963271,0.1670763,273,4
100.0,0.0004568,0.0051188,298,4
200.0,0.0010061,0.0076483,298,4
500.0,0.0023533,0.0115414,298,4
1000.0,0.0045447,0.0160883,298,4
2000.0,0.0098583,0.0239538,298,4
5000.0,0.0230991,0.0361965,298,4
10000.0,0.0480658,0.0525571,298,4
20000.0,0.0947162,0.07268779999999998,298,4
50000.0,0.2289501,0.1108258,298,4
100000.0,0.4359732,0.1360316,298,4
100.0,0.0003644,0.004576,323,4
200.0,0.0006765,0.0062175,323,4
500.0,0.0015554,0.0094967,323,4
1000.0,0.0029141,0.0129883,323,4
2000.0,0.0059266,0.0183567,323,4
5000.0,0.0148713,0.0297562,323,4
10000.0,0.0298988,0.0408485,323,4
20000.0,0.0601965,0.0585158,323,4
50000.0,0.1454695,0.08871469999999998,323,4
100000.0,0.281896,0.1251598,323,4
100.0,0.0009714,0.0074311,273,7
200.0,0.0020064,0.0109242,273,7
500.0,0.004747,0.0165329,273,7
1000.0,0.0098468,0.0239586,273,7
2000.0,0.0186585,0.0323051,273,7
5000.0,0.0460884,0.0509582,273,7
10000.0,0.0976523,0.07404389999999998,273,7
20000.0,0.192614,0.0904028,273,7
50000.0,0.439473,0.1322488,273,7
100000.0,0.8048207,0.1621241,273,7
100.0,0.0005551,0.0056379,298,7
200.0,0.0011275,0.0080782,298,7
500.0,0.0025036,0.0120212,298,7
1000.0,0.0051222,0.0171666,298,7
2000.0,0.0104244,0.0248427,298,7
5000.0,0.0273778,0.0396689,298,7
10000.0,0.052969,0.0548365,298,7
20000.0,0.1055274,0.0774899,298,7
