Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002432,0.0026427,273,5
200.0,0.0003649,0.0032298,273,5
500.0,0.0009705,0.0052437,273,5
1000.0,0.0020559,0.0078214,273,5
2000.0,0.0037344,0.0103331,273,5
5000.0,0.0100855,0.0170275,273,5
10000.0,0.021283,0.0222923,273,5
20000.0,0.0403827,0.0295593,273,5
50000.0,0.1010189,0.0470953,273,5
100000.0,0.1951261,0.0623469,273,5
100.0,0.00011,0.0017816,298,5
200.0,0.0002027,0.0024142,298,5
500.0,0.0005299,0.0039027,298,5
1000.0,0.0008894,0.0050961,298,5
2000.0,0.0019024,0.007404199999999999,298,5
5000.0,0.0045867,0.0114482,298,5
10000.0,0.0097265,0.0167415,298,5
20000.0,0.0193661,0.0201431,298,5
50000.0,0.0469153,0.0310902,298,5
100000.0,0.0925797,0.0450285,298,5
100.0,7.339999999999998e-05,0.0011877,323,5
200.0,9.85e-05,0.0013751,323,5
500.0,0.0002761,0.0022919,323,5
1000.0,0.0005502,0.0032353,323,5
2000.0,0.0009729,0.004413,323,5
5000.0,0.0025655,0.0070886,323,5
10000.0,0.0050828,0.0098163,323,5
20000.0,0.009942800000000002,0.0136925,323,5
50000.0,0.0254662,0.0200506,323,5
100000.0,0.0496951,0.0264561,323,5
100.0,0.0005241,0.0038603,273,1
200.0,0.0010511,0.005508,273,1
500.0,0.0027596,0.0090193,273,1
1000.0,0.0055017,0.0125919,273,1
2000.0,0.0106241,0.017477,273,1
5000.0,0.0276737,0.0255029,273,1
10000.0,0.0561843,0.0341197,273,1
20000.0,0.1056101,0.0480594,273,1
50000.0,0.2690183,0.07712059999999998,273,1
100000.0,0.4891959,0.0910452,273,1
100.0,0.0002374,0.0026113,298,1
200.0,0.0005154,0.0038506,298,1
500.0,0.0011988,0.0058551,298,1
1000.0,0.0024266,0.0084112,298,1
2000.0,0.0046099,0.0114682,298,1
5000.0,0.011904,0.0184118,298,1
10000.0,0.024613,0.0238272,298,1
20000.0,0.0481025,0.0329425,298,1
50000.0,0.1171087,0.0506899,298,1
100000.0,0.2244294,0.0664604,298,1
100.0,0.0001042,0.0014147,323,1
200.0,0.0002297,0.0021286,323,1
500.0,0.0005096,0.0031189,323,1
1000.0,0.0012239,0.0049436,323,1
2000.0,0.0025192,0.0070367,323,1
5000.0,0.0061774,0.0107135,323,1
10000.0,0.0123239,0.0130507,323,1
20000.0,0.0236709,0.019446,323,1
50000.0,0.0600924,0.0296334,323,1
100000.0,0.1199594,0.0416759,323,1
100.0,0.0001766,0.0022547,273,6
200.0,0.0004517,0.0036806,273,6
500.0,0.0008832,0.0050793,273,6
1000.0,0.0019488,0.0074599,273,6
2000.0,0.0038396,0.0104732,273,6
5000.0,0.009628,0.016888,273,6
10000.0,0.0187725,0.0198739,273,6
20000.0,0.0367834,0.0294971,273,6
50000.0,0.0971071,0.0448716,273,6
100000.0,0.1883416,0.0628075,273,6
100.0,0.0001158,0.0018277,298,6
200.0,0.0001882,0.0023269,298,6
500.0,0.0004546,0.0035996,298,6
1000.0,0.0009671,0.005251,298,6
2000.0,0.001804,0.0071879,298,6
5000.0,0.0044767,0.0115136,298,6
10000.0,0.0091908,0.0163099,298,6
20000.0,0.018066,0.0231081,298,6
50000.0,0.0473931,0.0324817,298,6
100000.0,0.0897897,0.0445601,298,6
100.0,4.34e-05,0.0011206,323,6
200.0,9.56e-05,0.0016607,323,6
500.0,0.0002983,0.0029236,323,6
1000.0,0.0004604,0.0036681,323,6
2000.0,0.0009387000000000002,0.0052415,323,6
5000.0,0.0025453,0.008647,323,6
10000.0,0.0049776,0.0121186,323,6
20000.0,0.0097323,0.0167832,323,6
50000.0,0.0254006,0.0236048,323,6
100000.0,0.0486903,0.0326028,323,6
100.0,0.0005647,0.0040248,273,2
200.0,0.001054,0.0055302,273,2
500.0,0.0026466,0.0087947,273,2
1000.0,0.005105,0.0121278,273,2
2000.0,0.0101782,0.0172272,273,2
5000.0,0.0254672,0.0240989,273,2
10000.0,0.0515628,0.0347682,273,2
20000.0,0.1019471,0.0464902,273,2
50000.0,0.2467399,0.0743183,273,2
100000.0,0.4659906,0.0904444,273,2
100.0,0.0002809,0.0028674,298,2
200.0,0.0005241,0.0038603,298,2
500.0,0.0011698,0.0057745,298,2
1000.0,0.0024295,0.0084253,298,2
2000.0,0.0045606,0.0116149,298,2
5000.0,0.0119272,0.0185194,298,2
10000.0,0.0239383,0.0224971,298,2
20000.0,0.0468024,0.031196,298,2
50000.0,0.1167612,0.0501084,298,2
100000.0,0.2230517,0.0697678,298,2
100.0,0.0001071,0.0017581,323,2
200.0,0.0002085,0.0024482,323,2
500.0,0.0005878,0.0041649,323,2
1000.0,0.0011496,0.0057858,323,2
2000.0,0.0023484,0.008267699999999998,323,2
5000.0,0.005855,0.013018,323,2
10000.0,0.0122283,0.0188053,323,2
20000.0,0.0224587,0.0251912,323,2
50000.0,0.0601889,0.035654,323,2
100000.0,0.1097016,0.048787,323,2
100.0,0.0001969,0.0019397,273,8
200.0,0.0004112,0.002827,273,8
500.0,0.0009227,0.0042168,273,8
1000.0,0.0017953,0.0058346,273,8
2000.0,0.0040134,0.0086564,273,8
5000.0,0.0096734,0.0136311,273,8
10000.0,0.0188893,0.0169239,273,8
20000.0,0.0374716,0.0235078,273,8
50000.0,0.09567030000000001,0.0369512,273,8
100000.0,0.1856998,0.0523746,273,8
100.0,8.3e-05,0.0012631,298,8
200.0,0.0001602,0.0017725,298,8
500.0,0.0004944,0.0030982,298,8
1000.0,0.0008995999999999999,0.0041595,298,8
2000.0,0.0018416,0.005928,298,8
5000.0,0.0045867,0.009277,298,8
10000.0,0.0089707,0.0132787,298,8
20000.0,0.0180669,0.0165752,298,8
50000.0,0.0465755,0.0267057,298,8
100000.0,0.0905488,0.037293,298,8
100.0,6.18e-05,0.0010903,323,8
200.0,9.66e-05,0.0013619,323,8
500.0,0.0002471,0.0022041,323,8
1000.0,0.0005077,0.0031725,323,8
2000.0,0.0009517,0.0042762,323,8
5000.0,0.0023764,0.0067853,323,8
10000.0,0.0048097,0.0095499,323,8
20000.0,0.0097101,0.013729,323,8
50000.0,0.0250609,0.022038,323,8
100000.0,0.0479654,0.0302183,323,8
100.0,0.0004942,0.0031094,273,4
200.0,0.0010449,0.0045025,273,4
500.0,0.0024323,0.0068991,273,4
1000.0,0.0051793,0.0100663,273,4
2000.0,0.0100518,0.0140613,273,4
5000.0,0.0249547,0.02013,273,4
10000.0,0.0503051,0.0262099,273,4
20000.0,0.1027743,0.0375393,273,4
50000.0,0.2413504,0.0582776,273,4
100000.0,0.4504953,0.07249,273,4
100.0,0.0002278,0.0020846,298,4
200.0,0.0004517,0.0029689,298,4
500.0,0.001054,0.0045033,298,4
1000.0,0.0022057,0.006501,298,4
2000.0,0.0043338,0.0091017,298,4
5000.0,0.011098,0.0145999,298,4
10000.0,0.0225243,0.0178789,298,4
20000.0,0.0466006,0.0263848,298,4
50000.0,0.108195,0.0387314,298,4
100000.0,0.2196439,0.0554719,298,4
100.0,0.0001023,0.0014016,323,4
200.0,0.0001815,0.0018628,323,4
500.0,0.0005695,0.0033229,323,4
1000.0,0.0011081,0.0046373,323,4
2000.0,0.0021921,0.0064797,323,4
5000.0,0.0056813,0.0105326,323,4
10000.0,0.0109436,0.0145735,323,4
20000.0,0.022505,0.0206756,323,4
50000.0,0.0569067,0.0326147,323,4
100000.0,0.109942,0.0440811,323,4
100.0,0.0001911,0.0019112,273,7
200.0,0.000417,0.0028328,273,7
500.0,0.000998,0.0044369,273,7
1000.0,0.0019208,0.006135,273,7
2000.0,0.0042798,0.0090164,273,7
5000.0,0.0105498,0.0122835,273,7
10000.0,0.020229,0.0178725,273,7
20000.0,0.0391781,0.0232808,273,7
50000.0,0.1000717,0.0383986,273,7
100000.0,0.1969851,0.0520249,273,7
100.0,9.07e-05,0.0013203,298,7
200.0,0.0001699,0.0018029,298,7
500.0,0.0005096,0.0031189,298,7
1000.0,0.0009305,0.0043285,298,7
2000.0,0.0018938,0.0060763,298,7
5000.0,0.0049129,0.0099061,298,7
10000.0,0.0097004,0.013557,298,7
20000.0,0.0199935,0.017766,298,7
50000.0,0.0473545,0.0261591,298,7
100000.0,0.095299,0.0363371,298,7
100.0,4.63e-05,0.0009446,323,7
200.0,0.00011,0.0014533,323,7
500.0,0.000278,0.002332,323,7
1000.0,0.0005502,0.003281,323,7
2000.0,0.0010251,0.0044392,323,7
5000.0,0.0025842,0.007097,323,7
10000.0,0.0048454,0.0094768,323,7
20000.0,0.0097226,0.0136271,323,7
50000.0,0.0256303,0.0187566,323,7
100000.0,0.0515078,0.0268986,323,7
100.0,0.0005675,0.0033176,273,3
200.0,0.001083,0.004615,273,3
500.0,0.0026833,0.007276399999999998,273,3
1000.0,0.0052778,0.009964700000000002,273,3
2000.0,0.0107641,0.0124327,273,3
5000.0,0.0258427,0.0183651,273,3
10000.0,0.0529228,0.0272816,273,3
20000.0,0.1045001,0.0383627,273,3
50000.0,0.2603983,0.0650893,273,3
100000.0,0.4649889,0.0770644,273,3
100.0,0.0002278,0.00212,298,3
200.0,0.0004961,0.0030911,298,3
500.0,0.0011853,0.0047924,298,3
1000.0,0.0023918,0.0066858,298,3
2000.0,0.0048531,0.0097558,298,3
5000.0,0.0116868,0.0131651,298,3
10000.0,0.0226884,0.0189902,298,3
20000.0,0.0469327,0.0272753,298,3
50000.0,0.1130891,0.0380161,298,3
100000.0,0.2192128,0.0541358,298,3
100.0,0.0001062,0.0014277,323,3
200.0,0.0002297,0.002111,323,3
500.0,0.0005926,0.0033856,323,3
1000.0,0.0011737,0.0047874,323,3
2000.0,0.002442,0.0069145,323,3
5000.0,0.0058975,0.010601,323,3
10000.0,0.0122505,0.0155957,323,3
20000.0,0.0237269,0.0191868,323,3
50000.0,0.0572045,0.0287503,323,3
100000.0,0.1133414,0.0412705,323,3
