Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004789,0.0034687,273,5
200.0,0.0009278,0.0048383,273,5
500.0,0.0022016,0.0073745,273,5
1000.0,0.0045837,0.0106911,273,5
2000.0,0.009232700000000002,0.0148734,273,5
5000.0,0.0229628,0.0241579,273,5
10000.0,0.0465672,0.0337845,273,5
20000.0,0.0900628,0.0406207,273,5
50000.0,0.2213998,0.0667918,273,5
100000.0,0.419207,0.082402,273,5
100.0,0.0002633,0.0025559,298,5
200.0,0.0005441,0.0036878,298,5
500.0,0.0014619,0.0060338,298,5
1000.0,0.0027482,0.008353799999999998,298,5
2000.0,0.0053285,0.0116416,298,5
5000.0,0.0135506,0.018402,298,5
10000.0,0.0271414,0.0264685,298,5
20000.0,0.0535356,0.0367707,298,5
50000.0,0.1307323,0.0491077,298,5
100000.0,0.2552209,0.0699075,298,5
100.0,0.0001805,0.001744,323,5
200.0,0.0003511,0.0023969,323,5
500.0,0.0007806999999999998,0.003621,323,5
1000.0,0.0017018,0.0052714,323,5
2000.0,0.0031979,0.007257999999999999,323,5
5000.0,0.0084379,0.0118454,323,5
10000.0,0.0172835,0.0168015,323,5
20000.0,0.0340221,0.0236764,323,5
50000.0,0.08242399999999998,0.0331406,323,5
100000.0,0.1656948,0.0465215,323,5
100.0,0.0007247,0.0042454,273,1
200.0,0.0016374,0.0063947,273,1
500.0,0.0038516,0.0097506,273,1
1000.0,0.0075727,0.0135823,273,1
2000.0,0.0153661,0.0198027,273,1
5000.0,0.0379363,0.030797,273,1
10000.0,0.07721419999999998,0.0382565,273,1
20000.0,0.1478211,0.0521796,273,1
50000.0,0.3619487,0.078805,273,1
100000.0,0.6643672,0.1043037,273,1
100.0,0.0004037,0.0032152,298,1
200.0,0.0008926999999999999,0.0047928,298,1
500.0,0.0021891,0.0073654,298,1
1000.0,0.0042828,0.0104002,298,1
2000.0,0.0084278,0.014512,298,1
5000.0,0.0210181,0.0232027,298,1
10000.0,0.0420762,0.0324656,298,1
20000.0,0.0835432,0.0390234,298,1
50000.0,0.2052434,0.0619631,298,1
100000.0,0.3931207,0.0844623,298,1
100.0,0.0003111,0.0022959,323,1
200.0,0.0005985,0.0031594,323,1
500.0,0.0012153,0.0045294,323,1
1000.0,0.0025978,0.0065013,323,1
2000.0,0.0051755,0.0092977,323,1
5000.0,0.0127783,0.014666,323,1
10000.0,0.0262719,0.0211846,323,1
20000.0,0.0514895,0.0292706,323,1
50000.0,0.127456,0.0393851,323,1
100000.0,0.2453947,0.0550558,323,1
100.0,0.0004438,0.0033442,273,6
200.0,0.0008725999999999999,0.004677,273,6
500.0,0.0020737,0.0071039,273,6
1000.0,0.0044759,0.0105446,273,6
2000.0,0.0085173,0.014753,273,6
5000.0,0.0218556,0.0232959,273,6
10000.0,0.0440491,0.033066,273,6
20000.0,0.08697349999999998,0.0401334,273,6
50000.0,0.2066306,0.0610913,273,6
100000.0,0.4016982,0.0827298,273,6
100.0,0.0002307,0.002446,298,6
200.0,0.0005316,0.0036467,298,6
500.0,0.0012864,0.0056666,298,6
1000.0,0.0025602,0.008026999999999998,298,6
2000.0,0.0051053,0.0111506,298,6
5000.0,0.0128098,0.0178265,298,6
10000.0,0.0259077,0.0254498,298,6
20000.0,0.050341,0.0353369,298,6
50000.0,0.1220454,0.0479428,298,6
100000.0,0.2391451,0.066661,298,6
100.0,0.000158,0.001984,323,6
200.0,0.0002909,0.002685,323,6
500.0,0.0007672999999999998,0.0043766,323,6
1000.0,0.0016123,0.0063021,323,6
2000.0,0.0032447,0.008973099999999998,323,6
5000.0,0.0082874,0.0145018,323,6
10000.0,0.0159207,0.0199691,323,6
20000.0,0.0321289,0.0283513,323,6
50000.0,0.0800552,0.04443,323,6
100000.0,0.1575152,0.0559436,323,6
100.0,0.0007573,0.0043639,273,2
200.0,0.001502,0.0061376,273,2
500.0,0.0035607,0.009443600000000002,273,2
1000.0,0.0073997,0.0138213,273,2
2000.0,0.0145537,0.019066,273,2
5000.0,0.0363491,0.0297822,273,2
10000.0,0.0719083,0.0421055,273,2
20000.0,0.1407674,0.0528716,273,2
50000.0,0.3383465,0.0786843,273,2
100000.0,0.6367734,0.1061742,273,2
100.0,0.0004087,0.0031752,298,2
200.0,0.0008149,0.0044887,298,2
500.0,0.0020762,0.007178,298,2
1000.0,0.0042277,0.0103319,298,2
2000.0,0.0079488,0.0141916,298,2
5000.0,0.0202633,0.0225632,298,2
10000.0,0.0400376,0.0314337,298,2
20000.0,0.07889419999999998,0.0433975,298,2
50000.0,0.197277,0.0594614,298,2
100000.0,0.3799415,0.0834426,298,2
100.0,0.0002583,0.0025809,323,2
200.0,0.0005266,0.0036818,323,2
500.0,0.0012312,0.0055557,323,2
1000.0,0.00249,0.0078674,323,2
2000.0,0.0050351,0.0112442,323,2
5000.0,0.0121941,0.017333,323,2
10000.0,0.0248019,0.0249644,323,2
20000.0,0.0503486,0.0349783,323,2
50000.0,0.1226455,0.0496679,323,2
100000.0,0.2380893,0.0678982,323,2
100.0,0.0004631,0.0027839,273,8
200.0,0.0008442,0.0037585,273,8
500.0,0.0021013,0.0059268,273,8
1000.0,0.0042611,0.0084668,273,8
2000.0,0.0089101,0.0121115,273,8
5000.0,0.0212588,0.0187711,273,8
10000.0,0.042195,0.0263714,273,8
20000.0,0.08343359999999998,0.0329336,273,8
50000.0,0.2046445,0.0510354,273,8
100000.0,0.38607,0.0663349,273,8
100.0,0.0002408,0.002006,298,8
200.0,0.0004814,0.0028256,298,8
500.0,0.001349,0.0047397,298,8
1000.0,0.0025226,0.0064599,298,8
2000.0,0.0050134,0.0090728,298,8
5000.0,0.012984,0.0145526,298,8
10000.0,0.0256815,0.0203843,298,8
20000.0,0.0506436,0.0292799,298,8
50000.0,0.1230994,0.0387457,298,8
100000.0,0.234039,0.0549281,298,8
100.0,0.0001488,0.00157,323,8
200.0,0.0003042,0.0022595,323,8
500.0,0.0008608999999999998,0.0037621,323,8
1000.0,0.0015655,0.0051111,323,8
2000.0,0.0033785,0.0075629,323,8
5000.0,0.007878599999999998,0.0114015,323,8
10000.0,0.0161468,0.0163222,323,8
20000.0,0.0324787,0.0232587,323,8
50000.0,0.0789904,0.0361783,323,8
100000.0,0.1553579,0.0493873,323,8
100.0,0.0008078,0.0036621,273,4
200.0,0.0014226,0.0048926,273,4
500.0,0.0035874,0.0078042,273,4
1000.0,0.0071247,0.0107138,273,4
2000.0,0.0143547,0.015264,273,4
5000.0,0.0353227,0.0240864,273,4
10000.0,0.0711886,0.0302253,273,4
20000.0,0.1399784,0.0419806,273,4
50000.0,0.3346277,0.0623998,273,4
100000.0,0.6263524,0.08438909999999998,273,4
100.0,0.0003981,0.002603,298,4
200.0,0.0008191,0.003723,298,4
500.0,0.0020846,0.0059843,298,4
1000.0,0.0041391,0.0082591,298,4
2000.0,0.0080114,0.011361,298,4
5000.0,0.020092,0.0182186,298,4
10000.0,0.0396908,0.0259256,298,4
20000.0,0.0797861,0.0318059,298,4
50000.0,0.1914529,0.0472983,298,4
100000.0,0.3621284,0.0621796,298,4
100.0,0.0002625,0.0021048,323,4
200.0,0.0005115,0.0029368,323,4
500.0,0.001207,0.0044476,323,4
