Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2302633,0.0702538,273,5
200.0,0.4463801,0.0980756,273,5
500.0,0.8906395,0.1201575,273,5
1000.0,1.512012,0.1554179,273,5
2000.0,2.0897828,0.136938,273,5
5000.0,2.6788417,0.1133662,273,5
10000.0,3.022834,0.0932425,273,5
20000.0,3.262476,0.0848084,273,5
50000.0,3.5585916,0.0730359,273,5
100000.0,3.6913438,0.07677589999999998,273,5
1000000.0,4.0498383,0.0594609,273,5
100.0,0.0588948,0.0359925,298,5
200.0,0.1119967,0.0481375,298,5
500.0,0.2656924,0.0727869,298,5
1000.0,0.5188435,0.1013775,298,5
2000.0,0.8785186,0.1189441,298,5
5000.0,1.5430412,0.1442402,298,5
10000.0,2.1465629,0.1298445,298,5
20000.0,2.6364478,0.1139475,298,5
50000.0,3.0359264,0.0971095,298,5
100000.0,3.2754153,0.0733757,298,5
1000000.0,3.8662844,0.0643021,298,5
100.0,0.0174417,0.020074,323,5
200.0,0.034588,0.0299546,323,5
500.0,0.08877999999999998,0.0438781,323,5
1000.0,0.17533,0.0634763,323,5
2000.0,0.3384501,0.0799383,323,5
5000.0,0.6927996,0.1061922,323,5
10000.0,1.1466277,0.1326616,323,5
20000.0,1.7251196,0.1356289,323,5
50000.0,2.3596602,0.1208984,323,5
100000.0,2.7533988,0.1060245,323,5
1000000.0,3.4963122,0.0774335,323,5
100.0,0.3538664,0.0808809,273,1
200.0,0.6209483,0.1016543,273,1
500.0,1.2132025,0.1188124,273,1
1000.0,1.7912815,0.1259577,273,1
2000.0,2.2490111,0.1110322,273,1
5000.0,2.7495899,0.0945131,273,1
10000.0,2.9980447,0.0812552,273,1
20000.0,3.2374598,0.0739529,273,1
50000.0,3.4731459,0.0549125,273,1
100000.0,3.5836087,0.0428334,273,1
1000000.0,3.8417183,0.1006985,273,1
100.0,0.085054,0.0426964,298,1
200.0,0.1617856,0.056981,298,1
500.0,0.3999174,0.0802091,298,1
1000.0,0.7066576,0.1073676,298,1
2000.0,1.1062323,0.1466854,298,1
5000.0,1.830181,0.1409385,298,1
10000.0,2.3032312,0.1206848,298,1
20000.0,2.6730922,0.1015793,298,1
50000.0,3.0315088,0.0876454,298,1
100000.0,3.2624494,0.08064689999999998,298,1
1000000.0,3.6918726,0.0482876,298,1
100.0,0.0253054,0.0241851,323,1
200.0,0.0497191,0.032677,323,1
500.0,0.1256739,0.0522642,323,1
1000.0,0.2415925,0.0704911,323,1
2000.0,0.4544603,0.0975712,323,1
5000.0,0.9230105,0.1159722,323,1
10000.0,1.4508797,0.1301325,323,1
20000.0,1.97517,0.12434,323,1
50000.0,2.4967215,0.1075028,323,1
100000.0,2.8181807,0.08863809999999998,323,1
1000000.0,3.4475314,0.0726928,323,1
100.0,0.2492017,0.07398219999999998,273,6
200.0,0.4550614,0.091068,273,6
500.0,0.8727734999999999,0.1142175,273,6
1000.0,1.3786624,0.1282982,273,6
2000.0,1.8663224,0.1192613,273,6
5000.0,2.4257608,0.1034605,273,6
10000.0,2.7025756,0.1229887,273,6
20000.0,3.0087642,0.1049402,273,6
50000.0,3.2866657,0.07673929999999998,273,6
100000.0,3.4544733,0.06754,273,6
1000000.0,3.7190641,0.0461471,273,6
100.0,0.0660156,0.0395974,298,6
200.0,0.1294749,0.0536996,298,6
500.0,0.2974518,0.08117159999999998,298,6
1000.0,0.5298853,0.0996984,298,6
2000.0,0.8912356,0.1117662,298,6
5000.0,1.4910833,0.1331125,298,6
10000.0,1.9464008,0.1193722,298,6
20000.0,2.3397313,0.0925414,298,6
50000.0,2.7832338,0.0937433,298,6
100000.0,3.0435176,0.0764447,298,6
1000000.0,3.5522054,0.0939037,298,6
100.0,0.0223549,0.0269066,323,6
200.0,0.0433486,0.032543,323,6
500.0,0.103641,0.0488971,323,6
1000.0,0.21022,0.0706525,323,6
2000.0,0.378489,0.0892267,323,6
5000.0,0.7455226,0.1118725,323,6
10000.0,1.1839517,0.1240125,323,6
20000.0,1.6140771,0.1132929,323,6
50000.0,2.1284471,0.109399,323,6
100000.0,2.4763531,0.0987665,323,6
1000000.0,3.2758355,0.1059486,323,6
100.0,1.0094799,0.1149416,273,2
200.0,1.3676232,0.1043038,273,2
500.0,1.8319763,0.08031389999999998,273,2
1000.0,2.0483777,0.074908,273,2
2000.0,2.2265427,0.07346229999999998,273,2
5000.0,2.5277449,0.0835693,273,2
10000.0,2.7821617,0.0773244,273,2
20000.0,3.0170853,0.0785994,273,2
50000.0,3.2211149,0.0648403,273,2
100000.0,3.3687398,0.0608569,273,2
1000000.0,3.6760875,0.0433459,273,2
100.0,0.2937302,0.0845847,298,2
200.0,0.5100178,0.1007562,298,2
500.0,0.9796124,0.1046972,298,2
1000.0,1.3526948,0.1095964,298,2
2000.0,1.7264347,0.0960653,298,2
5000.0,2.0698497,0.0838533,298,2
10000.0,2.25155,0.08182749999999998,298,2
20000.0,2.5016035,0.0800299,298,2
50000.0,2.7863081,0.074947,298,2
100000.0,3.0270156,0.0715501,298,2
1000000.0,3.5225077,0.063651,298,2
100.0,0.07872619999999998,0.0431792,323,2
200.0,0.1601137,0.0565194,323,2
500.0,0.3488154,0.0841321,323,2
1000.0,0.6047033,0.0937512,323,2
2000.0,0.977939,0.1177417,323,2
5000.0,1.5018825,0.1048835,323,2
10000.0,1.7973055,0.1023025,323,2
20000.0,2.0863153,0.08809409999999998,323,2
50000.0,2.3964346,0.08663909999999998,323,2
100000.0,2.6060443,0.0909783,323,2
1000000.0,3.2298225,0.0561439,323,2
100.0,0.0816314,0.0456989,273,8
200.0,0.1578318,0.0616208,273,8
500.0,0.3595733,0.0924393,273,8
1000.0,0.6164617,0.1038861,273,8
2000.0,0.9828474,0.1262556,273,8
5000.0,1.5469502,0.116546,273,8
10000.0,1.8941027,0.1022645,273,8
20000.0,2.191939,0.0977257,273,8
50000.0,2.5668191,0.080001,273,8
100000.0,2.7675708,0.0826047,273,8
1000000.0,3.3608988,0.0458807,273,8
100.0,0.0247484,0.0283932,298,8
200.0,0.0484311,0.0400504,298,8
500.0,0.1207713,0.0564255,298,8
1000.0,0.2329234,0.075391,298,8
2000.0,0.4294453,0.0969674,298,8
5000.0,0.8253679,0.1197393,298,8
10000.0,1.225209,0.1198555,298,8
20000.0,1.6189492,0.1105642,298,8
50000.0,2.0460418,0.1030798,298,8
100000.0,2.3110529,0.0924456,298,8
1000000.0,3.0720743,0.0665324,298,8
100.0,0.0088138,0.0170055,323,8
200.0,0.017943,0.0243441,323,8
500.0,0.0450085,0.0384026,323,8
1000.0,0.08706949999999998,0.0517598,323,8
2000.0,0.1695271,0.0717295,323,8
5000.0,0.3900905,0.1030682,323,8
10000.0,0.6445696,0.1199043,323,8
20000.0,1.0188639,0.1470873,323,8
50000.0,1.5450372,0.1349768,323,8
100000.0,1.8775519,0.1214167,323,8
1000000.0,2.7168771,0.09928360000000001,323,8
100.0,0.0401186,0.0361958,273,4
200.0,0.0813094,0.044621,273,4
500.0,0.1903815,0.0687272,273,4
1000.0,0.359882,0.0900021,273,4
2000.0,0.6291429,0.1091792,273,4
5000.0,1.1446692,0.1268437,273,4
10000.0,1.5974609,0.1267865,273,4
20000.0,2.0012208,0.1145101,273,4
50000.0,2.4299606,0.1006563,273,4
100000.0,2.6889304,0.08456819999999998,273,4
1000000.0,3.3430666,0.0699419,273,4
100.0,0.0134348,0.0209882,298,4
200.0,0.0268298,0.029848,298,4
500.0,0.0658429,0.0400451,298,4
1000.0,0.1305383,0.0588346,298,4
2000.0,0.2488115,0.07680159999999998,298,4
5000.0,0.5344235,0.105134,298,4
10000.0,0.8780365,0.1189669,298,4
20000.0,1.3015559,0.1279248,298,4
50000.0,1.8541365,0.1118465,298,4
100000.0,2.1869326,0.1035193,298,4
1000000.0,3.0524187,0.0750841,298,4
100.0,0.0053016,0.0132121,323,4
200.0,0.0104936,0.0185838,323,4
500.0,0.0254549,0.0286671,323,4
1000.0,0.050393,0.0409506,323,4
2000.0,0.0999728,0.0563212,323,4
5000.0,0.2376806,0.086777,323,4
10000.0,0.4304257,0.1086969,323,4
20000.0,0.7308485999999998,0.1327343,323,4
50000.0,1.2800491,0.1442707,323,4
100000.0,1.6956223,0.1333198,323,4
1000000.0,2.7081963,0.1113679,323,4
100.0,0.3685482,0.085675,273,7
200.0,0.6203785,0.1035411,273,7
500.0,1.0799069,0.1205485,273,7
1000.0,1.4762997,0.1012116,273,7
2000.0,1.7682935,0.0958712,273,7
5000.0,2.0248873,0.0702647,273,7
10000.0,2.1699346,0.0637382,273,7
20000.0,2.2798596,0.0703277,273,7
50000.0,2.5799863,0.07344779999999998,273,7
100000.0,2.7514271,0.0843382,273,7
1000000.0,3.2945377,0.0975081,273,7
100.0,0.1058385,0.0492308,298,7
200.0,0.1884627,0.0654401,298,7
500.0,0.4121142,0.0903396,298,7
1000.0,0.7005751,0.1109728,298,7
2000.0,1.0726401,0.111777,298,7
5000.0,1.5517393,0.1023118,298,7
10000.0,1.8312825,0.0811887,298,7
20000.0,2.0121932,0.0786811,298,7
50000.0,2.2178219,0.0649446,298,7
100000.0,2.3900942,0.079044,298,7
1000000.0,3.0140787,0.08292639999999998,298,7
100.0,0.0312517,0.0284056,323,7
200.0,0.0596583,0.0380902,323,7
500.0,0.1485711,0.0572146,323,7
1000.0,0.2795918,0.07860219999999998,323,7
2000.0,0.5054613,0.0988263,323,7
5000.0,0.8954404,0.1247106,323,7
10000.0,1.285143,0.1142021,323,7
20000.0,1.650475,0.0978831,323,7
