Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0016997,0.007480599999999999,273,5
200.0,0.0031637,0.0102114,273,5
500.0,0.008488499999999998,0.0170025,273,5
1000.0,0.016645,0.0234597,273,5
2000.0,0.0326091,0.033122,273,5
5000.0,0.08106779999999998,0.0469426,273,5
10000.0,0.1520984,0.0601144,273,5
20000.0,0.2989987,0.0839319,273,5
50000.0,0.6078048,0.1023361,273,5
100000.0,0.9522009,0.1269573,273,5
100.0,0.0008233,0.0051839,298,5
200.0,0.0013876,0.0067752,298,5
500.0,0.0037181,0.0110729,298,5
1000.0,0.0072436,0.0155136,298,5
2000.0,0.014849,0.022036,298,5
5000.0,0.0371674,0.0346443,298,5
10000.0,0.0739065,0.0432981,298,5
20000.0,0.1392315,0.0571584,298,5
50000.0,0.3249088,0.0839535,298,5
100000.0,0.5639968,0.1033213,298,5
100.0,0.0004349,0.0037746,323,5
200.0,0.0008331999999999999,0.0052352,323,5
500.0,0.0018922,0.0078804,323,5
1000.0,0.0036915,0.0110818,323,5
2000.0,0.007383,0.0154406,323,5
5000.0,0.0189773,0.0251281,323,5
10000.0,0.0383053,0.0358822,323,5
20000.0,0.0747165,0.0431535,323,5
50000.0,0.1748254,0.0634433,323,5
100000.0,0.3276179,0.0868086,323,5
100.0,0.0012615,0.0065015,273,1
200.0,0.0027919,0.009623,273,1
500.0,0.0068983,0.0151772,273,1
1000.0,0.013239,0.0210522,273,1
2000.0,0.026614,0.0294122,273,1
5000.0,0.0643524,0.0406493,273,1
10000.0,0.1280973,0.0560719,273,1
20000.0,0.237836,0.07392619999999998,273,1
50000.0,0.5336451,0.099811,273,1
100000.0,0.8545011,0.1211772,273,1
100.0,0.0006274,0.004569,298,1
200.0,0.0012947,0.0065793,298,1
500.0,0.0030807,0.0100904,298,1
1000.0,0.0060684,0.0141227,298,1
2000.0,0.012087,0.0198442,298,1
5000.0,0.0308388,0.0319627,298,1
10000.0,0.0577329,0.0372248,298,1
20000.0,0.1189681,0.0531797,298,1
50000.0,0.2796984,0.0791247,298,1
100000.0,0.4966404,0.0958082,298,1
100.0,0.0002722,0.0029938,323,1
200.0,0.0005945,0.0044276,323,1
500.0,0.0016267,0.0073183,323,1
1000.0,0.0032533,0.0103389,323,1
2000.0,0.0066593,0.0148447,323,1
5000.0,0.0152673,0.0225982,323,1
10000.0,0.031972,0.0322394,323,1
20000.0,0.0622577,0.0382929,323,1
50000.0,0.1510189,0.0600526,323,1
100000.0,0.2809529,0.07964019999999998,323,1
100.0,0.0017528,0.0077009,273,6
200.0,0.0036749,0.0109924,273,6
500.0,0.009132500000000002,0.0173966,273,6
1000.0,0.0181222,0.0248489,273,6
2000.0,0.0362113,0.034197,273,6
5000.0,0.0890969,0.0492276,273,6
10000.0,0.1685292,0.0659884,273,6
20000.0,0.3232714,0.0845611,273,6
50000.0,0.6523801,0.1063242,273,6
100000.0,1.0183325,0.1259549,273,6
100.0,0.0008166,0.0052062,298,6
200.0,0.0017238,0.0074401,298,6
500.0,0.0043554,0.0119963,298,6
1000.0,0.0081133,0.0164004,298,6
2000.0,0.0157918,0.0225595,298,6
5000.0,0.0393152,0.035241,298,6
10000.0,0.0800015,0.0454791,298,6
20000.0,0.1549404,0.0608532,298,6
50000.0,0.3474929,0.08186939999999998,298,6
