Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0431483,0.0455711,273,5
200.0,0.0846017,0.0547709,273,5
500.0,0.2127614,0.08623949999999998,273,5
1000.0,0.4205142,0.1135591,273,5
2000.0,0.8220058999999998,0.1602721,273,5
5000.0,1.8672637,0.2345293,273,5
10000.0,3.4012868,0.287692,273,5
20000.0,5.4498186,0.3290062,273,5
50000.0,8.047701,0.2807639,273,5
100000.0,9.6046497,0.2428351,273,5
1000000.0,12.7193081,0.1977794,273,5
100.0,0.0153025,0.0271789,298,5
200.0,0.0308505,0.0389699,298,5
500.0,0.07898239999999998,0.0533212,298,5
1000.0,0.1524941,0.0756366,298,5
2000.0,0.3050027,0.1063034,298,5
5000.0,0.7557813,0.1607272,298,5
10000.0,1.3732196,0.2145733,298,5
20000.0,2.5645193,0.2691456,298,5
50000.0,4.9130921,0.3201323,298,5
100000.0,6.8774847,0.3079562,298,5
1000000.0,11.2322752,0.1980419,298,5
100.0,0.0062179,0.0141673,323,5
200.0,0.0130008,0.0202661,323,5
500.0,0.0329515,0.0326419,323,5
1000.0,0.0682977,0.0410202,323,5
2000.0,0.1334745,0.0569517,323,5
5000.0,0.318002,0.0846496,323,5
10000.0,0.6164801,0.112156,323,5
20000.0,1.1824517,0.160025,323,5
50000.0,2.6587598,0.2235977,323,5
100000.0,4.3489125,0.2564344,323,5
1000000.0,9.7347253,0.1991253,323,5
100.0,0.1135309,0.05896,273,1
200.0,0.2258892,0.08474869999999998,273,1
500.0,0.5503245,0.1237162,273,1
1000.0,1.0658595,0.1678852,273,1
2000.0,1.9467224,0.2350584,273,1
5000.0,3.9250149,0.2897063,273,1
10000.0,5.8636799,0.3084769,273,1
20000.0,7.7113242,0.2646055,273,1
50000.0,9.6848956,0.2277314,273,1
100000.0,10.8966277,0.2167766,273,1
1000000.0,13.6995001,0.1423915,273,1
100.0,0.0384054,0.037596,298,1
200.0,0.07366649999999998,0.051232,298,1
500.0,0.1882568,0.0778702,298,1
1000.0,0.3477529,0.1041085,298,1
2000.0,0.6982504,0.1440808,298,1
5000.0,1.5988429,0.2193572,298,1
10000.0,2.8755656,0.2629299,298,1
20000.0,4.5221588,0.2910127,298,1
50000.0,7.0559804,0.2883097,298,1
100000.0,8.6707184,0.2551492,298,1
1000000.0,12.2254264,0.190469,298,1
100.0,0.0138547,0.0207472,323,1
200.0,0.0297029,0.0261118,323,1
500.0,0.0742203,0.0405299,323,1
1000.0,0.1474936,0.0553156,323,1
2000.0,0.2840223,0.08017299999999998,323,1
5000.0,0.6673973,0.1123638,323,1
10000.0,1.2797674,0.1686072,323,1
20000.0,2.3236999,0.2147524,323,1
50000.0,4.4087721,0.2578731,323,1
100000.0,6.2931718,0.2481161,323,1
1000000.0,10.7741693,0.1672364,323,1
100.0,0.0572855,0.0454708,273,6
200.0,0.1117349,0.0631688,273,6
500.0,0.2716307,0.0931601,273,6
1000.0,0.5267647,0.1301525,273,6
2000.0,1.0153957,0.1829743,273,6
5000.0,2.2763591,0.2362257,273,6
10000.0,3.8843582,0.3044478,273,6
20000.0,5.9541763,0.3057924,273,6
50000.0,8.448893399999998,0.2719467,273,6
100000.0,9.7782464,0.243656,273,6
1000000.0,12.8912002,0.1942544,273,6
100.0,0.019222,0.0300102,298,6
200.0,0.0390025,0.043022,298,6
500.0,0.0937938,0.0591425,298,6
1000.0,0.1983252,0.07905959999999998,298,6
2000.0,0.3785456,0.1154612,298,6
5000.0,0.8983972,0.1681764,298,6
10000.0,1.6011653,0.2144215,298,6
20000.0,2.9203255,0.2655714,298,6
50000.0,5.4031089,0.3220828,298,6
100000.0,7.2979982,0.2844225,298,6
1000000.0,11.4146603,0.2086755,298,6
100.0,0.0078959,0.0194941,323,6
200.0,0.0161403,0.0278795,323,6
500.0,0.0405,0.0441956,323,6
1000.0,0.08409609999999998,0.0554636,323,6
2000.0,0.1582682,0.0742853,323,6
5000.0,0.3866991,0.1109375,323,6
10000.0,0.7579633,0.1501073,323,6
20000.0,1.3885258,0.2045726,323,6
50000.0,2.986395,0.2844251,323,6
100000.0,4.7290548,0.3036181,323,6
1000000.0,9.9220098,0.2332377,323,6
100.0,0.2430781,0.0870267,273,2
200.0,0.4660672,0.1011149,273,2
500.0,0.9788075,0.1494068,273,2
1000.0,1.7494443,0.1833531,273,2
2000.0,2.941555,0.2405205,273,2
5000.0,4.8596034,0.2878784,273,2
10000.0,6.5891257,0.2543131,273,2
20000.0,8.15685,0.2641604,273,2
50000.0,9.91233,0.2436541,273,2
100000.0,11.0358881,0.2105122,273,2
1000000.0,13.747838,0.2034863,273,2
100.0,0.0714275,0.0463823,298,2
200.0,0.1394315,0.0641181,298,2
500.0,0.3435221,0.1050603,298,2
1000.0,0.6175008,0.131131,298,2
2000.0,1.0736348,0.17183,298,2
5000.0,2.3636271,0.2282096,298,2
10000.0,3.6719395,0.2690323,298,2
20000.0,5.3208884,0.2893782,298,2
50000.0,7.6081005,0.271999,298,2
100000.0,8.9770113,0.2343896,298,2
1000000.0,12.3322481,0.2234823,298,2
100.0,0.0274173,0.0295672,323,2
200.0,0.0490613,0.0393787,323,2
500.0,0.126657,0.0605768,323,2
1000.0,0.2535466,0.0901175,323,2
2000.0,0.4748625,0.1290158,323,2
5000.0,1.0296001,0.1714132,323,2
10000.0,1.8169949,0.2111558,323,2
20000.0,3.0445749,0.2402122,323,2
50000.0,5.168997,0.2963997,323,2
100000.0,6.8113936,0.2816581,323,2
1000000.0,10.9824679,0.2290153,323,2
100.0,0.0159669,0.0228659,273,8
200.0,0.0323929,0.0321908,273,8
500.0,0.0789166,0.0438381,273,8
1000.0,0.1571335,0.0603309,273,8
2000.0,0.3028615,0.0854652,273,8
5000.0,0.7010386,0.1238039,273,8
10000.0,1.2946471,0.1684476,273,8
20000.0,2.2980231,0.2067361,273,8
50000.0,4.5772011,0.2598821,273,8
100000.0,6.9683643,0.2821112,273,8
1000000.0,11.7404869,0.1561408,273,8
