Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0010626,0.006453,273,5
200.0,0.002349,0.0097481,273,5
500.0,0.0061282,0.0155478,273,5
1000.0,0.0119128,0.0218108,273,5
2000.0,0.024613,0.0314943,273,5
5000.0,0.0582178,0.0479585,273,5
10000.0,0.1174264,0.0684184,273,5
20000.0,0.2336304,0.08643199999999998,273,5
50000.0,0.56398,0.1332292,273,5
100000.0,1.0321267,0.1767153,273,5
100.0,0.0006871,0.0052247,298,5
200.0,0.0012344,0.0070275,298,5
500.0,0.0033677,0.011481,298,5
1000.0,0.0063998,0.0161256,298,5
2000.0,0.0131153,0.0228137,298,5
5000.0,0.0328066,0.0362011,298,5
10000.0,0.0661597,0.0511042,298,5
20000.0,0.128724,0.072044,298,5
50000.0,0.3178583,0.0982392,298,5
100000.0,0.6077299,0.1349674,298,5
100.0,0.0003655,0.0032891,323,5
200.0,0.000812,0.0049383,323,5
500.0,0.0021153,0.007894,323,5
1000.0,0.0040299,0.0109354,323,5
2000.0,0.0076702,0.0152736,323,5
5000.0,0.0197838,0.0245596,323,5
10000.0,0.0405533,0.0349301,323,5
20000.0,0.0788895,0.0480148,323,5
50000.0,0.1954141,0.0689517,323,5
100000.0,0.3763626,0.0946942,323,5
100.0,0.0011985,0.0068847,273,1
200.0,0.0022212,0.0094628,273,1
500.0,0.0057846,0.0152558,273,1
1000.0,0.0112577,0.0213639,273,1
2000.0,0.0228189,0.0303227,273,1
5000.0,0.0579502,0.0481906,273,1
10000.0,0.1134715,0.0672586,273,1
20000.0,0.2232157,0.0841448,273,1
50000.0,0.5422133,0.1256317,273,1
100000.0,0.9659204,0.1566285,273,1
100.0,0.0006552,0.0051052,298,1
200.0,0.0013782,0.0073565,298,1
500.0,0.0031919,0.0112792,298,1
1000.0,0.0061921,0.0157166,298,1
2000.0,0.0131992,0.0229919,298,1
5000.0,0.0315558,0.0358733,298,1
10000.0,0.0636749,0.0507209,298,1
20000.0,0.1255081,0.070372,298,1
50000.0,0.3051881,0.0940557,298,1
100000.0,0.5869881,0.1291821,298,1
100.0,0.0004434,0.0036672,323,1
200.0,0.0007699999999999999,0.0047411,323,1
500.0,0.0019625,0.0077095,323,1
1000.0,0.0040718,0.0109936,323,1
2000.0,0.0075062,0.0150346,323,1
5000.0,0.0186842,0.0236095,323,1
10000.0,0.0388844,0.0336743,323,1
20000.0,0.07689699999999998,0.0475155,323,1
50000.0,0.1888195,0.0661939,323,1
100000.0,0.3663168,0.0897566,323,1
100.0,0.0013782,0.0074642,273,6
200.0,0.0026606,0.0102292,273,6
500.0,0.0068673,0.0166809,273,6
1000.0,0.0137505,0.0234623,273,6
2000.0,0.0276088,0.0332006,273,6
5000.0,0.0668908,0.051681,273,6
10000.0,0.1307589,0.0717423,273,6
20000.0,0.2610395,0.0925732,273,6
50000.0,0.6132459,0.1336487,273,6
100000.0,1.1302302,0.176943,273,6
100.0,0.0007914,0.0055954,298,6
200.0,0.0013396,0.007280199999999999,298,6
500.0,0.0036553,0.0121256,298,6
1000.0,0.0072468,0.0172427,298,6
2000.0,0.0145295,0.0239236,298,6
5000.0,0.0363479,0.038406,298,6
10000.0,0.0713291,0.052324,298,6
20000.0,0.1427936,0.0732391,298,6
50000.0,0.353103,0.1026701,298,6
100000.0,0.6615749,0.1364644,298,6
100.0,0.0003236,0.0035808,323,6
200.0,0.0008949,0.0059921,323,6
500.0,0.0019975,0.008888099999999998,323,6
1000.0,0.0041148,0.0127956,323,6
2000.0,0.0088052,0.0186718,323,6
5000.0,0.0212489,0.0290225,323,6
10000.0,0.0433248,0.0419477,323,6
20000.0,0.0859505,0.0578938,323,6
50000.0,0.2093222,0.0803481,323,6
100000.0,0.4155547,0.1084991,323,6
100.0,0.001546,0.007849,273,2
200.0,0.0028763,0.0107355,273,2
500.0,0.007418499999999998,0.0173682,273,2
1000.0,0.0145894,0.0238168,273,2
2000.0,0.0295451,0.034223,273,2
5000.0,0.0732986,0.0536972,273,2
10000.0,0.1430778,0.0655483,273,2
20000.0,0.2733918,0.0913662,273,2
50000.0,0.6482554,0.1294043,273,2
100000.0,1.1766863,0.1704197,273,2
100.0,0.0008509,0.005823,298,2
200.0,0.0014581,0.0076184,298,2
500.0,0.0038791,0.0123695,298,2
1000.0,0.0073386,0.0171992,298,2
2000.0,0.0158957,0.0250814,298,2
5000.0,0.0393938,0.0397108,298,2
10000.0,0.07623489999999998,0.0543233,298,2
20000.0,0.1531409,0.0681849,298,2
50000.0,0.373851,0.1001983,298,2
100000.0,0.7001357,0.1330095,298,2
100.0,0.0004514,0.0042226,323,2
200.0,0.0009588000000000002,0.0061662,323,2
500.0,0.0021892,0.0093857,323,2
1000.0,0.0044823,0.0134653,323,2
2000.0,0.0094887,0.0194865,323,2
5000.0,0.022747,0.02998,323,2
10000.0,0.0450945,0.0418992,323,2
20000.0,0.0909402,0.0599424,323,2
50000.0,0.2207109,0.0826453,323,2
100000.0,0.4277591,0.1111354,323,2
