Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,2.1465134,0.1326087,273,5
200.0,2.5035105,0.113176,273,5
500.0,2.863317,0.0932818,273,5
1000.0,3.1595989,0.09862580000000001,273,5
2000.0,3.4508953,0.0927634,273,5
5000.0,3.6973178,0.0838922,273,5
10000.0,3.8965784,0.0869809,273,5
20000.0,4.0865393,0.0599901,273,5
50000.0,4.1425633,0.0624965,273,5
100000.0,4.3075393,0.0586517,273,5
1000000.0,4.4082216,0.0486913,273,5
100.0,0.9751369,0.1203052,298,5
200.0,1.4559828,0.1297674,298,5
500.0,2.0439567,0.1171883,298,5
1000.0,2.3817137,0.1050465,298,5
2000.0,2.6619464,0.0912417,298,5
5000.0,3.022806,0.0964957,298,5
10000.0,3.2618804,0.1179877,298,5
20000.0,3.5366512,0.1290399,298,5
50000.0,3.8496518,0.0651793,298,5
100000.0,4.0353698,0.0599218,298,5
1000000.0,4.3717097,0.054098,298,5
100.0,0.3457981,0.09253910000000001,323,5
200.0,0.6075167,0.1141867,323,5
500.0,1.1298441,0.1333904,323,5
1000.0,1.6082436,0.1266629,323,5
2000.0,2.0406816,0.1228968,323,5
5000.0,2.454748,0.0940467,323,5
10000.0,2.7143102,0.08962929999999998,323,5
20000.0,2.9846005,0.0857446,323,5
50000.0,3.3847796,0.08845809999999998,323,5
100000.0,3.6102936,0.106329,323,5
1000000.0,4.0922021,0.0689312,323,5
100.0,2.1938806,0.1101646,273,1
200.0,2.4748386,0.0991406,273,1
500.0,2.7762404,0.09543670000000001,273,1
1000.0,3.1028399,0.0912798,273,1
2000.0,3.3615792,0.1378992,273,1
5000.0,3.6717767,0.07571899999999998,273,1
10000.0,3.8192839,0.0715952,273,1
20000.0,3.956287,0.0552761,273,1
50000.0,4.1059542,0.0492044,273,1
100000.0,4.1698089,0.0278467,273,1
1000000.0,4.3654339,0.0603055,273,1
100.0,1.1329301,0.1320136,298,1
200.0,1.611795,0.1341084,298,1
500.0,2.1275662,0.1163805,298,1
1000.0,2.4361237,0.09236200000000001,298,1
2000.0,2.6355282,0.0834445,298,1
5000.0,2.9464619,0.08664429999999998,298,1
10000.0,3.1956761,0.1008698,298,1
20000.0,3.4905395,0.0862459,298,1
50000.0,3.7513272,0.0958473,298,1
100000.0,3.9709655,0.0609179,298,1
1000000.0,4.2138937,0.0418922,298,1
100.0,0.4253578,0.0991212,323,1
200.0,0.7240461,0.1140711,323,1
500.0,1.2843633,0.13768,323,1
1000.0,1.7385766,0.129616,323,1
2000.0,2.0869686,0.1076861,323,1
5000.0,2.4812619,0.0952836,323,1
10000.0,2.707458,0.0934764,323,1
20000.0,2.9331067,0.0879316,323,1
50000.0,3.1795307,0.0944289,323,1
100000.0,3.4734848,0.10895,323,1
1000000.0,4.079303,0.0530477,323,1
100.0,2.3323238,0.1201854,273,6
200.0,2.6361921,0.1231951,273,6
500.0,3.0705236,0.0968302,273,6
1000.0,3.3977863,0.0885142,273,6
2000.0,3.6565796,0.1151412,273,6
5000.0,3.9325842,0.0762188,273,6
10000.0,4.0038865,0.0600973,273,6
20000.0,4.1024939,0.035041,273,6
50000.0,4.1650446,0.0552728,273,6
100000.0,4.2229677,0.0670842,273,6
1000000.0,4.3434605,0.0556126,273,6
100.0,1.1189332,0.1416541,298,6
