Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001649,0.0020536,273,5
200.0,0.0002249,0.0024118,273,5
500.0,0.0006271,0.0040184,273,5
1000.0,0.0012267,0.0054788,273,5
2000.0,0.0023535,0.0076813,273,5
5000.0,0.006271,0.0106236,273,5
10000.0,0.012327,0.0149456,273,5
20000.0,0.0246791,0.022159,273,5
50000.0,0.0568883,0.0334237,273,5
100000.0,0.1068785,0.042768,273,5
100.0,6e-05,0.0012225,298,5
200.0,0.0001324,0.001814,298,5
500.0,0.0002398,0.0025118,298,5
1000.0,0.0004597,0.0033577,298,5
2000.0,0.0009344,0.0048188,298,5
5000.0,0.0023185,0.0076022,298,5
10000.0,0.0048719,0.0096172,298,5
20000.0,0.009354,0.0133542,298,5
50000.0,0.0250438,0.0215423,298,5
100000.0,0.0494506,0.0303424,298,5
100.0,2.66e-05,0.0006657,323,5
200.0,5e-05,0.0009109,323,5
500.0,0.0001283,0.0014559,323,5
1000.0,0.0002483,0.0020727,323,5
2000.0,0.0004197,0.0026735,323,5
5000.0,0.0011459,0.0043646,323,5
10000.0,0.0023768,0.0054275,323,5
20000.0,0.0043355,0.007489499999999999,323,5
50000.0,0.0111228,0.0116602,323,5
100000.0,0.0216926,0.0158195,323,5
100.0,0.0005347,0.0036327,273,1
200.0,0.0010074,0.0051016,273,1
500.0,0.0024209,0.0077212,273,1
1000.0,0.0047769,0.0096518,273,1
2000.0,0.0092116,0.0129535,273,1
5000.0,0.0253436,0.0218117,273,1
10000.0,0.0501383,0.0308181,273,1
20000.0,0.1048223,0.044362,273,1
50000.0,0.2515669,0.0681055,273,1
100000.0,0.453404,0.07598439999999998,273,1
100.0,0.0001824,0.0021268,298,1
200.0,0.000335,0.002895,298,1
500.0,0.0008844,0.0047104,298,1
1000.0,0.0017888,0.0065662,298,1
2000.0,0.0036102,0.0095142,298,1
5000.0,0.0097587,0.0134259,298,1
10000.0,0.0194724,0.0185992,298,1
20000.0,0.0369986,0.0266288,298,1
50000.0,0.08916739999999998,0.0405723,298,1
100000.0,0.1885295,0.0610615,298,1
100.0,7.83e-05,0.0011392,323,1
200.0,0.0001566,0.0016072,323,1
500.0,0.0003448,0.0023947,323,1
1000.0,0.0007961999999999998,0.0035845,323,1
2000.0,0.0016323,0.00523,323,1
5000.0,0.0039574,0.007228499999999999,323,1
10000.0,0.007396899999999999,0.0099037,323,1
20000.0,0.0152401,0.0138151,323,1
50000.0,0.0389782,0.0223667,323,1
100000.0,0.0762025,0.0311081,323,1
100.0,0.0010668,0.0045059,273,6
200.0,0.0020312,0.0059524,273,6
500.0,0.0055164,0.0102677,273,6
1000.0,0.0105082,0.0141342,273,6
2000.0,0.0210514,0.0191346,273,6
5000.0,0.049295,0.0306443,273,6
10000.0,0.1145835,0.0532703,273,6
20000.0,0.1906831,0.0637826,273,6
50000.0,0.4403143,0.0897221,273,6
100000.0,0.7092668,0.1063115,273,6
100.0,0.0003048,0.0027427,298,6
200.0,0.0005796,0.0037776,298,6
500.0,0.0016115,0.0056027,298,6
1000.0,0.0029556,0.007357,298,6
2000.0,0.0061011,0.0103418,298,6
5000.0,0.0163744,0.0170357,298,6
10000.0,0.0299707,0.024276,298,6
20000.0,0.0668943,0.0382407,298,6
50000.0,0.129279,0.0470322,298,6
100000.0,0.2736824,0.069368,298,6
