Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0322926,0.0248637,273,5
200.0,0.0605647,0.031321,273,5
500.0,0.1325932,0.045375,273,5
1000.0,0.2421999,0.07623489999999998,273,5
2000.0,0.3730972,0.0688615,273,5
5000.0,0.6270329,0.0690607,273,5
10000.0,0.8535123,0.0695054,273,5
20000.0,1.0473725,0.0826109,273,5
50000.0,1.444161,0.1038684,273,5
100000.0,1.7806234,0.1219402,273,5
1000000.0,2.6081797,0.0469401,273,5
100.0,0.0072457,0.0119203,298,5
200.0,0.0117024,0.0148385,298,5
500.0,0.0338629,0.0233449,298,5
1000.0,0.0607982,0.0356502,298,5
2000.0,0.1137939,0.0416413,298,5
5000.0,0.2574872,0.0509698,298,5
10000.0,0.4575585,0.0678366,298,5
20000.0,0.5718254,0.0670053,298,5
50000.0,0.8790428999999998,0.0669767,298,5
100000.0,1.1126769,0.082543,298,5
1000000.0,2.2069381,0.097378,298,5
100.0,0.0019705,0.0061099,323,5
200.0,0.0035023,0.0081585,323,5
500.0,0.009506100000000002,0.0131491,323,5
1000.0,0.0156717,0.016657,323,5
2000.0,0.032131,0.0229837,323,5
5000.0,0.0882595,0.039294,323,5
10000.0,0.1598519,0.0502674,323,5
20000.0,0.2620336,0.0695477,323,5
50000.0,0.511149,0.0744962,323,5
100000.0,0.7202684,0.1189149,323,5
1000000.0,1.6077104,0.0998059,323,5
100.0,0.1002756,0.041211,273,1
200.0,0.2023691,0.07073,273,1
500.0,0.454371,0.1119225,273,1
1000.0,0.7730441,0.0967449,273,1
2000.0,1.1531842,0.0978365,273,1
5000.0,1.763356,0.134603,273,1
10000.0,2.085319,0.0939456,273,1
20000.0,2.3268108,0.07503669999999998,273,1
50000.0,2.5510681,0.0457267,273,1
100000.0,2.6682885,0.0384482,273,1
1000000.0,2.7569848,0.0181003,273,1
100.0,0.0278898,0.0241666,298,1
200.0,0.0459014,0.0321254,298,1
500.0,0.1182844,0.046775,298,1
1000.0,0.2027616,0.0511333,298,1
2000.0,0.4159458,0.0779939,298,1
5000.0,0.719029,0.092023,298,1
10000.0,1.1764812,0.0891455,298,1
20000.0,1.516358,0.1224439,298,1
50000.0,2.0872932,0.0843353,298,1
100000.0,2.3555072,0.0786037,298,1
1000000.0,2.7131677,0.029533,298,1
100.0,0.0065658,0.0112233,323,1
200.0,0.0127518,0.0155967,323,1
500.0,0.033183,0.0249639,323,1
1000.0,0.0624762,0.0332829,323,1
2000.0,0.1183507,0.0481857,323,1
5000.0,0.2592057,0.0656356,323,1
10000.0,0.4682894,0.0988462,323,1
20000.0,0.7930652,0.0813664,323,1
50000.0,1.2869524,0.0818948,323,1
100000.0,1.6648676,0.0879418,323,1
1000000.0,2.574935,0.0413097,323,1
100.0,0.0097627,0.013487,273,6
200.0,0.0201951,0.0193799,273,6
500.0,0.0527317,0.0310288,273,6
1000.0,0.1088677,0.0464034,273,6
2000.0,0.1535093,0.0573587,273,6
5000.0,0.3431656,0.0637131,273,6
10000.0,0.556556,0.0626754,273,6
20000.0,0.6637642,0.0564851,273,6
50000.0,0.8567342999999998,0.0606863,273,6
100000.0,0.9867056,0.0719883,273,6
1000000.0,1.6961893,0.0943939,273,6
100.0,0.0020372,0.0064893,298,6
200.0,0.0041873,0.008614699999999998,298,6
500.0,0.0109763,0.0138275,298,6
1000.0,0.0253343,0.021861,298,6
2000.0,0.0499861,0.0315644,298,6
5000.0,0.1057441,0.0440645,298,6
10000.0,0.1975451,0.0479774,298,6
20000.0,0.3316828,0.0528256,298,6
50000.0,0.531543,0.07711139999999998,298,6
100000.0,0.7259594,0.0648144,298,6
1000000.0,1.2639133,0.0923121,298,6
100.0,0.0008185,0.0040432,323,6
200.0,0.0014548,0.0050943,323,6
500.0,0.0041027,0.0086268,323,6
1000.0,0.0070199,0.0112054,323,6
2000.0,0.0123003,0.0147256,323,6
5000.0,0.0289726,0.0241703,323,6
10000.0,0.0612267,0.0331595,323,6
20000.0,0.1122647,0.0492249,323,6
50000.0,0.2540114,0.0540523,323,6
100000.0,0.3523428,0.0544537,323,6
1000000.0,0.9783879,0.0807646,323,6
100.0,0.0741122,0.0373454,273,2
200.0,0.1493733,0.0642052,273,2
500.0,0.3395906,0.08076469999999998,273,2
1000.0,0.5791938,0.0644568,273,2
2000.0,0.8950736999999999,0.1185376,273,2
5000.0,1.2468779,0.08582829999999998,273,2
10000.0,1.5383533,0.0935586,273,2
20000.0,1.7009129,0.0580019,273,2
50000.0,1.8926618,0.056017,273,2
100000.0,2.0531629,0.08598069999999998,273,2
1000000.0,2.4909463,0.0406365,273,2
100.0,0.0144119,0.0168212,298,2
200.0,0.0283619,0.0236739,298,2
500.0,0.0675077,0.0327682,298,2
1000.0,0.1396898,0.0562136,298,2
2000.0,0.2437239,0.0645174,298,2
5000.0,0.5275245,0.0993492,298,2
10000.0,0.8575477,0.1114582,298,2
20000.0,1.209165,0.0888918,298,2
50000.0,1.5480215,0.0734844,298,2
100000.0,1.705751,0.0575698,298,2
1000000.0,2.166763,0.0834238,298,2
100.0,0.0041001,0.0088459,323,2
200.0,0.008638899999999998,0.0127386,323,2
500.0,0.0197281,0.0186796,323,2
1000.0,0.0444312,0.0312137,323,2
2000.0,0.0726905,0.0392377,323,2
5000.0,0.1928068,0.060446,323,2
10000.0,0.3616654,0.0772116,323,2
