Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1517409,0.0584478,273,5
200.0,0.2514227,0.07629089999999998,273,5
500.0,0.4349106,0.0760924,273,5
1000.0,0.575005,0.08406439999999998,273,5
2000.0,0.7253239,0.0915722,273,5
5000.0,0.9476415,0.088924,273,5
10000.0,1.1028099,0.08549859999999998,273,5
20000.0,1.2176515,0.08374629999999998,273,5
50000.0,1.3887581,0.0687683,273,5
100000.0,1.4854804,0.0571086,273,5
1000000.0,1.6065946,0.0397957,273,5
100.0,0.0422876,0.0378405,298,5
200.0,0.07845149999999998,0.0516372,298,5
500.0,0.1662543,0.0665901,298,5
1000.0,0.2666615,0.07236009999999998,298,5
2000.0,0.4302663,0.0857421,298,5
5000.0,0.6218599,0.0935311,298,5
10000.0,0.8157914,0.094003,298,5
20000.0,0.9903263000000002,0.091179,298,5
50000.0,1.194469,0.0917769,298,5
100000.0,1.3198184,0.073433,298,5
1000000.0,1.5548234,0.0508684,298,5
100.0,0.0111882,0.0154159,323,5
200.0,0.0234188,0.0242158,323,5
500.0,0.0515602,0.0316879,323,5
1000.0,0.0966309,0.0459081,323,5
2000.0,0.1813512,0.0590532,323,5
5000.0,0.3299669,0.0582417,323,5
10000.0,0.5054209,0.0752544,323,5
20000.0,0.7207186,0.0728401,323,5
50000.0,0.9612886,0.0759166,323,5
100000.0,1.1084291,0.0768732,323,5
1000000.0,1.462581,0.0507094,323,5
100.0,0.1428024,0.0637784,273,1
200.0,0.25548,0.07716779999999998,273,1
500.0,0.4840269,0.1021423,273,1
1000.0,0.7340719999999998,0.1017949,273,1
2000.0,0.9269528,0.0989128,273,1
5000.0,1.1526892,0.0888197,273,1
10000.0,1.2900254,0.07918999999999998,273,1
20000.0,1.4067414,0.066052,273,1
50000.0,1.4950973,0.0565313,273,1
100000.0,1.5685007,0.0517417,273,1
1000000.0,1.7138361,0.0575302,273,1
100.0,0.0369683,0.0348314,298,1
200.0,0.0761337,0.0470834,298,1
500.0,0.1736249,0.0647847,298,1
1000.0,0.328572,0.0871382,298,1
2000.0,0.4999984,0.08923309999999998,298,1
5000.0,0.7786621999999999,0.100114,298,1
10000.0,0.997908,0.0987113,298,1
20000.0,1.1620426,0.0877131,298,1
50000.0,1.3545529,0.0658981,298,1
100000.0,1.4486921,0.0667285,298,1
1000000.0,1.6416585,0.0395536,298,1
100.0,0.012854,0.0164308,323,1
200.0,0.025393,0.0226527,323,1
500.0,0.0593833,0.0339771,323,1
1000.0,0.1040658,0.0430081,323,1
2000.0,0.2084463,0.0542129,323,1
5000.0,0.4227296,0.0762414,323,1
10000.0,0.6598134,0.088727,323,1
20000.0,0.8689042,0.08043319999999998,323,1
50000.0,1.1397313,0.0701372,323,1
100000.0,1.2719383,0.0678625,323,1
1000000.0,1.5608261,0.046381,323,1
100.0,0.0111262,0.023438,273,6
200.0,0.0226747,0.0281952,273,6
500.0,0.0517194,0.0431391,273,6
1000.0,0.1093514,0.0573164,273,6
2000.0,0.1919763,0.07627829999999998,273,6
5000.0,0.4321315,0.1026356,273,6
10000.0,0.678705,0.1183378,273,6
20000.0,0.9033781,0.1105016,273,6
50000.0,1.1817466,0.0843711,273,6
100000.0,1.3207384,0.0689247,273,6
1000000.0,1.5643525,0.0396635,273,6
100.0,0.0037305,0.0135555,298,6
200.0,0.007953699999999998,0.0201591,298,6
500.0,0.0192358,0.0304419,298,6
1000.0,0.0382101,0.0360346,298,6
2000.0,0.0722825,0.0524726,298,6
5000.0,0.1767571,0.07543139999999998,298,6
10000.0,0.3100552,0.0948333,298,6
20000.0,0.5187186,0.1126938,298,6
50000.0,0.8588523999999998,0.1028121,298,6
100000.0,1.0589348,0.1017745,298,6
1000000.0,1.4532604,0.057399,298,6
100.0,0.0015485,0.008972799999999998,323,6
200.0,0.0032863,0.0128473,323,6
500.0,0.0080945,0.0202533,323,6
1000.0,0.016551,0.0285395,323,6
2000.0,0.0327149,0.0396926,323,6
5000.0,0.07496229999999998,0.0521694,323,6
10000.0,0.1498189,0.0698014,323,6
20000.0,0.2653594,0.08658,323,6
50000.0,0.5390024,0.1062467,323,6
100000.0,0.7579842,0.1076418,323,6
1000000.0,1.3107844,0.0730321,323,6
100.0,0.0195274,0.0310636,273,2
200.0,0.039351,0.0446356,273,2
500.0,0.0934756,0.0596459,273,2
