Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007714,0.0044626,273,5
200.0,0.0016184,0.0065848,273,5
500.0,0.0041202,0.0103228,273,5
1000.0,0.00811,0.0146948,273,5
2000.0,0.0158916,0.0202358,273,5
5000.0,0.0386059,0.0275472,273,5
10000.0,0.0779025,0.0390427,273,5
20000.0,0.1423664,0.0518014,273,5
50000.0,0.312139,0.070794,273,5
100000.0,0.5230213,0.0780763,273,5
100.0,0.000357,0.0030517,298,5
200.0,0.0007739999999999998,0.0044698,298,5
500.0,0.001892,0.0070377,298,5
1000.0,0.0039429,0.0100327,298,5
2000.0,0.0076826,0.0141038,298,5
5000.0,0.0187922,0.0223226,298,5
10000.0,0.0366019,0.0260804,298,5
20000.0,0.0721561,0.0373636,298,5
50000.0,0.1667582,0.0552465,298,5
100000.0,0.2988325,0.0686747,298,5
100.0,0.0001963,0.0018364,323,5
200.0,0.0004137,0.0026602,323,5
500.0,0.0010928,0.004303,323,5
1000.0,0.0020101,0.0059048,323,5
2000.0,0.0041943,0.0084323,323,5
5000.0,0.0099933,0.0132535,323,5
10000.0,0.0196861,0.018243,323,5
20000.0,0.0389343,0.0229596,323,5
50000.0,0.0964098,0.0346277,323,5
100000.0,0.1824144,0.0449458,323,5
100.0,0.0011258,0.0053872,273,1
200.0,0.0023923,0.0078343,273,1
500.0,0.0057776,0.012183,273,1
1000.0,0.0115213,0.0175177,273,1
2000.0,0.0226908,0.0242402,273,1
5000.0,0.057101,0.0336899,273,1
10000.0,0.1068009,0.0455826,273,1
20000.0,0.200758,0.0596331,273,1
50000.0,0.4191871,0.0788006,273,1
100000.0,0.6629945,0.089299,273,1
100.0,0.0005707,0.0039021,298,1
200.0,0.0010893,0.0052802,298,1
500.0,0.0027259,0.0083417,298,1
1000.0,0.0054703,0.0119791,298,1
2000.0,0.0108281,0.0167773,298,1
5000.0,0.0267041,0.0262279,298,1
10000.0,0.0510342,0.032356,298,1
20000.0,0.1000423,0.0442443,298,1
50000.0,0.2283615,0.0612023,298,1
100000.0,0.3982219,0.0769291,298,1
100.0,0.0003058,0.0022845,323,1
200.0,0.0005267,0.003039,323,1
500.0,0.0013638,0.0049059,323,1
1000.0,0.0027485,0.0069575,323,1
2000.0,0.0058358,0.0099996,323,1
5000.0,0.0139267,0.0153089,323,1
10000.0,0.0281418,0.0187768,323,1
20000.0,0.0554358,0.0258986,323,1
50000.0,0.1314257,0.0409098,323,1
100000.0,0.2444733,0.0516306,323,1
100.0,0.0006541,0.0041427,273,6
200.0,0.0015167,0.0062443,273,6
500.0,0.0035208,0.0094914,273,6
1000.0,0.0072943,0.0135353,273,6
2000.0,0.0145495,0.0194391,273,6
5000.0,0.0353718,0.0256227,273,6
10000.0,0.0710069,0.036841,273,6
20000.0,0.1379171,0.0498414,273,6
50000.0,0.2963464,0.0733897,273,6
100000.0,0.4923807,0.08029859999999998,273,6
100.0,0.0003596,0.0030625,298,6
200.0,0.0006828,0.0041951,298,6
500.0,0.001746,0.0067108,298,6
1000.0,0.0035416,0.0096117,298,6
2000.0,0.0070441,0.0136373,298,6
5000.0,0.0171504,0.0210333,298,6
10000.0,0.0344415,0.029433,298,6
20000.0,0.0684191,0.0378969,298,6
50000.0,0.1586557,0.0523297,298,6
100000.0,0.2899068,0.0691269,298,6
100.0,0.0002476,0.002528,323,6
200.0,0.0003466,0.0029854,323,6
500.0,0.0010346,0.005181,323,6
1000.0,0.0019415,0.0070868,323,6
2000.0,0.0037762,0.0099202,323,6
5000.0,0.0097257,0.0158931,323,6
10000.0,0.018873,0.0216809,323,6
20000.0,0.0378867,0.0265531,323,6
50000.0,0.08933779999999998,0.0413331,323,6
100000.0,0.1716183,0.0540787,323,6
100.0,0.0010847,0.0053338,273,2
200.0,0.0021109,0.0073543,273,2
500.0,0.0054518,0.0117946,273,2
1000.0,0.0106326,0.0166448,273,2
2000.0,0.0208379,0.0231154,273,2
5000.0,0.0514146,0.0327307,273,2
10000.0,0.0987925,0.043452,273,2
20000.0,0.1869238,0.059024,273,2
