Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0682004,0.0359441,273,5
200.0,0.1339995,0.0492637,273,5
500.0,0.2926989,0.0654502,273,5
1000.0,0.4876285,0.0774558,273,5
2000.0,0.7482096,0.08908159999999998,273,5
5000.0,1.1253138,0.0905837,273,5
10000.0,1.3753707,0.07692609999999998,273,5
20000.0,1.5724272,0.07229579999999998,273,5
50000.0,1.8635096,0.07536039999999998,273,5
100000.0,2.1378765,0.0716805,273,5
1000000.0,2.931208,0.0778335,273,5
100.0,0.0202754,0.0203213,298,5
200.0,0.0411817,0.0272891,298,5
500.0,0.0975086,0.0426732,298,5
1000.0,0.1856593,0.0557736,298,5
2000.0,0.3460709,0.07654049999999998,298,5
5000.0,0.6408461,0.0821543,298,5
10000.0,0.9119744,0.0817877,298,5
20000.0,1.1870322,0.0831626,298,5
50000.0,1.4795403,0.0754307,298,5
100000.0,1.6746948,0.0795724,298,5
1000000.0,2.5546677,0.0759905,298,5
100.0,0.0071587,0.0135849,323,5
200.0,0.0146761,0.0198531,323,5
500.0,0.0357641,0.026651,323,5
1000.0,0.0720727,0.0365128,323,5
2000.0,0.1338774,0.047648,323,5
5000.0,0.3109761,0.0693922,323,5
10000.0,0.5086042,0.08328339999999998,323,5
20000.0,0.7787288999999998,0.0920606,323,5
50000.0,1.136793,0.0823654,323,5
100000.0,1.362954,0.07566309999999998,323,5
1000000.0,2.1337935,0.0793233,323,5
100.0,0.0945137,0.0428886,273,1
200.0,0.1722999,0.054303,273,1
500.0,0.3792853,0.07445219999999998,273,1
1000.0,0.6027205,0.08335629999999998,273,1
2000.0,0.9079435,0.0922024,273,1
5000.0,1.2775981,0.0889915,273,1
10000.0,1.5520693,0.0799555,273,1
20000.0,1.8312194,0.08648509999999998,273,1
50000.0,2.182706,0.0802656,273,1
100000.0,2.4374732,0.08327229999999998,273,1
1000000.0,3.3726335,0.1064062,273,1
100.0,0.0265981,0.0232536,298,1
200.0,0.0540534,0.032429,298,1
500.0,0.1294107,0.0489445,298,1
1000.0,0.2347461,0.0640212,298,1
2000.0,0.4209616,0.0770797,298,1
5000.0,0.7565498,0.0917981,298,1
10000.0,1.0509961,0.0866114,298,1
20000.0,1.3376975,0.0809403,298,1
50000.0,1.6672181,0.081139,298,1
100000.0,1.9419672,0.08488139999999998,298,1
1000000.0,2.8114997,0.0774186,298,1
100.0,0.0100898,0.016162,323,1
200.0,0.019474,0.0224828,323,1
500.0,0.0471024,0.029239,323,1
1000.0,0.0933556,0.0402558,323,1
2000.0,0.1741376,0.0568874,323,1
5000.0,0.3926015,0.0797258,323,1
10000.0,0.6097081,0.08323859999999998,323,1
20000.0,0.9139711,0.08954629999999998,323,1
50000.0,1.2805883,0.07965319999999998,323,1
100000.0,1.5236231,0.077987,323,1
1000000.0,2.4307257,0.0819562,323,1
100.0,0.0264143,0.025929,273,6
200.0,0.0534012,0.0327994,273,6
500.0,0.1294844,0.0491496,273,6
1000.0,0.2385737,0.0637566,273,6
2000.0,0.4248824,0.0823036,273,6
5000.0,0.7704784,0.0936569,273,6
10000.0,1.0707938,0.08508219999999998,273,6
20000.0,1.355286,0.08544599999999998,273,6
50000.0,1.6874812,0.08048389999999998,273,6
100000.0,1.9577897,0.0716967,273,6
1000000.0,2.7684443,0.08557689999999998,273,6
100.0,0.008977,0.0153694,298,6
200.0,0.018469,0.0219773,298,6
500.0,0.0446559,0.0293668,298,6
1000.0,0.08731609999999998,0.0424654,298,6
2000.0,0.1662821,0.0555583,298,6
5000.0,0.3655157,0.07560129999999998,298,6
10000.0,0.6055948,0.0852779,298,6
20000.0,0.8915066,0.090311,298,6
50000.0,1.2811964,0.0860661,298,6
100000.0,1.5109972,0.08047999999999998,298,6
1000000.0,2.312435,0.073233,298,6
100.0,0.0035434,0.0096644,323,6
200.0,0.007321099999999999,0.0138582,323,6
500.0,0.0180578,0.0218205,323,6
1000.0,0.0351864,0.0301783,323,6
2000.0,0.0692254,0.0389319,323,6
5000.0,0.1672132,0.0574598,323,6
10000.0,0.3041811,0.0718466,323,6
20000.0,0.5233713,0.08687699999999998,323,6
50000.0,0.8809264,0.0995517,323,6
100000.0,1.1755069,0.0843874,323,6
1000000.0,1.9471355,0.08311849999999998,323,6
100.0,0.0369088,0.0264457,273,2
200.0,0.0710233,0.0389638,273,2
500.0,0.1673383,0.0556364,273,2
1000.0,0.3112466,0.0771343,273,2
2000.0,0.5357735,0.0819622,273,2
5000.0,0.923546,0.1033575,273,2
10000.0,1.2453815,0.0962474,273,2
20000.0,1.5226704,0.0874109,273,2
50000.0,1.8826962,0.0834044,273,2
100000.0,2.1508953,0.08904199999999998,273,2
1000000.0,3.0074674,0.1188581,273,2
100.0,0.011948,0.0177826,298,2
200.0,0.0241702,0.0248288,298,2
500.0,0.0593699,0.034358,298,2
1000.0,0.1160003,0.0480751,298,2
2000.0,0.2199612,0.0639752,298,2
5000.0,0.4600411,0.0809736,298,2
10000.0,0.7281828,0.0941636,298,2
20000.0,1.0362008,0.0972211,298,2
50000.0,1.4138623,0.08114839999999998,298,2
100000.0,1.7141764,0.07980099999999998,298,2
1000000.0,2.5728902,0.0953871,298,2
100.0,0.0048958,0.0113661,323,2
200.0,0.0095627,0.0160259,323,2
500.0,0.023667,0.0248439,323,2
1000.0,0.0476269,0.0298034,323,2
2000.0,0.0916891,0.0422957,323,2
5000.0,0.2156601,0.0621473,323,2
10000.0,0.377067,0.0776098,323,2
20000.0,0.6228046,0.0852239,323,2
50000.0,1.01857,0.0964215,323,2
100000.0,1.3089095,0.0875861,323,2
1000000.0,2.1753842,0.0844347,323,2
100.0,0.0151826,0.0201355,273,8
200.0,0.0281928,0.0270803,273,8
500.0,0.0721218,0.0386829,273,8
1000.0,0.1413153,0.052951,273,8
2000.0,0.2645357,0.0686086,273,8
5000.0,0.5351236,0.0837585,273,8
10000.0,0.8296679,0.0893761,273,8
20000.0,1.1403297,0.089187,273,8
50000.0,1.4929113,0.0839045,273,8
100000.0,1.7828126,0.0842957,273,8
1000000.0,2.7555362,0.0726234,273,8
100.0,0.005367,0.0119164,298,8
200.0,0.01075,0.0167433,298,8
500.0,0.0255066,0.0258185,298,8
1000.0,0.0531563,0.032712,298,8
2000.0,0.1016803,0.0456783,298,8
5000.0,0.2380998,0.0667955,298,8
10000.0,0.4180584,0.0779533,298,8
20000.0,0.6744204,0.0919992,298,8
50000.0,1.0703707,0.08849319999999998,298,8
100000.0,1.3511218,0.086106,298,8
1000000.0,2.2593952,0.0970883,298,8
100.0,0.0022948,0.007851,323,8
200.0,0.0045763,0.0110906,323,8
500.0,0.0116259,0.017526,323,8
1000.0,0.0228684,0.0244593,323,8
2000.0,0.0442059,0.0340517,323,8
5000.0,0.1085142,0.0529646,323,8
10000.0,0.2061746,0.0716436,323,8
20000.0,0.3707033,0.08869019999999998,323,8
50000.0,0.694647,0.107438,323,8
100000.0,0.9860229,0.1051352,323,8
1000000.0,1.8685229,0.09983860000000001,323,8
100.0,0.0206268,0.0236245,273,4
200.0,0.0404895,0.0322925,273,4
500.0,0.1009669,0.0446483,273,4
1000.0,0.1870893,0.0590921,273,4
2000.0,0.347891,0.0787569,273,4
5000.0,0.6863714,0.0943655,273,4
10000.0,1.0058423,0.1017129,273,4
20000.0,1.3192383,0.0947603,273,4
50000.0,1.7299211,0.08785709999999998,273,4
100000.0,2.0577595,0.0832509,273,4
1000000.0,3.0439689,0.1036804,273,4
100.0,0.007574,0.0144389,298,4
200.0,0.0149084,0.019883,298,4
500.0,0.0370553,0.0311343,298,4
1000.0,0.0719834,0.0374121,298,4
2000.0,0.1409718,0.0529376,298,4
5000.0,0.3127827,0.07485509999999998,298,4
10000.0,0.5360726,0.08520419999999998,298,4
20000.0,0.8193122,0.0967255,298,4
50000.0,1.2486527,0.0918621,298,4
100000.0,1.5344439,0.08435539999999998,298,4
1000000.0,2.5569985,0.0882212,298,4
100.0,0.0031867,0.0092671,323,4
200.0,0.0062296,0.0127576,323,4
500.0,0.0157097,0.0205505,323,4
1000.0,0.030075,0.0279377,323,4
2000.0,0.0600407,0.0391618,323,4
5000.0,0.1432773,0.0587199,323,4
10000.0,0.2647105,0.0808334,323,4
20000.0,0.4622576,0.0953309,323,4
50000.0,0.8202074999999999,0.1068023,323,4
100000.0,1.1331653,0.1107866,323,4
1000000.0,2.0829887,0.1188644,323,4
100.0,0.1373693,0.0471452,273,7
200.0,0.25138,0.0611068,273,7
500.0,0.5048493,0.07697759999999998,273,7
1000.0,0.7868796,0.09377120000000001,273,7
2000.0,1.1024338,0.0877083,273,7
5000.0,1.4657243,0.0818619,273,7
10000.0,1.7082068,0.08544509999999998,273,7
20000.0,2.045529,0.0909959,273,7
50000.0,2.4437795,0.1094449,273,7
100000.0,2.7205304,0.0880215,273,7
1000000.0,3.4243909,0.0518435,273,7
100.0,0.0386632,0.0273566,298,7
200.0,0.0717731,0.0362993,298,7
