Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006636,0.0041843,273,5
200.0,0.0012858,0.005867,273,5
500.0,0.0030589,0.0090397,273,5
1000.0,0.0062376,0.0129823,273,5
2000.0,0.0121796,0.0178744,273,5
5000.0,0.0298806,0.0278683,273,5
10000.0,0.0600061,0.0353381,273,5
20000.0,0.1121295,0.0476926,273,5
50000.0,0.2631028,0.0677172,273,5
100000.0,0.4417717,0.0804367,273,5
100.0,0.0002955,0.0027892,298,5
200.0,0.0006096,0.0040177,298,5
500.0,0.0015627,0.0064913,298,5
1000.0,0.0030882,0.0089864,298,5
2000.0,0.0062163,0.0128609,298,5
5000.0,0.0152651,0.0203308,298,5
10000.0,0.0306334,0.0280615,298,5
20000.0,0.0593752,0.0347355,298,5
50000.0,0.1417865,0.0510822,298,5
100000.0,0.2636717,0.0667785,298,5
100.0,0.0001598,0.0020565,323,5
200.0,0.0003115,0.0028874,323,5
500.0,0.0008679,0.0048021,323,5
1000.0,0.0017943,0.0068319,323,5
2000.0,0.0035354,0.0096416,323,5
5000.0,0.008583,0.0148955,323,5
10000.0,0.0165802,0.0207365,323,5
20000.0,0.0333069,0.0294586,323,5
50000.0,0.0813837,0.0409258,323,5
100000.0,0.1556033,0.0540318,323,5
100.0,0.0008066,0.0045943,273,1
200.0,0.0015601,0.0065192,273,1
500.0,0.0037218,0.0100198,273,1
1000.0,0.007659199999999999,0.0142851,273,1
2000.0,0.0152731,0.0200916,273,1
5000.0,0.0382932,0.0313644,273,1
10000.0,0.0717305,0.0390003,273,1
20000.0,0.1432347,0.0505896,273,1
50000.0,0.3131443,0.0702993,273,1
100000.0,0.5148169,0.0836925,273,1
100.0,0.0003993,0.0032578,298,1
200.0,0.00082,0.0046761,298,1
500.0,0.0018396,0.0070297,298,1
1000.0,0.0038176,0.0100615,298,1
2000.0,0.0077018,0.0142174,298,1
5000.0,0.0192877,0.0223022,298,1
10000.0,0.0379338,0.0312689,298,1
20000.0,0.0735754,0.039023,298,1
50000.0,0.1667154,0.0560581,298,1
100000.0,0.3099054,0.0727837,298,1
100.0,0.0002077,0.002342,323,1
