Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,2.4e-05,0.0010715,273,5
200.0,3.83e-05,0.0013552,273,5
500.0,0.0001342,0.0025328,273,5
1000.0,0.000278,0.0036398,273,5
2000.0,0.000441,0.0046262,273,5
5000.0,0.0010689,0.0071743,273,5
10000.0,0.0022864,0.0104603,273,5
20000.0,0.0048172,0.0151877,273,5
50000.0,0.012424,0.0218244,273,5
100000.0,0.0224945,0.029253,273,5
100.0,9.6e-06,0.0006778,298,5
200.0,2.4e-05,0.0010715,298,5
500.0,6.71e-05,0.0017922,298,5
1000.0,0.000115,0.0023454,298,5
2000.0,0.0002445,0.0034143,298,5
5000.0,0.0005752,0.0052629,298,5
10000.0,0.0010886,0.0072051,298,5
20000.0,0.0022731,0.0103666,298,5
50000.0,0.0053061,0.0161586,298,5
100000.0,0.01217,0.0211437,298,5
100.0,0.0,0.0,323,5
200.0,1.44e-05,0.0008300999999999998,323,5
500.0,2.88e-05,0.0011737,323,5
1000.0,6.71e-05,0.0017922,323,5
2000.0,0.0001438,0.0026214,323,5
5000.0,0.0003883,0.0042964,323,5
10000.0,0.0006806,0.0056711,323,5
20000.0,0.0012127,0.0076781,323,5
50000.0,0.00313,0.0121672,323,5
100000.0,0.0063222,0.017289,323,5
100.0,4.79e-05,0.001515,273,1
200.0,0.000139,0.0025775,273,1
500.0,0.000302,0.0037925,273,1
1000.0,0.0007429,0.0059211,273,1
2000.0,0.0014236,0.008165099999999998,273,1
5000.0,0.0037339,0.0132861,273,1
10000.0,0.0070892,0.018354,273,1
20000.0,0.0149788,0.0237442,273,1
50000.0,0.0372288,0.0373505,273,1
100000.0,0.0705481,0.0475037,273,1
100.0,1.44e-05,0.0008300999999999998,298,1
200.0,7.669999999999998e-05,0.0019157,298,1
500.0,0.000163,0.0027901,298,1
1000.0,0.0003068,0.0038223,298,1
2000.0,0.0005992,0.0053254,298,1
5000.0,0.0017016,0.0090742,298,1
10000.0,0.0031971,0.0123001,298,1
20000.0,0.0063893,0.0172776,298,1
50000.0,0.016086,0.0247337,298,1
100000.0,0.0302451,0.0325884,298,1
100.0,1.92e-05,0.0009585,323,1
200.0,4.31e-05,0.0014373,323,1
500.0,0.0001007,0.0021942,323,1
1000.0,0.0001438,0.0026214,323,1
2000.0,0.000302,0.0037925,323,1
5000.0,0.0009059,0.0066663,323,1
10000.0,0.0017495,0.0090651,323,1
20000.0,0.0034703,0.0130176,323,1
50000.0,0.0079567,0.0194727,323,1
100000.0,0.0171309,0.0251388,323,1
100.0,4.31e-05,0.0014373,273,6
200.0,6.71e-05,0.0017922,273,6
500.0,0.0001294,0.0024873,273,6
1000.0,0.0002684,0.0036405,273,6
2000.0,0.0005129,0.0049315,273,6
5000.0,0.0011791,0.007517099999999999,273,6
10000.0,0.0026075,0.0113469,273,6
20000.0,0.0058717,0.0166797,273,6
50000.0,0.0137182,0.0224202,273,6
100000.0,0.0287257,0.0325238,273,6
100.0,2.4e-05,0.0010715,298,6
200.0,2.4e-05,0.0010715,298,6
500.0,4.31e-05,0.0014373,298,6
1000.0,8.15e-05,0.0019746,298,6
2000.0,0.0003355,0.0040533,298,6
5000.0,0.000695,0.0059269,298,6
10000.0,0.0012414,0.0077034,298,6
20000.0,0.0028376,0.0116323,298,6
50000.0,0.006883,0.0180609,298,6
100000.0,0.0122706,0.0214179,298,6
100.0,0.0,0.0,323,6
200.0,3.36e-05,0.0012677,323,6
500.0,4.79e-05,0.001515,323,6
1000.0,7.19e-05,0.001855,323,6
2000.0,0.0001773,0.0029102,323,6
5000.0,0.0003978,0.0044012,323,6
10000.0,0.0006854,0.0057309,323,6
20000.0,0.0014811,0.0084591,323,6
50000.0,0.0035709,0.013279,323,6
100000.0,0.0068447,0.0181262,323,6
100.0,0.0001007,0.0021942,273,2
200.0,0.000163,0.0027901,273,2
500.0,0.0003213,0.0039112,273,2
1000.0,0.0008915,0.0065466,273,2
2000.0,0.0016249,0.0088578,273,2
5000.0,0.0042707,0.0144721,273,2
10000.0,0.007975899999999998,0.0195002,273,2
20000.0,0.0160956,0.0244472,273,2
50000.0,0.0390359,0.0380661,273,2
100000.0,0.0821076,0.0563488,273,2
100.0,5.27e-05,0.0015889,298,2
200.0,7.669999999999998e-05,0.0019157,298,2
500.0,0.0001965,0.0030629,298,2
1000.0,0.0003595,0.0041354,298,2
2000.0,0.000719,0.0059434,298,2
5000.0,0.0018502,0.009406200000000002,298,2
10000.0,0.0039113,0.013704,298,2
20000.0,0.0076404,0.018846,298,2
50000.0,0.0197672,0.0279624,298,2
100000.0,0.0360162,0.0359543,298,2
100.0,1.44e-05,0.0008300999999999998,323,2
200.0,4.79e-05,0.001515,323,2
500.0,9.11e-05,0.0020873,323,2
1000.0,0.0002445,0.0034143,323,2
2000.0,0.0003211,0.0039102,323,2
5000.0,0.0009538,0.0067623,323,2
10000.0,0.0018598,0.0093798,323,2
20000.0,0.0037435,0.0134723,323,2
