Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0251995,0.0318119,273,5
200.0,0.0493195,0.038016,273,5
500.0,0.1219513,0.0573239,273,5
1000.0,0.2275099,0.0791367,273,5
2000.0,0.4343397,0.1065402,273,5
5000.0,0.8798903999999999,0.1407499,273,5
10000.0,1.459801,0.1740929,273,5
20000.0,2.437824,0.2209144,273,5
50000.0,4.4325792,0.2554444,273,5
100000.0,5.890919,0.2168596,273,5
1000000.0,8.1407045,0.131385,273,5
100.0,0.0086447,0.0190463,298,5
200.0,0.0176506,0.0265257,298,5
500.0,0.0439419,0.0413307,298,5
1000.0,0.08586259999999998,0.0527289,298,5
2000.0,0.1702966,0.0698213,298,5
5000.0,0.3933074,0.0988626,298,5
10000.0,0.6932143,0.1249563,298,5
20000.0,1.1693281,0.1749045,298,5
50000.0,2.3506117,0.2231173,298,5
100000.0,3.7395856,0.2512284,298,5
1000000.0,7.2824532,0.1468494,298,5
100.0,0.0037907,0.0123687,323,5
200.0,0.0071796,0.0170848,323,5
500.0,0.0186937,0.0273055,323,5
1000.0,0.0370992,0.0387357,323,5
2000.0,0.07379249999999998,0.0458337,323,5
5000.0,0.1762696,0.0717183,323,5
10000.0,0.345953,0.0990195,323,5
20000.0,0.6222117,0.1193552,323,5
50000.0,1.2859393,0.1805923,323,5
100000.0,2.1452119,0.2106352,323,5
1000000.0,6.2551392,0.1824313,323,5
100.0,0.0176466,0.0261248,273,1
200.0,0.0356056,0.0381124,273,1
500.0,0.0873602,0.0511698,273,1
1000.0,0.1699273,0.0709521,273,1
2000.0,0.3281572,0.0970809,273,1
5000.0,0.728754,0.1372447,273,1
10000.0,1.2964394,0.1829758,273,1
20000.0,2.301269,0.2174595,273,1
50000.0,4.4308207,0.2701949,273,1
100000.0,5.9970105,0.2178662,273,1
1000000.0,8.366467,0.1170726,273,1
100.0,0.0065221,0.0164597,298,1
200.0,0.0132268,0.0231547,298,1
500.0,0.0326429,0.0359634,298,1
1000.0,0.0651803,0.0432833,298,1
2000.0,0.1283231,0.0640276,298,1
5000.0,0.3052579,0.0959856,298,1
10000.0,0.5769067,0.1200098,298,1
20000.0,1.0269912,0.1583357,298,1
50000.0,2.2262132,0.2278949,298,1
100000.0,3.6684907,0.2607385,298,1
1000000.0,7.479224099999999,0.1602442,298,1
100.0,0.0028288,0.0107718,323,1
200.0,0.0058321,0.0152101,323,1
500.0,0.0140263,0.0237819,323,1
1000.0,0.0285134,0.03401,323,1
2000.0,0.0574041,0.0482826,323,1
5000.0,0.1416839,0.0666371,323,1
10000.0,0.2732863,0.08879299999999998,323,1
20000.0,0.5210451,0.1178164,323,1
50000.0,1.1693202,0.1689198,323,1
100000.0,2.0386056,0.2199856,323,1
1000000.0,6.3801245,0.1935021,323,1
100.0,0.0893814,0.0485828,273,6
200.0,0.1612704,0.0630911,273,6
500.0,0.3523826,0.08163489999999998,273,6
1000.0,0.5581922,0.1036447,273,6
2000.0,0.8617327999999999,0.118421,273,6
5000.0,1.4439284,0.1560719,273,6
10000.0,2.2104561,0.1915579,273,6
20000.0,3.4244416,0.2426491,273,6
50000.0,5.3310398,0.235117,273,6
100000.0,6.5489565,0.2129393,273,6
1000000.0,8.7055588,0.1230586,273,6
100.0,0.0242823,0.0257691,298,6
200.0,0.0487919,0.0356844,298,6
500.0,0.1163436,0.05323,298,6
1000.0,0.2095712,0.0695323,298,6
2000.0,0.3885097,0.0856307,298,6
5000.0,0.7253813999999998,0.1123366,298,6
10000.0,1.1729321,0.1355577,298,6
20000.0,1.8057152,0.1781249,298,6
50000.0,3.1802964,0.2424113,298,6
100000.0,4.5406064,0.2425155,298,6
1000000.0,7.8210388,0.1594716,298,6
100.0,0.0093265,0.0193364,323,6
200.0,0.0173016,0.0221263,323,6
500.0,0.0439947,0.0346707,323,6
1000.0,0.084154,0.0433717,323,6
2000.0,0.1529585,0.0588562,323,6
5000.0,0.3576312,0.0909628,323,6
10000.0,0.6286599,0.1120425,323,6
20000.0,0.997143,0.137671,323,6
50000.0,1.8293552,0.1933535,323,6
100000.0,2.8305914,0.2237665,323,6
1000000.0,6.7716906,0.1764373,323,6
100.0,0.070501,0.0422079,273,2
200.0,0.1311729,0.0548613,273,2
500.0,0.3063267,0.0836408,273,2
1000.0,0.5253954,0.1028173,273,2
2000.0,0.811417,0.1225208,273,2
5000.0,1.5449234,0.1602973,273,2
10000.0,2.4768961,0.2042979,273,2
20000.0,3.8640574,0.2543764,273,2
50000.0,5.9572077,0.228047,273,2
100000.0,7.125188,0.1960975,273,2
1000000.0,9.3413964,0.1298703,273,2
100.0,0.0202684,0.0230281,298,2
200.0,0.0397413,0.0314116,298,2
500.0,0.0987444,0.0485613,298,2
1000.0,0.1822774,0.063574,298,2
2000.0,0.3440039,0.0812167,298,2
5000.0,0.6954375,0.1043799,298,2
10000.0,1.1495787,0.1484094,298,2
20000.0,1.9156257,0.1882253,298,2
50000.0,3.4573596,0.2293139,298,2
100000.0,5.0609563,0.2518722,298,2
1000000.0,8.3964127,0.1575063,298,2
100.0,0.007414999999999998,0.0174244,323,2
200.0,0.0156376,0.0213872,323,2
500.0,0.0367583,0.0308324,323,2
1000.0,0.07430789999999998,0.0432426,323,2
2000.0,0.1416636,0.0589617,323,2
5000.0,0.3210698,0.0832585,323,2
10000.0,0.5735415,0.1080329,323,2
20000.0,0.9840126,0.135173,323,2
50000.0,1.9331572,0.185993,323,2
100000.0,3.0321042,0.2225554,323,2
1000000.0,7.2076542,0.1931259,323,2
100.0,0.0171068,0.026291,273,8
200.0,0.0333694,0.0366257,273,8
500.0,0.0832895,0.0507087,273,8
1000.0,0.161173,0.0681243,273,8
2000.0,0.3015581,0.0880707,273,8
5000.0,0.6713717,0.1259865,273,8
10000.0,1.1340987,0.1646191,273,8
20000.0,1.9248942,0.2151055,273,8
50000.0,3.775596,0.2582699,273,8
100000.0,5.4541557,0.2354673,273,8
1000000.0,8.2362136,0.1569577,273,8
100.0,0.0063963,0.0162221,298,8
200.0,0.0125328,0.0226641,298,8
500.0,0.0315593,0.0357691,298,8
1000.0,0.0633904,0.0503124,298,8
2000.0,0.1232662,0.061934,298,8
5000.0,0.2908104,0.0885066,298,8
10000.0,0.5462572,0.1184058,298,8
20000.0,0.9357448,0.1502636,298,8
50000.0,1.9351417,0.2170443,298,8
100000.0,3.2251467,0.2521383,298,8
1000000.0,7.1939675,0.1702913,298,8
100.0,0.0028978,0.0106842,323,8
200.0,0.0057347,0.0152795,323,8
500.0,0.014351,0.0240575,323,8
1000.0,0.0281317,0.0333968,323,8
2000.0,0.0550298,0.0470867,323,8
5000.0,0.1389611,0.0736325,323,8
10000.0,0.2683146,0.101417,323,8
20000.0,0.4942335,0.1303789,323,8
50000.0,1.0435073,0.1967762,323,8
100000.0,1.8422877,0.2406857,323,8
1000000.0,6.0373415,0.2539629,323,8
100.0,0.0112665,0.0213118,273,4
200.0,0.0228489,0.0301095,273,4
500.0,0.0556386,0.0470745,273,4
1000.0,0.1115451,0.0593464,273,4
2000.0,0.2196972,0.0789358,273,4
5000.0,0.5132688,0.1208165,273,4
10000.0,0.9436425,0.1601944,273,4
20000.0,1.7383375,0.2217067,273,4
50000.0,3.7268772,0.2780114,273,4
100000.0,5.5240713,0.2344939,273,4
1000000.0,8.344070099999998,0.1439965,273,4
100.0,0.0046754,0.013759,298,4
200.0,0.0090709,0.0190254,298,4
500.0,0.0226702,0.0301132,298,4
1000.0,0.0466084,0.0435037,298,4
2000.0,0.08974659999999998,0.0598914,298,4
5000.0,0.2243834,0.08127189999999998,298,4
10000.0,0.4270078,0.114159,298,4
20000.0,0.7969443,0.1510859,298,4
50000.0,1.7779764,0.2141619,298,4
100000.0,3.1121047,0.2697073,298,4
1000000.0,7.2969634,0.170939,298,4
100.0,0.0021997,0.0095062,323,4
200.0,0.0040626,0.0128778,323,4
500.0,0.0107511,0.0208345,323,4
1000.0,0.0220257,0.029585,323,4
2000.0,0.0427203,0.0420806,323,4
5000.0,0.1042844,0.0649719,323,4
10000.0,0.2056993,0.08866259999999998,323,4
20000.0,0.4167072,0.1260915,323,4
50000.0,0.9355325,0.1913243,323,4
100000.0,1.6863219,0.2381122,323,4
1000000.0,6.160036,0.2487291,323,4
100.0,0.1050837,0.0519478,273,7
200.0,0.2029923,0.0699022,273,7
500.0,0.4333747,0.1007537,273,7
1000.0,0.711658,0.1157842,273,7
2000.0,1.1265826,0.1423518,273,7
