Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009644,0.0043684,273,5
200.0,0.001956,0.0062387,273,5
500.0,0.005165,0.0101854,273,5
1000.0,0.0103943,0.0143566,273,5
2000.0,0.0208509,0.0205898,273,5
5000.0,0.0509355,0.0317246,273,5
10000.0,0.0988125,0.0391726,273,5
20000.0,0.186794,0.050805,273,5
50000.0,0.3971138,0.0703894,273,5
100000.0,0.65565,0.0810666,273,5
100.0,0.000488,0.0031439,298,5
200.0,0.0010367,0.0045423,298,5
500.0,0.0026608,0.007238999999999998,298,5
1000.0,0.0052179,0.0101795,298,5
2000.0,0.0104658,0.0144517,298,5
5000.0,0.026508,0.022835,298,5
10000.0,0.0518613,0.0317267,298,5
20000.0,0.1024484,0.0399184,298,5
50000.0,0.2339149,0.0537174,298,5
100000.0,0.4097775,0.0688922,298,5
100.0,0.0002289,0.0021319,323,5
200.0,0.0005884,0.0033986,323,5
500.0,0.0015503,0.0055667,323,5
1000.0,0.0030765,0.007812,323,5
2000.0,0.0060968,0.0110983,323,5
5000.0,0.0151156,0.0173814,323,5
10000.0,0.0298275,0.0240444,323,5
20000.0,0.058924,0.0302514,323,5
50000.0,0.1398695,0.0437029,323,5
100000.0,0.2625732,0.0587919,323,5
100.0,0.0011487,0.0047914,273,1
200.0,0.0020383,0.006401,273,1
500.0,0.0049261,0.0097831,273,1
1000.0,0.010055,0.0142764,273,1
2000.0,0.0201159,0.0200245,273,1
5000.0,0.0482847,0.0303366,273,1
10000.0,0.095732,0.0398568,273,1
20000.0,0.1812042,0.0517716,273,1
50000.0,0.396997,0.0676503,273,1
100000.0,0.6598067,0.08581429999999998,273,1
100.0,0.0005141,0.0032222,298,1
200.0,0.00098,0.004428,298,1
500.0,0.0026669,0.007339199999999998,298,1
1000.0,0.0052715,0.0103337,298,1
2000.0,0.0104124,0.014266,298,1
5000.0,0.0254657,0.0223912,298,1
10000.0,0.0500398,0.0311387,298,1
20000.0,0.0990294,0.0393451,298,1
50000.0,0.2246468,0.0553491,298,1
100000.0,0.403131,0.0678112,298,1
100.0,0.0003073,0.0025135,323,1
200.0,0.0005784,0.0034181,323,1
500.0,0.0016045,0.005677,323,1
1000.0,0.0029862,0.0077358,323,1
2000.0,0.0059241,0.0108993,323,1
5000.0,0.0145754,0.0169166,323,1
10000.0,0.0290845,0.0237333,323,1
20000.0,0.0569781,0.0332111,323,1
50000.0,0.1371809,0.0444814,323,1
100000.0,0.2576155,0.057157,323,1
100.0,0.0011186,0.0047009,273,6
200.0,0.0020383,0.0064761,273,6
500.0,0.0053699,0.0104096,273,6
1000.0,0.0104771,0.0145535,273,6
2000.0,0.0208594,0.0203503,273,6
5000.0,0.0506584,0.0316751,273,6
10000.0,0.0985153,0.0391021,273,6
20000.0,0.1888152,0.0520341,273,6
50000.0,0.396993,0.0683697,273,6
100000.0,0.6673831,0.08701119999999998,273,6
100.0,0.0005462,0.0033156,298,6
200.0,0.0011748,0.0048229,298,6
500.0,0.0027713,0.0073609,298,6
1000.0,0.0054208,0.0103202,298,6
2000.0,0.0107397,0.0146857,298,6
5000.0,0.0261355,0.0230961,298,6
10000.0,0.0518368,0.0312759,298,6
20000.0,0.1019272,0.0404452,298,6
50000.0,0.2328285,0.0568644,298,6
100000.0,0.4098498,0.0682878,298,6
100.0,0.0003073,0.0024812,323,6
200.0,0.0005904,0.0034745,323,6
500.0,0.0015363,0.0055306,323,6
1000.0,0.0030103,0.0078198,323,6
2000.0,0.0060085,0.0110007,323,6
5000.0,0.0153686,0.0175209,323,6
10000.0,0.0299821,0.0239096,323,6
20000.0,0.0595526,0.0296243,323,6
50000.0,0.1397031,0.0451368,323,6
100000.0,0.2589267,0.0584135,323,6
100.0,0.0010081,0.004494,273,2
200.0,0.0020724,0.0063994,273,2
500.0,0.0050847,0.0101028,273,2
1000.0,0.0100048,0.0142396,273,2
2000.0,0.0200396,0.0199962,273,2
5000.0,0.0497647,0.0316167,273,2
10000.0,0.0956276,0.0381383,273,2
20000.0,0.1822766,0.0506641,273,2
50000.0,0.401154,0.0724077,273,2
100000.0,0.6745275,0.0864558,273,2
100.0,0.0005462,0.0033997,298,2
200.0,0.0009679,0.0043849,298,2
500.0,0.0024922,0.0071028,298,2
1000.0,0.0053418,0.0104086,298,2
2000.0,0.0105329,0.0145506,298,2
5000.0,0.0254436,0.022566,298,2
10000.0,0.050969,0.0315167,298,2
20000.0,0.0995917,0.0387605,298,2
50000.0,0.2315111,0.057162,298,2
100000.0,0.4082718,0.0690185,298,2
100.0,0.0003536,0.0026716,323,2
200.0,0.0005864,0.0034636,323,2
500.0,0.0014961,0.0054536,323,2
1000.0,0.0032492,0.0080683,323,2
2000.0,0.0059964,0.0110402,323,2
5000.0,0.0146236,0.0171382,323,2
10000.0,0.0299781,0.0243739,323,2
20000.0,0.0579962,0.0335436,323,2
50000.0,0.1398879,0.0439543,323,2
100000.0,0.2593919,0.0603394,323,2
100.0,0.0010382,0.0045717,273,8
200.0,0.0018877,0.0061492,273,8
500.0,0.0049662,0.0100518,273,8
1000.0,0.0100068,0.0141886,273,8
2000.0,0.0197505,0.0199086,273,8
5000.0,0.0496061,0.0316421,273,8
10000.0,0.0972482,0.039362,273,8
20000.0,0.1815255,0.0505451,273,8
50000.0,0.3944373,0.0711164,273,8
100000.0,0.6497188,0.0822566,273,8
100.0,0.0004679,0.0030427,298,8
200.0,0.0010824,0.004735,298,8
500.0,0.0027084,0.007359,298,8
1000.0,0.0052775,0.0102621,298,8
2000.0,0.0104546,0.0146305,298,8
5000.0,0.0259698,0.0228442,298,8
10000.0,0.0516602,0.0317412,298,8
20000.0,0.0987181,0.0398856,298,8
50000.0,0.2295695,0.0576943,298,8
100000.0,0.4046394,0.0678605,298,8
100.0,0.0003595,0.0027077,323,8
200.0,0.0005884,0.0035381,323,8
500.0,0.0014888,0.0055086,323,8
1000.0,0.0028596,0.0075386,323,8
2000.0,0.0059,0.0109124,323,8
5000.0,0.0148244,0.0171422,323,8
10000.0,0.0296146,0.0242347,323,8
20000.0,0.057657,0.0337299,323,8
50000.0,0.1388095,0.0505754,323,8
100000.0,0.2578066,0.0689696,323,8
100.0,0.0010463,0.0046051,273,4
200.0,0.0019459,0.0062451,273,4
500.0,0.0048257,0.0098453,273,4
1000.0,0.009846100000000002,0.0141017,273,4
2000.0,0.0194733,0.0197066,273,4
5000.0,0.0473951,0.0300666,273,4
10000.0,0.0941656,0.0383436,273,4
20000.0,0.1790477,0.0511486,273,4
50000.0,0.395097,0.0679984,273,4
100000.0,0.6596397,0.08850819999999998,273,4
100.0,0.0005264,0.0032707,298,4
200.0,0.0010262,0.0044944,298,4
500.0,0.0025845,0.0071773,298,4
1000.0,0.0051389,0.0102045,298,4
2000.0,0.0104044,0.0143648,298,4
5000.0,0.0255521,0.0228015,298,4
10000.0,0.0499604,0.0308693,298,4
20000.0,0.0974932,0.0389324,298,4
50000.0,0.2238961,0.0564088,298,4
100000.0,0.4071956,0.0681509,298,4
100.0,0.0003615,0.0027148,323,4
200.0,0.0006205,0.0035326,323,4
500.0,0.0014419,0.0054349,323,4
1000.0,0.0030424,0.0078434,323,4
2000.0,0.0058699,0.0109342,323,4
5000.0,0.0148063,0.0170836,323,4
10000.0,0.0289238,0.0239373,323,4
20000.0,0.0572472,0.0334831,323,4
50000.0,0.1374499,0.0514029,323,4
100000.0,0.2504443,0.066913,323,4
100.0,0.0012933,0.0051377,273,7
200.0,0.0025142,0.0071205,273,7
500.0,0.0063318,0.0112438,273,7
1000.0,0.0127399,0.0158524,273,7
2000.0,0.0250199,0.0224632,273,7
5000.0,0.0611214,0.0306169,273,7
10000.0,0.118573,0.0410545,273,7
20000.0,0.2293262,0.0559455,273,7
50000.0,0.4705975,0.0747187,273,7
100000.0,0.7761890999999999,0.0922767,273,7
100.0,0.0006145,0.0034935,298,7
200.0,0.001239,0.004931,298,7
500.0,0.0031508,0.0079945,298,7
1000.0,0.0064824,0.0113066,298,7
2000.0,0.0124849,0.0157279,298,7
5000.0,0.0305464,0.0249027,298,7
10000.0,0.0620789,0.0305443,298,7
20000.0,0.1226778,0.0416183,298,7
50000.0,0.2711416,0.0612506,298,7
100000.0,0.4605777,0.0717515,298,7
100.0,0.0003253,0.0025668,323,7
200.0,0.0007389999999999999,0.0038652,323,7
500.0,0.0016608,0.0057597,323,7
1000.0,0.0034862,0.008359,323,7
2000.0,0.0069423,0.0117335,323,7
5000.0,0.0177945,0.0187001,323,7
10000.0,0.0348218,0.0265159,323,7
20000.0,0.0664888,0.0315226,323,7
50000.0,0.160781,0.0473655,323,7
100000.0,0.2976084,0.0611465,323,7
100.0,0.0012631,0.0050462,273,3
200.0,0.0026669,0.0073117,273,3
500.0,0.006627,0.0116249,273,3
1000.0,0.01326,0.0163331,273,3
2000.0,0.0261204,0.0229748,273,3
5000.0,0.0636453,0.0321007,273,3
10000.0,0.1240453,0.0419415,273,3
20000.0,0.2354356,0.0567551,273,3
50000.0,0.5065496,0.0784649,273,3
100000.0,0.8364405,0.0927215,273,3
100.0,0.0006205,0.0035097,298,3
200.0,0.0012893,0.0050196,298,3
500.0,0.0030805,0.0077846,298,3
1000.0,0.0064965,0.0113927,298,3
2000.0,0.0126897,0.0161556,298,3
5000.0,0.0310665,0.0247128,298,3
10000.0,0.0616833,0.0315596,298,3
20000.0,0.121029,0.0429971,298,3
50000.0,0.2826924,0.0595742,298,3
100000.0,0.4875349,0.07436239999999998,298,3
100.0,0.0003354,0.002589,323,3
200.0,0.0006968,0.0037621,323,3
500.0,0.0017913,0.006046,323,3
1000.0,0.0036167,0.0084167,323,3
2000.0,0.0069764,0.0117494,323,3
5000.0,0.0171478,0.018466,323,3
10000.0,0.0334811,0.025455,323,3
20000.0,0.0685774,0.0325698,323,3
50000.0,0.1609,0.0486209,323,3
100000.0,0.2991708,0.0633858,323,3
