Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0026788,0.0102558,273,5
200.0,0.0055652,0.0146301,273,5
500.0,0.0135043,0.0232689,273,5
1000.0,0.0271584,0.0335505,273,5
2000.0,0.0569443,0.0414984,273,5
5000.0,0.1412125,0.0637958,273,5
10000.0,0.2796496,0.08874269999999998,273,5
20000.0,0.6064541,0.1281445,273,5
50000.0,1.6148018,0.2249027,273,5
100000.0,3.147873,0.2632365,273,5
1000000.0,6.2269691,0.1328915,273,5
100.0,0.0012488,0.0070355,298,5
200.0,0.002344,0.0094841,298,5
500.0,0.005917,0.0152695,298,5
1000.0,0.0117907,0.0216923,298,5
2000.0,0.0241132,0.0309497,298,5
5000.0,0.061514,0.0437589,298,5
10000.0,0.1214681,0.0591049,298,5
20000.0,0.2448114,0.08619409999999998,298,5
50000.0,0.650306,0.1372664,298,5
100000.0,1.2886135,0.2003651,298,5
1000000.0,5.2756558,0.174885,298,5
100.0,0.000673,0.0042486,323,5
200.0,0.0012948,0.0058413,323,5
500.0,0.0030045,0.0089414,323,5
1000.0,0.0059905,0.0124429,323,5
2000.0,0.0122332,0.0181542,323,5
5000.0,0.0311503,0.0284569,323,5
10000.0,0.0621877,0.0358812,323,5
20000.0,0.123858,0.0483434,323,5
50000.0,0.313517,0.075779,323,5
100000.0,0.6256749,0.1109856,323,5
1000000.0,4.189029,0.1615017,323,5
100.0,0.0036912,0.0120858,273,1
200.0,0.0069885,0.0164764,273,1
500.0,0.0175422,0.0264619,273,1
1000.0,0.0380784,0.0384913,273,1
2000.0,0.07402559999999998,0.045407,273,1
5000.0,0.1849143,0.0737001,273,1
10000.0,0.3921182,0.1066122,273,1
20000.0,0.8050009999999999,0.1521235,273,1
50000.0,2.2996201,0.2737029,273,1
100000.0,4.1078513,0.2559663,273,1
1000000.0,6.5575787,0.1147632,273,1
100.0,0.0015443,0.007766099999999998,298,1
200.0,0.0030255,0.0108818,298,1
500.0,0.0084579,0.0183851,298,1
1000.0,0.0156671,0.0248944,298,1
2000.0,0.0321299,0.035266,298,1
5000.0,0.0819849,0.0503365,298,1
10000.0,0.1602333,0.0680292,298,1
20000.0,0.3308641,0.0967937,298,1
50000.0,0.8326455,0.1438697,298,1
100000.0,1.789595,0.2280613,298,1
1000000.0,5.6913267,0.1534629,298,1
100.0,0.0007904999999999999,0.0044873,323,1
200.0,0.0017071,0.0066841,323,1
500.0,0.0038816,0.0101156,323,1
1000.0,0.008154599999999998,0.0147233,323,1
2000.0,0.0162908,0.0204636,323,1
5000.0,0.0408124,0.0278829,323,1
10000.0,0.081483,0.0413268,323,1
20000.0,0.1618629,0.0574617,323,1
50000.0,0.4123878,0.0891301,323,1
100000.0,0.8378044999999998,0.1284302,323,1
1000000.0,4.6111617,0.158017,323,1
100.0,0.0021549,0.0093313,273,6
200.0,0.004487,0.0135167,273,6
500.0,0.0110422,0.0207833,273,6
1000.0,0.0216707,0.0239865,273,6
2000.0,0.04305,0.0351578,273,6
5000.0,0.1112349,0.0520836,273,6
10000.0,0.208677,0.0703474,273,6
20000.0,0.4347309,0.1067986,273,6
50000.0,1.0413741,0.1783292,273,6
100000.0,2.2774358,0.2648178,273,6
1000000.0,6.2430474,0.1175992,273,6
100.0,0.0009139,0.0060853,298,6
