Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1323154,0.053854,273,5
200.0,0.2732739,0.0783079,273,5
500.0,0.6552996,0.1229844,273,5
1000.0,1.2731726,0.1433966,273,5
2000.0,2.1394332,0.1554189,273,5
5000.0,3.0111775,0.1279476,273,5
10000.0,3.4405229,0.1042173,273,5
20000.0,3.7366133,0.0894935,273,5
50000.0,4.0756499,0.08721819999999998,273,5
100000.0,4.2305981,0.0767434,273,5
1000000.0,4.806914,0.08631479999999998,273,5
100.0,0.0362986,0.0288482,298,5
200.0,0.07312699999999998,0.0400351,298,5
500.0,0.1781224,0.0612352,298,5
1000.0,0.3732141,0.0865593,298,5
2000.0,0.6961966,0.117934,298,5
5000.0,1.5719645,0.1641229,298,5
10000.0,2.377203,0.1653024,298,5
20000.0,2.989421,0.1358744,298,5
50000.0,3.5103819,0.1027122,298,5
100000.0,3.8152706,0.0936266,298,5
1000000.0,4.5120286,0.0733331,298,5
100.0,0.0126605,0.0214088,323,5
200.0,0.0252022,0.0255733,323,5
500.0,0.0610899,0.0372047,323,5
1000.0,0.1255387,0.053023,323,5
2000.0,0.2534704,0.0778849,323,5
5000.0,0.6065289,0.1047241,323,5
10000.0,1.1127832,0.141993,323,5
20000.0,1.8632323,0.1617223,323,5
50000.0,2.7588727,0.1425174,323,5
100000.0,3.2272873,0.1188334,323,5
1000000.0,4.1795152,0.09662150000000001,323,5
100.0,0.014513,0.0190286,273,1
200.0,0.0282907,0.0247079,273,1
500.0,0.069797,0.0389778,273,1
1000.0,0.1472054,0.0553436,273,1
2000.0,0.2902123,0.0805653,273,1
5000.0,0.7931029,0.1225225,273,1
10000.0,1.4418468,0.1741814,273,1
20000.0,2.3857871,0.1640387,273,1
50000.0,3.1430238,0.1298629,273,1
100000.0,3.5719854,0.1150618,273,1
1000000.0,4.4230829,0.093212,273,1
100.0,0.0052221,0.0136903,298,1
200.0,0.0102748,0.0191726,298,1
500.0,0.0257283,0.0248199,298,1
1000.0,0.0498565,0.0362154,298,1
2000.0,0.1053266,0.0491385,298,1
5000.0,0.2682401,0.0782924,298,1
10000.0,0.5106529,0.1021965,298,1
20000.0,1.0228098,0.1406771,298,1
50000.0,2.0158389,0.1553385,298,1
100000.0,2.7450129,0.1401588,298,1
1000000.0,4.0373196,0.0930863,298,1
100.0,0.0023281,0.009232400000000002,323,1
200.0,0.0041373,0.0122862,323,1
500.0,0.0104622,0.0191458,323,1
1000.0,0.0216451,0.0279455,323,1
2000.0,0.0427929,0.0330458,323,1
5000.0,0.1090148,0.0516726,323,1
10000.0,0.2231722,0.0713815,323,1
20000.0,0.4294027,0.0999072,323,1
50000.0,1.0034516,0.1342581,323,1
100000.0,1.6886584,0.1522148,323,1
1000000.0,3.5741415,0.1096543,323,1
100.0,0.1017533,0.0513919,273,6
200.0,0.1887478,0.0681844,273,6
500.0,0.4642389,0.1021759,273,6
1000.0,0.8940593,0.1343881,273,6
2000.0,1.5633668,0.1711175,273,6
5000.0,2.4805853,0.1452105,273,6
10000.0,2.9982939,0.1333883,273,6
20000.0,3.4630016,0.1226228,273,6
50000.0,3.8925039,0.0981516,273,6
100000.0,4.2394478,0.0976257,273,6
1000000.0,4.8816178,0.0559333,273,6
100.0,0.0309072,0.0335362,298,6
200.0,0.062254,0.0421194,298,6
500.0,0.1563089,0.0630227,298,6
1000.0,0.3016836,0.0879268,298,6
2000.0,0.571077,0.1098078,298,6
5000.0,1.2154896,0.1482431,298,6
10000.0,1.8827356,0.1613408,298,6
20000.0,2.4830784,0.1434444,298,6
50000.0,3.1926409,0.1205362,298,6
100000.0,3.572682,0.1298932,298,6
1000000.0,4.5564118,0.0763858,298,6
100.0,0.0110928,0.0201,323,6
200.0,0.0231011,0.0287663,323,6
500.0,0.0567616,0.0381704,323,6
1000.0,0.1111065,0.0560053,323,6
2000.0,0.2283584,0.0777376,323,6
5000.0,0.5239478,0.1101594,323,6
