Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0138832,0.0175079,273,5
200.0,0.02767,0.0238624,273,5
500.0,0.0727667,0.0382372,273,5
1000.0,0.1590837,0.057462,273,5
2000.0,0.3457494,0.0910623,273,5
5000.0,1.1061503,0.1622294,273,5
10000.0,2.1229162,0.143694,273,5
20000.0,2.5822673,0.0944779,273,5
50000.0,2.9440359,0.070548,273,5
100000.0,3.1124479,0.0672175,273,5
1000000.0,3.5978429,0.0598223,273,5
100.0,0.0047775,0.0115422,298,5
200.0,0.0094306,0.0162341,298,5
500.0,0.0238873,0.0229989,298,5
1000.0,0.0507355,0.0320201,298,5
2000.0,0.1026775,0.0436478,298,5
5000.0,0.2744096,0.07484549999999998,298,5
10000.0,0.6232198,0.1308351,298,5
20000.0,1.3944972,0.1730394,298,5
50000.0,2.3943216,0.1199811,298,5
100000.0,2.7619551,0.0862691,298,5
1000000.0,3.3465294,0.0632715,298,5
100.0,0.0020586,0.0044153,323,5
200.0,0.003847,0.0059756,323,5
500.0,0.0097988,0.008367299999999998,323,5
1000.0,0.0201929,0.0116339,323,5
2000.0,0.0406353,0.0164872,323,5
5000.0,0.1039285,0.0254477,323,5
10000.0,0.2116682,0.0376664,323,5
20000.0,0.4721794,0.0542332,323,5
50000.0,1.3048576,0.09506270000000001,323,5
100000.0,2.0964479,0.0746518,323,5
1000000.0,3.111144,0.0442863,323,5
100.0,0.0204151,0.0198702,273,1
200.0,0.0406217,0.0293158,273,1
500.0,0.1014316,0.0465954,273,1
1000.0,0.2254421,0.076381,273,1
2000.0,0.5146678,0.1110174,273,1
5000.0,1.6717325,0.1791687,273,1
10000.0,2.3888183,0.1116083,273,1
20000.0,2.7294396,0.08404929999999998,273,1
50000.0,3.0155802,0.0702355,273,1
100000.0,3.1888875,0.07304579999999998,273,1
1000000.0,3.6850404,0.050404,273,1
100.0,0.0068907,0.0136787,298,1
200.0,0.0129311,0.0161301,298,1
500.0,0.0335807,0.0260614,298,1
1000.0,0.0684385,0.0387097,298,1
2000.0,0.145946,0.0523473,298,1
5000.0,0.3967844,0.0980098,298,1
10000.0,0.9101019,0.1661721,298,1
20000.0,1.8102423,0.1569601,298,1
50000.0,2.5572397,0.1001965,298,1
100000.0,2.8383964,0.07374179999999998,298,1
1000000.0,3.4464153,0.0604962,298,1
100.0,0.0026435,0.0049485,323,1
200.0,0.00527,0.0070376,323,1
500.0,0.0137419,0.0094698,323,1
1000.0,0.0274085,0.0133183,323,1
2000.0,0.0561947,0.0191401,323,1
5000.0,0.1405532,0.0301093,323,1
10000.0,0.2918672,0.0416594,323,1
20000.0,0.6477455,0.0659064,323,1
50000.0,1.65287,0.0834795,323,1
100000.0,2.3269917,0.0645786,323,1
1000000.0,3.177671,0.0380161,323,1
100.0,0.002975,0.0091029,273,6
200.0,0.0056731,0.0127129,273,6
500.0,0.014594,0.0206545,273,6
1000.0,0.0309363,0.0297895,273,6
2000.0,0.0616268,0.0366495,273,6
