Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002599,0.0026974,273,5
200.0,0.0004549,0.0035558,273,5
500.0,0.0010459,0.0054527,273,5
1000.0,0.0023534,0.0081179,273,5
2000.0,0.0046136,0.0114145,273,5
5000.0,0.0115439,0.0178157,273,5
10000.0,0.0238478,0.0265511,273,5
20000.0,0.0471334,0.0361859,273,5
50000.0,0.1164053,0.0505903,273,5
100000.0,0.2231384,0.0674711,273,5
100.0,0.0001582,0.0021083,298,5
200.0,0.000291,0.0028803,298,5
500.0,0.0007458999999999999,0.0046167,298,5
1000.0,0.001349,0.0061555,298,5
2000.0,0.0029382,0.0090489,298,5
5000.0,0.0071987,0.0141903,298,5
10000.0,0.0141855,0.0202235,298,5
20000.0,0.0289389,0.0285014,298,5
50000.0,0.0699923,0.0447699,298,5
100000.0,0.1397502,0.0541229,298,5
100.0,8.76e-05,0.0009039,323,5
200.0,0.0001742,0.001276,323,5
500.0,0.0004624,0.0020652,323,5
1000.0,0.0009653000000000002,0.0030135,323,5
2000.0,0.001875,0.00425,323,5
5000.0,0.0045948,0.0065358,323,5
10000.0,0.0093421,0.0093567,323,5
20000.0,0.018493,0.0130851,323,5
50000.0,0.0468716,0.0191934,323,5
100000.0,0.0909907,0.0253972,323,5
100.0,0.000308,0.0029335,273,1
200.0,0.0005085,0.0038194,273,1
500.0,0.001455,0.0063582,273,1
1000.0,0.0028478,0.008909099999999998,273,1
2000.0,0.0055177,0.0124168,273,1
5000.0,0.0140923,0.0199093,273,1
10000.0,0.0284896,0.0281012,273,1
20000.0,0.0547728,0.0386008,273,1
50000.0,0.1373968,0.0566422,273,1
100000.0,0.2657924,0.0771325,273,1
100.0,0.0001808,0.0022529,298,1
200.0,0.0003277,0.0030775,298,1
500.0,0.0009182,0.0051357,298,1
1000.0,0.0016386,0.0067827,298,1
2000.0,0.0035485,0.0098772,298,1
5000.0,0.008769499999999998,0.0157315,298,1
10000.0,0.0165754,0.0215655,298,1
20000.0,0.0335779,0.0305069,298,1
50000.0,0.08355909999999998,0.0403416,298,1
100000.0,0.162499,0.059303,298,1
100.0,0.0001121,0.0010212,323,1
200.0,0.0002373,0.001488,323,1
500.0,0.0005632,0.0023034,323,1
1000.0,0.0010811,0.0031967,323,1
2000.0,0.0022065,0.0045556,323,1
5000.0,0.0053405,0.0071104,323,1
10000.0,0.010847,0.0100699,323,1
20000.0,0.0217778,0.0141677,323,1
50000.0,0.0532255,0.0197265,323,1
100000.0,0.1039266,0.0262473,323,1
100.0,0.0002175,0.0025017,273,6
200.0,0.0004068,0.0033658,273,6
500.0,0.0009549,0.0052139,273,6
1000.0,0.0020794,0.007684599999999998,273,6
2000.0,0.0039977,0.0106267,273,6
5000.0,0.009953300000000002,0.0168234,273,6
10000.0,0.0200394,0.0237016,273,6
20000.0,0.0403669,0.033585,273,6
50000.0,0.0983747,0.0456874,273,6
100000.0,0.195057,0.0628578,273,6
100.0,0.0001243,0.0018699,298,6
200.0,0.0002571,0.0026828,298,6
500.0,0.0006526,0.0043555,298,6
1000.0,0.0013483,0.006154,298,6
2000.0,0.002602,0.0085235,298,6
5000.0,0.0063991,0.0135846,298,6
10000.0,0.0123576,0.0186183,298,6
20000.0,0.0244665,0.0261551,298,6
50000.0,0.061268,0.0411008,298,6
100000.0,0.120742,0.051446,298,6
100.0,7.629999999999998e-05,0.001466,323,6
200.0,0.0001356,0.0019527,323,6
500.0,0.0005031,0.0037791,323,6
1000.0,0.0008476,0.0048853,323,6
2000.0,0.0015482,0.0066736,323,6
5000.0,0.0042435,0.0108924,323,6
10000.0,0.0083386,0.0156357,323,6
20000.0,0.0169062,0.0220932,323,6
50000.0,0.0412767,0.0339907,323,6
100000.0,0.0816606,0.0476736,323,6
100.0,0.0002486,0.0026386,273,2
200.0,0.0004577,0.0035667,273,2
500.0,0.0012488,0.0060361,273,2
1000.0,0.0024382,0.0082394,273,2
2000.0,0.0049809,0.0117517,273,2
5000.0,0.0117475,0.017984,273,2
10000.0,0.0243648,0.0264498,273,2
20000.0,0.048724,0.0373973,273,2
50000.0,0.1190921,0.0513128,273,2
100000.0,0.2290333,0.0680868,273,2
100.0,0.0001526,0.0020705,298,2
200.0,0.0003108,0.0029737,298,2
500.0,0.00076,0.0045884,298,2
1000.0,0.0014812,0.006435,298,2
2000.0,0.0030654,0.009358600000000002,298,2
5000.0,0.0074304,0.014451,298,2
10000.0,0.0147873,0.020538,298,2
20000.0,0.0290547,0.0285334,298,2
50000.0,0.0718316,0.0445187,298,2
100000.0,0.1440799,0.0567171,298,2
100.0,8.76e-05,0.0015706,323,2
200.0,0.0001949,0.0023387,323,2
500.0,0.0004633,0.0035883,323,2
1000.0,0.0009606,0.0051821,323,2
2000.0,0.0019861,0.0074082,323,2
5000.0,0.0049159,0.0117485,323,2
10000.0,0.0099957,0.0167769,323,2
20000.0,0.0189517,0.0229979,323,2
50000.0,0.0484273,0.0367472,323,2
100000.0,0.0938486,0.0509925,323,2
100.0,0.0001987,0.0013665,273,8
200.0,0.0004063,0.0019365,273,8
500.0,0.0010058,0.0030862,273,8
1000.0,0.0020003,0.0043431,273,8
2000.0,0.0038197,0.0060175,273,8
5000.0,0.0097951,0.009613600000000002,273,8
10000.0,0.0194225,0.0135117,273,8
20000.0,0.0387189,0.0167424,273,8
50000.0,0.0947207,0.0257848,273,8
100000.0,0.1832554,0.0341396,273,8
100.0,0.000113,0.0010426,298,8
200.0,0.0002373,0.0014999,298,8
500.0,0.0005669,0.0023102,298,8
1000.0,0.0013222,0.0034919,298,8
2000.0,0.0024052,0.0047739,298,8
5000.0,0.0060441,0.007613,298,8
10000.0,0.0120524,0.0106676,298,8
20000.0,0.0247594,0.0150583,298,8
50000.0,0.0607463,0.0215597,298,8
100000.0,0.119077,0.028398,298,8
100.0,7.629999999999998e-05,0.0008440999999999999,323,8
200.0,0.0001507,0.0012113,323,8
500.0,0.0004389,0.0020379,323,8
1000.0,0.0008371999999999999,0.0027999,323,8
2000.0,0.0016217,0.0038937,323,8
5000.0,0.0040815,0.0062309,323,8
10000.0,0.008193199999999998,0.0087744,323,8
20000.0,0.016408,0.0123949,323,8
50000.0,0.0401117,0.019406,323,8
100000.0,0.0787939,0.0269557,323,8
100.0,0.0002467,0.0015218,273,4
200.0,0.0004652,0.0020838,273,4
500.0,0.0011904,0.0033643,273,4
1000.0,0.0023365,0.0046742,273,4
2000.0,0.0047294,0.0066724,273,4
5000.0,0.0118961,0.0105388,273,4
10000.0,0.0235931,0.0147601,273,4
20000.0,0.0471032,0.0191386,273,4
50000.0,0.1156453,0.029175,273,4
100000.0,0.2176444,0.0374931,273,4
100.0,0.0001168,0.0010422,298,4
200.0,0.0002806,0.0016233,298,4
500.0,0.0007232999999999999,0.0026319,298,4
1000.0,0.0014672,0.0037115,298,4
2000.0,0.0029392,0.0052947,298,4
5000.0,0.007411499999999999,0.008458099999999998,298,4
10000.0,0.0142105,0.011523,298,4
20000.0,0.0285989,0.0165909,298,4
50000.0,0.0697663,0.022387,298,4
100000.0,0.1396592,0.0311881,298,4
100.0,0.0001017,0.0009734,323,4
200.0,0.0002034,0.0013819,323,4
500.0,0.0004831,0.0021323,323,4
1000.0,0.0009705,0.0030288,323,4
2000.0,0.0019193,0.004227,323,4
5000.0,0.0046583,0.0065674,323,4
10000.0,0.0094372,0.0094212,323,4
20000.0,0.0190788,0.013319,323,4
50000.0,0.0466453,0.020944,323,4
100000.0,0.092535,0.0285504,323,4
100.0,0.0002204,0.0014422,273,7
200.0,0.0004296,0.0020053,273,7
500.0,0.0010798,0.0031897,273,7
1000.0,0.0021632,0.0044882,273,7
2000.0,0.004268,0.0063133,273,7
5000.0,0.0106295,0.0100017,273,7
