Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0138775,0.0170739,273,5
200.0,0.0279952,0.023814,273,5
500.0,0.0703794,0.037709,273,5
1000.0,0.1620329,0.0568737,273,5
2000.0,0.3577659,0.0993201,273,5
5000.0,1.066169,0.1900975,273,5
10000.0,2.144925,0.1380319,273,5
20000.0,2.6152404,0.08973449999999998,273,5
50000.0,2.9415839,0.0772366,273,5
100000.0,3.1172086,0.0736412,273,5
1000000.0,3.6009921,0.0632278,273,5
100.0,0.0046758,0.0114521,298,5
200.0,0.0099505,0.0166846,298,5
500.0,0.0241727,0.0231264,298,5
1000.0,0.0499247,0.0304678,298,5
2000.0,0.1017536,0.0458392,298,5
5000.0,0.2835495,0.08082409999999998,298,5
10000.0,0.5851117,0.1114338,298,5
20000.0,1.4598791,0.1860067,298,5
50000.0,2.3975888,0.1098085,298,5
100000.0,2.7430285,0.08443879999999998,298,5
1000000.0,3.3674625,0.0562158,298,5
100.0,0.0020728,0.0044338,323,5
200.0,0.0038555,0.0059857,323,5
500.0,0.0101266,0.008715,323,5
1000.0,0.0200645,0.0113377,323,5
2000.0,0.0412324,0.01649,323,5
5000.0,0.1052821,0.0264611,323,5
10000.0,0.2098551,0.0395824,323,5
20000.0,0.4765768,0.0555344,323,5
50000.0,1.3246113,0.0947443,323,5
100000.0,2.1070722,0.0762083,323,5
1000000.0,3.1130801,0.0399425,323,5
100.0,0.0195986,0.0207886,273,1
200.0,0.0395617,0.0285577,273,1
500.0,0.1066215,0.0467986,273,1
1000.0,0.2321316,0.0671858,273,1
2000.0,0.572546,0.1182039,273,1
5000.0,1.6939187,0.1649838,273,1
10000.0,2.3815247,0.1137845,273,1
20000.0,2.732921,0.08615979999999998,273,1
50000.0,3.0228622,0.0763872,273,1
100000.0,3.2311464,0.066158,273,1
1000000.0,3.6950328,0.0496268,273,1
100.0,0.0067664,0.0140053,298,1
200.0,0.0134961,0.0165958,298,1
500.0,0.0340328,0.025316,298,1
1000.0,0.0700319,0.0382878,298,1
2000.0,0.1414116,0.0539412,298,1
5000.0,0.3935411,0.0936565,298,1
10000.0,0.9230187,0.1543093,298,1
20000.0,1.829926,0.1660885,298,1
50000.0,2.5916413,0.0973907,298,1
100000.0,2.8450381,0.075273,298,1
1000000.0,3.4299976,0.0658911,298,1
100.0,0.0026454,0.0050345,323,1
200.0,0.0054009,0.0059617,323,1
500.0,0.0135941,0.0097048,323,1
1000.0,0.0267625,0.0134094,323,1
2000.0,0.0532999,0.0186794,323,1
5000.0,0.1443323,0.0311967,323,1
10000.0,0.3044381,0.0485696,323,1
20000.0,0.6721434,0.0681117,323,1
50000.0,1.6653449,0.08283119999999998,323,1
100000.0,2.3322231,0.0692557,323,1
1000000.0,3.1822957,0.038761,323,1
100.0,0.002958,0.0091608,273,6
200.0,0.0058313,0.0128974,273,6
500.0,0.0149963,0.0204951,273,6
1000.0,0.0301113,0.0295162,273,6
2000.0,0.0620026,0.0368141,273,6
5000.0,0.1616147,0.063167,273,6
10000.0,0.3626363,0.0906646,273,6
20000.0,0.8005963,0.1456267,273,6
50000.0,2.0949675,0.1471775,273,6
100000.0,2.6663159,0.0957899,273,6
1000000.0,3.36522,0.0772206,273,6
100.0,0.0013533,0.0061123,298,6
200.0,0.0027263,0.0086706,298,6
500.0,0.0066647,0.013674,298,6
1000.0,0.0138352,0.0198992,298,6
2000.0,0.0272607,0.0275669,298,6
5000.0,0.0695968,0.03854,298,6
10000.0,0.1460872,0.0574413,298,6
20000.0,0.3028702,0.0856612,298,6
50000.0,0.8300437,0.1396439,298,6
100000.0,1.6729722,0.1601194,298,6
1000000.0,3.0712113,0.0746827,298,6
100.0,0.0007176,0.0044809,323,6
200.0,0.0012375,0.0059853,323,6
500.0,0.0035541,0.0101541,323,6
1000.0,0.0071874,0.0141058,323,6
2000.0,0.0140442,0.0201245,323,6
5000.0,0.0359737,0.0321954,323,6
10000.0,0.0724051,0.0393556,323,6
20000.0,0.1454431,0.055117,323,6
50000.0,0.3820452,0.0924032,323,6
100000.0,0.794405,0.1276482,323,6
1000000.0,2.6851047,0.0937783,323,6
100.0,0.0038875,0.0104368,273,2
200.0,0.0079728,0.0151186,273,2
500.0,0.020366,0.0239942,273,2
1000.0,0.0414038,0.0344541,273,2
2000.0,0.0866302,0.0449102,273,2
5000.0,0.223042,0.07374569999999998,273,2
10000.0,0.5014424,0.1086536,273,2
20000.0,1.2139115,0.1727832,273,2
50000.0,2.3767892,0.118053,273,2
100000.0,2.8274002,0.0931174,273,2
1000000.0,3.4690021,0.07245759999999998,273,2
100.0,0.001729,0.0069465,298,2
200.0,0.0036982,0.0103484,298,2
500.0,0.008890999999999998,0.0157825,298,2
1000.0,0.0177255,0.0223777,298,2
2000.0,0.035872,0.0324811,298,2
5000.0,0.0929756,0.0458797,298,2
10000.0,0.1919323,0.0656454,298,2
20000.0,0.4120518,0.0946592,298,2
50000.0,1.130258,0.1499819,298,2
100000.0,1.9637802,0.1406663,298,2
1000000.0,3.1529704,0.0705416,298,2
100.0,0.0009747,0.0052787,323,2
200.0,0.0018618,0.0073974,323,2
500.0,0.0047944,0.0115005,323,2
1000.0,0.0091764,0.0161337,323,2
2000.0,0.0182425,0.0228123,323,2
5000.0,0.0460941,0.0366239,323,2
10000.0,0.0913681,0.0466878,323,2
20000.0,0.1900073,0.0648253,323,2
50000.0,0.5044033,0.1061178,323,2
100000.0,1.0046687,0.1496687,323,2
1000000.0,2.8203392,0.0858231,323,2
100.0,0.0022724,0.0046905,273,8
200.0,0.0044171,0.0064007,273,8
500.0,0.0112802,0.0104105,273,8
1000.0,0.0226622,0.0147348,273,8
2000.0,0.0474686,0.0192851,273,8
5000.0,0.121486,0.0311652,273,8
10000.0,0.2485452,0.0432347,273,8
20000.0,0.5691294,0.0690367,273,8
50000.0,1.6335319,0.1023049,273,8
100000.0,2.3710618,0.07409029999999998,273,8
1000000.0,3.2373705,0.0371544,273,8
100.0,0.0011301,0.003284,298,8
200.0,0.0021641,0.0045652,298,8
500.0,0.0053678,0.0071092,298,8
1000.0,0.0109638,0.0103225,298,8
2000.0,0.0217891,0.0143173,298,8
5000.0,0.0555243,0.0208004,298,8
10000.0,0.1138103,0.0300866,298,8
20000.0,0.2299376,0.041784,298,8
50000.0,0.639151,0.0703749,298,8
100000.0,1.339451,0.0945394,298,8
