Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.08822779999999998,0.0406629,273,5
200.0,0.1433433,0.0484473,273,5
500.0,0.3965065,0.0858425,273,5
1000.0,0.6918631,0.1022892,273,5
2000.0,1.1853842,0.0753888,273,5
5000.0,1.7508949,0.1457127,273,5
10000.0,2.3259808,0.0981039,273,5
20000.0,2.849212,0.1140704,273,5
50000.0,3.5160912,0.105209,273,5
100000.0,3.8835523,0.0951131,273,5
1000000.0,4.2789531,0.0303227,273,5
100.0,0.0180288,0.0175798,298,5
200.0,0.0320843,0.0231364,298,5
500.0,0.08062619999999998,0.0334381,298,5
1000.0,0.1621035,0.0472795,298,5
2000.0,0.3401574,0.0602552,298,5
5000.0,0.6805672,0.08742569999999998,298,5
10000.0,1.1130871,0.1239091,298,5
20000.0,1.6821557,0.1252031,298,5
50000.0,2.4325916,0.1299984,298,5
100000.0,3.018517,0.1325936,298,5
1000000.0,4.1601291,0.0559761,298,5
100.0,0.0038519,0.0068452,323,5
200.0,0.0087215,0.0106165,323,5
500.0,0.0202536,0.0151904,323,5
1000.0,0.0413369,0.0224018,323,5
2000.0,0.0779363,0.0290879,323,5
5000.0,0.2004046,0.0590739,323,5
10000.0,0.3863427,0.0651167,323,5
20000.0,0.6609306,0.0665287,323,5
50000.0,1.3068053,0.0965947,323,5
100000.0,1.9622992,0.093468,323,5
1000000.0,3.7983364,0.0813904,323,5
100.0,0.110876,0.0432247,273,1
200.0,0.2074733,0.0579779,273,1
500.0,0.4759134,0.0736841,273,1
1000.0,0.9905061,0.1246047,273,1
2000.0,1.5602467,0.1397388,273,1
5000.0,2.5459841,0.126583,273,1
10000.0,3.1442247,0.1205874,273,1
20000.0,3.6501016,0.1014948,273,1
50000.0,4.0478065,0.0688954,273,1
100000.0,4.1848372,0.0459716,273,1
1000000.0,4.3201198,0.0151439,273,1
100.0,0.0224988,0.0190632,298,1
200.0,0.0485757,0.0298075,298,1
500.0,0.1299558,0.0418545,298,1
1000.0,0.2254521,0.0473997,298,1
2000.0,0.4168398,0.0656574,298,1
5000.0,0.9505887,0.08760869999999998,298,1
10000.0,1.629415,0.1367895,298,1
20000.0,2.3696086,0.133747,298,1
50000.0,3.2842815,0.1292238,298,1
100000.0,3.7589196,0.08339729999999998,298,1
1000000.0,4.2715292,0.0319155,298,1
100.0,0.005623,0.008047,323,1
200.0,0.0128528,0.0120504,323,1
500.0,0.0291004,0.0179599,323,1
1000.0,0.059386,0.0269814,323,1
2000.0,0.115955,0.0334419,323,1
5000.0,0.3044689,0.0582033,323,1
10000.0,0.5261,0.0782362,323,1
20000.0,0.9651966,0.1208652,323,1
