Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0231794,0.0284174,273,5
200.0,0.0460392,0.0354379,273,5
500.0,0.1120887,0.0520393,273,5
1000.0,0.2228967,0.0729154,273,5
2000.0,0.4265714,0.0977997,273,5
5000.0,0.914776,0.1291038,273,5
10000.0,1.5597028,0.1678197,273,5
20000.0,2.2922569,0.1590302,273,5
50000.0,3.1136153,0.1374231,273,5
100000.0,3.619458,0.1165463,273,5
1000000.0,4.3977709,0.0698801,273,5
100.0,0.007899299999999998,0.0165434,298,5
200.0,0.0155998,0.023445,298,5
500.0,0.038907,0.036811,298,5
1000.0,0.0799985,0.0477588,298,5
2000.0,0.1548538,0.0627181,298,5
5000.0,0.3672124,0.0937642,298,5
10000.0,0.6730989,0.1190571,298,5
20000.0,1.1392625,0.1414962,298,5
50000.0,2.0652811,0.1551457,298,5
100000.0,2.7356238,0.1408065,298,5
1000000.0,3.9873842,0.1007649,298,5
100.0,0.0033227,0.010785,323,5
200.0,0.0066349,0.0151904,323,5
500.0,0.0158528,0.0238006,323,5
1000.0,0.033359,0.0342952,323,5
2000.0,0.0661285,0.0431912,323,5
5000.0,0.1580265,0.061885,323,5
10000.0,0.307374,0.08786059999999998,323,5
20000.0,0.5532531,0.1097258,323,5
50000.0,1.1347947,0.1462388,323,5
100000.0,1.7992985,0.1597225,323,5
1000000.0,3.5323972,0.1149079,323,5
100.0,0.0388467,0.0316209,273,1
200.0,0.07771459999999998,0.0428947,273,1
500.0,0.1885431,0.0678094,273,1
1000.0,0.3486324,0.0919259,273,1
2000.0,0.6532534,0.1152439,273,1
5000.0,1.3318247,0.1546529,273,1
10000.0,2.0598168,0.1556708,273,1
20000.0,2.7897059,0.1499513,273,1
50000.0,3.5335446,0.1160821,273,1
100000.0,3.9258987,0.089481,273,1
1000000.0,4.5452113,0.0783404,273,1
100.0,0.0132023,0.0216383,298,1
200.0,0.0266354,0.0304622,298,1
500.0,0.0624949,0.0412827,298,1
1000.0,0.1263928,0.05666,298,1
2000.0,0.2454652,0.078265,298,1
5000.0,0.5510136,0.1096895,298,1
10000.0,0.9585172,0.1307475,298,1
20000.0,1.5390568,0.1569761,298,1
50000.0,2.4993111,0.1538059,298,1
100000.0,3.0991715,0.1304532,298,1
1000000.0,4.2153974,0.0964066,298,1
100.0,0.0053953,0.0137024,323,1
200.0,0.0105739,0.0191496,323,1
500.0,0.0266283,0.0308879,323,1
1000.0,0.0516262,0.0363539,323,1
2000.0,0.1034478,0.0532304,323,1
5000.0,0.2439924,0.07674079999999998,323,1
10000.0,0.4518706,0.0990672,323,1
20000.0,0.7846275,0.1222446,323,1
50000.0,1.4887272,0.1650102,323,1
100000.0,2.2044839,0.1511761,323,1
1000000.0,3.8313111,0.1199105,323,1
100.0,0.0223305,0.0280942,273,6
200.0,0.0424944,0.0377572,273,6
500.0,0.1052308,0.0517639,273,6
1000.0,0.2004604,0.069843,273,6
2000.0,0.378404,0.08961779999999998,273,6
5000.0,0.794421,0.1181769,273,6
10000.0,1.3104588,0.1436567,273,6
20000.0,1.9748352,0.1514691,273,6
50000.0,2.8758285,0.1461316,273,6
100000.0,3.3985093,0.1299672,273,6
1000000.0,4.266396,0.0702462,273,6
100.0,0.0074731,0.0163822,298,6
200.0,0.0157134,0.023696,298,6
500.0,0.0381789,0.0367079,298,6
1000.0,0.0766846,0.044966,298,6
2000.0,0.1488227,0.0612349,298,6
5000.0,0.3418168,0.08948259999999998,298,6
10000.0,0.6124032,0.1123217,298,6
20000.0,1.018431,0.1377092,298,6
50000.0,1.810838,0.1556734,298,6
100000.0,2.4609447,0.1518881,298,6
1000000.0,3.8937032,0.09243920000000001,298,6
100.0,0.003456,0.0110755,323,6
200.0,0.0067698,0.0154933,323,6
500.0,0.0163137,0.024125,323,6
1000.0,0.0326948,0.0338076,323,6
2000.0,0.0655317,0.0471632,323,6
5000.0,0.1540784,0.0618213,323,6
10000.0,0.2911313,0.08193359999999998,323,6
20000.0,0.5259234,0.1056955,323,6
50000.0,1.028697,0.1317748,323,6
100000.0,1.6113923,0.1471367,323,6
1000000.0,3.4358509,0.117719,323,6
100.0,0.0372448,0.0358199,273,2
200.0,0.0745783,0.0446576,273,2
500.0,0.1759909,0.0652333,273,2
1000.0,0.3288485,0.0841487,273,2
2000.0,0.5829992,0.1059362,273,2
5000.0,1.1609983,0.1373596,273,2
10000.0,1.7512833,0.1610447,273,2
20000.0,2.4708284,0.1542511,273,2
50000.0,3.3054595,0.1357526,273,2
100000.0,3.7332019,0.10826,273,2
1000000.0,4.4824526,0.0922969,273,2
100.0,0.0126908,0.0209601,298,2
200.0,0.0252821,0.0296264,298,2
500.0,0.0626144,0.039832,298,2
1000.0,0.12223,0.0553027,298,2
2000.0,0.2347776,0.07342519999999998,298,2
5000.0,0.5129092,0.1013213,298,2
10000.0,0.8550029,0.1269744,298,2
20000.0,1.3617878,0.1449624,298,2
50000.0,2.2344655,0.1580387,298,2
100000.0,2.8605084,0.1387478,298,2
1000000.0,4.1147426,0.0829112,298,2
100.0,0.0050721,0.0132522,323,2
200.0,0.0102025,0.0188942,323,2
500.0,0.0257865,0.0300782,323,2
1000.0,0.0508732,0.042584,323,2
2000.0,0.0999634,0.0536489,323,2
5000.0,0.2382284,0.07663,323,2
10000.0,0.4315291,0.096985,323,2
20000.0,0.7255878,0.1189462,323,2
50000.0,1.3506242,0.1399415,323,2
100000.0,1.9615806,0.1584022,323,2
1000000.0,3.6802972,0.1104797,323,2
100.0,0.0172798,0.0247363,273,8
200.0,0.0332028,0.0343365,273,8
500.0,0.0835681,0.0542508,273,8
1000.0,0.1623376,0.0726633,273,8
2000.0,0.2953616,0.0935065,273,8
5000.0,0.6174934,0.1276858,273,8
10000.0,1.0103454,0.1522468,273,8
20000.0,1.5552346,0.1820524,273,8
50000.0,2.5352525,0.1968348,273,8
100000.0,3.1873833,0.1656108,273,8
1000000.0,4.4858554,0.1197382,273,8
100.0,0.0066029,0.0154553,298,8
200.0,0.0129246,0.0212202,298,8
500.0,0.0314552,0.0337167,298,8
1000.0,0.0606124,0.046359,298,8
2000.0,0.1187375,0.0627764,298,8
5000.0,0.2781094,0.0942586,298,8
10000.0,0.4887986,0.1154209,298,8
20000.0,1.0608209,0.0465219,298,8
50000.0,1.5121411,0.1778677,298,8
100000.0,2.1643436,0.1838146,298,8
1000000.0,3.9222974,0.1280071,298,8
100.0,0.0026959,0.0098777,323,8
200.0,0.0055622,0.0141128,323,8
500.0,0.0132875,0.0216445,323,8
1000.0,0.0272996,0.0307283,323,8
2000.0,0.0536757,0.0430943,323,8
5000.0,0.1274548,0.0641421,323,8
10000.0,0.2435446,0.0881855,323,8
20000.0,0.4404159,0.1153069,323,8
50000.0,0.8692101,0.1476471,323,8
100000.0,1.3571817,0.1691496,323,8
1000000.0,3.3501315,0.1596953,323,8
100.0,0.0299812,0.0326577,273,4
200.0,0.0610492,0.0458394,273,4
500.0,0.1407814,0.0693501,273,4
1000.0,0.262198,0.0901841,273,4
2000.0,0.480412,0.1187787,273,4
5000.0,0.9028682,0.1468777,273,4
10000.0,1.4380032,0.1736822,273,4
20000.0,2.1073141,0.1931709,273,4
50000.0,3.0271661,0.1853974,273,4
100000.0,3.6276284,0.0386193,273,4
1000000.0,4.6606215,0.1120507,273,4
100.0,0.0107266,0.019763,298,4
200.0,0.0211407,0.027165,298,4
500.0,0.0523402,0.0422014,298,4
1000.0,0.098461,0.0573023,298,4
2000.0,0.1910699,0.078321,298,4
5000.0,0.4228129,0.1063019,298,4
10000.0,0.7120271,0.1353956,298,4
20000.0,1.1485855,0.1586331,298,4
50000.0,1.965227,0.1860495,298,4
100000.0,2.6571347,0.1919398,298,4
1000000.0,4.2640073,0.1272061,298,4
100.0,0.0043475,0.0122433,323,4
200.0,0.008630999999999998,0.0175143,323,4
500.0,0.0218658,0.0275583,323,4
1000.0,0.0438761,0.0389982,323,4
2000.0,0.08430329999999998,0.0535117,323,4
5000.0,0.1968936,0.08069759999999998,323,4
10000.0,0.3652302,0.1030603,323,4
20000.0,0.6339316,0.1246725,323,4
50000.0,1.18455,0.1626499,323,4
100000.0,1.7659172,0.1826964,323,4
1000000.0,3.6887125,0.15434,323,4
100.0,0.1906275,0.0701852,273,7
200.0,0.3623212,0.0914601,273,7
500.0,0.7927577999999998,0.120257,273,7
1000.0,1.3829706,0.1437588,273,7
2000.0,1.9629327,0.1389298,273,7
5000.0,2.558365,0.1141242,273,7
10000.0,2.9341387,0.1056605,273,7
20000.0,3.2622386,0.1032391,273,7
50000.0,3.6378791,0.0961837,273,7
100000.0,3.9493249,0.0950647,273,7
1000000.0,4.4901175,0.059961,273,7
100.0,0.045517,0.0335551,298,7
200.0,0.0941952,0.0456834,298,7
500.0,0.2414978,0.076368,298,7
1000.0,0.4569853,0.09416,298,7
2000.0,0.8279541,0.1338569,298,7
5000.0,1.5777733,0.1490876,298,7
10000.0,2.12015,0.1308708,298,7
20000.0,2.5818699,0.1132432,298,7
50000.0,3.0710324,0.1039583,298,7
100000.0,3.3919364,0.100285,298,7
1000000.0,4.1841694,0.0825165,298,7
100.0,0.0160828,0.0202821,323,7
200.0,0.0293739,0.0263282,323,7
500.0,0.07711429999999998,0.0418785,323,7
1000.0,0.1468574,0.0599325,323,7
2000.0,0.3006337,0.0839406,323,7
5000.0,0.6721904,0.1245996,323,7
10000.0,1.1898217,0.1344408,323,7
20000.0,1.7775921,0.143108,323,7
50000.0,2.4150697,0.1203735,323,7
100000.0,2.8417301,0.1063284,323,7
1000000.0,3.8941759,0.103729,323,7
100.0,0.2671743,0.07706209999999998,273,3
200.0,0.5360422,0.1090906,273,3
500.0,1.1514057,0.1622752,273,3
1000.0,1.7845395,0.1724003,273,3
2000.0,2.3191153,0.12664,273,3
5000.0,2.8922556,0.1085725,273,3
10000.0,3.2535672,0.1007887,273,3
20000.0,3.5655028,0.1007418,273,3
50000.0,3.9318631,0.0859285,273,3
100000.0,4.1545786,0.0708535,273,3
1000000.0,4.6722608,0.0658528,273,3
100.0,0.0680805,0.0428157,298,3
200.0,0.1318165,0.056649,298,3
500.0,0.3230589,0.0855723,298,3
1000.0,0.6452311,0.1318134,298,3
2000.0,1.0881094,0.135683,298,3
5000.0,1.9561118,0.1530166,298,3
10000.0,2.4415854,0.1341938,298,3
20000.0,2.8438511,0.1152765,298,3
50000.0,3.3440559,0.1029029,298,3
100000.0,3.6530985,0.1171856,298,3
1000000.0,4.4310349,0.0768938,298,3
100.0,0.0218049,0.0239422,323,3
200.0,0.0429029,0.033205,323,3
500.0,0.1047797,0.0500817,323,3
1000.0,0.2052681,0.0711072,323,3
2000.0,0.4274517,0.1002907,323,3
5000.0,0.8912466,0.1404734,323,3
10000.0,1.4945334,0.1427027,323,3
20000.0,2.0721775,0.1277347,323,3
50000.0,2.700025,0.1234512,323,3
100000.0,3.1005958,0.1158496,323,3
1000000.0,4.0888269,0.0888463,323,3
