Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008036999999999999,0.0060715,273,5
200.0,0.0019298,0.0092659,273,5
500.0,0.0048852,0.0148716,273,5
1000.0,0.0097073,0.0210989,273,5
2000.0,0.0193107,0.0294264,273,5
5000.0,0.0483828,0.0464908,273,5
10000.0,0.0949461,0.0647413,273,5
20000.0,0.1844516,0.0807804,273,5
50000.0,0.4315434,0.1196719,273,5
100000.0,0.762869,0.1439801,273,5
100.0,0.0005418,0.0049162,298,5
200.0,0.0010435,0.006844,298,5
500.0,0.0023433,0.010197,298,5
1000.0,0.0049846,0.0149345,298,5
2000.0,0.0097434,0.0208195,298,5
5000.0,0.0237066,0.0329847,298,5
10000.0,0.0472676,0.0459223,298,5
20000.0,0.0955447,0.0643738,298,5
50000.0,0.2267125,0.0837224,298,5
100000.0,0.4286186,0.1126008,298,5
100.0,0.0002799,0.0036011,323,5
200.0,0.0005147,0.0048355,323,5
500.0,0.0014184,0.0079532,323,5
1000.0,0.0028309,0.0113298,323,5
2000.0,0.0055625,0.0156158,323,5
5000.0,0.0140868,0.0252944,323,5
10000.0,0.0278441,0.0354703,323,5
20000.0,0.053566,0.0485999,323,5
50000.0,0.1334275,0.0669287,323,5
100000.0,0.2555358,0.0896758,323,5
100.0,0.0014267,0.0080008,273,1
200.0,0.0024246,0.0104741,273,1
500.0,0.0062849,0.0171465,273,1
1000.0,0.0129942,0.0241615,273,1
2000.0,0.0258297,0.0342715,273,1
5000.0,0.0633455,0.0533151,273,1
10000.0,0.1262847,0.0652507,273,1
20000.0,0.2413768,0.0931785,273,1
50000.0,0.5509347,0.1302651,273,1
100000.0,0.9386375,0.1541687,273,1
100.0,0.000596,0.005153,298,1
200.0,0.0012552,0.007531699999999999,298,1
500.0,0.0032598,0.0120465,298,1
1000.0,0.0063874,0.0167886,298,1
2000.0,0.0128994,0.02392,298,1
5000.0,0.0317925,0.0377041,298,1
10000.0,0.0635216,0.0530342,298,1
20000.0,0.12591,0.0653835,298,1
50000.0,0.2949051,0.0967287,298,1
100000.0,0.5390466,0.1269691,298,1
100.0,0.0003341,0.0038696,323,1
200.0,0.0005824,0.0050949,323,1
500.0,0.0018015,0.008996999999999998,323,1
1000.0,0.0035985,0.0127662,323,1
2000.0,0.007233,0.0179886,323,1
5000.0,0.0178749,0.0285969,323,1
10000.0,0.0358943,0.0399361,323,1
20000.0,0.0696891,0.0549517,323,1
50000.0,0.1714031,0.0762037,323,1
100000.0,0.3198973,0.1035664,323,1
100.0,0.0008216999999999999,0.0060354,273,6
200.0,0.001956,0.0094757,273,6
500.0,0.0046324,0.0144954,273,6
1000.0,0.0091384,0.0200313,273,6
2000.0,0.0183309,0.0285184,273,6
5000.0,0.0453759,0.0447115,273,6
10000.0,0.0885032,0.0629745,273,6
20000.0,0.1773179,0.0790805,273,6
50000.0,0.4030005,0.1096379,273,6
100000.0,0.7300029,0.136146,273,6
100.0,0.0004605,0.0045366,298,6
200.0,0.0007992,0.0059534,298,6
500.0,0.0023794,0.0103868,298,6
1000.0,0.004524,0.0141889,298,6
2000.0,0.009635,0.0210062,298,6
5000.0,0.0232749,0.0321029,298,6
10000.0,0.046622,0.0454322,298,6
20000.0,0.0921206,0.0638913,298,6
50000.0,0.2210547,0.0873241,298,6
100000.0,0.4199205,0.109452,298,6
100.0,0.0002167,0.0031206,323,6
200.0,0.00047,0.0046709,323,6
500.0,0.0012823,0.0076347,323,6
1000.0,0.0028806,0.0115579,323,6
2000.0,0.0052555,0.0153809,323,6
5000.0,0.0130032,0.0239957,323,6
10000.0,0.0271849,0.0349899,323,6
20000.0,0.0534487,0.0489044,323,6
50000.0,0.1306778,0.0659187,323,6
100000.0,0.2476274,0.0903217,323,6
100.0,0.0012145,0.0073605,273,2
200.0,0.0025645,0.0106053,273,2
500.0,0.0060682,0.0165114,273,2
1000.0,0.0127052,0.0238234,273,2
2000.0,0.0246778,0.0330175,273,2
5000.0,0.060179,0.0516215,273,2
10000.0,0.1197425,0.0711033,273,2
20000.0,0.2262154,0.0885649,273,2
50000.0,0.5234517,0.1252794,273,2
100000.0,0.8974404999999999,0.1540375,273,2
100.0,0.000614,0.0052294,298,2
200.0,0.00121,0.0073751,298,2
500.0,0.0030356,0.0119043,298,2
1000.0,0.0063797,0.0170697,298,2
2000.0,0.012335,0.0237612,298,2
5000.0,0.0310497,0.0371376,298,2
10000.0,0.0608747,0.0521309,298,2
20000.0,0.1185647,0.0716232,298,2
50000.0,0.2870235,0.097112,298,2
100000.0,0.5178896,0.123064,298,2
100.0,0.0003928,0.004193,323,2
200.0,0.000587,0.0051143,323,2
500.0,0.0018015,0.008996999999999998,323,2
1000.0,0.0034043,0.0123248,323,2
2000.0,0.0070254,0.0178093,323,2
5000.0,0.0173508,0.0276147,323,2
10000.0,0.0340692,0.0388256,323,2
20000.0,0.067689,0.0555254,323,2
50000.0,0.1639354,0.07497239999999998,323,2
100000.0,0.3145425,0.0999842,323,2
100.0,0.0009843,0.0066548,273,8
200.0,0.0016751,0.0088388,273,8
500.0,0.0043028,0.0140197,273,8
1000.0,0.008813299999999998,0.0196648,273,8
2000.0,0.0179381,0.0280386,273,8
5000.0,0.0453894,0.0448981,273,8
10000.0,0.0867541,0.0607136,273,8
20000.0,0.1723563,0.0766279,273,8
50000.0,0.4008215,0.1110631,273,8
100000.0,0.70042,0.1378916,273,8
100.0,0.0005057,0.0047514,298,8
200.0,0.0008352999999999999,0.0061837,298,8
500.0,0.0024336,0.010472,298,8
1000.0,0.0047859,0.0145719,298,8
