Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0,0.0,273,5
200.0,0.0,0.0,273,5
500.0,3.9e-06,0.0003883,273,5
1000.0,0.0,0.0,273,5
2000.0,1.55e-05,0.0007764999999999998,273,5
5000.0,1.55e-05,0.0007764999999999998,273,5
10000.0,5.44e-05,0.0014519,273,5
20000.0,7.77e-05,0.0017348,273,5
50000.0,0.0003145,0.0034806,273,5
100000.0,0.0003885,0.0038646,273,5
100.0,0.0,0.0,298,5
200.0,0.0,0.0,298,5
500.0,3.9e-06,0.0003883,298,5
1000.0,3.9e-06,0.0003883,298,5
2000.0,1.16e-05,0.0006725,298,5
5000.0,1.16e-05,0.0006725,298,5
10000.0,2.33e-05,0.0009509,298,5
20000.0,7.38e-05,0.001691,298,5
50000.0,0.0001553,0.002451,298,5
100000.0,0.0003223,0.003523,298,5
100.0,0.0,0.0,323,5
200.0,2.9e-06,0.0002912,323,5
500.0,0.0,0.0,323,5
1000.0,0.0,0.0,323,5
2000.0,2.9e-06,0.0002912,323,5
5000.0,5.8e-06,0.0004118,323,5
10000.0,2.33e-05,0.0008233999999999998,323,5
20000.0,4.95e-05,0.0011998,323,5
50000.0,0.0001194,0.001861,323,5
100000.0,0.0002097,0.0024623,323,5
100.0,3.9e-06,0.0003883,273,1
200.0,1.16e-05,0.0006725,273,1
500.0,3.9e-06,0.0003883,273,1
1000.0,2.33e-05,0.0009509,273,1
2000.0,3.49e-05,0.0011644,273,1
5000.0,6.6e-05,0.0015997,273,1
10000.0,0.000167,0.0025408,273,1
20000.0,0.0004504,0.0041579,273,1
50000.0,0.001161,0.0068155,273,1
100000.0,0.0021551,0.0091578,273,1
100.0,0.0,0.0,298,1
200.0,3.9e-06,0.0003883,298,1
500.0,7.8e-06,0.0005491,298,1
1000.0,7.8e-06,0.0005491,298,1
2000.0,7.8e-06,0.0005491,298,1
5000.0,8.94e-05,0.0018606,298,1
10000.0,9.32e-05,0.0019778,298,1
20000.0,0.0002912,0.0033949,298,1
50000.0,0.0006795,0.0051798,298,1
100000.0,0.0014096,0.007426999999999999,298,1
100.0,0.0,0.0,323,1
200.0,0.0,0.0,323,1
500.0,1.16e-05,0.0005823,323,1
1000.0,5.8e-06,0.0004118,323,1
2000.0,1.46e-05,0.0006511,323,1
5000.0,5.82e-05,0.0013011,323,1
10000.0,9.030000000000001e-05,0.001619,323,1
20000.0,0.0001835,0.0023043,323,1
50000.0,0.0004487,0.0036106,323,1
100000.0,0.0009057,0.0050722,323,1
100.0,0.0,0.0,273,6
200.0,0.0,0.0,273,6
500.0,0.0,0.0,273,6
1000.0,3.9e-06,0.0003883,273,6
2000.0,1.16e-05,0.0006725,273,6
5000.0,1.94e-05,0.0008681,273,6
10000.0,6.21e-05,0.001552,273,6
20000.0,0.000101,0.0019774,273,6
50000.0,0.0002485,0.0030965,273,6
100000.0,0.0004737,0.0042628,273,6
100.0,0.0,0.0,298,6
200.0,0.0,0.0,298,6
500.0,0.0,0.0,298,6
1000.0,7.8e-06,0.0005491,298,6
2000.0,3.9e-06,0.0003883,298,6
5000.0,3.9e-06,0.0003883,298,6
10000.0,2.72e-05,0.001027,298,6
20000.0,6.21e-05,0.001552,298,6
50000.0,0.0001553,0.002451,298,6
100000.0,0.0003728,0.0037863,298,6
100.0,0.0,0.0,323,6
200.0,0.0,0.0,323,6
500.0,0.0,0.0,323,6
1000.0,3.9e-06,0.0003883,323,6
2000.0,7.8e-06,0.0005491,323,6
5000.0,1.16e-05,0.0006725,323,6
10000.0,1.55e-05,0.0007764999999999998,323,6
20000.0,4.27e-05,0.0012872,323,6
50000.0,9.71e-05,0.0019391,323,6
100000.0,0.0002058,0.0028194,323,6
100.0,0.0,0.0,273,2
200.0,3.9e-06,0.0003883,273,2
500.0,1.16e-05,0.0006725,273,2
1000.0,7.8e-06,0.0005491,273,2
2000.0,4.66e-05,0.0013443,273,2
5000.0,8.54e-05,0.0018193,273,2
10000.0,0.000198,0.002766,273,2
20000.0,0.000497,0.004365,273,2
50000.0,0.0011222,0.0065514,273,2
100000.0,0.0026094,0.0100274,273,2
100.0,0.0,0.0,298,2
200.0,0.0,0.0,298,2
500.0,7.8e-06,0.0005491,298,2
1000.0,1.16e-05,0.0006725,298,2
2000.0,2.33e-05,0.0009509,298,2
5000.0,6.21e-05,0.001552,298,2
10000.0,0.0001631,0.0025112,298,2
20000.0,0.0002213,0.0029744,298,2
50000.0,0.0007067,0.0052197,298,2
100000.0,0.0015649,0.007675999999999999,298,2
100.0,0.0,0.0,323,2
200.0,7.8e-06,0.0005491,323,2
500.0,3.9e-06,0.0003883,323,2
1000.0,1.16e-05,0.0006725,323,2
2000.0,7.8e-06,0.0005491,323,2
5000.0,2.72e-05,0.0010273,323,2
10000.0,0.0001048,0.002015,323,2
20000.0,0.0001476,0.0023892,323,2
50000.0,0.0004504,0.004194,323,2
100000.0,0.0008426,0.0057372,323,2
100.0,2.9e-06,0.0002912,273,8
200.0,2.9e-06,0.0002912,273,8
500.0,0.0,0.0,273,8
1000.0,1.46e-05,0.0006511,273,8
2000.0,2.9e-06,0.0002912,273,8
5000.0,4.95e-05,0.0011998,273,8
10000.0,6.12e-05,0.0013332,273,8
20000.0,0.0001165,0.0018382,273,8
50000.0,0.0003233,0.0030789,273,8
100000.0,0.0006553,0.0043191,273,8
100.0,0.0,0.0,298,8
200.0,2.9e-06,0.0002912,298,8
500.0,0.0,0.0,298,8
1000.0,2.9e-06,0.0002912,298,8
2000.0,5.8e-06,0.0004118,298,8
5000.0,1.16e-05,0.0005823,298,8
10000.0,3.79e-05,0.0010494,298,8
20000.0,0.0001048,0.0017442,298,8
50000.0,0.0001893,0.0023763,298,8
100000.0,0.000431,0.0035407,298,8
100.0,0.0,0.0,323,8
200.0,2.9184587634031467e-06,2.918312529718304e-06,323,8
500.0,2.9184587634031467e-06,2.9183125297183044e-06,323,8
1000.0,5.836917526806293e-06,4.12691034274724e-06,323,8
2000.0,1.1673835053612585e-05,5.835747569382872e-06,323,8
5000.0,1.751075258041888e-05,7.14658534892377e-06,323,8
10000.0,5.5450716504659775e-05,1.2709150414597964e-05,323,8
20000.0,7.296146908507865e-05,1.45740036017392e-05,323,8
50000.0,0.00015467831446036676,2.119020314545275e-05,323,8
100000.0,0.00028892741757691155,2.919236655612925e-05,323,8
100.0,2.9e-06,0.0002912,273,4
200.0,5.8e-06,0.0004118,273,4
500.0,1.16e-05,0.0005823,273,4
1000.0,1.75e-05,0.0007132,273,4
2000.0,6.7e-05,0.0013951,273,4
5000.0,0.0001398,0.0020129,273,4
10000.0,0.0003029,0.0029545,273,4
20000.0,0.000597,0.0041474,273,4
50000.0,0.001596,0.0067925,273,4
100000.0,0.0030113,0.009287900000000002,273,4
100.0,5.8e-06,0.0004118,298,4
200.0,5.8e-06,0.0004118,298,4
500.0,1.75e-05,0.0007132,298,4
1000.0,1.46e-05,0.0006511,298,4
2000.0,2.62e-05,0.0008733,298,4
5000.0,9.32e-05,0.0016448,298,4
10000.0,0.0001893,0.0023404,298,4
20000.0,0.0003351,0.0031331,298,4
50000.0,0.0009756,0.0053366,298,4
100000.0,0.0016746,0.0070134,298,4
100.0,2.9e-06,0.0002912,323,4
200.0,0.0,0.0,323,4
500.0,1.751075258041888e-05,7.146585348923768e-06,323,4
1000.0,5.836917526806293e-06,4.1269103427472405e-06,323,4
2000.0,4.085842268764405e-05,1.0912210104608744e-05,323,4
5000.0,5.54507165046598e-05,1.2709150414597964e-05,323,4
